10	6.30	7.54	25.27	6.8185	3.2187	0.5185	0.0126	3.2061
11	6.30	7.87	27.98	6.9501	3.6923	0.6501	0.0141	3.6782
13	6.30	8.33	30.7	7.1626	4.2528	0.8626	0.0158	4.2370
14	6.30	8.89	33.6	7.4047	4.9197	1.1047	0.0178	4.9019
16	6.30	9.73	36.84	7.7870	5.8339	1.4870	0.0199	5.8140
18	6.30	10.96	39.77	8.4241	7.0112	2.1241	0.0223	6.9888
20	6.30	12.84	42.26	9.5029	8.6348	3.2029	0.0251	8.6098
22	6.30	16.04	43.6	11.6157	11.0615	5.3157	0.0281	11.0334
25	6.30	22.43	40.63	17.0228	14.6058	10.7228	0.0316	14.5742
28	6.30	30.39	19.87	28.5808	10.3292	22.2808	0.0354	10.2938
32	6.30	30.58	-8.72	30.2265	-4.6361	23.9265	0.0397	-4.6758
35	6.30	24.87	-29.36	21.6756	-12.1936	15.3756	0.0446	-12.2382
40	6.30	19.14	-38.44	14.9916	-11.8992	8.6916	0.0500	-11.9493
45	6.30	14.92	-41.17	11.2312	-9.8218	4.9312	0.0561	-9.8779
50	6.30	12.22	-40.17	9.3377	-7.8826	3.0377	0.0630	-7.9456
56	6.30	10.41	-37.81	8.2244	-6.3818	1.9244	0.0707	-6.4525
63	6.30	9.11	-34.05	7.5481	-5.1008	1.2481	0.0793	-5.1801
71	6.30	8.29	-29.84	7.1909	-4.1249	0.8909	0.0890	-4.2139
79	6.30	7.74	-25.4	6.9918	-3.3200	0.6918	0.0998	-3.4198
89	6.30	7.38	-21.21	6.8801	-2.6700	0.5801	0.1120	-2.7820
100	6.30	7.13	-17.29	6.8078	-2.1191	0.5078	0.1257	-2.2448
112	6.30	6.96	-13.48	6.7683	-1.6224	0.4683	0.1410	-1.7634
126	6.30	6.87	-9.97	6.7663	-1.1894	0.4663	0.1582	-1.3476
141	6.30	6.84	-6.49	6.7962	-0.7731	0.4962	0.1775	-0.9506
158	6.30	6.7	-2.01	6.6959	-0.2350	0.3959	0.1992	-0.4342
178	6.30	7.39	1.57	7.3872	0.2025	1.0872	0.2235	-0.0210
200	6.30	7.42	-1.74	7.4166	-0.2253	1.1166	0.2507	-0.4760
224	6.30	7.05	-0.3	7.0499	-0.0369	0.7499	0.2813	-0.3182
251	6.30	6.98	2.33	6.9742	0.2838	0.6742	0.3157	-0.0319
282	6.30	6.98	5.49	6.9480	0.6678	0.6480	0.3542	0.3136
316	6.30	7.09	8.55	7.0112	1.0541	0.7112	0.3974	0.6567
355	6.30	7.29	11.09	7.1539	1.4022	0.8539	0.4459	0.9564
398	6.30	7.52	13.03	7.3264	1.6955	1.0264	0.5003	1.1952
447	6.30	7.76	14.26	7.5209	1.9115	1.2209	0.5613	1.3501
501	6.30	7.89	15.32	7.6096	2.0846	1.3096	0.6298	1.4548
562	6.30	8.02	16.88	7.6745	2.3288	1.3745	0.7067	1.6221
631	6.30	8.13	18.99	7.6875	2.6455	1.3875	0.7929	1.8526
708	6.30	8.35	21.46	7.7711	3.0549	1.4711	0.8896	2.1652
794	6.30	8.66	23.78	7.9248	3.4919	1.6248	0.9982	2.4938
891	6.30	9.06	25.89	8.1507	3.9560	1.8507	1.1200	2.8360
1000	6.30	9.59	27.61	8.4979	4.4445	2.1979	1.2566	3.1879
1122	6.30	10.16	27.49	9.0128	4.6898	2.7128	1.4100	3.2798
1259	6.30	10.31	27.44	9.1501	4.7510	2.8501	1.5820	3.1690
1413	6.30	10.55	29.45	9.1868	5.1871	2.8868	1.7751	3.4120
1585	6.30	10.98	31.31	9.3810	5.7060	3.0810	1.9916	3.7143
1778	6.30	11.51	33.15	9.6367	6.2940	3.3367	2.2347	4.0594
1995	6.30	12.08	34.78	9.9219	6.8908	3.6219	2.5073	4.3834
2239	6.30	12.84	36.55	10.3149	7.6465	4.0149	2.8133	4.8333
2512	6.30	13.84	37.61	10.9638	8.4463	4.6638	3.1565	5.2898
2818	6.30	14.57	37.35	11.5823	8.8394	5.2823	3.5417	5.2977
3162	6.30	15.27	35.23	12.4732	8.8087	6.1732	3.9738	4.8348
3548	6.30	15.46	38.3	12.1326	9.5818	5.8326	4.4587	5.1231
3981	6.30	16.35	39.24	12.6631	10.3425	6.3631	5.0028	5.3398
4467	6.30	17.25	41	13.0187	11.3170	6.7187	5.6132	5.7038
5012	6.30	18.39	42.15	13.6342	12.3410	7.3342	6.2981	6.0429
5623	6.30	19.58	43	14.3199	13.3535	8.0199	7.0666	6.2869
6310	6.30	20.7	43.54	15.0053	14.2594	8.7053	7.9288	6.3306
7079	6.30	21.94	44.41	15.6729	15.3533	9.3729	8.8963	6.4570
7943	6.30	23.32	45.16	16.4436	16.5357	10.1436	9.9818	6.5539
8913	6.30	24.72	45.76	17.2463	17.7100	10.9463	11.1998	6.5102
10000	6.30	26.24	46.34	18.1155	18.9833	11.8155	12.5664	6.4169
11220	6.30	27.89	47	19.0209	20.3975	12.7209	14.0997	6.2977
12589	6.30	29.65	47.66	19.9701	21.9161	13.6701	15.8201	6.0960
14125	6.30	31.48	48.35	20.9209	23.5224	14.6209	17.7505	5.7720
15849	6.30	33.38	49.06	21.8729	25.2151	15.5729	19.9164	5.2988
17783	6.30	35.45	49.71	22.9240	27.0406	16.6240	22.3465	4.6941
19953	6.30	37.64	50.41	23.9876	29.0063	17.6876	25.0732	3.9331
22387	6.30	39.77	50.69	25.1949	30.7712	18.8949	28.1326	2.6386
