Time [s]        Real Pa         Imag Pa
0.000000E+00    8.876615E-04    9.094947E-10
2.083333E-05    1.094461E-03    -1.422450E-09
4.166667E-05    4.717131E-04    6.184564E-10
6.250000E-05    8.657806E-04    -7.712515E-10
8.333333E-05    5.725333E-04    3.710738E-10
1.041667E-04    7.058256E-04    -5.559866E-10
1.250000E-04    6.178503E-04    1.326810E-09
1.458333E-04    7.287722E-04    -3.173869E-10
1.666667E-04    6.531311E-04    1.266017E-09
1.875000E-04    7.195637E-04    4.874892E-10
2.083333E-04    6.126455E-04    5.529728E-10
2.291667E-04    7.155358E-04    1.055014E-09
2.500000E-04    6.258754E-04    1.898584E-09
2.708333E-04    6.408271E-04    -6.646846E-10
2.916667E-04    6.404775E-04    8.191694E-10
3.125000E-04    7.157949E-04    1.746230E-10
3.333333E-04    6.180347E-04    9.701990E-10
3.541667E-04    6.020832E-04    -2.219167E-10
3.750000E-04    7.886132E-04    4.496025E-10
3.958333E-04    6.531145E-04    -6.264637E-10
4.166667E-04    3.966803E-04    1.250216E-09
4.375000E-04    7.200128E-04    -8.883981E-10
4.583333E-04    8.827213E-04    9.098604E-10
4.791667E-04    3.223362E-04    -1.768423E-09
5.000000E-04    5.843678E-04    1.242940E-09
5.208333E-04    9.128350E-04    -1.691767E-09
5.416666E-04    6.970679E-04    3.210516E-09
5.625000E-04    5.651009E-04    -9.868018E-10
5.833333E-04    5.518900E-04    1.172780E-09
6.041666E-04    8.415703E-04    -2.893151E-09
6.250000E-04    5.532154E-04    3.165559E-09
6.458333E-04    6.657141E-04    -1.633270E-09
6.666667E-04    7.110405E-04    3.179593E-09
6.875000E-04    5.949379E-04    -2.091838E-09
7.083333E-04    6.351490E-04    2.160959E-09
7.291667E-04    8.230043E-04    -1.164153E-09
7.500000E-04    2.565184E-04    2.539309E-09
7.708333E-04    9.662141E-04    -2.222181E-09
7.916667E-04    6.467318E-04    1.376832E-09
8.125000E-04    4.508359E-04    -3.664328E-09
8.333334E-04    1.124674E-03    1.396984E-09
8.541666E-04    3.643712E-04    -2.910383E-09
8.750000E-04    5.243550E-04    3.215064E-09
8.958333E-04    7.330707E-04    -2.179149E-09
9.166666E-04    6.038434E-04    -5.970699E-10
9.375000E-04    7.233451E-04    2.684570E-10
9.583333E-04    8.923224E-04    -1.261754E-09
9.791667E-04    4.667688E-04    -2.382876E-10
9.999999E-04    7.555447E-04    -2.691890E-09
1.020833E-03    5.419988E-04    -4.441547E-10
1.041667E-03    5.621649E-04    -3.478905E-10
1.062500E-03    8.668118E-04    -1.492303E-09
1.083333E-03    4.782291E-04    -3.841631E-10
1.104167E-03    6.800387E-04    -1.411233E-09
1.125000E-03    4.240116E-04    3.448324E-10
1.145833E-03    5.831112E-04    3.316175E-10
1.166667E-03    7.183985E-04    1.540434E-10
1.187500E-03    3.432979E-04    -1.372090E-10
1.208333E-03    4.153688E-04    -1.173712E-09
1.229167E-03    1.072239E-03    1.270796E-09
1.250000E-03    2.464844E-05    1.530889E-09
1.270833E-03    1.838134E-04    -3.758844E-10
1.291667E-03    9.360478E-04    2.402314E-09
1.312500E-03    1.442055E-04    -1.706426E-09
1.333333E-03    5.751121E-04    1.493390E-09
1.354167E-03    7.951962E-04    -1.190047E-09
1.375000E-03    2.682572E-04    5.238689E-10
1.395833E-03    8.029851E-04    -7.325892E-10
1.416667E-03    2.155894E-04    1.007827E-09
1.437500E-03    2.295980E-04    -1.359053E-09
1.458333E-03    1.111719E-03    2.316714E-10
1.479167E-03    4.909064E-04    -1.974540E-09
1.500000E-03    3.526069E-04    2.509135E-10
1.520833E-03    6.191228E-04    -1.387211E-09
1.541667E-03    3.691185E-04    7.371542E-10
1.562500E-03    7.282933E-04    -1.147386E-10
1.583333E-03    4.420438E-04    -8.858256E-10
1.604167E-03    2.885776E-04    -1.389141E-09
1.625000E-03    1.063216E-03    1.493529E-10
1.645833E-03    1.421801E-04    5.338558E-10
1.666667E-03    2.322606E-04    1.069137E-09
1.687500E-03    1.016119E-03    -1.220791E-09
1.708333E-03    1.741527E-04    7.700475E-10
1.729167E-03    6.547929E-04    -1.062486E-09
1.750000E-03    9.476596E-04    1.641655E-09
1.770833E-03    -5.133788E-05   -1.078286E-09
1.791667E-03    1.071485E-03    1.156512E-09
1.812500E-03    1.890634E-04    -2.095413E-09
1.833333E-03    3.743608E-04    1.104180E-09
1.854167E-03    1.047733E-03    4.091303E-10
1.875000E-03    5.595952E-04    1.183699E-09
1.895833E-03    4.052627E-04    -3.035217E-11
1.916667E-03    9.011184E-04    -2.717842E-09
1.937500E-03    2.517077E-04    1.101135E-09
1.958333E-03    7.951325E-04    -2.264160E-09
1.979167E-03    6.500059E-04    -9.235165E-10
2.000000E-03    5.782992E-04    2.377170E-10
2.020833E-03    9.007828E-04    5.807211E-10
2.041667E-03    5.552080E-05    -2.342933E-10
2.062500E-03    3.741768E-04    4.928926E-10
2.083333E-03    9.024708E-04    -4.836553E-10
2.104167E-03    3.441996E-04    1.953632E-10
2.125000E-03    5.789578E-04    1.425873E-09
2.145833E-03    1.036496E-03    1.066615E-09
2.166667E-03    1.441491E-04    1.327327E-09
2.187500E-03    5.275991E-04    7.319834E-10
2.208333E-03    4.699531E-04    -4.140167E-10
2.229167E-03    4.862759E-04    1.072277E-09
2.250000E-03    1.172254E-03    5.509794E-10
2.270833E-03    3.336169E-04    1.284666E-09
2.291667E-03    4.077746E-04    -3.429155E-10
2.312500E-03    6.791681E-04    -1.419774E-09
2.333333E-03    4.909904E-04    -3.308492E-09
2.354167E-03    6.779798E-04    2.491195E-09
2.375000E-03    7.447759E-04    -2.169377E-09
2.395833E-03    5.522597E-04    3.010481E-09
2.416667E-03    1.014251E-03    -4.482810E-09
2.437500E-03    -1.011289E-04   4.316301E-09
2.458333E-03    4.998541E-04    -3.555081E-09
2.479167E-03    1.143343E-03    4.891575E-09
2.500000E-03    3.726771E-04    -7.031677E-09
2.520833E-03    9.751251E-04    3.418023E-09
2.541667E-03    3.633188E-04    -1.557055E-09
2.562500E-03    5.754881E-04    4.057274E-09
2.583333E-03    7.911413E-04    3.210119E-10
2.604167E-03    1.918781E-04    3.303253E-09
2.625000E-03    1.059640E-03    6.914301E-10
2.645833E-03    9.911562E-04    -9.995171E-10
2.666667E-03    3.724999E-04    5.893526E-10
2.687500E-03    8.113004E-04    -1.247827E-09
