Time [s]        Real Pa         Imag Pa
0.000000E+00    -1.146992E-03   -9.058567E-10
2.083333E-05    -5.246123E-04   1.182343E-09
4.166667E-05    -1.173428E-03   -1.513399E-09
6.250000E-05    -6.551023E-04   9.113137E-10
8.333333E-05    -8.653957E-04   -5.883272E-10
1.041667E-04    -5.902196E-04   -1.291482E-10
1.250000E-04    -7.001831E-04   3.029865E-11
1.458333E-04    -5.160284E-04   -1.366632E-09
1.666667E-04    -5.558481E-04   -1.346052E-10
1.875000E-04    -4.525126E-04   1.127773E-10
2.083333E-04    -4.950230E-04   1.891749E-10
2.291667E-04    -3.780464E-04   -1.866283E-09
2.500000E-04    -3.285923E-04   -2.934815E-10
2.708333E-04    -2.187947E-04   -9.537746E-10
2.916667E-04    -2.125481E-04   3.086040E-10
3.125000E-04    -1.057087E-04   -4.262677E-10
3.333333E-04    -1.058499E-04   3.092282E-10
3.541667E-04    -1.226550E-04   3.939359E-11
3.750000E-04    -2.344430E-05   3.971639E-10
3.958333E-04    -3.303355E-05   1.964509E-10
4.166667E-04    -1.824286E-05   8.490045E-10
4.375000E-04    -3.088356E-05   -3.261698E-10
4.583333E-04    1.141972E-04    1.511634E-09
4.791667E-04    -2.603832E-04   -1.351774E-11
5.000000E-04    -1.222454E-05   5.480865E-10
5.208333E-04    1.771166E-04    -5.524021E-10
5.416666E-04    -2.209206E-04   5.649575E-11
5.625000E-04    -7.121201E-05   -2.682130E-11
5.833333E-04    -4.064703E-04   -5.286482E-10
6.041666E-04    -1.508133E-04   -1.121532E-10
6.250000E-04    -1.668570E-04   -7.499407E-10
6.458333E-04    -8.105474E-04   -4.347920E-10
6.666667E-04    -3.693753E-04   -7.530616E-10
6.875000E-04    -4.890712E-04   -3.637979E-12
7.083333E-04    -8.883057E-04   -1.091394E-10
7.291667E-04    -6.516575E-04   -1.056833E-09
7.500000E-04    -8.205160E-04   -2.898795E-11
7.708333E-04    -8.855294E-04   -1.476110E-09
7.916667E-04    -9.506604E-04   -7.520273E-11
8.125000E-04    -1.386363E-03   3.104765E-10
8.333334E-04    -8.379709E-04   2.728484E-10
8.541666E-04    -9.498782E-04   -4.110916E-10
8.750000E-04    -1.541401E-03   -1.673470E-10
8.958333E-04    -9.003347E-04   -3.565219E-10
9.166666E-04    -1.422451E-03   -1.757768E-09
9.375000E-04    -1.630411E-03   5.196068E-10
9.583333E-04    -1.385383E-03   -1.066552E-09
9.791667E-04    -1.713042E-03   -5.281311E-10
9.999999E-04    -1.498048E-03   -1.136761E-09
1.020833E-03    -1.747672E-03   -5.178413E-10
1.041667E-03    -2.137474E-03   -1.615263E-09
1.062500E-03    -1.467960E-03   -1.091394E-10
1.083333E-03    -2.155139E-03   -1.660987E-10
1.104167E-03    -2.455149E-03   6.070439E-11
1.125000E-03    -1.757012E-03   6.008907E-10
1.145833E-03    -2.583786E-03   -5.695930E-11
1.166667E-03    -2.516806E-03   3.614083E-10
1.187500E-03    -2.423401E-03   1.398232E-09
1.208333E-03    -2.956768E-03   -4.777165E-10
1.229167E-03    -2.379304E-03   3.407216E-10
1.250000E-03    -2.977255E-03   6.633605E-10
1.270833E-03    -3.234453E-03   -5.838421E-10
1.291667E-03    -2.456600E-03   7.151749E-10
1.312500E-03    -3.338822E-03   5.447070E-10
1.333333E-03    -3.032823E-03   5.094241E-10
1.354167E-03    -2.944978E-03   1.654745E-10
1.375000E-03    -3.301320E-03   1.081052E-10
1.395833E-03    -3.149839E-03   -1.001015E-09
1.416667E-03    -3.092623E-03   6.144883E-10
1.437500E-03    -3.391147E-03   -6.118582E-10
1.458333E-03    -3.080835E-03   1.420007E-09
1.479167E-03    -3.428726E-03   -5.253315E-10
1.500000E-03    -3.272540E-03   -4.886304E-10
1.520833E-03    -2.992764E-03   -5.713768E-10
1.541667E-03    -3.548274E-03   4.874892E-10
1.562500E-03    -3.223767E-03   -6.683906E-11
1.583333E-03    -2.942759E-03   8.372703E-11
1.604167E-03    -3.333716E-03   -1.767281E-11
1.625000E-03    -2.862353E-03   -7.689690E-10
1.645833E-03    -3.002303E-03   -8.533185E-11
1.666667E-03    -3.062910E-03   -2.856972E-10
1.687500E-03    -2.864617E-03   1.504055E-10
1.708333E-03    -3.175976E-03   -6.568158E-10
1.729167E-03    -3.080119E-03   7.651169E-10
1.750000E-03    -2.583125E-03   -4.165442E-10
1.770833E-03    -3.330561E-03   5.360312E-10
1.791667E-03    -2.823390E-03   -4.627546E-10
1.812500E-03    -2.680097E-03   1.568540E-09
1.833333E-03    -2.937459E-03   -4.887375E-10
1.854167E-03    -2.663461E-03   7.021299E-10
1.875000E-03    -2.647746E-03   -8.212561E-10
1.895833E-03    -2.568730E-03   -6.327942E-10
1.916667E-03    -2.404379E-03   -2.571552E-10
1.937500E-03    -2.684047E-03   1.958802E-10
1.958333E-03    -2.263933E-03   -5.329104E-10
1.979167E-03    -2.074289E-03   -2.475340E-10
2.000000E-03    -2.476725E-03   1.904232E-10
2.020833E-03    -2.023119E-03   6.437172E-10
2.041667E-03    -1.964650E-03   6.704404E-11
2.062500E-03    -2.072534E-03   1.299481E-09
2.083333E-03    -1.819687E-03   2.039498E-10
2.104167E-03    -2.002188E-03   -1.344126E-09
2.125000E-03    -1.871064E-03   1.517715E-09
2.145833E-03    -1.612271E-03   -1.042013E-09
2.166667E-03    -2.212021E-03   2.322172E-09
2.187500E-03    -1.485806E-03   -1.404153E-09
2.208333E-03    -1.663707E-03   4.304656E-09
2.229167E-03    -1.750506E-03   -2.223946E-09
2.250000E-03    -1.406953E-03   1.331803E-09
2.270833E-03    -1.580469E-03   -1.253230E-09
2.291667E-03    -1.479331E-03   2.167290E-09
2.312500E-03    -1.344968E-03   4.069365E-10
2.333333E-03    -1.790563E-03   1.145749E-09
2.354167E-03    -1.287449E-03   -5.251173E-10
2.375000E-03    -1.546795E-03   1.780630E-09
2.395833E-03    -1.672817E-03   1.261880E-10
2.416667E-03    -1.181655E-03   4.874892E-10
2.437500E-03    -1.679873E-03   5.403469E-10
2.458333E-03    -1.472178E-03   -7.060708E-10
2.479167E-03    -1.333234E-03   2.230081E-09
2.500000E-03    -1.745496E-03   1.516539E-10
2.520833E-03    -9.444155E-04   1.483154E-09
2.541667E-03    -1.397592E-03   -2.291971E-10
2.562500E-03    -1.384143E-03   1.301041E-09
2.583333E-03    -1.054329E-03   -1.621968E-09
2.604167E-03    -1.310181E-03   6.794637E-10
2.625000E-03    -1.145345E-03   -1.978056E-09
2.645833E-03    -1.016279E-03   4.532404E-10
2.666667E-03    -1.298205E-03   -4.874892E-10
2.687500E-03    -9.123364E-04   1.142325E-09
2.708333E-03    -1.201395E-03   -1.862645E-09
2.729167E-03    -1.570256E-03   -1.016815E-09
2.750000E-03    -1.025838E-03   4.303069E-10
2.770833E-03    -1.376070E-03   6.275513E-10
2.791667E-03    -1.521976E-03   1.558250E-09
2.812500E-03    -9.936794E-04   -1.715878E-09
2.833333E-03    -1.714174E-03   1.138687E-09
2.854167E-03    -1.383223E-03   -2.361048E-09
2.875000E-03    -1.373412E-03   1.091394E-09
2.895833E-03    -1.651888E-03   -1.538865E-09
2.916667E-03    -1.086979E-03   2.958711E-10
2.937500E-03    -1.610554E-03   -2.034254E-09
2.958333E-03    -1.741865E-03   -2.891614E-10
2.979167E-03    -1.294200E-03   -8.346308E-10
3.000000E-03    -1.828142E-03   -4.229150E-11
3.020833E-03    -1.554870E-03   -4.881133E-10
3.041667E-03    -1.483412E-03   -6.978678E-10
3.062500E-03    -2.030977E-03   -2.735760E-09
3.083333E-03    -1.383686E-03   -2.642170E-10
3.104167E-03    -1.935135E-03   -1.315700E-09
3.125000E-03    -1.796009E-03   1.104180E-09
3.145833E-03    -1.752859E-03   -2.079370E-11
3.166667E-03    -1.897483E-03   1.151991E-09
3.187500E-03    -2.022547E-03   4.844218E-10
3.208333E-03    -1.472709E-03   6.749521E-10
3.229167E-03    -2.503549E-03   -5.979840E-10
3.250000E-03    -1.414125E-03   4.536061E-10
3.270833E-03    -2.616699E-03   6.991161E-10
3.291667E-03    -1.308409E-03   -3.897809E-10
3.312500E-03    -2.580169E-03   -4.420679E-10
3.333333E-03    -8.476928E-04   -1.364242E-09
3.354167E-03    2.915516E-02    3.165042E-10
3.375000E-03    1.984546E-01    1.615263E-09
3.395833E-03    2.549956E-01    3.505193E-09
3.416667E-03    1.103887E-01    -2.320915E-09
3.437500E-03    1.013372E-01    3.169589E-09
3.458333E-03    7.326459E-02    -2.105195E-09
3.479167E-03    7.481002E-03    1.809324E-09
3.500000E-03    2.088637E-02    -2.040906E-09
3.520833E-03    -2.660024E-02   1.275112E-09
3.541667E-03    -6.740525E-02   -4.474714E-10
3.562500E-03    -6.288597E-02   2.291927E-09
3.583333E-03    -9.575523E-02   2.358445E-10
3.604167E-03    -8.624607E-02   -1.352294E-10
3.625000E-03    -1.007772E-01   -1.110208E-09
3.645833E-03    -1.142206E-01   -8.628251E-10
3.666667E-03    -1.027859E-01   -8.711888E-10
3.687500E-03    -1.126565E-01   -2.569661E-09
3.708333E-03    -9.481029E-02   -2.837623E-10
3.729167E-03    -6.584661E-02   -2.721208E-09
3.750000E-03    -6.832722E-02   1.580131E-09
3.770833E-03    -5.507873E-02   -3.097061E-09
3.791667E-03    -4.611254E-02   2.245257E-09
3.812500E-03    -3.648825E-02   -4.211531E-09
3.833333E-03    -9.696107E-03   1.489182E-09
3.854167E-03    5.764140E-03    -3.953235E-09
3.875000E-03    1.653923E-02    1.397662E-09
3.895833E-03    1.767565E-02    -3.495527E-09
3.916667E-03    2.471639E-02    1.689271E-09
3.937500E-03    3.586482E-02    -1.797108E-09
3.958333E-03    2.954384E-02    1.731081E-09
3.979167E-03    4.339398E-02    -4.484612E-10
4.000000E-03    5.560946E-02    9.906715E-10
4.020833E-03    2.314707E-02    -1.082762E-09
4.041667E-03    2.101287E-02    2.009199E-09
4.062500E-03    2.233929E-02    -1.705320E-09
4.083333E-03    -8.401945E-03   4.894329E-11
4.104167E-03    -1.169246E-03   -1.276857E-10
4.125000E-03    7.052335E-03    -1.265036E-09
4.145833E-03    -9.433718E-03   9.217641E-10
4.166666E-03    -7.830797E-03   2.826545E-11
4.187500E-03    -1.055858E-02   -2.327236E-10
4.208333E-03    -1.058291E-02   8.498244E-10
4.229167E-03    -1.000277E-02   1.745089E-09
4.250000E-03    -6.599380E-03   -8.684797E-11
4.270833E-03    -2.030518E-03   1.849342E-09
4.291667E-03    3.062457E-03    -4.326877E-10
4.312500E-03    5.490169E-03    2.281637E-09
4.333333E-03    1.519449E-02    -5.021482E-10
4.354167E-03    1.932029E-02    2.635145E-09
4.375000E-03    2.041304E-02    -1.534496E-09
4.395833E-03    2.407970E-02    2.664570E-09
4.416666E-03    2.053162E-02    -1.189120E-10
4.437500E-03    1.230775E-02    3.068582E-09
4.458333E-03    9.142719E-03    -7.371542E-10
4.479167E-03    8.967076E-03    2.119016E-09
4.500000E-03    1.054876E-03    -1.402280E-09
4.520833E-03    -3.014449E-03   1.278696E-09
4.541667E-03    -7.178432E-04   -5.809354E-10
4.562500E-03    -1.382964E-02   1.561745E-10
4.583333E-03    -1.661261E-02   -1.346881E-09
4.604167E-03    -2.346956E-02   6.648674E-10
4.625000E-03    -2.558498E-02   -1.737188E-09
4.645833E-03    -1.742433E-02   2.131338E-10
4.666667E-03    -1.527303E-02   -1.070190E-09
4.687500E-03    -1.090624E-02   4.673196E-10
4.708333E-03    -7.853857E-03   -3.176063E-09
4.729167E-03    -6.439650E-03   -1.085830E-09
4.750000E-03    4.401831E-03    -2.070061E-10
4.770833E-03    4.564688E-03    9.321337E-10
4.791667E-03    7.940981E-03    -4.277838E-10
4.812500E-03    8.631712E-03    1.265758E-09
4.833333E-03    -2.317986E-02   -1.428799E-09
4.854166E-03    -7.166259E-02   7.140413E-11
4.875000E-03    -1.030298E-01   -2.478819E-09
4.895833E-03    -1.058032E-01   6.693881E-10
4.916667E-03    -9.731264E-02   -7.755137E-10
4.937500E-03    -7.556742E-02   -5.519385E-11
4.958333E-03    -5.897504E-02   -4.092191E-10
4.979167E-03    -3.285717E-02   9.682195E-10
5.000000E-03    -4.640755E-03   -5.006856E-10
5.020833E-03    2.010216E-02    1.485330E-09
5.041667E-03    4.224864E-02    -2.058668E-09
5.062500E-03    5.659263E-02    1.651642E-09
5.083333E-03    6.888516E-02    -3.881188E-09
5.104166E-03    8.137166E-02    1.683029E-09
5.125000E-03    8.584412E-02    -2.376830E-09
5.145833E-03    9.235738E-02    3.477834E-10
5.166667E-03    9.145909E-02    3.800484E-10
5.187500E-03    8.887650E-02    1.129735E-09
5.208333E-03    8.407309E-02    -1.702360E-09
5.229167E-03    6.949957E-02    1.776368E-09
5.250000E-03    6.025840E-02    8.053488E-10
5.270833E-03    5.241495E-02    3.231969E-09
5.291667E-03    3.984836E-02    4.315732E-10
5.312500E-03    2.249993E-02    1.292365E-09
5.333333E-03    6.198009E-03    -7.448586E-10
5.354166E-03    -8.224653E-03   1.961334E-09
5.375000E-03    -1.613606E-02   -4.986173E-10
5.395833E-03    -2.418948E-02   1.350687E-10
5.416667E-03    -3.559440E-02   1.610964E-10
5.437500E-03    -4.317988E-02   3.051267E-10
5.458333E-03    -4.621265E-02   -4.631110E-10
5.479167E-03    -5.245204E-02   -1.388490E-10
5.500000E-03    -5.080149E-02   -3.829149E-10
5.520833E-03    -4.710854E-02   7.389996E-10
5.541666E-03    -4.302978E-02   -7.094059E-10
5.562500E-03    -3.278040E-02   9.254021E-10
5.583333E-03    -2.136355E-02   -7.509573E-10
5.604167E-03    -1.345604E-02   -9.724481E-11
5.625000E-03    -6.182653E-03   1.836502E-09
5.645833E-03    -3.454265E-03   -8.490724E-10
5.666667E-03    -2.438326E-03   1.946996E-09
5.687500E-03    2.693860E-03    -2.098254E-09
5.708333E-03    5.640331E-03    1.016834E-09
5.729167E-03    4.397922E-03    -8.865256E-10
5.750000E-03    3.112628E-03    6.759512E-10
5.770833E-03    -4.971774E-04   -2.541485E-09
5.791666E-03    -6.188880E-03   -6.630363E-11
5.812500E-03    -1.077631E-02   4.398741E-10
5.833333E-03    -1.478780E-02   -1.538293E-10
5.854167E-03    -1.411793E-02   -1.718624E-09
5.875000E-03    -2.024356E-02   -1.672471E-09
5.895833E-03    -1.892670E-02   -1.602853E-10
5.916667E-03    -1.634118E-02   -1.496351E-09
5.937500E-03    -1.837406E-02   -1.657958E-10
5.958333E-03    -9.845803E-03   -1.016440E-09
5.979167E-03    -6.668553E-03   -7.167889E-10
6.000000E-03    -2.845251E-03   -8.056073E-10
6.020833E-03    5.850930E-03    -1.491571E-10
6.041666E-03    2.704466E-03    -1.977919E-09
6.062500E-03    9.474726E-03    1.124599E-09
6.083333E-03    1.605741E-02    -1.117344E-10
6.104167E-03    1.444785E-02    3.024569E-09
6.125000E-03    2.189892E-02    -1.374768E-10
6.145833E-03    1.942332E-02    3.300219E-10
6.166667E-03    1.410991E-02    1.696296E-10
6.187500E-03    1.294270E-02    2.717356E-09
6.208333E-03    5.872240E-03    -2.678550E-10
6.229166E-03    5.880965E-03    -9.041624E-10
6.250000E-03    3.233756E-03    5.993754E-10
6.270833E-03    -7.085915E-05   3.595357E-10
6.291667E-03    -1.275880E-03   1.400086E-10
6.312500E-03    -7.044123E-03   -5.449655E-10
6.333333E-03    -5.703322E-03   4.799638E-10
6.354167E-03    -5.574922E-03   2.514455E-11
6.375000E-03    -8.075415E-03   1.760855E-10
6.395833E-03    -4.880843E-03   -5.521528E-10
6.416667E-03    -7.885534E-03   -5.660621E-10
6.437500E-03    -7.952802E-03   -1.350226E-09
6.458333E-03    -2.823042E-03   -9.584108E-10
6.479166E-03    -4.316259E-03   1.696100E-09
6.500000E-03    8.985157E-04    -1.039838E-09
6.520833E-03    2.863475E-03    -7.573819E-11
6.541667E-03    -8.088887E-04   -2.533887E-09
6.562500E-03    3.162433E-03    -1.570573E-10
6.583333E-03    -4.621740E-04   4.584740E-10
6.604167E-03    -2.769432E-04   3.751218E-10
6.625000E-03    4.477150E-03    7.919955E-10
6.645833E-03    -2.657626E-03   -5.340700E-12
6.666667E-03    3.433436E-04    6.354867E-10
6.687500E-03    2.527536E-03    -3.075515E-10
6.708333E-03    -3.997730E-03   1.321299E-09
6.729166E-03    -7.748170E-05   5.366202E-10
6.750000E-03    -4.004451E-03   9.882731E-10
6.770833E-03    -5.194774E-03   -5.226558E-10
6.791667E-03    8.362916E-04    1.623519E-09
6.812500E-03    -4.446046E-03   1.074994E-10
6.833333E-03    -6.045145E-04   4.735614E-10
6.854167E-03    3.125850E-04    -2.136953E-10
6.875000E-03    -4.623909E-03   8.898423E-10
6.895833E-03    1.995203E-03    -8.905736E-10
6.916666E-03    -6.243658E-04   6.464725E-10
6.937500E-03    -4.788905E-04   4.103603E-10
6.958333E-03    4.440187E-03    7.675064E-10
6.979167E-03    -3.232053E-03   -9.726422E-10
7.000000E-03    -1.968199E-05   1.078714E-09
7.020833E-03    2.829589E-03    -1.161657E-09
7.041667E-03    -1.622080E-03   1.034951E-09
7.062500E-03    5.451004E-03    -2.186532E-09
7.083333E-03    2.412017E-03    1.187318E-09
7.104167E-03    -2.544051E-03   -7.844664E-10
7.125000E-03    2.215647E-03    3.370837E-10
7.145833E-03    -2.053032E-03   -2.301842E-09
7.166666E-03    -1.057286E-03   2.785547E-10
7.187500E-03    3.712556E-03    -8.118751E-10
7.208333E-03    -2.037972E-03   -1.502378E-09
7.229167E-03    -3.849924E-04   -9.087634E-10
7.250000E-03    9.635744E-04    -3.585016E-10
