Time [s]        Real Pa         Imag Pa
0.000000E+00    3.215325E-03    8.367351E-11
2.083333E-05    3.157753E-03    3.274181E-10
4.166667E-05    2.248849E-03    1.746230E-10
6.250000E-05    2.341494E-03    -5.311449E-10
8.333333E-05    1.814240E-03    1.576101E-09
1.041667E-04    1.760149E-03    -8.110107E-10
1.250000E-04    1.336507E-03    1.925998E-09
1.458333E-04    1.160404E-03    2.546585E-10
1.666667E-04    7.921231E-04    5.820766E-11
1.875000E-04    6.281149E-04    -8.003553E-10
2.083333E-04    1.951784E-04    -8.731149E-11
2.291667E-04    -2.310507E-05   6.402843E-10
2.500000E-04    -3.262292E-04   1.485330E-10
2.708333E-04    -5.924142E-04   -4.699234E-10
2.916667E-04    -9.001653E-04   -1.552793E-09
3.125000E-04    -1.149665E-03   8.876668E-10
3.333333E-04    -1.467112E-03   -4.893617E-10
3.541667E-04    -1.723647E-03   2.348103E-10
3.750000E-04    -1.969427E-03   -3.213905E-10
3.958333E-04    -2.209786E-03   -4.042257E-10
4.166667E-04    -2.330563E-03   6.700123E-10
4.375000E-04    -2.586790E-03   -1.564775E-10
4.583333E-04    -3.092669E-03   -1.433881E-10
4.791667E-04    -2.992951E-03   4.499146E-10
5.000000E-04    -3.137778E-03   -4.973154E-10
5.208333E-04    -3.582660E-03   9.533111E-10
5.416666E-04    -3.709845E-03   -1.290912E-09
5.625000E-04    -4.082517E-03   2.406942E-09
5.833333E-04    -3.966039E-03   -3.730435E-09
6.041666E-04    -4.532726E-03   2.496902E-09
6.250000E-04    -4.578216E-03   -1.963626E-09
6.458333E-04    -4.600767E-03   1.140043E-09
6.666667E-04    -5.416163E-03   -3.154128E-09
6.875000E-04    -5.207055E-03   -5.202310E-10
7.083333E-04    -5.333198E-03   -1.295120E-09
7.291667E-04    -5.691484E-03   -4.583853E-10
7.500000E-04    -5.643548E-03   -1.288808E-09
7.708333E-04    -5.933674E-03   -8.341494E-11
7.916667E-04    -5.697621E-03   -4.823443E-10
8.125000E-04    -5.777410E-03   -1.884473E-09
8.333334E-04    -6.375367E-03   4.511094E-10
8.541666E-04    -6.012495E-03   -1.557055E-09
8.750000E-04    -6.158937E-03   1.644366E-09
8.958333E-04    -6.600817E-03   -2.968591E-09
9.166666E-04    -6.452650E-03   7.233336E-10
9.375000E-04    -6.558927E-03   -1.681257E-09
9.583333E-04    -6.572512E-03   9.901544E-10
9.791667E-04    -6.698839E-03   -3.673904E-09
9.999999E-04    -6.648469E-03   7.213097E-10
1.020833E-03    -6.667612E-03   -2.959549E-09
1.041667E-03    -6.480039E-03   1.680746E-09
1.062500E-03    -6.818412E-03   -7.822725E-10
1.083333E-03    -6.282389E-03   1.432954E-09
1.104167E-03    -6.494396E-03   -2.203732E-09
1.125000E-03    -6.751122E-03   7.489065E-11
1.145833E-03    -5.892373E-03   -1.767380E-09
1.166667E-03    -6.192241E-03   1.546141E-10
1.187500E-03    -6.345780E-03   -5.752642E-10
1.208333E-03    -5.536368E-03   4.311005E-10
1.229167E-03    -6.178087E-03   -1.310190E-09
1.250000E-03    -5.443086E-03   -1.949074E-09
1.270833E-03    -5.431333E-03   -1.394487E-09
1.291667E-03    -5.804680E-03   -1.294238E-09
1.312500E-03    -4.613204E-03   8.972253E-10
1.333333E-03    -5.257183E-03   -1.643225E-09
1.354167E-03    -5.027552E-03   -3.138634E-11
1.375000E-03    -4.153135E-03   6.161739E-10
1.395833E-03    -5.038452E-03   -7.009887E-10
1.416667E-03    -4.393230E-03   6.436545E-10
1.437500E-03    -3.897428E-03   -9.492496E-10
1.458333E-03    -4.388588E-03   2.376893E-09
1.479167E-03    -3.117825E-03   -1.829903E-09
1.500000E-03    -3.542894E-03   2.001138E-09
1.520833E-03    -3.496140E-03   -2.350134E-09
1.541667E-03    -2.870710E-03   2.063661E-09
1.562500E-03    -3.127628E-03   -8.137659E-10
1.583333E-03    -2.255877E-03   3.102465E-09
1.604167E-03    -1.713829E-03   -4.297077E-09
1.625000E-03    -2.485733E-03   3.079496E-09
1.645833E-03    -1.429758E-03   -2.261574E-09
1.666667E-03    -1.356815E-03   2.538201E-10
1.687500E-03    -1.467292E-03   -1.326204E-09
1.708333E-03    -4.199944E-04   6.074353E-10
1.729167E-03    -6.120526E-04   -2.653745E-09
1.750000E-03    -4.516630E-04   1.145428E-10
1.770833E-03    1.892229E-04    -9.256606E-10
1.791667E-03    -3.071300E-04   -1.079704E-09
1.812500E-03    8.880442E-04    -1.042905E-09
1.833333E-03    8.741935E-04    2.352738E-10
1.854167E-03    4.072139E-04    -6.806768E-10
1.875000E-03    1.735688E-03    1.372303E-09
1.895833E-03    1.219018E-03    -8.841987E-10
1.916667E-03    1.171492E-03    2.070619E-10
1.937500E-03    2.120157E-03    2.897900E-10
1.958333E-03    1.402840E-03    2.132952E-09
1.979167E-03    2.432475E-03    -5.076587E-10
2.000000E-03    2.266130E-03    3.063802E-09
2.020833E-03    1.779989E-03    1.115558E-09
2.041667E-03    2.823947E-03    7.679348E-10
2.062500E-03    2.286044E-03    1.389869E-09
2.083333E-03    2.078658E-03    9.025041E-10
2.104167E-03    3.238787E-03    1.104680E-10
2.125000E-03    2.385815E-03    5.264100E-10
2.145833E-03    2.774521E-03    1.694264E-09
2.166667E-03    3.080416E-03    1.204064E-09
2.187500E-03    2.292002E-03    6.926786E-10
2.208333E-03    3.388181E-03    -4.124470E-10
2.229167E-03    3.062621E-03    2.719213E-10
2.250000E-03    2.796144E-03    2.376985E-10
2.270833E-03    3.736294E-03    1.385446E-09
2.291667E-03    2.811733E-03    1.535138E-09
2.312500E-03    2.856769E-03    9.037884E-10
2.333333E-03    3.337568E-03    3.520788E-09
2.354167E-03    2.625643E-03    -7.452505E-11
2.375000E-03    3.126634E-03    2.185284E-09
2.395833E-03    2.935790E-03    1.131090E-09
2.416667E-03    2.211655E-03    1.781165E-09
2.437500E-03    2.974440E-03    1.062958E-09
2.458333E-03    1.840548E-03    8.490673E-10
2.479167E-03    1.914653E-03    4.511446E-10
2.500000E-03    2.394048E-03    1.350796E-09
2.520833E-03    1.428204E-03    2.555466E-09
2.541667E-03    1.790729E-03    -1.028656E-09
2.562500E-03    1.307727E-03    2.554593E-09
2.583333E-03    5.643996E-04    -2.813147E-09
2.604167E-03    1.414180E-03    -9.125884E-10
2.625000E-03    2.752765E-04    -2.849663E-10
2.645833E-03    2.108600E-04    6.421752E-10
2.666667E-03    7.092516E-04    -6.384653E-10
2.687500E-03    -7.540657E-04   7.858034E-10
2.708333E-03    -4.854632E-04   1.309672E-10
2.729167E-03    -7.142505E-04   -1.800800E-09
2.750000E-03    -1.355682E-03   1.605205E-09
2.770833E-03    -6.771565E-04   -1.840559E-09
2.791667E-03    -1.418286E-03   2.106078E-09
2.812500E-03    -1.741473E-03   -3.034074E-09
2.833333E-03    -1.415670E-03   1.826265E-09
2.854167E-03    -2.755756E-03   -3.061359E-09
2.875000E-03    -2.295360E-03   1.280569E-09
2.895833E-03    -2.415924E-03   -3.295554E-09
2.916667E-03    -3.246309E-03   2.236733E-09
2.937500E-03    -2.695194E-03   -4.457148E-09
2.958333E-03    -3.809775E-03   9.464987E-10
2.979167E-03    -3.839422E-03   -2.171873E-09
3.000000E-03    -3.606461E-03   -6.008016E-11
3.020833E-03    -4.510337E-03   -6.433069E-10
3.041667E-03    -4.138440E-03   5.226206E-10
3.062500E-03    -4.196414E-03   -2.099524E-09
3.083333E-03    -5.510506E-03   -1.303431E-10
3.104167E-03    -4.563284E-03   1.415129E-09
3.125000E-03    -5.709120E-03   2.395895E-11
3.145833E-03    -4.874261E-03   1.879640E-09
3.166667E-03    -5.395364E-03   -8.865791E-10
3.187500E-03    -5.208360E-03   3.288894E-09
3.208333E-03    -5.853854E-03   -1.505553E-09
3.229167E-03    -4.836739E-03   4.011518E-09
3.250000E-03    -7.129374E-03   -4.156079E-09
3.270833E-03    -3.769704E-03   7.993888E-09
3.291667E-03    1.248881E-02    -3.738959E-09
3.312500E-03    2.105439E-01    1.230136E-08
3.333333E-03    3.919677E-01    -3.386958E-09
