Time [s]        Real Pa         Imag Pa
0.000000E+00    1.659761E-04    -1.118678E-10
2.083333E-05    -3.717728E-05   -4.747562E-10
4.166667E-05    1.550794E-06    -2.837623E-10
6.250000E-05    -1.398283E-05   -3.428795E-10
8.333333E-05    4.961475E-06    1.455192E-10
1.041667E-04    -1.775527E-05   -2.346496E-10
1.250000E-04    -7.083945E-06   -1.273293E-10
1.458333E-04    -4.824677E-06   -5.147740E-10
1.666667E-04    -6.404221E-06   -4.210960E-10
1.875000E-04    -6.447513E-06   -1.946319E-10
2.083333E-04    -9.069803E-06   -3.183231E-10
2.291667E-04    -1.288915E-05   8.822099E-11
2.500000E-04    -1.251729E-05   -3.801688E-10
2.708333E-04    -4.553283E-06   2.273737E-10
2.916667E-04    -1.104745E-05   -3.274181E-10
3.125000E-04    -1.236522E-05   5.502443E-11
3.333333E-04    -2.606167E-05   -3.628884E-10
3.541667E-04    6.820852E-06    -1.021476E-10
3.750000E-04    -1.553862E-05   1.437002E-10
3.958333E-04    -5.403763E-06   1.045919E-10
4.166667E-04    -2.304502E-05   2.291927E-10
4.375000E-04    8.483094E-06    -1.355147E-10
4.583333E-04    -5.826612E-05   8.060397E-11
4.791667E-04    2.499803E-05    -2.128218E-10
5.000000E-04    -1.816661E-07   6.830305E-10
5.208333E-04    -1.270013E-05   -6.020855E-10
5.416666E-04    -8.783346E-05   4.274625E-10
5.625000E-04    1.381812E-05    6.066330E-10
5.833333E-04    5.120656E-05    -7.084964E-10
6.041666E-04    -1.299008E-04   -5.070433E-11
6.250000E-04    -6.120670E-06   -1.859917E-10
6.458333E-04    9.579225E-05    -2.159766E-10
6.666667E-04    -1.799320E-04   -2.432898E-10
6.875000E-04    -2.142460E-05   2.241904E-10
7.083333E-04    1.044942E-04    5.456968E-12
7.291667E-04    -1.440017E-04   2.928573E-10
7.500000E-04    -1.661253E-05   1.486114E-09
7.708333E-04    4.290663E-05    -4.138201E-11
7.916667E-04    8.258176E-06    9.094947E-13
8.125000E-04    -1.239295E-04   -2.041816E-10
8.333334E-04    -4.135485E-05   9.094947E-13
8.541666E-04    5.382060E-05    1.390617E-09
8.750000E-04    -1.128127E-04   -1.036824E-10
8.958333E-04    1.255744E-04    6.157279E-10
9.166666E-04    -1.112577E-04   -4.911271E-11
9.375000E-04    -8.115231E-05   7.021299E-10
9.583333E-04    1.012171E-04    1.200533E-10
9.791667E-04    -2.193042E-04   6.998562E-10
9.999999E-04    8.646552E-05    1.532499E-10
1.020833E-03    3.234261E-05    9.686119E-11
1.041667E-03    -1.062013E-04   4.456524E-11
1.062500E-03    5.048453E-05    4.520189E-10
1.083333E-03    -1.476038E-04   -3.101377E-10
1.104167E-03    -2.670177E-05   -1.814442E-10
1.125000E-03    8.034489E-05    -2.324896E-10
1.145833E-03    -5.419301E-05   1.246008E-10
1.166667E-03    1.461217E-04    -9.076757E-10
1.187500E-03    -1.409818E-04   8.139978E-10
1.208333E-03    -1.235921E-06   -9.131327E-10
1.229167E-03    -2.129855E-07   3.283276E-10
1.250000E-03    -1.080595E-04   -1.682565E-10
1.270833E-03    2.425608E-04    1.236913E-10
1.291667E-03    -1.817720E-05   -3.053628E-10
1.312500E-03    -1.359864E-04   -4.641265E-11
1.333333E-03    6.083723E-05    -5.456968E-10
1.354167E-03    -8.329320E-05   -4.911271E-11
1.375000E-03    -2.724198E-05   -5.184120E-10
1.395833E-03    -2.930776E-05   -5.593392E-10
1.416667E-03    1.638739E-04    -1.909939E-10
