Time [s]        Real Pa         Imag Pa
0.000000E+00    1.848533E-04    -2.687557E-10
2.083333E-05    -1.902941E-05   3.701643E-10
4.166667E-05    4.156711E-06    -8.185452E-11
6.250000E-05    -2.482655E-06   8.913048E-11
8.333333E-05    2.582738E-06    -1.218723E-10
1.041667E-04    -3.987339E-06   -2.823981E-10
1.250000E-04    1.775672E-06    1.136868E-11
1.458333E-04    -8.020008E-06   1.809894E-10
1.666667E-04    -1.677337E-05   2.320348E-10
1.875000E-04    -1.338672E-05   -2.924025E-10
2.083333E-04    -1.462630E-05   1.873559E-10
2.291667E-04    -2.960596E-06   -5.284164E-10
2.500000E-04    -5.749425E-06   3.083187E-10
2.708333E-04    -3.497755E-06   -4.600906E-10
2.916667E-04    2.035631E-08    2.078195E-10
3.125000E-04    7.484976E-06    -2.555680E-10
3.333333E-04    -2.438466E-05   1.691660E-10
3.541667E-04    1.739052E-05    -6.721166E-10
3.750000E-04    -7.268296E-06   2.646630E-10
3.958333E-04    -4.746918E-06   -3.947207E-10
4.166667E-04    -1.484410E-05   5.929905E-10
4.375000E-04    3.281365E-05    -6.070877E-10
4.583333E-04    -8.838459E-05   5.788934E-10
4.791667E-04    2.950382E-05    -5.948095E-10
5.000000E-04    2.318182E-05    2.621618E-10
5.208333E-04    -1.686372E-04   -3.669811E-10
5.416666E-04    1.122591E-04    8.803909E-10
5.625000E-04    -1.121612E-04   -1.030003E-09
5.833333E-04    -1.046895E-05   9.467840E-10
6.041666E-04    7.912687E-05    -5.657057E-10
6.250000E-04    -2.218145E-04   6.598384E-10
6.458333E-04    1.316656E-04    -6.143637E-10
6.666667E-04    -7.073381E-05   1.025910E-09
6.875000E-04    -5.137175E-05   -1.105946E-09
7.083333E-04    1.098862E-04    -8.203642E-10
7.291667E-04    -1.735713E-04   -1.637090E-11
7.500000E-04    9.263631E-05    -1.007720E-09
7.708333E-04    -4.895921E-05   -2.751221E-10
7.916667E-04    -2.550697E-05   -2.223715E-10
8.125000E-04    6.264922E-05    3.656169E-10
8.333334E-04    -9.434948E-05   -1.792841E-10
8.541666E-04    1.209402E-06    1.432454E-10
8.750000E-04    4.611977E-05    2.655725E-10
8.958333E-04    -1.342802E-04   6.912160E-11
9.166666E-04    1.097434E-04    3.046807E-10
9.375000E-04    -1.090626E-04   -3.893774E-10
