Time [s]        Real Pa         Imag Pa
0.000000E+00    1.697563E-04    1.003173E-09
2.083333E-05    -2.609158E-05   -5.884431E-10
4.166667E-05    1.238465E-05    3.419700E-10
6.250000E-05    -1.301491E-06   -7.155450E-10
8.333333E-05    1.269011E-05    9.986252E-10
1.041667E-04    3.858237E-06    -5.848051E-10
1.250000E-04    1.330487E-05    8.658390E-10
1.458333E-04    1.116948E-05    -9.331416E-10
1.666667E-04    1.235895E-05    7.712515E-10
1.875000E-04    3.180197E-06    -1.165063E-09
2.083333E-04    6.741229E-06    3.419700E-10
2.291667E-04    3.450841E-07    -1.028866E-09
2.500000E-04    -2.680004E-06   1.032731E-09
2.708333E-04    2.681548E-05    -6.366463E-10
2.916667E-04    2.518216E-05    3.319656E-10
3.125000E-04    1.872593E-05    -3.683454E-10
3.333333E-04    -1.475886E-05   -2.582965E-10
3.541667E-04    4.824069E-06    -9.731593E-11
3.750000E-04    -3.918634E-05   -5.238689E-10
3.958333E-04    -1.771871E-05   2.842171E-11
4.166667E-04    -7.083483E-06   -2.892193E-10
4.375000E-04    -3.519275E-06   3.710738E-10
4.583333E-04    -8.292549E-05   -2.510205E-10
4.791667E-04    4.482142E-05    6.984919E-10
5.000000E-04    5.440164E-05    2.892193E-10
5.208333E-04    -1.117624E-05   6.957634E-11
5.416666E-04    -1.257951E-04   -5.636593E-10
5.625000E-04    7.724635E-05    8.053576E-10
5.833333E-04    9.477428E-05    1.584795E-10
6.041666E-04    -1.412176E-04   1.718945E-10
6.250000E-04    2.831934E-06    4.051799E-10
6.458333E-04    1.451790E-04    1.909939E-11
6.666667E-04    -1.449994E-04   8.403731E-10
6.875000E-04    -3.887768E-05   -1.282388E-10
7.083333E-04    1.353766E-04    4.547474E-10
7.291667E-04    -7.158463E-05   -6.264145E-10
7.500000E-04    1.624705E-05    1.635271E-09
7.708333E-04    1.486808E-05    -8.244569E-10
7.916667E-04    3.469598E-05    6.866685E-10
8.125000E-04    -7.697125E-05   -8.167262E-10
8.333334E-04    2.888057E-06    4.374670E-10
8.541666E-04    5.743059E-06    -1.909939E-11
8.750000E-04    -2.408235E-05   1.138687E-09
8.958333E-04    1.596399E-04    -3.012701E-10
9.166666E-04    -1.769658E-04   1.041371E-10
9.375000E-04    -2.781764E-05   1.746230E-10
9.583333E-04    1.160358E-04    9.367795E-10
9.791667E-04    -2.199343E-04   -2.064553E-10
9.999999E-04    1.328418E-04    8.003553E-11
1.020833E-03    1.181809E-04    -2.864908E-10
1.041667E-03    -1.886972E-04   4.911271E-11
1.062500E-03    3.481696E-05    -2.389697E-10
1.083333E-03    -5.595031E-05   -1.036824E-10
1.104167E-03    -1.626905E-05   -6.912160E-10
1.125000E-03    7.552659E-05    -8.285497E-10
1.145833E-03    -4.879336E-05   -2.910383E-11
1.166667E-03    1.262847E-04    -1.239869E-09
1.187500E-03    -1.252711E-04   8.576535E-10
1.208333E-03    -1.377483E-05   -1.004992E-09
1.229167E-03    -1.775350E-05   4.934009E-10
1.250000E-03    -5.431456E-05   -4.486083E-10
1.270833E-03    2.127943E-04    5.211405E-10
1.291667E-03    -2.770010E-05   1.314220E-10
1.312500E-03    -7.253455E-05   1.682565E-10
1.333333E-03    -6.201481E-06   -7.485141E-10
1.354167E-03    -4.502978E-05   -4.956746E-10
1.375000E-03    -3.413337E-05   -1.346052E-10
1.395833E-03    7.141938E-05    -7.773906E-10
1.416667E-03    1.486236E-04    6.530172E-10
1.437500E-03    1.722110E-05    -3.401510E-10
1.458333E-03    -2.230561E-04   1.084118E-09
1.479167E-03    -3.822724E-05   -1.033186E-09
1.500000E-03    7.379508E-05    8.212737E-10
1.520833E-03    1.218717E-04    -6.348273E-10
1.541667E-03    -4.857313E-06   6.575647E-10
1.562500E-03    5.882847E-05    -5.759375E-10
1.583333E-03    1.176327E-05    8.669758E-10
1.604167E-03    -1.744278E-04   -2.537490E-10
1.625000E-03    -5.258695E-05   -2.640377E-10
1.645833E-03    1.532569E-04    -1.882654E-10
1.666667E-03    2.364449E-04    -6.184564E-10
1.687500E-03    -9.271229E-05   3.365130E-10
1.708333E-03    -1.710427E-04   -5.020411E-10
1.729167E-03    1.350840E-04    1.434501E-09
1.750000E-03    -5.348901E-05   -8.385541E-10
1.770833E-03    -7.495743E-05   1.220542E-09
1.791667E-03    2.383876E-04    -1.707122E-09
1.812500E-03    2.297689E-05    1.761691E-09
1.833333E-03    -2.411611E-05   -2.149136E-09
1.854167E-03    -1.130867E-04   1.713943E-09
1.875000E-03    -7.810080E-05   -1.298531E-09
1.895833E-03    1.671017E-04    2.227807E-09
1.916667E-03    2.757525E-05    -4.617959E-10
1.937500E-03    4.637836E-05    1.415856E-09
1.958333E-03    1.305135E-04    9.638370E-10
1.979167E-03    -1.764304E-04   3.556124E-10
2.000000E-03    -7.257854E-05   5.102265E-10
2.020833E-03    1.683200E-04    -4.670255E-10
2.041667E-03    3.906691E-05    -6.223217E-10
2.062500E-03    1.303446E-04    -1.137096E-09
2.083333E-03    -1.090919E-04   1.093213E-09
2.104167E-03    2.638225E-05    -4.674803E-10
2.125000E-03    -2.336385E-05   2.855813E-10
2.145833E-03    -1.360480E-04   -9.658834E-10
2.166667E-03    1.395458E-04    9.304131E-10
2.187500E-03    2.090770E-04    -2.632987E-10
2.208333E-03    -5.365682E-05   -5.638867E-11
2.229167E-03    -7.978199E-05   -1.260787E-09
2.250000E-03    -8.577793E-05   -1.678018E-10
2.270833E-03    -3.130448E-06   -1.074909E-09
2.291667E-03    2.389053E-04    3.710738E-10
2.312500E-03    -5.236828E-05   -2.269189E-10
2.333333E-03    -6.782886E-06   5.759375E-10
2.354167E-03    1.652964E-04    -9.740688E-10
2.375000E-03    -3.248321E-04   -7.785275E-10
2.395833E-03    -5.143578E-06   1.393801E-10
2.416667E-03    2.710566E-04    -7.621566E-10
2.437500E-03    -2.679096E-05   9.422365E-10
2.458333E-03    9.692994E-05    -7.844392E-11
2.479167E-03    -1.516597E-04   3.747118E-10
2.500000E-03    -6.901617E-06   -1.404942E-09
2.520833E-03    7.866482E-05    4.683898E-10
2.541667E-03    -1.235534E-04   -1.296030E-09
2.562500E-03    3.178306E-04    8.390089E-10
2.583333E-03    2.263549E-05    7.901235E-10
2.604167E-03    -1.036939E-04   -3.119567E-10
2.625000E-03    1.323749E-04    8.199095E-10
2.645833E-03    -2.082447E-04   -1.092303E-09
2.666667E-03    1.544954E-04    1.398803E-09
2.687500E-03    1.435256E-04    -2.042725E-09
2.708333E-03    -1.077570E-04   -3.146852E-10
2.729167E-03    2.077681E-04    -1.048420E-09
2.750000E-03    -1.565310E-04   5.420588E-10
2.770833E-03    -2.267976E-04   -9.458745E-10
2.791667E-03    2.782641E-04    7.867129E-10
2.812500E-03    1.342763E-04    -2.284651E-09
2.833333E-03    2.576209E-05    6.275513E-10
2.854167E-03    3.616059E-05    -2.646630E-10
2.875000E-03    7.324371E-06    -2.883098E-10
2.895833E-03    1.477294E-04    -2.011120E-09
2.916667E-03    -9.348340E-05   1.471108E-09
2.937500E-03    -2.101973E-06   -8.258212E-10
2.958333E-03    3.263569E-04    6.557457E-10
2.979167E-03    -2.456045E-05   4.692993E-10
3.000000E-03    -1.483447E-04   1.222361E-09
3.020833E-03    -4.952597E-05   -6.866685E-10
3.041667E-03    7.035725E-05    -2.264642E-10
3.062500E-03    2.095622E-05    -1.535909E-10
3.083333E-03    2.347715E-04    -2.073648E-10
3.104167E-03    -2.573623E-05   6.766641E-10
3.125000E-03    2.491616E-04    -7.507879E-10
3.145833E-03    -6.710666E-04   2.770321E-09
3.166667E-03    -5.605263E-03   -1.622539E-09
3.187500E-03    -9.214655E-02   1.969966E-09
3.208333E-03    -2.242092E-01   -2.097977E-09
3.229167E-03    -1.415657E-01   4.836238E-09
3.250000E-03    -4.597136E-02   -4.487219E-09
3.270833E-03    -7.898036E-02   4.344656E-09
3.291667E-03    -2.918817E-02   -1.366516E-09
3.312500E-03    3.010631E-03    3.197840E-09
3.333333E-03    -1.077408E-02   -1.780791E-09
3.354167E-03    3.575440E-02    2.120032E-09
3.375000E-03    4.529541E-02    8.622010E-10
3.395833E-03    5.300000E-02    3.486321E-09
3.416667E-03    7.293139E-02    1.062290E-09
3.437500E-03    7.353350E-02    1.915851E-09
3.458333E-03    8.225375E-02    9.940777E-10
3.479167E-03    7.827041E-02    5.352234E-10
3.500000E-03    8.110495E-02    1.806256E-09
3.520833E-03    7.928852E-02    -2.214847E-09
3.541667E-03    6.146302E-02    1.455646E-09
3.562500E-03    6.005023E-02    -2.553634E-09
3.583333E-03    5.063780E-02    1.722583E-09
3.604167E-03    3.791974E-02    -2.461093E-09
3.625000E-03    3.569476E-02    8.840289E-10
3.645833E-03    1.403305E-02    -3.625246E-09
3.666667E-03    4.816718E-03    2.119123E-09
3.687500E-03    -2.830528E-03   -2.418346E-09
3.708333E-03    -1.670318E-02   3.110472E-10
3.729167E-03    -1.260164E-02   -1.764192E-09
3.750000E-03    -2.173605E-02   1.148692E-09
3.770833E-03    -3.828896E-02   -3.456080E-11
3.791667E-03    -3.365827E-02   4.447429E-10
3.812500E-03    -3.890420E-02   -1.484295E-09
3.833333E-03    -4.244327E-02   4.536105E-10
3.854167E-03    -1.899622E-02   -7.521521E-10
3.875000E-03    -1.609538E-02   2.728484E-11
3.895833E-03    -1.962964E-02   1.130047E-09
3.916667E-03    -7.311222E-03   -8.674306E-10
3.937500E-03    -3.138354E-03   1.296030E-09
3.958333E-03    -2.537505E-03   -9.595169E-11
3.979167E-03    -3.900244E-04   5.557013E-10
4.000000E-03    3.565475E-03    -1.473381E-10
4.020833E-03    9.863554E-03    1.343324E-09
4.041667E-03    1.899326E-03    5.275069E-10
4.062500E-03    5.537272E-03    1.569106E-09
4.083333E-03    1.512030E-02    -1.909939E-10
4.104167E-03    8.131019E-03    4.547474E-10
4.125000E-03    2.987457E-03    3.083187E-10
4.145833E-03    -2.543603E-03   1.516355E-09
4.166666E-03    -4.527345E-03   1.007720E-09
4.187500E-03    -8.953008E-03   -1.236913E-10
4.208333E-03    -2.119419E-03   1.509761E-09
4.229167E-03    4.980923E-03    -6.295977E-10
4.250000E-03    -1.721900E-03   1.323770E-09
4.270833E-03    -1.410532E-03   -1.044100E-09
4.291667E-03    7.225857E-03    1.594344E-09
4.312500E-03    1.960692E-03    -1.989065E-09
4.333333E-03    4.069757E-03    1.873559E-09
4.354167E-03    1.091459E-02    -1.847184E-09
4.375000E-03    1.148579E-02    3.074092E-10
4.395833E-03    1.175535E-02    -1.790568E-09
4.416666E-03    2.086095E-02    1.669832E-09
4.437500E-03    1.273860E-02    -1.341959E-09
4.458333E-03    1.028277E-02    4.238245E-10
4.479167E-03    1.348191E-02    -1.755780E-09
4.500000E-03    5.612879E-03    9.558789E-10
4.520833E-03    2.989336E-04    -5.643415E-10
4.541667E-03    -7.075391E-04   1.147555E-09
4.562500E-03    -2.883631E-03   -1.195986E-10
4.583333E-03    -1.081966E-02   2.273737E-13
