Time [s]        Real Pa         Imag Pa
0.000000E+00    1.697097E-04    1.805347E-10
2.083333E-05    -3.246855E-05   -2.155502E-10
4.166667E-05    1.230010E-05    7.721610E-10
6.250000E-05    -2.415672E-05   -1.691660E-10
8.333333E-05    -2.441919E-05   6.330083E-10
1.041667E-04    -1.724017E-05   -2.319211E-11
1.250000E-04    -6.889371E-06   2.401066E-10
1.458333E-04    -7.862649E-05   -7.166818E-10
1.666667E-04    -9.055973E-05   -5.456968E-12
1.875000E-04    3.387362E-05    -3.446985E-10
2.083333E-04    5.009109E-05    2.728484E-10
2.291667E-04    1.621119E-05    1.455192E-11
2.500000E-04    3.351116E-05    1.818989E-11
2.708333E-04    3.175107E-05    5.557013E-10
2.916667E-04    1.331938E-05    -7.634071E-10
3.125000E-04    8.355222E-06    3.747118E-10
3.333333E-04    -2.510030E-05   -5.370566E-10
3.541667E-04    1.226976E-05    -2.792149E-10
3.750000E-04    -9.825908E-06   -4.229150E-10
3.958333E-04    2.099216E-06    8.549250E-11
4.166667E-04    -3.953984E-05   -9.094947E-11
4.375000E-04    -1.461617E-05   -8.594725E-11
4.583333E-04    6.805488E-05    1.673470E-10
4.791667E-04    1.751973E-05    3.601599E-10
5.000000E-04    -9.456468E-05   2.603429E-10
5.208333E-04    5.955882E-05    -5.011316E-10
5.416666E-04    6.253336E-06    9.190444E-10
5.625000E-04    -1.421349E-05   6.798473E-11
5.833333E-04    -1.279085E-05   1.087756E-09
6.041666E-04    5.551556E-05    -3.710738E-10
6.250000E-04    -3.403838E-06   1.147214E-09
6.458333E-04    -4.720334E-05   -2.819434E-09
6.666667E-04    5.354974E-05    -3.378773E-10
6.875000E-04    5.545417E-05    -4.010872E-10
7.083333E-04    -5.458797E-05   1.136868E-10
7.291667E-04    2.204053E-05    2.146407E-10
7.500000E-04    3.559455E-05    -2.619345E-10
7.708333E-04    4.257663E-05    -5.775291E-11
7.916667E-04    -8.156525E-05   -2.673914E-10
8.125000E-04    4.089097E-05    -1.600711E-10
8.333334E-04    4.566925E-05    -1.264198E-09
8.541666E-04    -9.852152E-05   1.156877E-09
8.750000E-04    -6.612740E-06   6.266418E-10
8.958333E-04    -1.940598E-05   1.491571E-10
9.166666E-04    6.976498E-05    4.474714E-10
9.375000E-04    -7.938152E-05   -2.737579E-10
9.583333E-04    -8.405342E-05   6.963319E-10
9.791667E-04    4.053666E-05    1.031367E-09
9.999999E-04    2.903464E-05    7.653398E-10
