Time [s]        Real Pa         Imag Pa
0.000000E+00    1.656669E-04    -1.068656E-09
2.083333E-05    -6.327291E-05   6.984919E-10
4.166667E-05    -7.141178E-06   -8.758434E-10
6.250000E-05    -3.335475E-05   7.257768E-10
8.333333E-05    -6.800905E-05   -8.058123E-10
1.041667E-04    -1.108319E-04   4.315552E-10
1.250000E-04    -1.071987E-05   -1.169610E-09
1.458333E-04    2.761596E-05    5.202310E-10
1.666667E-04    -1.276727E-05   -2.046363E-10
1.875000E-04    1.083730E-05    6.484697E-10
2.083333E-04    1.623866E-05    1.782610E-10
2.291667E-04    2.549754E-06    -4.092726E-10
2.500000E-04    3.758378E-06    4.401954E-10
2.708333E-04    -1.511463E-05   -5.386482E-10
2.916667E-04    -1.104869E-05   5.620677E-10
3.125000E-04    -2.079376E-05   -7.166818E-10
3.333333E-04    -4.358933E-05   1.682565E-10
3.541667E-04    2.476336E-05    -1.107765E-09
3.750000E-04    -3.900853E-05   2.028173E-10
3.958333E-04    -3.061264E-05   -4.110916E-10
4.166667E-04    2.368586E-05    4.238245E-10
4.375000E-04    3.137537E-05    -3.215064E-10
4.583333E-04    -8.016574E-05   5.729817E-10
4.791667E-04    7.030991E-06    -3.656169E-10
5.000000E-04    1.582965E-05    2.746674E-10
5.208333E-04    -9.287264E-05   1.100489E-10
5.416666E-04    8.020726E-05    6.068603E-10
5.625000E-04    -9.856487E-05   -2.705747E-11
5.833333E-04    9.404891E-05    5.701395E-10
6.041666E-04    3.510630E-05    1.164153E-10
6.250000E-04    -2.613425E-04   2.537490E-10
6.458333E-04    2.020095E-04    3.165042E-10
6.666667E-04    3.080485E-05    1.190188E-09
6.875000E-04    -1.225388E-04   -6.887149E-10
7.083333E-04    8.387840E-05    -1.405169E-09
7.291667E-04    -7.325179E-05   4.274625E-10
7.500000E-04    -2.450518E-05   -1.289663E-09
7.708333E-04    -3.831428E-05   -1.632543E-10
7.916667E-04    -5.705944E-06   -7.075869E-10
8.125000E-04    7.464112E-05    7.239578E-10
8.333334E-04    -8.613081E-05   -7.194103E-10
8.541666E-04    -1.261287E-04   7.539711E-10
8.750000E-04    1.183573E-04    3.547029E-10
8.958333E-04    -1.417503E-04   1.182343E-10
9.166666E-04    4.646607E-05    -4.565663E-10
9.375000E-04    -5.688074E-05   -5.468337E-11
9.583333E-04    3.332579E-05    1.517037E-09
9.791667E-04    -5.552746E-05   3.965397E-10
9.999999E-04    -7.734458E-05   2.209163E-09
1.020833E-03    8.058861E-05    -3.456080E-11
1.041667E-03    -2.522096E-05   -4.847607E-10
1.062500E-03    -2.167754E-05   3.501555E-10
1.083333E-03    -9.542872E-05   4.138201E-10
1.104167E-03    1.042522E-04    6.316441E-10
1.125000E-03    3.119022E-05    -5.711627E-10
1.145833E-03    -2.602372E-04   1.091394E-09
1.166667E-03    1.902410E-04    -5.138645E-10
1.187500E-03    2.629742E-06    8.731149E-11
1.208333E-03    -1.507052E-04   1.818989E-10
1.229167E-03    1.003413E-04    5.616130E-11
1.250000E-03    -1.935805E-06   -7.412382E-10
1.270833E-03    -7.381015E-06   -1.535909E-10
1.291667E-03    -1.908063E-04   2.182787E-10
1.312500E-03    1.595542E-04    -1.426088E-09
1.333333E-03    1.573337E-04    -2.646630E-10
1.354167E-03    -3.475850E-04   6.839400E-10
1.375000E-03    8.889042E-05    4.374670E-10
1.395833E-03    1.568319E-04    -3.365130E-10
1.416667E-03    -2.115849E-04   4.183676E-11
1.437500E-03    2.269236E-04    -6.743903E-10
1.458333E-03    -1.421918E-04   5.093170E-11
1.479167E-03    1.526008E-04    6.257324E-10
1.500000E-03    -4.613123E-05   4.192771E-10
1.520833E-03    -2.406478E-04   -6.566552E-10
1.541667E-03    3.746743E-04    4.383764E-10
1.562500E-03    -4.472000E-06   -3.656169E-10
1.583333E-03    -2.743951E-04   6.639311E-10
1.604167E-03    9.555969E-05    -6.209575E-10
1.625000E-03    5.635573E-05    5.402399E-10
1.645833E-03    -4.602707E-05   -6.475602E-10
1.666667E-03    -1.853838E-04   -1.728040E-11
1.687500E-03    1.819708E-04    -1.558874E-09
1.708333E-03    8.958235E-05    -8.267307E-10
1.729167E-03    -3.054386E-04   -1.060471E-09
1.750000E-03    -1.896497E-05   5.147740E-10
1.770833E-03    6.861061E-05    -5.197762E-10
1.791667E-03    1.408601E-05    3.328751E-10
1.812500E-03    -5.188696E-05   -6.507435E-10
1.833333E-03    -8.829171E-05   1.336957E-10
1.854167E-03    1.499212E-04    -2.810339E-10
1.875000E-03    -1.312404E-04   -1.612079E-10
1.895833E-03    -9.798164E-05   1.566605E-10
1.916667E-03    1.219024E-04    6.103846E-10
1.937500E-03    -2.230902E-05   5.047696E-10
1.958333E-03    5.985410E-05    1.573426E-10
1.979167E-03    -1.911684E-04   9.786163E-10
2.000000E-03    8.472112E-05    -4.665708E-10
2.020833E-03    1.099673E-04    1.748049E-09
2.041667E-03    -3.876486E-04   2.454726E-09
2.062500E-03    2.340816E-04    4.052708E-09
2.083333E-03    1.145797E-04    -8.858478E-10
2.104167E-03    -2.651221E-04   1.466560E-09
2.125000E-03    1.469268E-04    -9.185896E-10
2.145833E-03    -2.544522E-04   7.094059E-10
2.166667E-03    1.094085E-04    -1.336957E-10
2.187500E-03    1.726543E-04    -6.484697E-10
2.208333E-03    -3.153031E-04   -7.330527E-10
2.229167E-03    3.046331E-04    -1.522039E-09
2.250000E-03    -1.027504E-04   -1.773515E-10
2.270833E-03    -2.674694E-04   -4.570211E-10
2.291667E-03    3.818392E-04    6.184564E-11
2.312500E-03    -2.097661E-04   -2.983143E-10
2.333333E-03    1.406965E-04    6.593837E-10
2.354167E-03    1.260428E-04    -2.455636E-10
2.375000E-03    -2.762121E-04   -1.445187E-09
2.395833E-03    2.554624E-04    -7.121344E-10
2.416667E-03    -1.073648E-04   1.001354E-09
2.437500E-03    -1.832621E-04   9.772521E-10
2.458333E-03    3.158756E-04    -1.004082E-09
2.479167E-03    -2.055592E-04   1.067747E-09
2.500000E-03    4.707662E-05    -8.431016E-10
2.520833E-03    -1.375319E-05   8.221832E-10
2.541667E-03    -2.415194E-04   -1.182343E-09
2.562500E-03    1.946440E-04    1.669605E-09
2.583333E-03    -5.049038E-06   -1.386070E-09
2.604167E-03    -1.707655E-04   8.662937E-10
2.625000E-03    1.982782E-04    -1.153239E-09
2.645833E-03    -3.293038E-04   9.531504E-10
2.666667E-03    1.644972E-04    -1.676199E-09
2.687500E-03    -2.944063E-05   2.335128E-09
2.708333E-03    -1.228024E-04   4.847607E-10
2.729167E-03    1.308245E-04    8.981260E-10
2.750000E-03    4.555630E-06    6.366463E-11
2.770833E-03    -1.027033E-04   -5.798029E-10
2.791667E-03    1.625422E-04    4.420144E-10
2.812500E-03    -2.084889E-04   5.384209E-10
2.833333E-03    1.056768E-05    1.112312E-09
2.854167E-03    -2.244933E-05   -1.245098E-09
2.875000E-03    6.670583E-06    5.256879E-10
2.895833E-03    4.472019E-05    -1.031367E-09
2.916667E-03    -9.380034E-05   4.165486E-10
2.937500E-03    -1.282281E-04   -9.424639E-10
2.958333E-03    3.863161E-05    1.364242E-10
2.979167E-03    3.983606E-05    -1.593435E-09
3.000000E-03    1.457770E-05    6.994014E-10
3.020833E-03    -1.083888E-04   -9.094947E-10
3.041667E-03    1.632914E-04    -2.314664E-09
3.062500E-03    -2.901457E-05   -1.189619E-09
3.083333E-03    -1.283163E-04   -2.728484E-10
3.104167E-03    -1.674524E-05   -6.489245E-10
3.125000E-03    1.283552E-04    -4.620233E-10
3.145833E-03    -7.801528E-05   -2.601155E-10
3.166667E-03    -4.083090E-05   -6.584742E-10
3.187500E-03    -1.013525E-04   2.373781E-10
3.208333E-03    2.634337E-04    -2.075240E-09
3.229167E-03    -3.402061E-04   1.342642E-09
3.250000E-03    3.805715E-04    -1.629019E-09
3.270833E-03    -2.649086E-04   2.644811E-09
3.291667E-03    4.685909E-04    -2.918568E-09
3.312500E-03    -7.994989E-04   3.790774E-09
3.333333E-03    -1.701219E-02   -4.064191E-09
3.354167E-03    -1.370071E-01   6.279379E-09
3.375000E-03    -2.251153E-01   -6.914888E-09
3.395833E-03    -9.926933E-02   2.766683E-09
3.416667E-03    -5.170573E-02   -4.629328E-09
3.437500E-03    -6.941602E-02   4.280537E-09
3.458333E-03    -5.012894E-03   -2.310117E-10
3.479167E-03    -1.158553E-02   5.238689E-09
3.500000E-03    -9.187055E-03   -1.983608E-09
3.520833E-03    4.845942E-02    3.042260E-09
3.541667E-03    4.929992E-02    1.585249E-09
3.562500E-03    6.270048E-02    7.967174E-10
3.583333E-03    7.393416E-02    1.042281E-09
3.604167E-03    6.988059E-02    -9.011956E-10
3.625000E-03    7.917960E-02    5.529728E-10
3.645833E-03    8.103023E-02    -5.630682E-09
3.666667E-03    8.441433E-02    3.624336E-09
3.687500E-03    7.647462E-02    -6.026312E-09
3.708333E-03    5.529973E-02    1.250555E-09
3.729167E-03    5.392684E-02    -4.414687E-09
3.750000E-03    5.110110E-02    1.841727E-09
3.770833E-03    3.755334E-02    -4.508820E-09
3.791667E-03    2.686433E-02    -1.473381E-10
3.812500E-03    1.442352E-02    -2.692104E-09
3.833333E-03    -5.648468E-04   1.385160E-09
3.854167E-03    -9.569936E-03   -2.195520E-09
3.875000E-03    -8.385081E-03   3.310561E-10
3.895833E-03    -1.933617E-02   -2.042952E-09
3.916667E-03    -2.864591E-02   8.012648E-10
3.937500E-03    -1.745112E-02   -2.086495E-09
3.958333E-03    -3.117367E-02   7.930794E-10
3.979167E-03    -4.609128E-02   -2.029992E-09
4.000000E-03    -1.505751E-02   5.229595E-10
4.020833E-03    -1.457750E-02   -2.093657E-09
4.041667E-03    -2.542835E-02   -1.907210E-09
4.062500E-03    6.781086E-03    1.329681E-09
4.083333E-03    8.153020E-03    -1.045919E-09
4.104167E-03    -8.115596E-03   1.548415E-09
4.125000E-03    9.184517E-03    -1.085937E-09
4.145833E-03    9.651989E-03    3.299647E-09
4.166666E-03    9.079443E-04    -3.119567E-10
4.187500E-03    5.995747E-03    1.933586E-09
4.208333E-03    1.269023E-02    8.512870E-10
4.229167E-03    9.855072E-03    1.164153E-10
4.250000E-03    2.069696E-03    6.148184E-10
4.270833E-03    -5.602416E-03   2.758043E-10
4.291667E-03    -5.732910E-03   5.884431E-10
4.312500E-03    -1.267499E-02   -6.834853E-10
4.333333E-03    -1.707950E-02   -7.918288E-11
4.354167E-03    -1.084056E-02   -7.112249E-10
4.375000E-03    -1.783841E-02   2.355591E-10
4.395833E-03    -2.157578E-02   8.421921E-10
4.416666E-03    -6.989739E-03   -8.803909E-10
4.437500E-03    -6.165486E-03   2.314664E-10
4.458333E-03    -1.170076E-02   -1.122316E-09
4.479167E-03    1.948725E-03    -1.008630E-09
4.500000E-03    2.210015E-03    -3.219611E-10
4.520833E-03    -5.375159E-03   -1.074113E-09
4.541667E-03    1.252773E-02    6.027676E-10
4.562500E-03    1.671991E-02    2.310117E-10
4.583333E-03    1.683738E-02    4.721414E-10
4.604167E-03    1.955714E-02    -3.278728E-10
4.625000E-03    1.214019E-02    3.245759E-10
4.645833E-03    8.728800E-03    -5.315997E-10
4.666667E-03    9.748163E-03    -5.047696E-10
4.687500E-03    9.846697E-03    1.165972E-09
4.708333E-03    5.139153E-03    -1.752596E-09
4.729167E-03    -3.771830E-03   1.637090E-11
4.750000E-03    -5.044819E-03   -1.014996E-09
4.770833E-03    -4.024308E-02   3.038167E-09
4.791667E-03    -1.532115E-01   -5.275069E-10
4.812500E-03    -1.732310E-01   7.021299E-10
4.833333E-03    -7.398185E-02   -9.367795E-11
4.854166E-03    -6.669798E-02   1.801709E-09
4.875000E-03    -6.055198E-02   -1.891749E-10
4.895833E-03    -3.461068E-03   2.210072E-09
4.916667E-03    -2.511405E-03   -2.346496E-10
4.937500E-03    3.378728E-02    1.209173E-09
4.958333E-03    6.056724E-02    2.546585E-09
4.979167E-03    5.557020E-02    1.309672E-09
5.000000E-03    7.574222E-02    4.501999E-10
5.020833E-03    7.292143E-02    -6.020855E-10
5.041667E-03    7.917974E-02    2.589331E-09
5.062500E-03    8.816016E-02    -1.828084E-10
5.083333E-03    8.552602E-02    2.283741E-09
5.104166E-03    8.082837E-02    -4.215963E-09
5.125000E-03    5.431281E-02    5.220500E-10
5.145833E-03    4.960065E-02    -3.324431E-09
5.166667E-03    4.751017E-02    2.241904E-09
5.187500E-03    2.442858E-02    -2.561137E-09
5.208333E-03    3.226636E-02    1.768058E-09
5.229167E-03    1.672288E-02    -3.268951E-09
5.250000E-03    -2.068238E-02   2.069100E-09
