Time [s]        Real Pa         Imag Pa
0.000000E+00    1.638246E-04    -3.346941E-10
2.083333E-05    -4.966053E-05   -8.185452E-11
4.166667E-05    -1.187519E-05   -4.274625E-11
6.250000E-05    -2.370470E-05   -2.219167E-10
8.333333E-05    -1.939669E-05   -1.550688E-10
1.041667E-04    -2.432680E-05   -3.001333E-10
1.250000E-04    -8.973679E-06   1.818989E-10
1.458333E-04    -1.634572E-05   -5.002221E-10
1.666667E-04    -1.826817E-05   8.549250E-11
1.875000E-04    -1.575821E-05   -2.796696E-10
2.083333E-04    -1.974238E-05   3.710738E-10
2.291667E-04    -1.932664E-05   -5.347829E-10
2.500000E-04    -1.827352E-05   -2.546585E-11
2.708333E-04    -2.982411E-06   -4.183676E-11
2.916667E-04    -1.763977E-05   -5.638867E-11
3.125000E-04    -3.810856E-06   -8.076313E-10
3.333333E-04    -3.341225E-05   -1.527951E-10
3.541667E-04    -7.722905E-06   2.264642E-10
3.750000E-04    -1.278605E-05   3.919922E-10
3.958333E-04    2.552658E-05    1.164153E-10
4.166667E-04    -5.381542E-05   -6.293703E-10
4.375000E-04    -4.433255E-05   -3.565219E-10
4.583333E-04    6.046404E-05    2.501110E-10
4.791667E-04    -3.530064E-05   9.240466E-10
5.000000E-04    -8.104598E-05   -2.091838E-11
5.208333E-04    5.339838E-05    -5.584297E-10
5.416666E-04    -4.848071E-05   -1.741682E-10
5.625000E-04    3.741728E-05    -3.474270E-10
5.833333E-04    -3.915966E-05   -2.182787E-11
6.041666E-04    -1.215462E-05   3.965397E-10
6.250000E-04    5.787359E-05    -7.094059E-10
6.458333E-04    -2.501029E-05   -1.809894E-09
6.666667E-04    1.061331E-05    -1.389708E-09
6.875000E-04    -2.287037E-05   3.001333E-10
7.083333E-04    -1.972508E-05   3.001333E-11
7.291667E-04    4.819906E-05    -4.838512E-10
7.500000E-04    -7.287075E-05   -5.593392E-11
7.708333E-04    1.347153E-04    -9.131327E-10
7.916667E-04    -8.580385E-05   8.549250E-11
8.125000E-04    -3.989812E-05   -2.564775E-10
8.333334E-04    7.291583E-05    -1.564331E-10
8.541666E-04    -1.145954E-04   7.789822E-10
8.750000E-04    6.711110E-05    5.002221E-10
8.958333E-04    -2.336514E-05   4.888534E-10
9.166666E-04    -2.212837E-05   2.964953E-10
9.375000E-04    7.233838E-05    1.946319E-10
9.583333E-04    -1.962008E-04   5.607035E-10
9.791667E-04    -8.828846E-05   1.546141E-11
9.999999E-04    1.757630E-04    -7.094059E-11
1.020833E-03    -3.678912E-05   -2.719389E-10
1.041667E-03    -1.504133E-05   4.101821E-10
1.062500E-03    6.065737E-05    -1.455192E-10
1.083333E-03    -1.422503E-05   6.129994E-10
1.104167E-03    -1.332689E-04   1.400622E-10
1.125000E-03    7.490588E-05    -2.910383E-10
1.145833E-03    1.043952E-04    -7.421477E-10
1.166667E-03    -6.930738E-05   -6.348273E-10
1.187500E-03    -5.961427E-05   3.174137E-10
1.208333E-03    -6.798151E-05   -9.899850E-10
1.229167E-03    -4.804569E-06   1.324224E-09
1.250000E-03    4.327950E-05    -1.371518E-09
1.270833E-03    -1.564522E-04   4.220055E-10
1.291667E-03    1.732423E-04    -1.304215E-09
1.312500E-03    1.601348E-05    7.476046E-10
1.333333E-03    -1.708528E-04   -2.328306E-10
1.354167E-03    -2.284760E-06   6.421033E-10
1.375000E-03    7.926369E-05    6.757546E-10
1.395833E-03    -1.123815E-04   2.310117E-10
1.416667E-03    1.014717E-04    -1.241460E-10
1.437500E-03    4.042445E-05    -6.730261E-11
1.458333E-03    5.272039E-06    1.837179E-10
1.479167E-03    -1.336951E-04   6.184564E-11
1.500000E-03    -2.337187E-05   4.001777E-10
1.520833E-03    8.512248E-05    -3.560672E-10
1.541667E-03    1.539938E-04    4.692993E-10
1.562500E-03    -9.843792E-05   -3.747118E-10
1.583333E-03    5.036385E-06    3.183231E-10
1.604167E-03    -1.586992E-05   -4.365575E-10
1.625000E-03    -1.251185E-04   1.047738E-09
1.645833E-03    1.600681E-04    -5.766196E-10
1.666667E-03    7.794765E-05    4.511094E-10
1.687500E-03    -1.799408E-04   -1.068656E-09
1.708333E-03    1.711510E-04    -4.847607E-10
1.729167E-03    -1.406037E-04   -8.658390E-10
1.750000E-03    -5.330188E-05   6.757546E-10
1.770833E-03    1.416354E-04    -8.021743E-10
1.791667E-03    -1.389734E-04   -1.059561E-10
1.812500E-03    1.496966E-04    -1.261924E-10
1.833333E-03    -3.060889E-05   2.037268E-10
1.854167E-03    -2.012562E-04   -3.637979E-11
1.875000E-03    1.754546E-04    3.933565E-10
1.895833E-03    -1.977883E-04   -1.018634E-10
1.916667E-03    -1.152105E-05   4.456524E-10
1.937500E-03    2.807545E-04    3.255991E-10
1.958333E-03    -2.836992E-04   2.182787E-10
1.979167E-03    2.374302E-05    4.602043E-10
2.000000E-03    1.171556E-05    1.036824E-09
2.020833E-03    -1.455498E-04   -1.437002E-10
2.041667E-03    1.668996E-04    1.081389E-09
2.062500E-03    -5.885447E-05   6.257324E-10
2.083333E-03    7.949072E-05    1.314220E-10
2.104167E-03    1.025237E-05    -5.766196E-10
2.125000E-03    -2.832947E-04   -3.346941E-10
2.145833E-03    1.216396E-04    -1.024091E-09
2.166667E-03    1.905400E-04    -8.185452E-12
2.187500E-03    -2.727829E-04   -1.859917E-10
2.208333E-03    5.733691E-05    -1.025796E-09
2.229167E-03    2.529016E-05    -3.115019E-10
2.250000E-03    -7.805265E-05   -1.002263E-09
2.270833E-03    1.457774E-05    -1.400622E-10
2.291667E-03    -6.643125E-05   -1.116859E-09
2.312500E-03    1.444486E-04    -1.800800E-10
2.333333E-03    9.813121E-05    3.637979E-12
2.354167E-03    -1.859085E-04   5.084075E-10
2.375000E-03    3.850317E-05    -9.267751E-10
2.395833E-03    6.365236E-05    -3.253717E-10
2.416667E-03    -1.443038E-04   -4.001777E-10
2.437500E-03    1.158102E-04    6.548362E-10
2.458333E-03    5.660913E-05    4.729372E-11
2.479167E-03    -2.155750E-05   -4.001777E-11
2.500000E-03    -1.037760E-04   -1.187800E-09
2.520833E-03    -9.186994E-05   1.397893E-09
2.541667E-03    2.336346E-05    -1.033641E-09
2.562500E-03    7.418889E-05    1.849457E-09
2.583333E-03    -2.126580E-05   -1.433364E-09
2.604167E-03    8.072609E-05    1.615263E-09
2.625000E-03    -7.295231E-05   -2.261004E-09
2.645833E-03    -1.034528E-04   2.148226E-09
2.666667E-03    -1.059317E-05   9.131327E-10
2.687500E-03    1.433069E-04    5.766196E-10
2.708333E-03    1.413870E-04    1.274202E-09
2.729167E-03    4.096660E-05    -5.584297E-10
2.750000E-03    -1.361491E-04   9.817995E-10
2.770833E-03    -1.251458E-05   -8.130883E-10
2.791667E-03    -7.810399E-05   8.913048E-10
2.812500E-03    2.806913E-05    -2.236447E-09
2.833333E-03    1.100951E-04    7.312337E-10
2.854167E-03    9.466363E-05    -1.271928E-09
2.875000E-03    -1.193533E-04   3.929017E-10
2.895833E-03    -1.009936E-04   -4.092726E-10
