Time [s]        Real Pa         Imag Pa
0.000000E+00    2.107290E-04    -3.128662E-10
2.083333E-05    8.501360E-06    4.488356E-10
4.166667E-05    3.985389E-05    -5.420588E-10
6.250000E-05    1.384710E-05    -4.365575E-10
8.333333E-05    2.274071E-05    1.248281E-10
1.041667E-04    1.397421E-05    4.797585E-11
1.250000E-04    2.545254E-05    3.153673E-10
1.458333E-04    1.838455E-05    2.382876E-10
1.666667E-04    1.190389E-05    -5.456968E-10
1.875000E-04    1.378408E-05    -2.510205E-10
2.083333E-04    1.517091E-05    3.547029E-11
2.291667E-04    9.275744E-06    4.110916E-10
2.500000E-04    1.213558E-05    -3.819878E-10
2.708333E-04    3.228568E-05    6.539267E-10
2.916667E-04    2.064456E-05    -1.190983E-09
3.125000E-04    1.324167E-05    5.675247E-10
3.333333E-04    -1.687075E-05   -1.336048E-09
3.541667E-04    -1.727429E-06   8.658390E-10
3.750000E-04    1.329706E-05    -9.777068E-10
3.958333E-04    3.894689E-06    2.637535E-09
4.166667E-04    -4.096854E-05   7.491963E-10
4.375000E-04    2.245873E-05    2.357865E-10
4.583333E-04    1.413323E-04    1.437002E-10
4.791667E-04    -6.848374E-05   -8.185452E-11
5.000000E-04    -7.441310E-05   5.320544E-10
5.208333E-04    1.117680E-04    -8.549250E-11
5.416666E-04    -1.501476E-05   5.784386E-10
5.625000E-04    -1.390722E-05   -5.038601E-10
5.833333E-04    1.876417E-05    9.604264E-10
6.041666E-04    1.065165E-04    -7.885319E-10
6.250000E-04    -1.515169E-05   1.043190E-09
6.458333E-04    -7.586554E-06   -1.688022E-09
6.666667E-04    6.510731E-05    -4.984031E-10
6.875000E-04    5.108847E-05    -1.303761E-09
7.083333E-04    -5.080152E-05   5.193215E-10
7.291667E-04    2.607633E-05    -5.547918E-10
7.500000E-04    5.954969E-05    2.576144E-10
7.708333E-04    -1.521508E-05   2.471552E-10
7.916667E-04    -1.100204E-04   1.921308E-10
8.125000E-04    3.173089E-06    -5.602487E-10
8.333334E-04    2.952968E-05    -4.124558E-10
8.541666E-04    -4.635176E-05   9.567884E-10
8.750000E-04    -5.654139E-05   1.873559E-10
8.958333E-04    3.282911E-05    4.220055E-10
9.166666E-04    1.042419E-04    -5.857146E-10
9.375000E-04    -9.377705E-05   1.609806E-10
9.583333E-04    3.320279E-05    1.205080E-10
9.791667E-04    1.000678E-05    1.335138E-09
9.999999E-04    5.334139E-05    -2.501110E-11
1.020833E-03    -3.361646E-05   -3.674359E-10
1.041667E-03    -1.132968E-04   -2.291927E-10
1.062500E-03    2.315464E-04    1.818989E-10
1.083333E-03    4.576436E-05    -4.722551E-10
1.104167E-03    -1.573114E-04   8.299139E-11
1.125000E-03    3.120663E-04    -4.911271E-11
1.145833E-03    4.946183E-05    -3.274181E-11
1.166667E-03    2.135721E-05    -4.283720E-10
1.187500E-03    1.150222E-04    3.819878E-11
1.208333E-03    -2.489017E-04   -6.566552E-10
1.229167E-03    1.605581E-04    8.658390E-10
1.250000E-03    1.143500E-04    -1.014996E-09
1.270833E-03    -2.800919E-04   1.094122E-09
1.291667E-03    2.839829E-04    -6.199343E-10
1.312500E-03    -5.013114E-05   8.117240E-10
1.333333E-03    -1.614865E-04   -8.985808E-10
1.354167E-03    1.159383E-04    3.833520E-10
1.375000E-03    -1.455554E-04   -1.818989E-10
1.395833E-03    1.233055E-04    2.983143E-10
1.416667E-03    1.803377E-04    2.685283E-10
1.437500E-03    -3.176698E-04   9.708856E-11
1.458333E-03    2.213540E-04    2.207798E-10
1.479167E-03    -4.012957E-05   6.730261E-11
1.500000E-03    -2.493855E-04   3.128662E-10
1.520833E-03    3.540255E-04    -1.209628E-10
1.541667E-03    4.606261E-05    3.310561E-10
1.562500E-03    -2.055651E-04   -1.891749E-10
1.583333E-03    2.005092E-04    -2.037268E-10
1.604167E-03    -1.973372E-04   -3.901732E-10
1.625000E-03    9.776677E-05    -1.268745E-10
1.645833E-03    1.741260E-04    5.820766E-11
1.666667E-03    -2.226452E-04   3.237801E-10
1.687500E-03    2.419393E-04    1.227818E-10
1.708333E-03    -2.317562E-05   -3.265086E-10
1.729167E-03    -2.192132E-04   3.374225E-10
1.750000E-03    2.176267E-04    -8.960797E-10
1.770833E-03    -1.642848E-05   2.103206E-10
1.791667E-03    1.765649E-05    -2.601155E-10
1.812500E-03    1.318504E-04    8.785719E-10
1.833333E-03    -8.933240E-05   -5.811671E-10
1.854167E-03    9.164728E-05    1.111403E-09
1.875000E-03    1.237566E-05    -5.020411E-10
1.895833E-03    -1.811995E-04   8.567440E-10
1.916667E-03    2.644163E-04    -1.004082E-09
1.937500E-03    7.780724E-05    9.849828E-10
1.958333E-03    -1.618110E-04   -1.283297E-09
1.979167E-03    4.042777E-05    2.095476E-09
2.000000E-03    -6.487127E-06   1.546141E-09
2.020833E-03    6.751827E-06    2.296474E-10
2.041667E-03    -3.946450E-05   8.731149E-10
2.062500E-03    -1.282597E-05   -6.912160E-11
2.083333E-03    1.454097E-04    4.949925E-10
2.104167E-03    -1.444750E-04   -9.279120E-10
2.125000E-03    -1.171995E-04   4.067715E-10
2.145833E-03    1.195986E-04    -2.398565E-09
2.166667E-03    1.942812E-05    3.869900E-10
2.187500E-03    -1.174171E-04   -1.837179E-09
2.208333E-03    1.989237E-05    6.730261E-11
2.229167E-03    5.634391E-05    -9.895302E-10
2.250000E-03    3.116263E-05    3.747118E-10
2.270833E-03    -1.094345E-04   -1.272383E-09
2.291667E-03    2.279359E-05    -3.069545E-10
2.312500E-03    1.832785E-04    -6.093615E-10
2.333333E-03    4.497810E-05    -4.342837E-10
2.354167E-03    -4.814867E-05   2.801244E-10
2.375000E-03    8.673144E-05    -7.621566E-10
2.395833E-03    6.961926E-05    6.366463E-10
2.416667E-03    -8.335481E-05   -8.919869E-10
2.437500E-03    9.386815E-05    1.305352E-09
2.458333E-03    1.320839E-04    -1.427452E-09
2.479167E-03    1.450051E-04    1.632998E-09
2.500000E-03    -2.392339E-04   -1.602984E-09
2.520833E-03    -1.785213E-05   1.485205E-09
2.541667E-03    1.456475E-04    -1.526132E-09
2.562500E-03    -3.533284E-05   2.019078E-09
2.583333E-03    -2.704665E-05   -2.131856E-09
2.604167E-03    1.522629E-04    1.899934E-09
2.625000E-03    -1.323656E-04   -9.158612E-10
2.645833E-03    -4.921752E-05   1.255103E-09
2.666667E-03    -1.234584E-04   8.549250E-10
2.687500E-03    1.073814E-04    -5.661605E-10
2.708333E-03    1.969256E-04    1.451554E-09
2.729167E-03    -1.712747E-04   -1.562512E-09
2.750000E-03    -7.436338E-06   1.265335E-09
2.770833E-03    4.440616E-05    -1.867420E-09
2.791667E-03    -2.429078E-04   1.583203E-09
2.812500E-03    1.921381E-04    -2.624802E-09
2.833333E-03    1.284049E-04    1.525223E-09
2.854167E-03    2.528867E-05    -1.411536E-09
2.875000E-03    7.572097E-05    8.108145E-10
2.895833E-03    -1.591191E-04   -5.711627E-10
2.916667E-03    1.425228E-04    2.182787E-11
2.937500E-03    9.873472E-05    -7.830749E-10
2.958333E-03    -1.717898E-04   -2.869456E-10
2.979167E-03    4.007312E-04    -3.419700E-10
3.000000E-03    3.223308E-05    2.028173E-10
3.020833E-03    -3.215581E-04   -2.828529E-10
3.041667E-03    1.065826E-04    -1.223270E-09
3.062500E-03    -4.556980E-05   -9.495125E-10
3.083333E-03    -3.082414E-05   -8.660663E-10
3.104167E-03    1.548535E-04    3.522018E-10
3.125000E-03    -1.400364E-04   3.942660E-10
3.145833E-03    1.230808E-04    -8.094503E-10
3.166667E-03    -1.557083E-04   -8.940333E-10
3.187500E-03    -1.340325E-05   9.804353E-10
3.208333E-03    7.042133E-05    -7.325980E-10
3.229167E-03    2.670104E-04    5.593392E-10
3.250000E-03    -5.314476E-04   -1.744411E-09
3.270833E-03    -6.711761E-03   2.509296E-09
3.291667E-03    -9.642623E-02   1.032276E-10
3.312500E-03    -2.226673E-01   4.754838E-09
3.333333E-03    -1.343463E-01   -3.261448E-09
3.354167E-03    -4.376459E-02   4.535195E-09
3.375000E-03    -7.452396E-02   -4.477442E-09
3.395833E-03    -1.985083E-02   4.400135E-09
3.416667E-03    9.432009E-04    -1.354010E-09
3.437500E-03    -1.878082E-02   3.118430E-09
3.458333E-03    3.700538E-02    -1.157559E-09
3.479167E-03    4.783613E-02    4.270987E-09
3.500000E-03    5.403108E-02    9.554242E-10
3.520833E-03    7.897773E-02    7.212293E-10
3.541667E-03    7.004462E-02    1.143690E-09
3.562500E-03    7.251766E-02    -2.022716E-09
3.583333E-03    7.878223E-02    1.893568E-09
3.604167E-03    8.035982E-02    -1.926310E-09
3.625000E-03    7.928620E-02    2.236902E-09
3.645833E-03    6.211604E-02    -5.347829E-09
3.666667E-03    5.305146E-02    2.867182E-09
3.687500E-03    4.956406E-02    -4.824869E-09
3.708333E-03    3.753836E-02    2.490196E-09
3.729167E-03    2.897520E-02    -3.837840E-09
3.750000E-03    1.777875E-02    2.027036E-09
3.770833E-03    6.241425E-03    -3.264859E-09
3.791667E-03    -9.729428E-03   1.244189E-09
3.812500E-03    -1.215172E-02   -2.568413E-09
3.833333E-03    -1.181372E-02   1.903572E-09
