Time [s]        Real Pa         Imag Pa
0.000000E+00    1.770351E-04    -9.576979E-10
2.083333E-05    -3.115335E-05   4.329195E-10
4.166667E-05    -1.381406E-06   -1.773515E-10
6.250000E-05    -1.807841E-05   3.174137E-10
8.333333E-05    -6.476854E-06   -1.618901E-10
1.041667E-04    -1.729689E-05   6.484697E-10
1.250000E-04    -1.441981E-05   4.206413E-10
1.458333E-04    -1.161302E-05   9.458745E-11
1.666667E-04    -1.893683E-05   5.275069E-10
1.875000E-04    -1.174751E-05   2.182787E-11
2.083333E-04    -1.253241E-05   3.028617E-10
2.291667E-04    3.007153E-06    2.728484E-11
2.500000E-04    -9.776864E-06   1.145963E-10
2.708333E-04    1.487912E-05    -4.256435E-10
2.916667E-04    -1.967202E-05   -5.620677E-10
3.125000E-04    -2.057655E-06   -3.756213E-10
3.333333E-04    -4.437822E-05   3.210516E-10
3.541667E-04    2.685504E-05    9.895302E-10
3.750000E-04    -1.621759E-05   -1.652552E-09
3.958333E-04    9.831543E-05    7.921699E-10
4.166667E-04    -2.380368E-05   3.001333E-11
4.375000E-04    -3.880090E-05   -3.892637E-10
4.583333E-04    -3.743779E-05   -2.887646E-10
4.791667E-04    1.055160E-05    3.838068E-10
5.000000E-04    3.263535E-05    8.185452E-11
5.208333E-04    -8.833213E-05   6.093615E-11
5.416666E-04    1.193432E-04    -2.683009E-10
5.625000E-04    -8.209111E-05   -8.394636E-10
5.833333E-04    9.240603E-05    9.167707E-10
6.041666E-04    6.591241E-05    -9.531504E-10
6.250000E-04    -2.139456E-04   3.947207E-10
6.458333E-04    2.114537E-04    -1.655280E-10
6.666667E-04    -3.763614E-05   1.425178E-09
6.875000E-04    -7.263986E-05   -1.171429E-09
7.083333E-04    1.010868E-04    -1.246008E-10
7.291667E-04    -9.801112E-05   4.483809E-10
7.500000E-04    4.465477E-05    -7.530616E-10
7.708333E-04    -9.489585E-05   -2.701199E-10
7.916667E-04    2.844335E-05    -2.501110E-11
8.125000E-04    8.018719E-05    -1.746230E-10
8.333334E-04    -1.250154E-04   4.420144E-10
8.541666E-04    -4.523304E-05   6.366463E-11
8.750000E-04    5.588429E-05    1.991793E-10
8.958333E-04    -8.622491E-05   -3.865352E-10
9.166666E-04    4.489438E-05    4.238245E-10
9.375000E-04    -1.228523E-04   -2.291927E-10
9.583333E-04    9.892174E-06    4.183676E-10
9.791667E-04    -1.809509E-04   -2.801244E-10
9.999999E-04    6.916143E-05    1.390617E-09
1.020833E-03    1.366610E-04    -9.549694E-10
1.041667E-03    -1.382018E-04   1.846274E-10
1.062500E-03    1.293522E-04    2.555680E-10
1.083333E-03    -9.794773E-05   2.082743E-10
1.104167E-03    8.813433E-05    8.026291E-10
1.125000E-03    6.823404E-05    2.590639E-10
1.145833E-03    -2.433149E-04   9.276846E-10
1.166667E-03    2.353850E-04    -2.255547E-10
1.187500E-03    -4.910034E-05   8.685674E-10
1.208333E-03    -1.695547E-04   -6.148184E-10
1.229167E-03    1.228608E-04    7.971721E-10
1.250000E-03    -1.569995E-06   -1.169610E-09
