Time [s]        Real Pa         Imag Pa
0.000000E+00    1.527418E-04    -2.505658E-10
2.083333E-05    -3.974476E-05   -1.964509E-10
4.166667E-05    7.640483E-07    -1.809894E-10
6.250000E-05    -2.155126E-05   -2.637535E-10
8.333333E-05    -5.739021E-06   -1.318767E-11
1.041667E-04    -2.283685E-05   6.275513E-11
1.250000E-04    -6.069611E-06   -7.639755E-11
1.458333E-04    -7.129231E-06   -6.029950E-10
1.666667E-04    -1.198766E-05   -1.509761E-10
1.875000E-04    -9.775700E-06   -1.600711E-10
2.083333E-04    -1.021631E-05   -2.664819E-10
2.291667E-04    -1.842162E-05   -5.366019E-10
2.500000E-04    -1.230496E-05   -3.342393E-10
2.708333E-04    -8.903755E-06   -1.664375E-10
2.916667E-04    -1.125555E-05   8.913048E-11
3.125000E-04    -2.619809E-05   -1.136868E-10
3.333333E-04    -1.750578E-05   -1.562057E-10
3.541667E-04    -1.182456E-06   -2.273737E-10
3.750000E-04    -2.718781E-05   4.974936E-10
3.958333E-04    -1.519542E-05   2.728484E-12
4.166667E-04    3.454965E-06    4.315552E-10
4.375000E-04    -1.002065E-05   1.673470E-10
4.583333E-04    -5.831199E-05   5.229595E-11
4.791667E-04    1.991800E-05    1.032276E-10
5.000000E-04    3.562632E-05    3.983587E-10
5.208333E-04    -2.063833E-05   4.401954E-10
5.416666E-04    -1.054423E-04   3.828973E-10
5.625000E-04    3.619472E-05    1.902663E-09
5.833333E-04    7.954190E-05    -7.908056E-10
6.041666E-04    -1.358265E-04   5.102265E-10
6.250000E-04    -1.041730E-05   3.210516E-10
6.458333E-04    1.048756E-04    -1.605258E-10
6.666667E-04    -1.478326E-04   2.664819E-10
6.875000E-04    -2.878015E-05   -3.283276E-10
7.083333E-04    9.642512E-05    2.410161E-10
7.291667E-04    -1.382800E-04   1.809894E-10
7.500000E-04    2.312649E-05    1.150966E-09
7.708333E-04    4.162043E-05    -9.572432E-11
7.916667E-04    -1.712742E-05   9.104042E-10
8.125000E-04    -7.352720E-05   -4.838512E-10
8.333334E-04    2.310833E-06    5.929905E-10
8.541666E-04    2.166740E-06    1.035005E-09
8.750000E-04    -3.490600E-05   4.674803E-10
8.958333E-04    1.518901E-04    1.073204E-10
9.166666E-04    -1.482831E-04   6.267840E-10
9.375000E-04    4.047407E-05    6.175469E-10
9.583333E-04    6.226007E-05    4.501999E-10
9.791667E-04    -1.996881E-04   9.467840E-10
9.999999E-04    1.665048E-04    -1.546141E-10
1.020833E-03    2.129744E-05    3.979039E-10
1.041667E-03    -1.019771E-04   -3.556124E-10
1.062500E-03    1.205155E-04    7.094059E-10
1.083333E-03    -1.686954E-04   -3.979039E-10
1.104167E-03    5.720444E-05    1.073204E-10
1.125000E-03    5.080687E-05    -3.506102E-10
1.145833E-03    -1.183292E-05   1.414264E-10
1.166667E-03    2.034599E-04    -1.091394E-11
1.187500E-03    -1.775644E-04   3.428795E-10
1.208333E-03    9.339582E-05    -5.616130E-11
1.229167E-03    3.689507E-06    4.047251E-10
1.250000E-03    -1.313675E-04   3.103651E-10
1.270833E-03    3.210429E-04    -7.605649E-11
1.291667E-03    -7.597478E-05   3.601599E-10
1.312500E-03    -4.902050E-05   -8.617462E-11
1.333333E-03    4.822703E-05    8.867573E-11
1.354167E-03    -2.052374E-04   -1.546141E-10
1.375000E-03    8.959002E-05    -8.367351E-11
1.395833E-03    1.272486E-05    -3.965397E-10
1.416667E-03    1.243930E-05    1.468834E-10
1.437500E-03    6.358080E-05    3.028617E-10
1.458333E-03    -2.338171E-04   3.128662E-10
1.479167E-03    -4.218544E-05   3.028617E-10
1.500000E-03    6.606842E-05    -1.855369E-10
1.520833E-03    4.608380E-05    -4.183676E-11
1.541667E-03    9.648680E-06    -7.066774E-10
1.562500E-03    1.002312E-04    -5.456968E-11
1.583333E-03    -3.699971E-05   -6.821210E-12
1.604167E-03    -1.514401E-04   1.427907E-10
1.625000E-03    -9.184115E-05   -6.257324E-10
1.645833E-03    2.274879E-04    8.017196E-10
1.666667E-03    8.562418E-05    -5.222773E-10
