Time [s]        Real Pa         Imag Pa
0.000000E+00    -2.140241E-03   1.637090E-10
2.083333E-05    -1.704795E-03   3.856258E-10
4.166667E-05    -2.118467E-03   1.455192E-09
6.250000E-05    -1.694345E-03   4.583853E-10
8.333333E-05    -1.817975E-03   1.152981E-09
1.041667E-04    -1.696119E-03   -1.037614E-09
1.250000E-04    -1.826854E-03   -7.031642E-11
1.458333E-04    -1.703767E-03   -3.123491E-10
1.666667E-04    -1.857711E-03   1.309672E-09
1.875000E-04    -1.897494E-03   -1.287844E-09
2.083333E-04    -2.074012E-03   6.766641E-10
2.291667E-04    -2.170504E-03   9.458745E-11
2.500000E-04    -2.363791E-03   1.389708E-09
2.708333E-04    -2.500694E-03   -5.517780E-10
2.916667E-04    -2.673510E-03   2.564240E-10
3.125000E-04    -2.774645E-03   -6.244840E-10
3.333333E-04    -2.906964E-03   -1.002494E-10
3.541667E-04    -2.836433E-03   -7.236992E-10
3.750000E-04    -2.752269E-03   -4.195088E-10
3.958333E-04    -2.834902E-03   -2.212925E-10
4.166667E-04    -2.969699E-03   -7.185543E-10
4.375000E-04    -2.661727E-03   8.940600E-10
4.583333E-04    -2.591116E-03   -6.583671E-10
4.791667E-04    -2.739795E-03   -5.825937E-10
5.000000E-04    -2.620298E-03   -4.777165E-10
5.208333E-04    -2.312006E-03   1.329628E-09
5.416666E-04    -2.258997E-03   3.626566E-10
5.625000E-04    -2.351210E-03   5.474017E-09
5.833333E-04    -2.393269E-03   -4.740960E-11
6.041666E-04    -2.017312E-03   -6.942298E-10
6.250000E-04    -2.409840E-03   -4.553180E-10
6.458333E-04    -2.224492E-03   1.417198E-09
6.666667E-04    -2.100831E-03   -1.451554E-09
6.875000E-04    -2.385868E-03   -1.462467E-09
7.083333E-04    -2.298463E-03   -8.585630E-10
7.291667E-04    -2.248890E-03   1.244189E-09
7.500000E-04    -2.568442E-03   -1.320845E-09
7.708333E-04    -2.233347E-03   -3.656114E-10
7.916667E-04    -2.333677E-03   -3.029864E-11
8.125000E-04    -2.380248E-03   -1.396467E-09
8.333334E-04    -2.320490E-03   -9.677024E-10
8.541666E-04    -2.774362E-03   -8.876668E-10
8.750000E-04    -2.550627E-03   4.874892E-10
8.958333E-04    -2.748479E-03   -9.385985E-10
9.166666E-04    -3.026200E-03   9.313226E-10
9.375000E-04    -2.935820E-03   -3.516891E-10
9.583333E-04    -3.147877E-03   1.144091E-09
9.791667E-04    -3.464863E-03   -1.646756E-09
9.999999E-04    -3.442117E-03   1.837438E-09
1.020833E-03    -3.631780E-03   -1.195754E-09
1.041667E-03    -3.841342E-03   3.719263E-09
1.062500E-03    -3.651609E-03   -8.706182E-10
1.083333E-03    -3.933653E-03   2.436349E-09
1.104167E-03    -3.723482E-03   -5.437172E-10
1.125000E-03    -3.960686E-03   1.227657E-09
1.145833E-03    -3.800162E-03   -5.522415E-10
1.166667E-03    -3.412195E-03   1.432971E-09
1.187500E-03    -3.643334E-03   2.163305E-10
1.208333E-03    -3.622880E-03   8.419060E-11
1.229167E-03    -2.794003E-03   6.922868E-11
1.250000E-03    -3.539662E-03   5.240303E-11
1.270833E-03    -3.131033E-03   -4.699234E-10
1.291667E-03    -2.806090E-03   -9.597487E-10
1.312500E-03    -3.218612E-03   -1.219259E-10
1.333333E-03    -2.624813E-03   -8.660975E-10
1.354167E-03    -2.766836E-03   -1.531696E-09
1.375000E-03    -3.007236E-03   -2.997695E-09
1.395833E-03    -2.439440E-03   -8.269624E-10
1.416667E-03    -2.903816E-03   -1.714781E-09
1.437500E-03    -2.417602E-03   6.514421E-10
1.458333E-03    -1.941118E-03   -1.204117E-09
1.479167E-03    -2.212321E-03   -7.419962E-10
1.500000E-03    -1.757395E-03   -8.332486E-10
1.520833E-03    -1.658816E-03   -9.394813E-10
1.541667E-03    -1.437714E-03   -1.125062E-09
1.562500E-03    -1.089456E-03   2.110028E-10
1.583333E-03    -9.894340E-04   6.718848E-10
1.604167E-03    -5.921787E-04   -4.644665E-10
1.625000E-03    1.989655E-04    2.669545E-09
1.645833E-03    4.661293E-05    -1.930411E-09
1.666667E-03    5.556876E-04    1.983474E-09
1.687500E-03    1.474173E-03    -9.751298E-10
1.708333E-03    1.564143E-03    4.034411E-09
1.729167E-03    2.338781E-03    -1.538241E-09
1.750000E-03    2.948764E-03    2.733263E-09
1.770833E-03    3.093248E-03    -1.394639E-09
1.791667E-03    4.187108E-03    2.432238E-09
1.812500E-03    4.108390E-03    -1.804955E-09
1.833333E-03    4.911251E-03    2.527040E-09
1.854167E-03    6.197496E-03    -5.063032E-10
1.875000E-03    5.826446E-03    1.982270E-09
1.895833E-03    6.318021E-03    -3.215403E-09
1.916667E-03    6.900175E-03    -2.204838E-09
1.937500E-03    6.467522E-03    -1.378170E-09
1.958333E-03    7.392350E-03    -2.934279E-10
1.979167E-03    7.083672E-03    -4.443505E-10
2.000000E-03    7.246334E-03    7.125267E-11
2.020833E-03    7.685011E-03    1.836644E-10
2.041667E-03    6.821640E-03    1.124028E-09
2.062500E-03    7.156197E-03    -1.888735E-09
2.083333E-03    7.572599E-03    3.877568E-10
2.104167E-03    6.901735E-03    9.968426E-11
2.125000E-03    7.218619E-03    2.503500E-09
2.145833E-03    7.284678E-03    1.905935E-09
2.166667E-03    6.413474E-03    9.968062E-10
2.187500E-03    6.683234E-03    -1.216485E-09
2.208333E-03    6.268844E-03    -8.990979E-10
2.229167E-03    6.282154E-03    1.427853E-09
2.250000E-03    6.544420E-03    1.836716E-09
2.270833E-03    5.666692E-03    4.007483E-10
2.291667E-03    5.823351E-03    7.109128E-10
2.312500E-03    5.617832E-03    1.715253E-09
2.333333E-03    4.969644E-03    -4.026117E-10
2.354167E-03    5.098526E-03    3.151487E-10
2.375000E-03    4.794306E-03    -6.197047E-10
2.395833E-03    3.997055E-03    3.876941E-10
2.416667E-03    4.199015E-03    7.755764E-10
2.437500E-03    2.803943E-03    2.603113E-10
2.458333E-03    2.715086E-03    -6.503598E-10
2.479167E-03    2.349775E-03    -1.191262E-10
2.500000E-03    1.331219E-03    -3.356211E-10
2.520833E-03    1.513149E-03    1.740795E-09
2.541667E-03    4.392444E-04    -1.849276E-11
2.562500E-03    -8.206558E-05   -5.717349E-11
2.583333E-03    -2.654499E-04   1.218625E-09
2.604167E-03    -1.090700E-03   -9.463916E-10
2.625000E-03    -8.142526E-04   3.257008E-09
2.645833E-03    -1.188450E-03   -1.210716E-09
2.666667E-03    -1.992796E-03   3.092282E-10
2.687500E-03    -1.892314E-03   -6.475602E-10
2.708333E-03    -2.699550E-03   1.440640E-09
2.729167E-03    -2.822860E-03   -1.523972E-09
2.750000E-03    -2.782576E-03   -6.105295E-10
2.770833E-03    -3.474029E-03   -2.085352E-09
2.791667E-03    -3.831976E-03   -1.372713E-09
2.812500E-03    -4.152124E-03   -1.389191E-09
2.833333E-03    -4.780518E-03   -1.287844E-09
2.854167E-03    -4.849162E-03   -9.749783E-10
2.875000E-03    -4.692522E-03   -3.179593E-09
2.895833E-03    -5.204322E-03   1.939043E-09
2.916667E-03    -4.932382E-03   -5.093170E-11
2.937500E-03    -5.172519E-03   -1.916181E-10
2.958333E-03    -5.398538E-03   -7.876759E-10
2.979167E-03    -5.021273E-03   8.561734E-10
3.000000E-03    -5.021757E-03   -1.162539E-09
3.020833E-03    -4.959299E-03   1.168050E-09
3.041667E-03    -4.435375E-03   -1.918356E-09
3.062500E-03    -5.363400E-03   2.165222E-09
3.083333E-03    -4.620412E-03   -2.566648E-09
3.104167E-03    -5.437996E-03   2.953156E-09
3.125000E-03    -4.274792E-03   -2.921190E-09
3.145833E-03    -4.934996E-03   2.851658E-09
3.166667E-03    -3.498701E-03   -2.820575E-09
3.187500E-03    6.974675E-03    6.219071E-09
3.208333E-03    1.538262E-01    -4.468579E-09
3.229167E-03    3.275009E-01    7.729564E-09
3.250000E-03    1.873671E-01    -4.257594E-10
3.270833E-03    9.659053E-02    1.139312E-09
3.291667E-03    1.133937E-01    -2.224874E-10
3.312500E-03    1.883832E-02    1.177091E-09
3.333333E-03    5.786292E-03    -1.673470E-09
3.354167E-03    7.615467E-04    6.912160E-10
3.375000E-03    -6.947705E-02   -4.947651E-10
3.395833E-03    -6.837907E-02   -6.184564E-10
