Time [s]        Real Pa         Imag Pa
0.000000E+00    1.926385E-04    -2.551133E-10
2.083333E-05    -9.208950E-06   4.638423E-10
4.166667E-05    2.675606E-05    8.890311E-10
6.250000E-05    1.306515E-05    -3.151399E-10
8.333333E-05    1.473585E-05    1.223270E-10
1.041667E-04    1.195324E-05    -3.637979E-10
1.250000E-04    1.992075E-05    4.019967E-10
1.458333E-04    1.209188E-05    -3.956302E-10
1.666667E-04    1.738236E-05    2.760316E-10
1.875000E-04    2.541519E-05    -4.924914E-10
2.083333E-04    2.479464E-05    -2.319211E-10
2.291667E-04    3.725072E-05    -6.775736E-10
2.500000E-04    3.070765E-05    -2.137313E-11
2.708333E-04    2.923691E-05    -5.397851E-10
2.916667E-04    3.797853E-05    -3.956302E-11
3.125000E-04    4.482914E-05    -6.275513E-11
3.333333E-04    1.207026E-05    1.273293E-11
3.541667E-04    6.013866E-05    -1.437002E-10
3.750000E-04    4.824869E-05    -1.032276E-10
3.958333E-04    4.738142E-05    6.957634E-11
4.166667E-04    3.941156E-05    7.685230E-11
4.375000E-04    9.768567E-05    -2.246452E-10
4.583333E-04    -5.419639E-06   6.548362E-11
4.791667E-04    9.750953E-05    -3.292371E-10
5.000000E-04    1.309595E-04    2.260094E-10
5.208333E-04    -3.923690E-05   -7.275958E-12
5.416666E-04    1.940448E-04    6.739356E-10
5.625000E-04    -2.357034E-05   -3.601599E-10
5.833333E-04    1.103883E-04    6.261871E-10
6.041666E-04    1.596306E-04    -3.842615E-10
6.250000E-04    -1.374192E-04   1.109584E-10
6.458333E-04    2.277548E-04    -2.105480E-10
6.666667E-04    4.722966E-05    2.546585E-10
6.875000E-04    -1.689435E-05   -9.549694E-11
7.083333E-04    1.472732E-04    -9.072210E-10
7.291667E-04    -2.838034E-05   1.559783E-10
7.500000E-04    8.563150E-05    -1.482931E-09
7.708333E-04    2.350623E-05    -5.275069E-11
7.916667E-04    -5.574775E-06   -2.610250E-10
8.125000E-04    9.436175E-05    2.946763E-10
8.333334E-04    -1.572036E-05   -1.341505E-10
8.541666E-04    -1.199231E-04   2.105480E-10
8.750000E-04    1.331799E-04    1.045919E-10
8.958333E-04    -3.336080E-05   2.565912E-10
9.166666E-04    1.075232E-05    3.460627E-10
9.375000E-04    9.597534E-07    -2.150955E-10
9.583333E-04    5.487864E-05    6.666596E-10
9.791667E-04    -5.628157E-06   2.996785E-10
9.999999E-04    5.177824E-05    1.332410E-09
