Time [s]        Real Pa         Imag Pa
0.000000E+00    1.654996E-04    7.985363E-10
2.083333E-05    -3.059473E-05   -9.079031E-10
4.166667E-05    1.205201E-06    1.215085E-09
6.250000E-05    -2.117512E-05   -3.310561E-10
8.333333E-05    -1.473374E-06   1.316948E-09
1.041667E-04    3.641500E-06    -1.310354E-09
1.250000E-04    6.138354E-06    8.985808E-10
1.458333E-04    1.189937E-05    -1.067747E-09
1.666667E-04    -1.137387E-05   5.256879E-10
1.875000E-04    -9.858923E-07   -8.203642E-10
2.083333E-04    -2.439978E-06   2.910383E-11
2.291667E-04    -1.709520E-05   -4.292815E-10
2.500000E-04    -8.429126E-05   -1.100489E-10
2.708333E-04    -4.548516E-05   3.504965E-10
2.916667E-04    5.677103E-05    4.492904E-10
3.125000E-04    3.611583E-05    -2.073648E-10
3.333333E-04    -1.198177E-05   -1.455192E-10
3.541667E-04    4.519201E-05    8.351435E-10
3.750000E-04    2.205167E-05    -4.565663E-10
3.958333E-04    2.937130E-05    7.885319E-10
4.166667E-04    -1.451805E-05   -1.691660E-10
4.375000E-04    1.835615E-07    4.488356E-10
4.583333E-04    -4.331616E-05   -7.512426E-10
4.791667E-04    5.578060E-05    6.330083E-10
5.000000E-04    -1.199963E-05   1.164153E-10
5.208333E-04    9.170770E-06    5.493348E-10
5.416666E-04    -6.417756E-05   -9.658834E-10
5.625000E-04    5.826412E-05    5.820766E-10
5.833333E-04    6.359271E-05    -1.055923E-09
6.041666E-04    -1.084954E-04   6.847358E-10
6.250000E-04    6.890149E-05    6.511982E-10
6.458333E-04    1.001974E-04    -1.773515E-11
6.666667E-04    -1.339415E-04   3.783498E-10
6.875000E-04    4.034892E-05    3.926743E-10
7.083333E-04    8.024556E-05    7.712515E-10
7.291667E-04    -9.043356E-05   5.074980E-10
7.500000E-04    6.740545E-05    1.311491E-09
7.708333E-04    4.632165E-05    -4.035883E-10
7.916667E-04    3.408596E-05    3.756213E-10
8.125000E-04    -1.244185E-04   -5.711627E-10
8.333334E-04    3.951237E-05    2.055458E-10
8.541666E-04    1.022447E-04    1.517037E-09
8.750000E-04    -1.134658E-04   -4.129106E-10
8.958333E-04    1.795516E-04    5.275069E-10
9.166666E-04    -2.606811E-05   -1.176886E-09
9.375000E-04    -1.360581E-04   -6.059508E-11
9.583333E-04    4.879537E-05    -1.309672E-09
9.791667E-04    -1.192042E-04   4.583853E-10
9.999999E-04    1.507362E-04    -8.476491E-10
1.020833E-03    1.976957E-05    1.001126E-09
1.041667E-03    -1.352877E-04   -1.293756E-10
1.062500E-03    1.164162E-04    3.178684E-10
1.083333E-03    -1.580208E-04   -7.521521E-10
1.104167E-03    -2.487237E-05   6.562004E-10
1.125000E-03    1.281539E-04    -5.275069E-10
1.145833E-03    4.680844E-05    -1.824674E-10
1.166667E-03    3.506515E-05    -3.437890E-10
1.187500E-03    -8.846246E-05   7.476046E-10
1.208333E-03    2.788895E-05    -2.401066E-10
1.229167E-03    -3.536040E-05   5.820766E-11
1.250000E-03    -7.645918E-05   1.118678E-10
1.270833E-03    2.198655E-04    2.963816E-10
1.291667E-03    3.431053E-05    -1.982698E-10
1.312500E-03    -7.249699E-05   4.747562E-10
1.333333E-03    -6.591736E-05   -4.547474E-10
1.354167E-03    -1.310058E-04   5.070433E-11
1.375000E-03    1.708471E-04    -7.603376E-10
1.395833E-03    -3.469085E-05   5.547918E-10
1.416667E-03    6.637129E-05    -7.075869E-10
1.437500E-03    1.297267E-04    8.524239E-10
1.458333E-03    -2.206835E-04   -8.612915E-10
1.479167E-03    -1.484699E-04   3.929017E-10
1.500000E-03    2.096747E-04    -1.049557E-09
1.520833E-03    6.479525E-05    6.039045E-10
1.541667E-03    1.824656E-05    -1.375156E-09
1.562500E-03    5.887669E-05    5.156835E-10
1.583333E-03    1.596296E-05    -4.702088E-10
1.604167E-03    -3.822973E-05   2.431761E-10
1.625000E-03    -1.758486E-04   -1.053195E-09
1.645833E-03    1.969945E-04    5.966285E-10
1.666667E-03    3.391756E-04    -7.094059E-10
1.687500E-03    -1.256080E-04   7.096332E-10
1.708333E-03    -1.780455E-04   -3.565219E-10
1.729167E-03    1.418177E-04    8.076313E-10
1.750000E-03    -4.748103E-05   -2.764864E-10
1.770833E-03    -9.254090E-05   9.126779E-10
