Time [s]        Real Pa         Imag Pa
0.000000E+00    1.545639E-04    -2.055458E-10
2.083333E-05    -5.689625E-05   5.802576E-10
4.166667E-05    -1.009377E-05   3.237801E-10
6.250000E-05    -3.105425E-05   -7.621566E-10
8.333333E-05    -6.527534E-05   2.964953E-10
1.041667E-04    -1.035617E-04   -4.938556E-10
1.250000E-04    -7.687402E-06   2.110028E-10
1.458333E-04    2.806777E-05    -4.047251E-10
1.666667E-04    -7.275634E-06   6.020855E-10
1.875000E-04    9.805077E-06    -6.002665E-10
2.083333E-04    8.471108E-06    5.838956E-10
2.291667E-04    3.285822E-06    -7.548806E-10
2.500000E-04    2.140223E-06    1.218723E-10
2.708333E-04    -2.074233E-05   -7.576091E-10
2.916667E-04    -1.219456E-05   -4.729372E-11
3.125000E-04    -9.898056E-06   -7.958079E-10
3.333333E-04    -4.793869E-05   -6.266418E-10
3.541667E-04    9.454656E-06    -7.312337E-10
3.750000E-04    -8.187024E-06   -1.047738E-09
3.958333E-04    -2.097968E-05   -1.782610E-10
4.166667E-04    -5.240290E-06   3.701643E-10
4.375000E-04    3.195789E-05    -4.210960E-10
4.583333E-04    -7.825927E-05   3.365130E-10
4.791667E-04    9.064010E-06    -4.538379E-10
5.000000E-04    7.703349E-05    2.752927E-10
5.208333E-04    -1.556679E-04   -6.093615E-11
5.416666E-04    5.741372E-05    7.730705E-10
5.625000E-04    -3.333014E-06   -3.474270E-10
5.833333E-04    -4.426792E-05   4.694130E-10
6.041666E-04    1.294123E-04    -6.938308E-10
6.250000E-04    -1.526979E-04   2.819434E-10
6.458333E-04    1.323827E-05    -6.975824E-10
6.666667E-04    1.092085E-04    1.150966E-09
6.875000E-04    -1.335316E-04   -1.738044E-09
7.083333E-04    9.543952E-05    4.365575E-11
7.291667E-04    2.309510E-05    -7.676135E-10
7.500000E-04    -1.539162E-04   -9.040377E-10
7.708333E-04    7.718515E-05    -2.282832E-10
7.916667E-04    -3.129769E-05   -4.001777E-11
8.125000E-04    -6.428483E-05   6.275513E-11
8.333334E-04    1.163878E-04    -9.731593E-11
8.541666E-04    -1.890903E-04   -5.957190E-10
8.750000E-04    3.509891E-05    1.441549E-09
8.958333E-04    -3.775161E-05   -2.000888E-10
9.166666E-04    -5.219097E-05   9.094947E-10
9.375000E-04    1.259304E-05    -1.646185E-10
9.583333E-04    -4.153718E-05   1.466105E-09
9.791667E-04    -5.374099E-05   2.773959E-10
9.999999E-04    8.309451E-05    2.074557E-09
1.020833E-03    -7.928880E-05   2.291927E-10
1.041667E-03    -1.764028E-05   1.755325E-10
1.062500E-03    4.215827E-05    -2.387424E-10
1.083333E-03    -9.338043E-05   1.232365E-09
1.104167E-03    1.301020E-04    6.011760E-10
1.125000E-03    -1.142544E-04   2.501110E-10
1.145833E-03    -2.087992E-05   -4.092726E-11
1.166667E-03    7.462704E-05    -1.255103E-10
1.187500E-03    -9.961838E-05   1.873559E-10
1.208333E-03    2.023566E-05    -3.274181E-10
1.229167E-03    -2.011516E-05   1.018634E-10
1.250000E-03    1.186499E-05    -1.623448E-10
1.270833E-03    3.677446E-05    -1.591616E-12
1.291667E-03    -1.716780E-04   9.094947E-13
1.312500E-03    1.490272E-04    -6.821210E-11
1.333333E-03    -7.268100E-07   3.637979E-12
1.354167E-03    -1.864389E-04   1.140506E-09
1.375000E-03    1.681892E-04    1.709850E-10
1.395833E-03    2.059920E-05    3.055902E-10
1.416667E-03    -1.891456E-04   -1.964509E-10
1.437500E-03    2.483408E-04    -6.793925E-10
1.458333E-03    -1.372902E-04   -4.092726E-10
1.479167E-03    3.368575E-05    5.375114E-10
1.500000E-03    7.047447E-05    5.675247E-10
1.520833E-03    -2.308974E-04   -6.566552E-10
1.541667E-03    3.270865E-04    3.237801E-10
1.562500E-03    -5.813664E-05   -8.931238E-10
1.583333E-03    -2.501730E-04   1.928129E-10
1.604167E-03    2.604484E-04    -4.974936E-10
1.625000E-03    -1.403871E-04   1.093213E-09
1.645833E-03    -6.662856E-06   -6.502887E-10
1.666667E-03    2.610330E-05    -5.720722E-10
1.687500E-03    -1.167133E-04   -7.730705E-10
1.708333E-03    2.205121E-04    -1.211447E-09
1.729167E-03    -2.602692E-04   8.549250E-11
1.750000E-03    -1.570770E-04   -9.158612E-10
1.770833E-03    2.435457E-04    -2.773959E-10
1.791667E-03    -1.115115E-04   -1.278750E-09
1.812500E-03    -8.330495E-05   2.009983E-10
1.833333E-03    6.091195E-05    -3.471428E-10
1.854167E-03    -3.082941E-05   2.851266E-10
1.875000E-03    -8.164253E-05   -3.565219E-10
1.895833E-03    4.174476E-05    5.165930E-10
1.916667E-03    -6.952530E-05   2.891056E-10
1.937500E-03    -2.453897E-06   1.104922E-09
1.958333E-03    1.621510E-04    -3.656169E-10
1.979167E-03    -2.326762E-04   1.343324E-09
2.000000E-03    5.405613E-05    -2.519300E-10
2.020833E-03    1.084287E-04    1.940862E-09
2.041667E-03    -3.024585E-04   2.335582E-09
2.062500E-03    1.797665E-04    3.254172E-09
2.083333E-03    1.224742E-05    -7.421477E-10
2.104167E-03    -1.957973E-04   1.496119E-09
2.125000E-03    1.635739E-04    -7.646008E-10
2.145833E-03    -2.810550E-04   7.648850E-10
2.166667E-03    1.080133E-04    7.485141E-10
2.187500E-03    9.558503E-05    -8.340066E-10
2.208333E-03    -2.320558E-04   -5.065885E-10
2.229167E-03    2.422324E-04    -6.511982E-10
2.250000E-03    -3.678730E-05   -5.213678E-10
2.270833E-03    -2.138132E-04   -7.103154E-10
2.291667E-03    2.089724E-04    4.401954E-10
2.312500E-03    -1.776741E-04   3.728928E-11
2.333333E-03    2.116061E-04    5.320544E-10
2.354167E-03    8.678784E-05    5.820766E-11
2.375000E-03    -3.174546E-04   -1.096851E-09
2.395833E-03    2.865110E-04    2.605702E-10
2.416667E-03    -2.258433E-05   6.011760E-10
2.437500E-03    -3.057435E-04   2.074557E-09
2.458333E-03    3.413422E-04    -1.363333E-09
2.479167E-03    -1.231385E-04   9.440555E-10
2.500000E-03    2.947661E-05    -7.039489E-10
2.520833E-03    -9.630352E-05   1.064109E-09
2.541667E-03    -1.331236E-04   -9.713403E-10
2.562500E-03    1.669397E-04    1.051376E-09
2.583333E-03    -7.196637E-05   -9.094947E-10
2.604167E-03    -1.831776E-04   7.451035E-10
2.625000E-03    2.438985E-04    -9.449650E-10
2.645833E-03    -2.214573E-04   8.340066E-10
2.666667E-03    5.705300E-06    -1.579792E-09
2.687500E-03    -4.699140E-05   1.595708E-09
2.708333E-03    1.817774E-05    6.866685E-10
2.729167E-03    1.044936E-04    3.710738E-10
2.750000E-03    -1.155580E-04   4.438334E-10
2.770833E-03    3.225279E-05    -7.788685E-10
2.791667E-03    1.523959E-04    1.124135E-09
2.812500E-03    -3.200521E-04   2.519300E-10
2.833333E-03    1.307732E-04    1.282388E-09
2.854167E-03    5.881520E-06    -1.067519E-09
2.875000E-03    -8.192997E-05   6.857590E-10
2.895833E-03    5.650231E-05    -8.385541E-10
2.916667E-03    -1.735705E-04   2.728484E-10
2.937500E-03    3.030441E-05    -1.121407E-09
2.958333E-03    4.094057E-05    1.062290E-09
2.979167E-03    -2.490984E-04   -8.030838E-10
3.000000E-03    2.515441E-04    2.819434E-11
3.020833E-03    -1.712734E-04   4.783942E-10
3.041667E-03    1.292651E-05    -1.589797E-09
3.062500E-03    1.199987E-04    -6.057235E-10
3.083333E-03    -2.154976E-04   1.064109E-10
3.104167E-03    6.278927E-05    -5.184120E-11
3.125000E-03    8.350766E-05    -1.096851E-09
3.145833E-03    -2.303794E-04   -1.909939E-11
3.166667E-03    2.218195E-04    -5.102834E-10
3.187500E-03    -1.935358E-04   2.537490E-10
3.208333E-03    1.322531E-04    -2.391062E-09
3.229167E-03    -7.775008E-05   2.068191E-09
3.250000E-03    2.236963E-04    -2.564661E-09
3.270833E-03    -3.263433E-04   3.438913E-09
3.291667E-03    5.048164E-04    -4.252797E-09
3.312500E-03    -8.214600E-04   4.890353E-09
3.333333E-03    -1.991510E-02   -4.457888E-09
3.354167E-03    -1.410039E-01   7.699782E-09
3.375000E-03    -2.126389E-01   -6.877599E-09
3.395833E-03    -9.180175E-02   4.154572E-09
3.416667E-03    -5.525284E-02   -5.735274E-09
3.437500E-03    -6.526875E-02   4.006324E-09
3.458333E-03    -4.901023E-03   -9.567884E-10
3.479167E-03    -9.478754E-03   5.934453E-09
3.500000E-03    -3.150815E-03   -2.487468E-09
3.520833E-03    4.354339E-02    3.423793E-09
3.541667E-03    4.767769E-02    2.064553E-10
3.562500E-03    6.421819E-02    8.476491E-10
3.583333E-03    7.025327E-02    9.040377E-10
3.604167E-03    7.065838E-02    -4.047251E-10
3.625000E-03    7.692635E-02    2.050001E-09
3.645833E-03    7.649955E-02    -5.681613E-09
3.666667E-03    8.420989E-02    4.110007E-09
3.687500E-03    7.335618E-02    -6.199116E-09
3.708333E-03    5.267900E-02    2.165507E-09
3.729167E-03    5.365837E-02    -4.456979E-09
3.750000E-03    4.693375E-02    1.727130E-09
3.770833E-03    3.627956E-02    -4.577487E-09
3.791667E-03    2.747042E-02    1.973604E-10
3.812500E-03    1.184610E-02    -2.831257E-09
3.833333E-03    -1.084849E-03   1.407898E-09
3.854167E-03    -9.629705E-03   -2.570232E-09
3.875000E-03    -9.326138E-03   1.064109E-09
3.895833E-03    -1.779879E-02   -2.197339E-09
3.916667E-03    -2.839760E-02   1.006356E-09
3.937500E-03    -1.871459E-02   -2.275328E-09
3.958333E-03    -2.911294E-02   1.077751E-09
3.979167E-03    -4.164515E-02   -1.781700E-09
4.000000E-03    -1.684432E-02   6.239134E-10
4.020833E-03    -1.612175E-02   -1.960871E-09
4.041667E-03    -1.792861E-02   -1.119588E-09
4.062500E-03    9.353871E-03    6.384653E-10
4.083333E-03    4.137887E-03    -5.220500E-10
4.104167E-03    -9.008537E-03   6.157279E-10
4.125000E-03    9.700643E-03    -2.401066E-10
4.145833E-03    1.163874E-02    3.044079E-09
4.166666E-03    1.330925E-03    1.891749E-10
4.187500E-03    5.276428E-03    6.039045E-10
4.208333E-03    1.212358E-02    1.667104E-09
4.229167E-03    6.058011E-03    4.001777E-11
4.250000E-03    2.560925E-03    9.085852E-10
4.270833E-03    -3.228010E-03   -7.576091E-10
4.291667E-03    -8.040921E-03   4.456524E-10
4.312500E-03    -1.249151E-02   -6.348273E-10
4.333333E-03    -1.611828E-02   -1.627996E-10
4.354167E-03    -1.397391E-02   -4.165486E-10
4.375000E-03    -1.647803E-02   -4.220055E-10
4.395833E-03    -1.899621E-02   5.038601E-10
4.416666E-03    -8.663008E-03   -8.412826E-10
4.437500E-03    -7.392617E-03   5.775291E-10
4.458333E-03    -1.079140E-02   -1.160515E-09
4.479167E-03    1.757369E-03    -1.419721E-09
4.500000E-03    1.877193E-03    -2.070806E-10
4.520833E-03    -3.435126E-03   8.003553E-11
4.541667E-03    1.308685E-02    5.065885E-10
4.562500E-03    1.400267E-02    -9.640644E-11
4.583333E-03    1.653844E-02    8.184315E-10
4.604167E-03    1.971809E-02    -4.375806E-10
4.625000E-03    1.142435E-02    6.607479E-10
4.645833E-03    9.275014E-03    -1.399712E-09
4.666667E-03    1.138075E-02    1.000444E-11
4.687500E-03    7.528425E-03    1.036824E-10
4.708333E-03    3.692568E-03    -1.369699E-09
4.729167E-03    -2.466786E-03   -7.275958E-11
4.750000E-03    -5.851295E-03   -1.456101E-09
4.770833E-03    -4.555293E-02   2.791921E-09
4.791667E-03    -1.548381E-01   -1.308138E-09
4.812500E-03    -1.662411E-01   2.709385E-09
4.833333E-03    -6.784925E-02   -4.338290E-10
4.854166E-03    -5.922339E-02   1.616172E-09
4.875000E-03    -5.326481E-02   -1.341505E-09
4.895833E-03    -5.520011E-03   3.044988E-09
4.916667E-03    2.347946E-03    -1.149601E-09
4.937500E-03    4.039553E-02    2.771230E-09
4.958333E-03    5.870706E-02    9.349606E-10
4.979167E-03    5.499374E-02    2.445631E-09
5.000000E-03    6.843261E-02    1.859917E-10
5.020833E-03    7.052813E-02    8.558345E-10
5.041667E-03    8.483538E-02    1.503196E-09
5.062500E-03    8.865954E-02    1.131866E-09
5.083333E-03    7.792596E-02    1.174158E-09
5.104166E-03    7.161421E-02    -3.784407E-09
5.125000E-03    5.175431E-02    1.246008E-10
5.145833E-03    4.910740E-02    -2.070919E-09
5.166667E-03    4.517235E-02    2.762135E-09
5.187500E-03    2.703642E-02    -3.052264E-09
5.208333E-03    2.890508E-02    1.775334E-09
5.229167E-03    6.523062E-03    -3.177774E-09
5.250000E-03    -2.346304E-02   2.070919E-09
5.270833E-03    -1.489935E-02   -1.727358E-09
5.291667E-03    -1.351991E-02   9.567884E-10
5.312500E-03    -2.142859E-02   -1.246008E-10
5.333333E-03    -2.180608E-02   9.367795E-10
5.354166E-03    -4.137334E-02   3.074092E-10
5.375000E-03    -4.729816E-02   -1.557055E-09
5.395833E-03    -3.750049E-02   -2.482921E-09
5.416667E-03    -3.008948E-02   5.002221E-10
5.437500E-03    -2.114412E-02   1.145054E-09
5.458333E-03    -2.222151E-02   -1.415174E-09
