Time [s]        Real Pa         Imag Pa
0.000000E+00    1.957167E-04    6.511982E-10
2.083333E-05    -5.035829E-06   -5.966285E-10
4.166667E-05    3.373640E-05    3.055902E-10
6.250000E-05    1.808767E-05    -4.311005E-10
8.333333E-05    2.953054E-05    3.983587E-10
1.041667E-04    2.428917E-05    -3.274181E-10
1.250000E-04    3.028159E-05    4.147296E-10
1.458333E-04    1.623054E-05    -3.819878E-10
1.666667E-04    2.818249E-05    -3.637979E-12
1.875000E-04    2.372934E-05    -9.749783E-10
2.083333E-04    2.291502E-05    -1.964509E-10
2.291667E-04    2.209196E-05    -7.385097E-10
2.500000E-04    3.485727E-05    -1.791705E-10
2.708333E-04    3.888998E-05    -4.438334E-10
2.916667E-04    3.427914E-05    -4.624781E-10
3.125000E-04    1.032937E-05    -6.784830E-10
3.333333E-04    3.893472E-05    -1.541594E-10
3.541667E-04    6.523838E-05    -1.655280E-10
3.750000E-04    -6.861250E-06   4.529284E-10
3.958333E-04    8.977433E-06    -6.334631E-10
4.166667E-04    1.001568E-04    7.394192E-10
4.375000E-04    3.059961E-05    -8.567440E-10
4.583333E-04    -7.869690E-05   1.145963E-10
4.791667E-04    7.742691E-05    -1.582521E-09
5.000000E-04    1.016541E-04    9.458745E-11
5.208333E-04    -2.568790E-05   -5.256879E-10
5.416666E-04    -9.064039E-06   3.565219E-10
5.625000E-04    1.790218E-04    -6.002665E-11
5.833333E-04    6.288989E-06    -1.728040E-10
6.041666E-04    -9.428902E-05   -3.828973E-10
6.250000E-04    3.468562E-05    1.389708E-09
6.458333E-04    1.450737E-04    -4.583853E-10
6.666667E-04    -2.361080E-05   1.673499E-09
6.875000E-04    -4.373099E-05   -1.207809E-09
7.083333E-04    9.671216E-05    9.949872E-10
7.291667E-04    5.869669E-05    -4.247624E-10
7.500000E-04    5.494371E-05    9.858923E-10
7.708333E-04    2.100486E-05    7.476046E-10
7.916667E-04    1.183954E-04    2.255547E-10
8.125000E-04    -3.374914E-05   1.600711E-10
8.333334E-04    -9.799478E-06   -1.156877E-09
8.541666E-04    1.493709E-04    1.655280E-09
8.750000E-04    -8.738381E-05   -4.511094E-10
8.958333E-04    1.830391E-04    3.055902E-10
9.166666E-04    -2.105202E-05   -4.647518E-10
9.375000E-04    -1.508619E-04   5.645120E-10
9.583333E-04    1.253801E-04    -5.115908E-10
9.791667E-04    -7.906903E-05   1.105946E-09
9.999999E-04    6.664007E-05    -7.962626E-10
1.020833E-03    1.137231E-04    1.238732E-09
1.041667E-03    -3.620737E-05   -1.093213E-09
1.062500E-03    5.800274E-05    8.385541E-10
1.083333E-03    -8.753331E-05   -1.424269E-09
1.104167E-03    -4.395233E-05   2.501110E-10
1.125000E-03    -9.947051E-06   -1.267836E-09
1.145833E-03    7.124005E-05    8.039933E-10
1.166667E-03    1.061942E-04    -7.985363E-10
1.187500E-03    -3.046147E-05   2.910383E-10
1.208333E-03    1.184629E-04    -1.046374E-09
1.229167E-03    -6.883156E-05   3.010427E-10
1.250000E-03    -6.621805E-05   2.160050E-10
1.270833E-03    3.201829E-04    -2.955858E-10
1.291667E-03    6.063355E-05    3.260539E-10
1.312500E-03    -1.508912E-04   -6.915570E-10
1.333333E-03    4.166266E-05    6.209753E-10
1.354167E-03    -6.074539E-05   -9.758878E-10
1.375000E-03    1.022082E-04    2.319211E-10
1.395833E-03    -5.452536E-05   -4.001777E-11
1.416667E-03    1.759571E-04    2.946763E-10
1.437500E-03    2.010056E-04    3.819878E-11
1.458333E-03    -2.312594E-04   8.913048E-10
1.479167E-03    -1.914812E-04   -9.640644E-10
1.500000E-03    3.012852E-04    2.728484E-10
1.520833E-03    1.115834E-04    -6.730261E-10
1.541667E-03    -1.032233E-04   9.458745E-10
1.562500E-03    1.712262E-04    5.456968E-11
1.583333E-03    6.059304E-05    3.010427E-10
1.604167E-03    -9.134620E-05   -3.792593E-10
1.625000E-03    -1.588083E-04   1.095941E-10
1.645833E-03    2.119667E-04    -9.094947E-12
1.666667E-03    3.368442E-04    -2.851266E-10
1.687500E-03    -2.054047E-04   5.929905E-10
1.708333E-03    -1.072992E-04   -4.620233E-10
1.729167E-03    2.504134E-04    8.644747E-10
1.750000E-03    -1.392900E-04   -1.764420E-10
1.770833E-03    -4.233960E-05   6.480150E-10
1.791667E-03    2.672043E-04    -6.657501E-10
1.812500E-03    5.857437E-05    1.342414E-09
1.833333E-03    -2.518384E-05   -1.522494E-09
1.854167E-03    -1.944409E-04   6.539267E-10
1.875000E-03    7.350362E-06    -7.967174E-10
1.895833E-03    2.618018E-04    1.939043E-09
1.916667E-03    -8.260829E-05   2.073648E-10
1.937500E-03    -2.584205E-05   8.276402E-11
1.958333E-03    2.232300E-04    9.522410E-10
1.979167E-03    -6.036567E-05   -8.258212E-10
2.000000E-03    -2.731239E-04   3.119567E-10
2.020833E-03    1.869129E-04    -7.439667E-10
2.041667E-03    2.293590E-04    -8.076313E-10
2.062500E-03    4.199923E-05    -1.331500E-09
2.083333E-03    -1.881638E-04   -5.275069E-11
2.104167E-03    1.186266E-04    4.984031E-10
2.125000E-03    4.217941E-05    -1.198714E-09
2.145833E-03    -2.081447E-04   -6.075425E-10
2.166667E-03    1.142520E-04    -1.000444E-10
2.187500E-03    3.011688E-04    2.146407E-10
2.208333E-03    8.153693E-06    -9.149517E-10
2.229167E-03    -1.648050E-04   1.164153E-10
2.250000E-03    -8.717482E-05   -7.103154E-10
