Time [s]        Real Pa         Imag Pa
0.000000E+00    1.948016E-04    -1.427907E-09
2.083333E-05    -6.818576E-06   4.520189E-10
4.166667E-05    2.248050E-05    -5.306902E-10
6.250000E-05    1.059458E-05    3.078640E-10
8.333333E-05    1.957284E-05    -6.048140E-10
1.041667E-04    1.123582E-05    2.573870E-10
1.250000E-04    7.852785E-06    -3.487912E-10
1.458333E-04    1.158465E-05    2.219167E-10
1.666667E-04    7.613831E-06    1.609806E-10
1.875000E-04    1.803070E-05    4.947651E-10
2.083333E-04    1.417326E-05    -4.260983E-10
2.291667E-04    2.874405E-05    1.114131E-10
2.500000E-04    1.621162E-05    -8.649295E-10
2.708333E-04    3.061726E-05    4.915819E-10
2.916667E-04    6.066839E-06    -8.076313E-10
3.125000E-04    3.066853E-05    8.321877E-10
3.333333E-04    -2.323289E-05   2.783054E-10
3.541667E-04    5.707784E-05    6.339178E-10
3.750000E-04    2.113653E-05    -8.397478E-10
3.958333E-04    1.191777E-04    -5.306902E-10
4.166667E-04    3.454836E-06    8.640200E-11
4.375000E-04    6.854563E-06    -7.457857E-11
4.583333E-04    -5.738464E-05   8.117240E-10
4.791667E-04    3.984923E-05    2.000888E-10
5.000000E-04    1.414241E-04    8.612915E-10
5.208333E-04    -1.266780E-04   4.074536E-10
5.416666E-04    1.399719E-04    1.483841E-09
5.625000E-04    -3.033632E-05   -8.926690E-10
5.833333E-04    8.049016E-05    2.047273E-09
6.041666E-04    1.422949E-04    -1.600711E-10
6.250000E-04    -2.329814E-04   9.495125E-10
6.458333E-04    2.282751E-04    9.458745E-11
6.666667E-04    6.984897E-05    2.461093E-09
6.875000E-04    -1.616081E-04   -1.321496E-09
7.083333E-04    1.612472E-04    2.469278E-10
7.291667E-04    -2.773727E-05   -7.053131E-10
7.500000E-04    -1.417291E-05   -1.389708E-09
7.708333E-04    3.055631E-05    3.392415E-10
7.916667E-04    2.266058E-05    -5.256879E-10
8.125000E-04    2.942709E-05    3.292371E-10
8.333334E-04    -1.511893E-06   -5.684342E-10
8.541666E-04    -7.662988E-05   6.530172E-10
8.750000E-04    1.005563E-04    1.227818E-11
8.958333E-04    -1.760403E-05   8.626557E-10
9.166666E-04    -5.234338E-06   -1.055923E-09
9.375000E-04    -2.347368E-05   8.731149E-10
9.583333E-04    -1.276114E-05   -3.074092E-10
9.791667E-04    -1.281580E-04   1.797162E-09
9.999999E-04    1.333761E-04    1.273293E-10
1.020833E-03    4.593368E-05    4.993126E-10
1.041667E-03    -6.324619E-06   -2.737579E-10
1.062500E-03    1.428782E-04    4.606591E-10
1.083333E-03    -1.304707E-04   -1.082299E-10
1.104167E-03    2.187823E-04    2.210072E-10
1.125000E-03    -7.792078E-05   3.683454E-11
1.145833E-03    -1.102361E-04   3.637979E-12
1.166667E-03    2.651038E-04    1.227818E-10
1.187500E-03    -4.281104E-05   -2.410161E-10
1.208333E-03    -4.149944E-05   4.470166E-10
1.229167E-03    5.257726E-05    -2.751221E-10
1.250000E-03    1.238637E-05    -3.501555E-10
1.270833E-03    1.637667E-04    -1.140506E-09
1.291667E-03    -2.057399E-04   9.222276E-10
1.312500E-03    2.302325E-04    -6.566552E-10
1.333333E-03    6.615547E-05    6.530172E-10
1.354167E-03    -3.255109E-04   -2.646630E-10
1.375000E-03    2.582869E-04    4.752110E-10
1.395833E-03    1.017049E-04    -6.070877E-10
1.416667E-03    -2.212104E-04   1.316039E-09
1.437500E-03    2.223104E-04    6.184564E-11
1.458333E-03    -9.330853E-05   7.962626E-10
1.479167E-03    1.753471E-04    -8.003553E-11
1.500000E-03    -5.515440E-05   1.518856E-10
1.520833E-03    -1.625658E-04   -8.512870E-10
1.541667E-03    3.464611E-04    -1.605258E-10
1.562500E-03    3.877677E-05    1.318767E-11
1.583333E-03    -2.558699E-04   -3.574314E-10
1.604167E-03    2.106396E-04    5.816219E-10
1.625000E-03    1.426394E-04    -1.244189E-09
1.645833E-03    -1.552024E-04   6.557457E-10
1.666667E-03    4.308553E-06    -1.076842E-09
1.687500E-03    1.822842E-04    1.306944E-09
1.708333E-03    7.639210E-05    -8.582788E-10
1.729167E-03    -1.604011E-04   8.280949E-10
1.750000E-03    -6.288873E-05   -1.259650E-09
1.770833E-03    2.119832E-04    7.730705E-10
1.791667E-03    1.205906E-06    -2.924025E-10
1.812500E-03    -1.909303E-04   3.074092E-10
1.833333E-03    1.447696E-04    -4.301910E-10
1.854167E-03    1.464743E-04    2.401066E-10
1.875000E-03    -1.818135E-04   -1.386979E-10
1.895833E-03    2.951608E-05    4.915819E-10
1.916667E-03    8.163665E-05    5.702532E-10
1.937500E-03    3.459807E-05    6.511982E-10
1.958333E-03    6.239433E-05    6.784830E-10
1.979167E-03    -1.324704E-04   -1.236913E-10
2.000000E-03    1.612655E-04    2.146407E-10
2.020833E-03    1.236451E-05    4.247340E-10
2.041667E-03    -2.251924E-04   3.343757E-09
2.062500E-03    1.829537E-04    1.522949E-09
2.083333E-03    1.775079E-04    -2.910383E-11
2.104167E-03    -1.546591E-04   2.273737E-11
2.125000E-03    1.771068E-05    9.786163E-10
2.145833E-03    -6.774001E-05   3.255991E-10
2.166667E-03    2.161905E-04    1.300577E-10
2.187500E-03    -2.627226E-05   -2.246452E-09
2.208333E-03    -1.384814E-04   -2.773959E-11
2.229167E-03    2.963535E-04    -5.888978E-10
2.250000E-03    -6.764882E-05   4.574758E-10
2.270833E-03    -1.686003E-04   -1.178705E-09
2.291667E-03    2.100864E-04    2.191882E-10
2.312500E-03    -4.798797E-05   -7.566996E-10
2.333333E-03    1.502442E-04    -1.582521E-10
2.354167E-03    5.553434E-05    8.858478E-10
2.375000E-03    -1.013097E-04   -7.885319E-10
2.395833E-03    2.728254E-04    2.728484E-11
2.416667E-03    -1.433397E-04   -2.455636E-10
2.437500E-03    -1.205054E-04   5.720722E-10
2.458333E-03    3.381511E-04    -2.054094E-09
2.479167E-03    -1.438952E-04   1.198714E-09
2.500000E-03    1.149588E-04    -1.519766E-09
2.520833E-03    -1.016088E-04   1.424269E-09
2.541667E-03    -6.931118E-05   -2.736215E-09
2.562500E-03    1.699250E-04    1.889475E-09
2.583333E-03    -9.480964E-05   -2.090928E-09
2.604167E-03    6.376884E-05    1.091394E-09
2.625000E-03    1.687249E-04    -1.388798E-09
2.645833E-03    -2.468587E-04   9.176802E-10
2.666667E-03    1.681800E-04    -2.310117E-09
2.687500E-03    -8.373690E-05   1.808985E-09
2.708333E-03    5.116285E-05    1.613898E-09
2.729167E-03    1.701870E-04    6.189111E-10
2.750000E-03    -5.690416E-05   2.319211E-10
2.770833E-03    6.240526E-05    -5.793481E-10
2.791667E-03    8.636969E-05    1.055469E-09
2.812500E-03    -2.278211E-04   -1.673470E-10
2.833333E-03    1.805925E-04    1.547050E-09
2.854167E-03    6.593727E-06    -1.265335E-09
2.875000E-03    4.743432E-05    6.343726E-10
2.895833E-03    5.190912E-05    -6.834853E-10
2.916667E-03    -5.528404E-05   3.865352E-10
2.937500E-03    -9.743567E-05   -6.266418E-10
2.958333E-03    2.276651E-04    4.692993E-10
2.979167E-03    -1.478067E-04   -5.975380E-10
3.000000E-03    1.109813E-04    -2.285560E-09
3.020833E-03    1.029909E-04    -9.313226E-10
3.041667E-03    -3.613662E-05   -2.615081E-09
3.062500E-03    1.490308E-04    1.678018E-10
3.083333E-03    -1.154579E-04   -8.412826E-10
3.104167E-03    -1.400305E-06   1.396984E-09
3.125000E-03    3.426112E-04    -1.583885E-09
3.145833E-03    -3.182462E-04   2.283741E-09
3.166667E-03    1.719894E-04    -1.656190E-09
3.187500E-03    -4.271464E-05   1.771696E-09
3.208333E-03    -6.795799E-06   -3.806690E-09
3.229167E-03    -6.011574E-05   3.291916E-09
3.250000E-03    3.380507E-04    -2.887646E-09
3.270833E-03    -2.784473E-04   4.708454E-09
3.291667E-03    5.048137E-04    -4.669346E-09
3.312500E-03    -9.386539E-04   6.683422E-09
3.333333E-03    -1.995047E-02   -6.368282E-09
3.354167E-03    -1.449242E-01   8.168172E-09
3.375000E-03    -2.215669E-01   -7.338258E-09
3.395833E-03    -9.421836E-02   2.459728E-09
3.416667E-03    -5.570585E-02   -4.543836E-09
3.437500E-03    -6.793900E-02   3.313289E-09
3.458333E-03    -4.339086E-03   -1.844455E-09
3.479167E-03    -1.131824E-02   2.697561E-09
3.500000E-03    -4.489324E-03   -1.650733E-09
3.520833E-03    4.740802E-02    1.726221E-09
3.541667E-03    4.824051E-02    1.725766E-09
3.562500E-03    6.504145E-02    -6.634764E-10
3.583333E-03    7.418926E-02    1.367880E-09
3.604167E-03    7.167691E-02    -1.818989E-09
3.625000E-03    7.951251E-02    1.479748E-09
3.645833E-03    7.972143E-02    -5.775121E-09
3.666667E-03    8.550808E-02    4.205504E-09
3.687500E-03    7.674397E-02    -6.241862E-09
3.708333E-03    5.483317E-02    3.979949E-09
3.729167E-03    5.445599E-02    -5.089532E-09
3.750000E-03    4.973112E-02    3.477567E-09
3.770833E-03    3.718671E-02    -4.562025E-09
3.791667E-03    2.778213E-02    1.874014E-09
3.812500E-03    1.351324E-02    -4.203685E-09
3.833333E-03    -1.341847E-03   1.954504E-09
3.854167E-03    -9.831747E-03   -2.483830E-09
3.875000E-03    -9.027708E-03   1.272838E-09
3.895833E-03    -1.900979E-02   -1.827630E-09
3.916667E-03    -3.008222E-02   1.641638E-09
3.937500E-03    -2.346972E-02   -2.879460E-09
3.958333E-03    -3.892107E-02   1.817170E-09
3.979167E-03    -4.822876E-02   -9.549694E-10
4.000000E-03    -1.325587E-02   1.320586E-09
4.020833E-03    -1.803939E-02   -1.810804E-09
4.041667E-03    -2.932180E-02   -3.077275E-09
4.062500E-03    3.484892E-03    1.132321E-10
4.083333E-03    1.362982E-03    -4.483809E-10
4.104167E-03    -1.033667E-02   1.094122E-09
4.125000E-03    5.916750E-03    -1.333774E-09
4.145833E-03    5.271506E-03    1.407898E-09
4.166666E-03    2.541679E-03    -1.608896E-09
4.187500E-03    6.702013E-03    2.684828E-09
4.208333E-03    9.637794E-03    -9.736141E-10
4.229167E-03    6.652428E-03    3.030891E-09
4.250000E-03    2.355525E-03    -1.470653E-09
4.270833E-03    -3.011367E-03   2.142315E-09
4.291667E-03    -4.361203E-03   -1.526132E-09
4.312500E-03    -9.412562E-03   2.240085E-09
4.333333E-03    -1.386117E-02   -1.929948E-09
4.354167E-03    -1.454173E-02   1.300805E-09
4.375000E-03    -1.546598E-02   2.064837E-09
4.395833E-03    -1.430562E-02   9.490577E-10
4.416666E-03    -6.743284E-03   2.455636E-11
4.437500E-03    -4.179180E-03   -4.856702E-10
4.458333E-03    -6.472684E-03   8.953975E-10
4.479167E-03    -4.123953E-04   -1.085937E-09
4.500000E-03    2.766932E-03    3.847163E-10
4.520833E-03    1.022170E-03    -1.318767E-09
4.541667E-03    1.369612E-02    1.603894E-09
4.562500E-03    1.631925E-02    -2.167781E-09
4.583333E-03    1.838482E-02    6.721166E-10
4.604167E-03    1.808930E-02    -1.387889E-09
4.625000E-03    1.262284E-02    4.602043E-10
4.645833E-03    1.146864E-02    -8.662937E-10
4.666667E-03    1.108527E-02    1.350600E-10
4.687500E-03    8.615994E-03    -5.320544E-10
4.708333E-03    4.189985E-03    -1.558419E-09
4.729167E-03    -4.569082E-03   -2.391516E-09
4.750000E-03    -3.810086E-03   8.508323E-10
4.770833E-03    -5.764184E-03   3.201421E-10
4.791667E-03    -7.035743E-03   -6.302798E-10
4.812500E-03    -6.152769E-03   -1.364242E-10
4.833333E-03    -8.767883E-03   -4.665708E-10
4.854166E-03    -1.030969E-02   8.185452E-11
4.875000E-03    -1.477648E-02   -7.730705E-11
4.895833E-03    -8.672553E-03   1.048193E-09
4.916667E-03    -2.865594E-03   -1.354238E-09
4.937500E-03    1.579142E-03    1.500666E-09
4.958333E-03    3.241722E-03    -1.558874E-09
4.979167E-03    3.439842E-03    2.364686E-09
5.000000E-03    7.974074E-04    -1.118678E-09
5.020833E-03    3.776124E-03    -9.094947E-13
5.041667E-03    6.928195E-03    1.803528E-09
5.062500E-03    4.636751E-03    -5.470611E-10
5.083333E-03    4.637155E-03    5.466063E-10
5.104166E-03    3.007408E-03    -1.644366E-09
5.125000E-03    -4.980381E-04   1.441094E-09
5.145833E-03    8.113251E-04    -2.336492E-09
5.166667E-03    -1.983345E-03   1.175977E-09
5.187500E-03    -2.867612E-03   -1.413355E-09
5.208333E-03    -7.519600E-04   7.362360E-10
5.229167E-03    -3.931605E-03   -6.498340E-10
5.250000E-03    -7.835882E-03   4.101821E-10
5.270833E-03    -5.855341E-03   -1.322405E-09
5.291667E-03    -2.048446E-03   1.635271E-09
5.312500E-03    -9.153176E-04   -4.229150E-10
5.333333E-03    1.637841E-03    6.493792E-10
5.354166E-03    -3.710660E-04   -1.456101E-09
5.375000E-03    -8.095982E-04   3.133209E-10
5.395833E-03    1.401302E-03    -1.428361E-09
5.416667E-03    6.567632E-04    8.067218E-10
5.437500E-03    2.109499E-03    -6.903065E-10
5.458333E-03    4.303620E-03    1.478384E-09
5.479167E-03    3.703097E-03    -1.371518E-09
5.500000E-03    3.177351E-03    8.267307E-10
5.520833E-03    2.224752E-03    -3.310561E-10
5.541666E-03    2.270836E-03    5.288712E-10
5.562500E-03    -1.469149E-03   -5.925358E-10
5.583333E-03    -3.381806E-04   1.100489E-10
5.604167E-03    5.941927E-04    1.258513E-10
5.625000E-03    -1.429343E-02   -1.964509E-10
5.645833E-03    -1.023848E-01   2.305569E-09
5.666667E-03    -1.869449E-01   4.190952E-09
5.687500E-03    -1.072045E-01   5.629772E-10
5.708333E-03    -5.341713E-02   -3.211653E-11
