Time [s]        Real Pa         Imag Pa
0.000000E+00    1.659513E-04    -4.411049E-10
2.083333E-05    -7.782301E-05   -5.184120E-11
4.166667E-05    -3.232536E-05   4.098410E-10
6.250000E-05    -4.794948E-05   -6.584742E-10
8.333333E-05    -7.066336E-05   -6.966729E-10
1.041667E-04    -1.421935E-04   3.265086E-10
1.250000E-04    -5.987962E-05   -5.602487E-10
1.458333E-04    2.385873E-05    2.492015E-10
1.666667E-04    -3.112783E-05   -3.637979E-11
1.875000E-04    -1.624435E-05   8.731149E-11
2.083333E-04    4.443002E-06    6.548362E-11
2.291667E-04    -1.843065E-05   -9.422365E-10
2.500000E-04    -9.655141E-06   -3.819878E-11
2.708333E-04    -2.881432E-05   -4.865797E-10
2.916667E-04    -3.559146E-05   -3.092282E-10
3.125000E-04    -1.160914E-05   -3.947207E-10
3.333333E-04    -6.757327E-05   -2.446541E-10
3.541667E-04    -2.716748E-05   -1.336957E-10
3.750000E-04    -3.509093E-05   -7.991048E-10
3.958333E-04    -4.692768E-05   -3.201421E-10
4.166667E-04    1.234639E-05    6.784830E-10
4.375000E-04    2.852975E-05    -4.192771E-10
4.583333E-04    -1.414207E-04   5.650236E-10
4.791667E-04    -3.501861E-05   -6.657501E-10
5.000000E-04    1.183283E-04    3.947207E-10
5.208333E-04    -1.949263E-04   -2.537490E-10
5.416666E-04    3.571640E-05    1.242370E-09
5.625000E-04    1.241831E-05    -4.433787E-10
5.833333E-04    -7.908954E-05   1.259423E-09
6.041666E-04    7.833815E-05    -5.502443E-10
6.250000E-04    -1.778697E-04   1.279886E-09
6.458333E-04    5.279420E-06    -1.187800E-09
6.666667E-04    1.383634E-04    2.088996E-09
6.875000E-04    -1.715705E-04   -2.411070E-09
7.083333E-04    -1.950297E-05   1.770104E-10
7.291667E-04    5.554763E-05    -1.517037E-09
7.500000E-04    -1.522958E-04   -1.509761E-10
7.708333E-04    -3.434368E-06   -1.636181E-09
7.916667E-04    -2.699346E-05   3.328751E-10
8.125000E-04    -5.170780E-05   -3.110472E-10
8.333334E-04    5.529617E-05    -1.909939E-10
8.541666E-04    -2.301456E-04   -5.584297E-10
8.750000E-04    5.600517E-05    1.326043E-09
8.958333E-04    -2.068923E-05   -4.729372E-10
9.166666E-04    -1.416135E-04   1.342414E-09
9.375000E-04    4.518263E-05    -1.086846E-09
9.583333E-04    -8.111733E-05   1.638909E-09
9.791667E-04    -6.649381E-05   -4.347385E-10
9.999999E-04    4.489353E-05    2.341949E-09
1.020833E-03    -1.637401E-04   -5.593392E-10
1.041667E-03    7.052380E-05    7.124754E-10
1.062500E-03    5.925787E-06    -1.500666E-10
1.083333E-03    -1.963311E-04   1.464741E-09
1.104167E-03    1.730413E-04    4.120011E-10
1.125000E-03    -1.203459E-04   1.728040E-10
1.145833E-03    -1.080217E-04   8.076313E-10
1.166667E-03    1.000907E-04    4.729372E-11
1.187500E-03    -9.777191E-05   2.728484E-10
1.208333E-03    -2.870247E-05   7.275958E-12
1.229167E-03    2.453875E-06    8.003553E-10
1.250000E-03    -8.097493E-05   -5.929905E-10
1.270833E-03    6.527941E-05    -8.549250E-11
1.291667E-03    -1.922522E-04   -5.934453E-11
1.312500E-03    8.620184E-05    -2.037268E-10
1.333333E-03    6.977351E-05    -9.904397E-10
1.354167E-03    -2.495204E-04   3.556124E-10
1.375000E-03    6.471313E-05    3.443574E-10
1.395833E-03    7.750788E-05    -3.547029E-10
1.416667E-03    -1.430519E-04   -6.893970E-10
1.437500E-03    1.547614E-04    -2.953584E-10
1.458333E-03    -1.050057E-04   4.483809E-10
1.479167E-03    5.079820E-05    1.054104E-09
1.500000E-03    -4.603411E-05   0.000000E+00
1.520833E-03    -1.889330E-04   -5.074980E-10
1.541667E-03    2.581674E-04    4.365575E-11
1.562500E-03    2.753091E-05    -4.038156E-10
1.583333E-03    -3.119939E-04   -6.548362E-11
1.604167E-03    7.630151E-06    -4.306457E-10
1.625000E-03    3.089299E-05    7.294148E-10
1.645833E-03    1.817453E-05    -2.892193E-10
1.666667E-03    -1.784317E-04   -3.101377E-10
1.687500E-03    2.192107E-05    7.730705E-11
1.708333E-03    1.336748E-04    -6.353957E-10
1.729167E-03    -2.097384E-04   -7.694325E-10
1.750000E-03    -2.522066E-04   6.766641E-10
1.770833E-03    1.783756E-04    -3.556124E-10
1.791667E-03    3.081221E-05    1.052740E-10
1.812500E-03    -2.061265E-04   -1.455192E-10
1.833333E-03    -1.841286E-05   -1.627996E-10
1.854167E-03    7.022950E-05    -3.483365E-10
1.875000E-03    -9.802671E-05   -3.310561E-10
1.895833E-03    -9.388529E-05   1.123226E-10
1.916667E-03    -5.079496E-05   4.213234E-10
1.937500E-03    1.837262E-04    5.647962E-10
1.958333E-03    -9.558498E-05   -2.667093E-10
1.979167E-03    -1.934017E-04   6.202754E-10
2.000000E-03    5.047128E-05    -6.484697E-10
2.020833E-03    3.572043E-05    8.267307E-10
2.041667E-03    -2.515667E-04   3.025548E-09
2.062500E-03    1.363237E-05    3.206878E-09
2.083333E-03    1.992099E-04    -1.075023E-09
2.104167E-03    -2.016316E-04   9.431460E-10
2.125000E-03    -1.409676E-04   -4.456524E-10
2.145833E-03    4.728150E-06    8.676579E-10
2.166667E-03    4.110831E-05    5.584297E-10
2.187500E-03    2.187724E-05    -6.275513E-10
2.208333E-03    -1.499617E-04   -1.145963E-10
2.229167E-03    7.644351E-05    -7.203198E-10
2.250000E-03    9.716817E-05    -1.527951E-10
2.270833E-03    -3.821360E-04   -7.303242E-10
2.291667E-03    1.701548E-04    -4.547474E-11
2.312500E-03    1.160357E-04    -1.182343E-10
2.333333E-03    -6.275061E-05   7.185008E-11
2.354167E-03    3.423840E-06    -2.610250E-10
2.375000E-03    -6.761893E-05   -1.597641E-09
2.395833E-03    5.791449E-05    1.955414E-10
2.416667E-03    -2.824082E-05   2.232809E-10
2.437500E-03    -1.243736E-04   2.536581E-09
2.458333E-03    6.453568E-05    -1.780791E-09
2.479167E-03    -4.660169E-05   1.418812E-09
2.500000E-03    -2.069433E-05   -1.268745E-09
2.520833E-03    -1.815244E-04   1.642547E-09
2.541667E-03    -4.737209E-06   -1.637090E-09
2.562500E-03    5.952620E-05    1.427907E-09
2.583333E-03    -1.916941E-04   -1.284207E-09
2.604167E-03    1.620186E-05    7.858034E-10
2.625000E-03    5.710003E-05    -5.841230E-10
2.645833E-03    -2.133605E-04   6.912160E-10
2.666667E-03    6.514283E-05    -1.046828E-09
2.687500E-03    -1.373969E-04   2.518391E-09
2.708333E-03    -1.864706E-05   1.290232E-09
2.729167E-03    6.124532E-05    4.474714E-10
2.750000E-03    -6.832821E-05   4.565663E-10
2.770833E-03    -6.395575E-05   -1.437911E-09
2.791667E-03    8.658503E-05    5.693437E-10
2.812500E-03    -1.835449E-04   3.365130E-10
2.833333E-03    -4.007050E-05   1.405169E-09
2.854167E-03    -2.947475E-05   -1.327862E-09
2.875000E-03    -1.053120E-05   6.102709E-10
2.895833E-03    1.404860E-05    -1.237822E-09
2.916667E-03    -1.593074E-04   1.073204E-10
2.937500E-03    -8.420518E-05   -1.901753E-09
2.958333E-03    5.516794E-05    1.058652E-09
2.979167E-03    -1.505840E-04   -1.416993E-09
3.000000E-03    6.679742E-05    5.738912E-10
3.020833E-03    -7.944269E-05   -6.466507E-10
3.041667E-03    4.377247E-05    -2.090587E-09
3.062500E-03    -3.318703E-05   -6.657501E-10
3.083333E-03    -1.942404E-04   -4.656613E-10
3.104167E-03    1.036918E-04    1.846274E-10
3.125000E-03    1.245659E-04    1.994067E-10
3.145833E-03    -3.496864E-04   6.389200E-10
3.166667E-03    1.529479E-04    -4.711183E-10
