Time [s]        Real Pa         Imag Pa
0.000000E+00    1.432486E-03    -4.314643E-09
2.083333E-05    6.353768E-03    -8.047209E-09
4.166667E-05    -2.806095E-03   -1.164153E-10
6.250000E-05    2.599114E-03    -7.348717E-09
8.333333E-05    -1.725682E-03   7.542029E-10
1.041667E-04    1.683660E-03    -6.571010E-09
1.250000E-04    -9.138364E-04   1.441674E-09
1.458333E-04    1.428695E-03    -8.543008E-09
1.666667E-04    -6.790706E-04   6.839400E-09
1.875000E-04    1.460621E-03    -4.481990E-09
2.083333E-04    -7.297877E-04   6.184564E-09
2.291667E-04    4.464665E-04    -1.239823E-08
2.500000E-04    -1.365297E-03   2.677552E-09
2.708333E-04    6.796446E-04    -3.942214E-09
2.916667E-04    -9.751593E-05   1.886756E-09
3.125000E-04    5.529769E-04    1.467247E-09
3.333333E-04    -5.775971E-04   6.459802E-09
3.541667E-04    1.457582E-03    3.448804E-09
3.750000E-04    -3.952319E-04   -7.517061E-10
3.958333E-04    -1.305440E-04   3.361921E-09
4.166667E-04    1.367206E-04    3.114110E-09
4.375000E-04    3.722348E-04    3.970996E-09
4.583333E-04    -6.833053E-04   2.348886E-09
4.791667E-04    5.753698E-04    3.876409E-09
5.000000E-04    3.793401E-04    -1.850590E-09
5.208333E-04    -1.565830E-04   -3.235519E-09
5.416666E-04    -5.688237E-04   -2.529537E-09
5.625000E-04    1.546168E-04    -9.007636E-09
5.833333E-04    1.474944E-03    -5.428792E-09
6.041666E-04    -1.747603E-04   3.408572E-09
6.250000E-04    1.321201E-03    1.217796E-09
6.458333E-04    9.696127E-05    4.717317E-09
6.666667E-04    7.572157E-04    -2.190063E-09
6.875000E-04    1.340634E-04    5.951733E-09
7.083333E-04    -4.986936E-05   4.074536E-10
7.291667E-04    -4.154642E-05   -1.818989E-09
7.500000E-04    1.345516E-03    -1.719623E-09
7.708333E-04    5.136955E-04    2.858631E-09
7.916667E-04    8.851845E-04    -6.678295E-09
8.125000E-04    1.123451E-03    4.553715E-09
8.333334E-04    -5.064622E-04   1.367880E-09
8.541666E-04    2.165297E-03    1.746230E-10
8.750000E-04    3.836652E-04    -4.511094E-09
8.958333E-04    1.316077E-03    3.943569E-09
9.166666E-04    3.834057E-05    -3.376044E-09
9.375000E-04    1.263930E-03    2.657080E-09
9.583333E-04    -7.566829E-04   -4.938093E-09
9.791667E-04    3.664764E-04    2.063875E-09
9.999999E-04    4.461579E-04    -8.035671E-09
1.020833E-03    2.381210E-03    -5.866416E-10
1.041667E-03    -1.656339E-04   -4.661606E-09
1.062500E-03    -4.239063E-04   -4.064550E-09
1.083333E-03    1.710549E-03    -2.451783E-09
1.104167E-03    -1.234142E-04   -5.046412E-09
1.125000E-03    -8.161530E-04   1.551027E-09
1.145833E-03    1.642303E-03    -6.595977E-09
1.166667E-03    -2.831714E-04   1.465856E-09
1.187500E-03    6.672293E-04    -8.433049E-09
1.208333E-03    8.028907E-04    5.493991E-09
1.229167E-03    -8.983199E-04   -7.315905E-09
1.250000E-03    1.568509E-03    5.972634E-09
1.270833E-03    7.083153E-04    -3.349866E-09
1.291667E-03    -1.062968E-03   -1.709636E-09
1.312500E-03    2.456323E-03    -7.511285E-09
1.333333E-03    5.482323E-04    2.735546E-09
1.354167E-03    -1.321571E-03   1.193685E-09
1.375000E-03    1.788129E-03    4.093653E-09
1.395833E-03    -5.490861E-04   2.017723E-09
1.416667E-03    1.614865E-03    4.241669E-09
1.437500E-03    -2.910400E-04   7.650776E-09
1.458333E-03    2.960034E-06    3.889106E-09
1.479167E-03    9.039801E-05    3.150881E-09
1.500000E-03    1.018527E-03    2.952117E-10
1.520833E-03    -1.126617E-03   7.616930E-10
1.541667E-03    2.343559E-03    2.579752E-10
1.562500E-03    -2.412496E-04   1.463716E-09
1.583333E-03    -1.071989E-03   -1.974924E-09
1.604167E-03    2.618840E-03    1.082123E-10
1.625000E-03    -1.176806E-03   -2.709795E-09
1.645833E-03    1.015730E-03    5.687730E-09
1.666667E-03    1.466117E-03    -1.006151E-10
1.687500E-03    -1.667296E-03   1.517964E-09
1.708333E-03    1.410054E-03    -3.313700E-09
1.729167E-03    4.218931E-04    2.914520E-09
1.750000E-03    -1.032035E-03   -1.226498E-09
1.770833E-03    2.728662E-03    2.113130E-09
1.791667E-03    -1.530502E-03   -1.021308E-09
1.812500E-03    1.279046E-03    6.658571E-10
1.833333E-03    1.091345E-03    -4.853842E-10
1.854167E-03    -1.543198E-03   9.358876E-10
1.875000E-03    -1.960561E-04   -1.025842E-08
1.895833E-03    9.633699E-04    8.513280E-09
1.916667E-03    -9.697253E-04   1.812973E-08
1.937500E-03    1.446263E-03    2.472112E-09
1.958333E-03    -1.232050E-03   4.036731E-09
1.979167E-03    2.139524E-04    4.711467E-09
2.000000E-03    3.064401E-04    -1.235236E-09
2.020833E-03    -2.517001E-03   5.071765E-11
2.041667E-03    7.824673E-04    3.650891E-09
2.062500E-03    1.406513E-03    1.598570E-09
2.083333E-03    -1.368242E-03   -4.058950E-09
2.104167E-03    -1.093578E-04   1.115932E-09
2.125000E-03    6.065082E-04    -4.836835E-09
2.145833E-03    -2.488454E-03   -2.523509E-09
2.166667E-03    7.417154E-04    -4.486983E-09
2.187500E-03    -7.578013E-04   1.758285E-09
2.208333E-03    1.050173E-03    6.098893E-09
2.229167E-03    1.737698E-04    -5.098164E-09
2.250000E-03    -2.620274E-03   -2.475894E-09
2.270833E-03    -8.507580E-04   -4.285040E-09
2.291667E-03    1.691470E-03    -1.909403E-09
2.312500E-03    -1.248276E-03   -5.164718E-09
2.333333E-03    -6.510224E-05   -4.703460E-09
2.354167E-03    -7.168960E-05   4.603539E-09
2.375000E-03    -8.922732E-04   -5.454826E-09
2.395833E-03    -8.447878E-04   -1.669762E-09
2.416667E-03    -9.064913E-04   3.704533E-09
2.437500E-03    6.915053E-05    -1.965971E-09
2.458333E-03    1.527651E-03    -1.557232E-09
2.479167E-03    -2.497748E-03   2.031026E-09
2.500000E-03    -1.582233E-04   2.585248E-09
2.520833E-03    -1.032703E-05   -5.269647E-09
2.541667E-03    -1.799842E-03   1.641958E-09
2.562500E-03    -2.954770E-04   -8.684923E-09
2.583333E-03    8.400134E-04    8.104126E-10
2.604167E-03    -1.386267E-03   3.074664E-09
2.625000E-03    -7.427356E-05   -7.799043E-09
2.645833E-03    -6.080329E-04   3.210625E-09
2.666667E-03    -1.786355E-03   -1.084118E-09
2.687500E-03    2.264076E-03    6.213668E-09
2.708333E-03    -8.707532E-04   -1.455192E-10
2.729167E-03    6.763499E-04    6.446498E-09
2.750000E-03    2.535240E-04    1.139829E-09
2.770833E-03    -2.215656E-03   1.033832E-08
2.791667E-03    4.091955E-04    9.125085E-09
2.812500E-03    -5.868124E-04   3.476873E-09
2.833333E-03    -7.109690E-04   8.323696E-09
2.854167E-03    1.990302E-03    3.172318E-09
2.875000E-03    -4.640653E-04   1.066655E-08
2.895833E-03    -1.033299E-03   -1.877197E-09
2.916667E-03    9.456888E-04    7.887138E-09
2.937500E-03    -2.044563E-03   5.979840E-10
2.958333E-03    9.989138E-04    2.541592E-09
2.979167E-03    -5.369200E-04   -7.519203E-10
3.000000E-03    -1.044257E-05   3.891389E-09
3.020833E-03    -2.494866E-04   -3.594323E-09
3.041667E-03    1.687798E-04    3.497453E-09
3.062500E-03    -1.647591E-03   -9.880322E-09
3.083333E-03    1.586623E-03    1.108856E-08
3.104167E-03    -3.755748E-04   -1.280736E-08
3.125000E-03    4.269053E-04    1.335013E-08
