Time [s]        Real Pa         Imag Pa
0.000000E+00    1.068769E-03    4.656613E-10
2.083333E-05    5.776097E-03    2.473826E-10
4.166667E-05    -4.923210E-03   -3.055902E-09
6.250000E-05    1.605005E-03    3.143214E-09
8.333333E-05    -3.634984E-03   -4.418789E-09
1.041667E-04    1.398172E-03    1.127988E-09
1.250000E-04    -2.189584E-03   -4.161848E-09
1.458333E-04    5.042598E-04    -5.849870E-09
1.666667E-04    -2.466556E-03   -5.878974E-09
1.875000E-04    1.039435E-04    7.275958E-10
2.083333E-04    -1.759602E-03   2.502929E-09
2.291667E-04    6.170300E-04    -3.456080E-09
2.500000E-04    -1.564199E-03   1.792168E-09
2.708333E-04    -1.535297E-05   6.575471E-10
2.916667E-04    -1.581823E-03   4.338753E-09
3.125000E-04    2.802924E-04    -4.656613E-09
3.333333E-04    -1.868825E-03   -1.546493E-10
3.541667E-04    -7.319516E-04   -2.378241E-10
3.750000E-04    -9.520312E-04   2.003171E-09
3.958333E-04    -7.663751E-04   -1.910866E-09
4.166667E-04    -1.134955E-03   1.643938E-09
4.375000E-04    -1.024053E-03   -1.054800E-09
4.583333E-04    -9.295950E-05   1.457260E-09
4.791667E-04    -8.882342E-04   -1.638945E-09
5.000000E-04    -1.502659E-03   1.225892E-09
5.208333E-04    -1.950563E-04   -1.471598E-09
5.416666E-04    -2.527999E-03   1.658383E-09
5.625000E-04    4.929968E-05    -1.239195E-09
5.833333E-04    -2.303848E-03   6.837259E-10
6.041666E-04    -6.771174E-04   -1.707585E-09
6.250000E-04    5.204135E-04    -2.619345E-09
6.458333E-04    -2.919717E-03   -6.487872E-09
6.666667E-04    -5.648993E-04   3.492460E-10
6.875000E-04    -3.628405E-04   -3.528839E-09
7.083333E-04    -2.253746E-03   -6.839400E-10
7.291667E-04    -9.924464E-06   2.939487E-09
7.500000E-04    -1.272272E-03   3.206415E-09
7.708333E-04    -1.720941E-03   -3.368554E-09
7.916667E-04    4.110871E-04    2.663000E-09
8.125000E-04    -2.279848E-03   2.073648E-09
8.333334E-04    -8.218613E-04   6.257324E-09
8.541666E-04    6.143675E-04    1.415174E-09
8.750000E-04    -2.198790E-03   3.434252E-09
8.958333E-04    -2.985786E-04   -5.478796E-09
9.166666E-04    -1.374199E-03   9.955793E-09
9.375000E-04    -2.424117E-03   -2.049109E-09
9.583333E-04    -5.484578E-04   2.810802E-09
9.791667E-04    -5.221836E-04   -3.499736E-09
9.999999E-04    -1.284821E-03   2.011872E-09
1.020833E-03    1.546880E-03    2.423322E-09
1.041667E-03    -3.006428E-03   -3.356927E-09
1.062500E-03    3.708930E-04    1.749975E-09
1.083333E-03    -7.869268E-06   -7.718226E-11
1.104167E-03    -3.784040E-03   2.889804E-09
1.125000E-03    1.028431E-03    -4.459519E-09
1.145833E-03    -1.124011E-03   1.013212E-09
1.166667E-03    -2.964259E-03   -5.829896E-09
1.187500E-03    1.052427E-03    -1.386962E-09
1.208333E-03    -3.208387E-03   -4.504780E-09
1.229167E-03    -1.551260E-04   2.119158E-09
1.250000E-03    2.459272E-04    -1.249038E-09
1.270833E-03    -4.220188E-03   2.569839E-09
1.291667E-03    1.671297E-03    -2.801945E-10
1.312500E-03    -1.632021E-03   -2.878286E-10
1.333333E-03    -2.258458E-03   3.307850E-09
1.354167E-03    9.412806E-04    5.068632E-09
1.375000E-03    -3.377015E-03   -1.497991E-09
1.395833E-03    -2.047630E-03   -9.512963E-10
1.416667E-03    1.864929E-03    -1.876769E-09
1.437500E-03    -3.363337E-03   -1.196182E-09
1.458333E-03    6.726685E-04    -8.140505E-10
1.479167E-03    -1.829248E-03   2.216028E-09
1.500000E-03    -2.853990E-03   9.330361E-10
1.520833E-03    7.540405E-04    3.849052E-09
1.541667E-03    -2.329937E-03   3.076733E-09
1.562500E-03    -1.926583E-03   5.564394E-09
1.583333E-03    1.370017E-04    -3.468918E-09
1.604167E-03    -2.752645E-03   2.409125E-09
1.625000E-03    -1.799546E-03   -5.210369E-09
1.645833E-03    -8.065719E-04   2.724060E-09
1.666667E-03    -1.585511E-03   -2.309902E-09
1.687500E-03    4.863898E-04    5.468381E-09
1.708333E-03    -2.674009E-03   -7.464276E-09
1.729167E-03    -2.017996E-03   5.758134E-09
1.750000E-03    -1.469577E-04   -4.252867E-09
1.770833E-03    -3.509089E-03   7.977516E-09
1.791667E-03    4.579820E-05    -5.433142E-09
1.812500E-03    -4.302742E-04   4.104638E-09
1.833333E-03    -2.463274E-03   -6.037154E-09
