Time [s]        Real Pa         Imag Pa
0.000000E+00    -1.509951E-03   -1.775334E-09
2.083333E-05    4.523436E-03    1.928129E-09
4.166667E-05    -6.865541E-03   9.895302E-10
6.250000E-05    -3.662420E-05   7.566996E-10
8.333333E-05    -5.277517E-03   -3.591826E-09
1.041667E-04    -5.268492E-05   -2.263340E-09
1.250000E-04    -4.220461E-03   -2.095476E-09
1.458333E-04    -9.738389E-04   -1.155629E-09
1.666667E-04    -3.119253E-03   -4.903995E-09
1.875000E-04    -9.218230E-04   -5.966285E-10
2.083333E-04    -2.188244E-03   -5.733455E-09
2.291667E-04    -1.545040E-03   3.405148E-09
2.500000E-04    -3.006555E-03   -1.916537E-09
2.708333E-04    -1.559822E-03   9.556471E-10
2.916667E-04    -2.658778E-03   6.427809E-10
3.125000E-04    -1.337104E-03   2.419367E-09
3.333333E-04    -1.963420E-03   -2.597303E-09
3.541667E-04    -1.673392E-03   2.122297E-09
3.750000E-04    -1.902819E-03   -8.290308E-10
3.958333E-04    -3.273620E-03   -7.317325E-10
4.166667E-04    -1.332137E-03   -3.043847E-09
4.375000E-04    -2.586264E-03   3.417506E-09
4.583333E-04    -1.875626E-03   -1.643938E-09
4.791667E-04    -1.543249E-03   1.126525E-09
5.000000E-04    -3.924511E-04   1.411108E-09
5.208333E-04    -3.755680E-03   4.581712E-10
5.416666E-04    -1.664252E-03   1.152098E-09
5.625000E-04    -2.689844E-03   -3.549523E-10
5.833333E-04    4.786983E-04    -3.609983E-10
6.041666E-04    -2.866963E-03   1.288362E-09
6.250000E-04    -3.228723E-03   -3.112041E-09
6.458333E-04    8.406105E-04    -1.849128E-09
6.666667E-04    -4.614033E-03   -2.124580E-09
6.875000E-04    -3.548351E-04   -2.204615E-09
7.083333E-04    -1.578748E-03   -1.804437E-09
7.291667E-04    -1.418029E-03   -1.018634E-09
7.500000E-04    -3.755291E-04   -3.533619E-09
7.708333E-04    -4.861305E-03   6.234979E-09
7.916667E-04    3.647251E-04    5.966285E-10
8.125000E-04    -1.259117E-03   2.063982E-09
8.333334E-04    -2.879228E-03   -2.082743E-09
8.541666E-04    -1.068886E-03   2.430170E-09
8.750000E-04    -1.637699E-03   5.529728E-10
8.958333E-04    -1.810475E-03   4.802132E-09
9.166666E-04    -3.479968E-05   5.923307E-09
9.375000E-04    -2.773762E-03   -2.296918E-11
9.583333E-04    3.465740E-04    4.029739E-09
9.791667E-04    -3.890977E-03   3.876499E-11
9.999999E-04    -2.069650E-03   4.399244E-09
1.020833E-03    -4.357604E-04   4.416078E-09
1.041667E-03    -1.779211E-03   4.459734E-09
1.062500E-03    -1.638574E-03   -6.760007E-09
1.083333E-03    -2.500949E-03   3.603882E-09
1.104167E-03    -2.047480E-04   -6.009424E-09
1.125000E-03    -1.984313E-03   2.689963E-10
1.145833E-03    -2.853889E-03   -2.448253E-09
1.166667E-03    9.050360E-06    4.471183E-09
1.187500E-03    -4.397818E-03   -6.342138E-09
1.208333E-03    -2.190063E-05   8.415144E-10
1.229167E-03    -1.214849E-03   -5.546099E-09
1.250000E-03    -4.142684E-03   4.188343E-09
1.270833E-03    1.180215E-03    -4.950148E-09
1.291667E-03    -3.735722E-03   4.964700E-09
1.312500E-03    -1.181381E-03   -9.113243E-09
1.333333E-03    -3.035780E-04   5.449906E-09
1.354167E-03    -2.711465E-03   -1.159599E-08
1.375000E-03    -2.249009E-03   1.037758E-08
1.395833E-03    1.705970E-04    -5.933045E-09
1.416667E-03    -2.626357E-03   1.115882E-08
1.437500E-03    -1.497612E-03   -5.537949E-09
1.458333E-03    -1.641466E-03   6.698164E-10
1.479167E-03    -1.208889E-03   -4.172012E-09
1.500000E-03    -2.299326E-03   1.887184E-09
1.520833E-03    -2.442746E-03   9.604264E-10
1.541667E-03    -2.290804E-03   2.940344E-09
1.562500E-03    3.555574E-04    4.870326E-09
1.583333E-03    -4.001761E-03   -2.255796E-09
1.604167E-03    -6.383370E-04   3.133441E-09
1.625000E-03    -9.760284E-05   -5.747150E-09
1.645833E-03    -3.949354E-03   5.484400E-09
1.666667E-03    -1.216536E-03   -3.859182E-09
1.687500E-03    -4.043534E-04   4.604256E-09
1.708333E-03    -3.692170E-03   -9.034457E-09
1.729167E-03    6.395058E-04    9.843085E-09
1.750000E-03    -5.292669E-03   -7.685908E-09
1.770833E-03    -1.559012E-03   9.006833E-09
1.791667E-03    5.067565E-04    -4.725664E-09
1.812500E-03    -4.992179E-03   5.056540E-09
1.833333E-03    1.600430E-04    -4.340126E-09
1.854167E-03    -1.690956E-03   4.874892E-09
1.875000E-03    -3.315673E-03   -1.479945E-09
1.895833E-03    -1.466205E-03   5.739375E-09
1.916667E-03    -2.035303E-03   1.253356E-09
1.937500E-03    -9.779332E-04   2.094515E-10
1.958333E-03    -8.775779E-04   4.010087E-09
1.979167E-03    -3.839863E-03   1.182771E-09
2.000000E-03    -3.890315E-05   2.666853E-09
2.020833E-03    -1.168289E-03   1.492000E-09
2.041667E-03    -3.180567E-03   -2.410625E-09
2.062500E-03    -5.675527E-04   -3.024302E-09
2.083333E-03    -3.668700E-04   4.498610E-09
2.104167E-03    -4.601999E-03   7.213096E-09
2.125000E-03    3.743920E-04    3.691193E-09
2.145833E-03    -3.234494E-03   7.885498E-09
2.166667E-03    -2.121783E-03   -4.448749E-09
2.187500E-03    -7.780873E-04   7.353711E-09
2.208333E-03    -3.658641E-03   -8.180067E-09
2.229167E-03    -1.200398E-03   7.601093E-09
2.250000E-03    -6.014102E-04   -8.756045E-09
2.270833E-03    -5.185838E-03   4.561811E-09
2.291667E-03    -6.180740E-05   -9.974267E-09
2.312500E-03    -2.585546E-03   3.887239E-10
2.333333E-03    -2.846682E-03   -8.401804E-09
2.354167E-03    -1.033570E-03   -1.386715E-10
2.375000E-03    -2.977299E-03   -3.955624E-09
2.395833E-03    -1.659142E-03   -3.587084E-09
2.416667E-03    -1.776667E-03   -2.059739E-09
2.437500E-03    -4.189015E-03   -1.957750E-09
2.458333E-03    -1.647535E-04   -2.084883E-09
2.479167E-03    -2.361846E-03   -4.687179E-09
2.500000E-03    -2.008385E-03   3.088965E-09
2.520833E-03    -1.549448E-03   -4.622944E-09
2.541667E-03    -1.727829E-03   5.179270E-09
2.562500E-03    -2.831350E-03   -6.451990E-09
2.583333E-03    -1.046953E-03   1.271028E-08
2.604167E-03    -1.613486E-03   -7.318971E-09
2.625000E-03    -2.708836E-03   1.002256E-08
2.645833E-03    -2.824175E-05   -5.487106E-09
2.666667E-03    -4.693333E-03   1.062290E-08
2.687500E-03    -2.165448E-03   -1.064473E-08
2.708333E-03    -9.850969E-04   1.105946E-08
2.729167E-03    -3.433051E-03   -4.663889E-09
2.750000E-03    -1.395667E-03   -2.180291E-09
2.770833E-03    -2.656408E-03   -5.159171E-09
2.791667E-03    -2.620855E-03   -5.893526E-09
2.812500E-03    -9.815919E-04   -1.912329E-09
2.833333E-03    -2.441037E-03   -3.230525E-09
2.854167E-03    -2.808130E-03   3.696186E-09
2.875000E-03    -5.894989E-04   -8.789357E-09
2.895833E-03    -4.270385E-03   6.722985E-09
2.916667E-03    5.067961E-04    -5.729139E-09
2.937500E-03    -3.100052E-03   1.082912E-08
2.958333E-03    -2.461886E-03   7.737482E-10
2.979167E-03    7.750269E-05    1.176170E-08
3.000000E-03    -3.343005E-03   1.651857E-09
3.020833E-03    -7.765772E-04   4.377844E-09
3.041667E-03    -2.273101E-03   5.719331E-09
3.062500E-03    -3.798329E-03   9.571023E-09
3.083333E-03    -1.165181E-03   4.566805E-09
3.104167E-03    -1.360623E-03   6.167818E-09
3.125000E-03    -1.912258E-03   -2.007736E-09
3.145833E-03    -1.266764E-03   1.999640E-09
3.166667E-03    -2.683820E-03   4.627081E-09
3.187500E-03    -1.790197E-03   -1.660951E-09
3.208333E-03    -1.868981E-03   -2.238498E-09
3.229167E-03    -2.268848E-03   -3.658237E-09
3.250000E-03    -9.694991E-04   2.345658E-09
3.270833E-03    -1.162276E-03   -7.442788E-09
3.291667E-03    -3.717017E-03   2.708725E-09
3.312500E-03    3.437067E-04    -6.083735E-09
3.333333E-03    -6.231464E-03   8.789357E-09
3.354167E-03    -5.379710E-02   -5.042239E-09
3.375000E-03    -6.804651E-01   3.870809E-09
3.395833E-03    -1.466684E+00   -5.937181E-09
3.416667E-03    -8.335896E-01   6.216164E-09
3.437500E-03    -3.469304E-01   -1.486530E-08
3.458333E-03    -4.547973E-01   5.224138E-09
3.479167E-03    1.007509E-02    -4.928213E-09
3.500000E-03    3.810212E-03    6.855771E-09
3.520833E-03    -1.266021E-01   -7.974450E-09
3.541667E-03    2.944457E-01    2.881279E-09
3.562500E-03    3.522876E-01    -1.271837E-08
3.583333E-03    4.011953E-01    4.526323E-09
3.604167E-03    5.300278E-01    -1.060949E-08
3.625000E-03    4.404871E-01    4.047929E-09
3.645833E-03    4.753702E-01    -3.169932E-09
3.666667E-03    5.247201E-01    8.779370E-09
3.687500E-03    5.276046E-01    6.540658E-09
3.708333E-03    4.901000E-01    4.412440E-09
3.729167E-03    3.455752E-01    7.675492E-09
3.750000E-03    2.946607E-01    -6.480596E-09
3.770833E-03    3.072720E-01    5.588452E-09
3.791667E-03    2.268934E-01    -3.077944E-09
3.812500E-03    1.480577E-01    4.420251E-09
3.833333E-03    7.234497E-02    -6.697412E-09
3.854167E-03    -9.327007E-03   4.848284E-09
3.875000E-03    -9.110788E-02   -4.175258E-09
3.895833E-03    -7.013181E-02   9.649739E-09
3.916667E-03    -9.926549E-02   -1.112254E-08
3.937500E-03    -2.120300E-01   1.462582E-08
3.958333E-03    -1.873212E-01   -1.263584E-08
3.979167E-03    -1.563435E-01   1.089564E-08
4.000000E-03    -1.932845E-01   -9.283266E-09
