Time [s]        Real Pa         Imag Pa
0.000000E+00    -1.523163E-03   1.160515E-09
2.083333E-05    3.002028E-03    2.219167E-09
4.166667E-05    -6.128138E-03   1.455192E-09
6.250000E-05    -1.585739E-03   -3.601599E-09
8.333333E-05    -5.562574E-03   -7.698427E-09
1.041667E-04    -2.667150E-03   6.027595E-12
1.250000E-04    -3.965139E-03   -4.639564E-09
1.458333E-04    -2.843425E-03   7.712515E-09
1.666667E-04    -3.247904E-03   1.018634E-09
1.875000E-04    -3.434171E-03   7.756171E-09
2.083333E-04    -4.013185E-03   -4.365575E-10
2.291667E-04    -3.683771E-03   5.311449E-09
2.500000E-04    -3.850766E-03   1.676181E-09
2.708333E-04    -2.969105E-03   1.059793E-09
2.916667E-04    -3.587062E-03   3.572709E-09
3.125000E-04    -3.455669E-03   -3.201421E-10
3.333333E-04    -4.322031E-03   2.351061E-09
3.541667E-04    -3.093781E-03   7.082646E-10
3.750000E-04    -4.404801E-03   1.154166E-09
3.958333E-04    -2.368452E-03   -7.566996E-09
4.166667E-04    -3.940213E-03   -2.197768E-09
4.375000E-04    -2.177697E-03   -7.835876E-11
4.583333E-04    -4.834488E-03   9.042871E-10
4.791667E-04    -1.784627E-03   -4.112770E-09
5.000000E-04    -4.166393E-03   1.113007E-09
5.208333E-04    -3.178073E-03   -1.730323E-09
5.416666E-04    -2.517000E-03   -1.930840E-09
5.625000E-04    -4.737313E-03   -7.018374E-09
5.833333E-04    -2.458729E-03   3.448376E-09
6.041666E-04    -3.550973E-03   -6.218233E-09
6.250000E-04    -5.121645E-03   6.091831E-09
6.458333E-04    -9.947676E-04   -3.725290E-09
6.666667E-04    -4.418466E-03   6.981281E-09
6.875000E-04    -3.320095E-03   -1.038279E-08
7.083333E-04    -2.140003E-03   -2.648449E-09
7.291667E-04    -4.455108E-03   -3.587047E-09
7.500000E-04    -1.530699E-03   1.421986E-09
7.708333E-04    -5.005752E-03   2.072400E-09
7.916667E-04    -3.298175E-03   2.199836E-09
8.125000E-04    -1.789694E-03   -3.172318E-09
8.333334E-04    -4.823742E-03   3.907189E-09
8.541666E-04    -3.894189E-03   -1.207809E-09
8.750000E-04    -1.181049E-03   4.161848E-09
8.958333E-04    -3.700820E-03   -5.384209E-09
9.166666E-04    -3.365305E-03   7.751606E-09
9.375000E-04    -3.377756E-03   -2.199836E-09
9.583333E-04    -2.986211E-03   1.680960E-09
9.791667E-04    -1.855175E-03   -8.702045E-09
9.999999E-04    -5.174737E-03   7.304134E-09
1.020833E-03    -1.864111E-03   2.637885E-10
1.041667E-03    -2.437472E-03   6.248194E-09
1.062500E-03    -3.636156E-03   -5.772545E-09
1.083333E-03    -5.471745E-03   5.622033E-09
1.104167E-03    6.504309E-04    -8.645300E-09
1.125000E-03    -5.835107E-03   2.612283E-09
1.145833E-03    -2.075286E-03   -1.280569E-09
1.166667E-03    -1.869468E-03   -2.764864E-09
1.187500E-03    -4.973611E-03   -1.092984E-08
1.208333E-03    -2.470068E-03   -1.809431E-09
