Time [s]        Real Pa         Imag Pa
0.000000E+00    2.004735E-03    -3.390596E-09
2.083333E-05    6.654634E-03    -6.359187E-09
4.166667E-05    -3.965916E-03   9.022187E-10
6.250000E-05    2.536456E-03    -5.267793E-09
8.333333E-05    -2.144819E-03   -5.071128E-09
1.041667E-04    1.357848E-03    -3.562723E-09
1.250000E-04    -1.468054E-03   -2.672559E-09
1.458333E-04    1.488667E-03    -8.440111E-09
1.666667E-04    -1.442862E-03   -6.606570E-09
1.875000E-04    1.699222E-03    -3.055902E-10
2.083333E-04    -7.479375E-04   -3.055902E-09
2.291667E-04    5.360183E-04    6.912160E-10
2.500000E-04    -7.763343E-04   -6.282682E-09
2.708333E-04    1.111125E-03    -3.879084E-10
2.916667E-04    -7.123236E-04   1.571607E-09
3.125000E-04    7.320410E-04    2.682546E-09
3.333333E-04    -1.816813E-03   7.671885E-11
3.541667E-04    1.000051E-03    1.882190E-09
3.750000E-04    -1.001811E-03   2.850107E-09
3.958333E-04    7.839970E-04    -5.118137E-10
4.166667E-04    -1.373539E-04   3.557729E-09
4.375000E-04    1.424436E-03    -2.626406E-09
4.583333E-04    -2.569426E-03   -1.256458E-09
4.791667E-04    1.539193E-03    5.366554E-09
5.000000E-04    4.047831E-04    -5.228097E-09
5.208333E-04    -2.949383E-04   8.589913E-10
5.416666E-04    9.562998E-04    -2.872149E-09
5.625000E-04    -1.174979E-04   4.026315E-09
5.833333E-04    3.539324E-04    -6.006839E-09
6.041666E-04    1.988890E-03    5.207553E-09
6.250000E-04    -3.005194E-03   -7.759096E-09
6.458333E-04    2.867439E-03    -4.926968E-10
6.666667E-04    4.876805E-04    -8.105417E-09
6.875000E-04    -1.703343E-03   9.895302E-10
7.083333E-04    2.558679E-03    -1.135049E-08
7.291667E-04    -4.804725E-04   3.929017E-09
7.500000E-04    -6.414488E-04   -7.426720E-09
7.708333E-04    4.664410E-04    1.052353E-08
7.916667E-04    -1.541892E-03   -4.738931E-09
8.125000E-04    1.760839E-03    2.823072E-09
8.333334E-04    1.332639E-03    5.333277E-09
8.541666E-04    -5.042195E-03   -6.260962E-09
8.750000E-04    3.136941E-03    -4.023605E-09
8.958333E-04    -1.038724E-03   1.840817E-09
9.166666E-04    -1.000529E-03   9.055036E-09
9.375000E-04    2.690052E-03    -2.992701E-09
9.583333E-04    -2.640734E-03   1.164153E-10
9.791667E-04    1.956355E-03    1.271010E-09
9.999999E-04    6.133170E-04    -2.113987E-09
1.020833E-03    -2.213548E-03   1.001172E-08
1.041667E-03    1.847717E-03    -1.271438E-09
1.062500E-03    6.714190E-04    4.472003E-09
1.083333E-03    -3.128053E-03   -4.310292E-09
1.104167E-03    4.333463E-03    9.189749E-09
1.125000E-03    -2.125870E-03   -4.807125E-09
1.145833E-03    -8.742062E-04   -7.115458E-09
1.166667E-03    2.196853E-03    6.267665E-10
1.187500E-03    -2.424671E-03   2.043724E-09
1.208333E-03    5.274701E-04    1.969074E-09
1.229167E-03    2.296600E-03    -3.563078E-10
1.250000E-03    -4.260511E-03   2.084026E-09
1.270833E-03    5.772621E-03    -1.143823E-10
1.291667E-03    -3.488881E-03   -2.432459E-10
1.312500E-03    -1.712372E-03   -9.616319E-09
1.333333E-03    3.883413E-03    -5.484078E-10
1.354167E-03    -2.987104E-03   -7.658873E-09
1.375000E-03    9.406324E-04    6.853952E-09
1.395833E-03    2.683604E-03    -7.481398E-09
1.416667E-03    -4.539997E-03   3.920958E-09
1.437500E-03    3.179503E-03    -8.453879E-09
1.458333E-03    -7.680864E-04   4.278558E-10
1.479167E-03    -2.361716E-03   -5.840740E-09
1.500000E-03    3.767910E-03    7.193224E-10
1.520833E-03    -3.428290E-03   -4.030881E-09
1.541667E-03    -1.810528E-04   2.265962E-09
1.562500E-03    4.314790E-03    2.368377E-09
1.583333E-03    -4.822623E-03   -3.494491E-09
1.604167E-03    2.061367E-03    -5.679530E-10
1.625000E-03    8.616006E-04    -3.924734E-10
1.645833E-03    -2.509747E-03   1.416958E-09
1.666667E-03    2.173582E-03    -1.590118E-09
1.687500E-03    4.843470E-04    2.870864E-09
1.708333E-03    -1.417336E-03   5.789166E-09
1.729167E-03    2.929473E-03    5.353963E-09
1.750000E-03    -4.971652E-03   2.120798E-09
1.770833E-03    2.517499E-03    -2.613568E-09
1.791667E-03    2.185250E-03    3.520278E-09
1.812500E-03    -4.057558E-03   -5.143710E-09
1.833333E-03    2.458905E-03    4.800669E-09
1.854167E-03    -1.336233E-04   -5.176345E-09
1.875000E-03    -1.633995E-03   5.803879E-09
1.895833E-03    2.874553E-03    -4.708364E-09
1.916667E-03    -2.627079E-03   6.416539E-09
1.937500E-03    5.842273E-04    -5.445270E-09
1.958333E-03    2.211879E-03    7.390733E-09
1.979167E-03    -5.195845E-03   -2.902464E-09
2.000000E-03    3.701154E-03    1.422985E-09
2.020833E-03    1.530731E-03    -3.710916E-09
2.041667E-03    -4.459410E-03   6.573329E-09
2.062500E-03    2.798082E-03    -7.024010E-09
2.083333E-03    -1.634431E-03   -1.439000E-09
2.104167E-03    -3.254274E-04   6.847319E-09
2.125000E-03    1.530894E-03    1.962012E-09
2.145833E-03    -3.896092E-03   -4.906284E-10
2.166667E-03    3.172555E-03    -1.589726E-09
2.187500E-03    -6.024847E-04   2.827566E-09
2.208333E-03    -2.829688E-03   9.722676E-10
2.229167E-03    2.719132E-03    -2.213745E-09
2.250000E-03    -2.717985E-04   5.458742E-10
2.270833E-03    -2.962555E-03   -3.126521E-10
2.291667E-03    2.978788E-03    -1.465178E-09
2.312500E-03    -3.283148E-03   -8.478773E-09
2.333333E-03    1.696398E-03    -1.311135E-09
2.354167E-03    1.572352E-05    -2.557000E-09
2.375000E-03    -9.171662E-04   3.394304E-09
2.395833E-03    1.617526E-03    -3.774368E-09
2.416667E-03    -2.908029E-04   9.583079E-09
2.437500E-03    -2.829782E-03   -7.623992E-09
2.458333E-03    3.415047E-03    4.477853E-09
2.479167E-03    -2.556313E-03   -3.769374E-09
2.500000E-03    7.881399E-04    6.371493E-09
2.520833E-03    6.384802E-04    1.482833E-09
2.541667E-03    -2.636635E-03   6.544225E-09
2.562500E-03    1.624793E-03    -1.025696E-09
2.583333E-03    2.247822E-04    8.268520E-09
2.604167E-03    -1.579477E-03   -1.332606E-09
2.625000E-03    1.062929E-03    -1.860503E-09
2.645833E-03    -1.864677E-03   -5.524878E-09
2.666667E-03    -3.507117E-04   -1.455192E-10
2.687500E-03    1.388451E-05    -5.253241E-09
2.708333E-03    -1.374681E-03   4.656613E-09
2.729167E-03    1.465115E-03    -2.793968E-09
2.750000E-03    -5.312612E-04   -1.519926E-08
2.770833E-03    -2.072989E-03   -2.514985E-09
2.791667E-03    2.072213E-03    -1.213130E-08
2.812500E-03    -7.899020E-04   9.022187E-09
2.833333E-03    -8.504924E-04   -5.442416E-09
2.854167E-03    1.298405E-04    7.756171E-09
2.875000E-03    -4.673109E-04   -9.167707E-09
2.895833E-03    -8.361978E-04   9.276846E-09
2.916667E-03    3.293207E-04    -2.033523E-09
2.937500E-03    -1.727986E-03   9.592886E-09
2.958333E-03    1.414985E-03    -4.947651E-10
2.979167E-03    -9.697613E-04   1.024954E-08
3.000000E-03    -2.310049E-03   1.299989E-09
3.020833E-03    2.148323E-03    4.297808E-09
3.041667E-03    -2.017956E-03   5.043808E-09
3.062500E-03    -7.684643E-04   8.044712E-09
3.083333E-03    4.707901E-04    4.023391E-09
3.104167E-03    -6.743111E-04   8.112907E-09
3.125000E-03    -3.321372E-04   4.709827E-09
3.145833E-03    6.947946E-04    -5.285448E-09
3.166667E-03    -3.200253E-03   9.789479E-09
3.187500E-03    3.658221E-03    -9.349177E-09
3.208333E-03    -3.451039E-03   1.022457E-08
3.229167E-03    1.730767E-03    -1.413447E-08
3.250000E-03    6.920728E-05    2.018661E-08
3.270833E-03    3.995043E-04    -2.657383E-08
3.291667E-03    -1.575323E-03   2.186860E-08
3.312500E-03    2.484004E-03    -3.076068E-08
3.333333E-03    -6.183520E-03   2.492743E-08
3.354167E-03    -6.976178E-02   -3.006426E-08
3.375000E-03    -7.491269E-01   3.584137E-08
3.395833E-03    -1.381328E+00   -3.108289E-08
3.416667E-03    -7.519050E-01   1.524153E-08
3.437500E-03    -4.337365E-01   -3.525679E-08
3.458333E-03    -4.612833E-01   2.328806E-08
3.479167E-03    -8.789355E-02   -2.110028E-08
3.500000E-03    -3.665322E-02   3.001333E-08
3.520833E-03    5.481846E-02    -2.226807E-08
3.541667E-03    3.080209E-01    8.491043E-09
3.562500E-03    2.872429E-01    -7.705239E-09
3.583333E-03    4.079536E-01    5.126019E-09
3.604167E-03    4.542169E-01    -1.894032E-09
3.625000E-03    4.563824E-01    -1.542503E-09
