Time [s]        Real Pa         Imag Pa
0.000000E+00    1.645268E-04    -4.001777E-10
2.083333E-05    -5.130246E-05   5.793481E-10
4.166667E-05    -2.094823E-05   5.147740E-10
6.250000E-05    -2.994797E-05   5.676384E-10
8.333333E-05    -2.506753E-05   -1.969056E-10
1.041667E-04    -1.300919E-05   3.933565E-10
1.250000E-04    8.493065E-06    -3.910827E-11
1.458333E-04    -1.202641E-05   1.946319E-10
1.666667E-04    -2.201779E-05   -1.400622E-10
1.875000E-04    -4.468441E-05   4.301910E-10
2.083333E-04    -4.898769E-05   -6.566552E-10
2.291667E-04    -4.211781E-05   -8.992629E-11
2.500000E-04    -4.760097E-05   -4.774847E-10
2.708333E-04    -3.543213E-05   -1.491571E-10
2.916667E-04    -3.068816E-05   -1.375753E-10
3.125000E-04    -2.464380E-05   -3.674359E-10
3.333333E-04    -5.041718E-05   -1.591616E-10
3.541667E-04    4.942965E-06    1.227818E-10
3.750000E-04    -2.833489E-05   -2.455636E-10
3.958333E-04    -3.325550E-05   -2.145271E-10
4.166667E-04    -4.173780E-05   2.228262E-10
4.375000E-04    7.176044E-06    -1.055014E-10
4.583333E-04    -9.819012E-05   5.638867E-10
4.791667E-04    2.405246E-05    1.455192E-11
5.000000E-04    -7.953866E-06   5.193215E-10
5.208333E-04    -1.485526E-04   -4.456524E-11
5.416666E-04    1.145076E-04    2.673914E-10
5.625000E-04    -1.211881E-04   -8.378720E-11
5.833333E-04    2.202706E-05    -5.966285E-10
6.041666E-04    7.594852E-05    6.730261E-11
6.250000E-04    -2.510066E-04   -5.027090E-10
6.458333E-04    1.509936E-04    4.401954E-10
6.666667E-04    -4.002031E-05   -1.737135E-10
6.875000E-04    -7.389509E-05   1.264198E-10
7.083333E-04    9.962347E-05    -1.574790E-09
7.291667E-04    -1.678389E-04   -1.945182E-10
7.500000E-04    4.999856E-05    -1.994977E-09
7.708333E-04    -7.425991E-05   -5.061338E-10
7.916667E-04    -7.225540E-05   -3.483365E-10
8.125000E-04    9.578698E-05    -8.185452E-11
8.333334E-04    -1.264443E-04   2.219167E-10
8.541666E-04    -1.182314E-04   4.192771E-10
8.750000E-04    6.786385E-05    6.912160E-10
8.958333E-04    -1.678325E-04   3.618652E-10
