Time [s]        Real Pa         Imag Pa
0.000000E+00    1.747879E-04    -6.775736E-11
2.083333E-05    -1.996885E-05   -7.280505E-10
4.166667E-05    1.081292E-05    3.410605E-11
6.250000E-05    -9.414163E-06   -3.668674E-10
8.333333E-05    8.468709E-06    -2.310117E-10
1.041667E-04    -8.377803E-06   2.994511E-10
1.250000E-04    5.731672E-07    1.671197E-10
1.458333E-04    3.825266E-06    4.370122E-10
1.666667E-04    7.294759E-06    -2.837623E-10
1.875000E-04    -4.243102E-06   5.768470E-10
2.083333E-04    6.311995E-06    -4.297362E-11
2.291667E-04    -5.552261E-06   3.477680E-10
2.500000E-04    3.034613E-06    -2.628440E-10
2.708333E-04    5.035423E-06    1.328090E-09
2.916667E-04    9.252297E-06    -4.885408E-10
3.125000E-04    -1.263552E-05   4.604317E-10
3.333333E-04    2.088045E-06    -3.506102E-10
3.541667E-04    1.608107E-05    1.079343E-09
3.750000E-04    -1.946926E-05   -8.435563E-10
3.958333E-04    -1.058824E-05   1.160629E-09
4.166667E-04    1.633816E-05    -9.167707E-10
4.375000E-04    6.376496E-06    1.168019E-09
4.583333E-04    -6.797589E-05   -1.496801E-09
4.791667E-04    4.047836E-05    1.461103E-09
5.000000E-04    2.841965E-05    -4.197318E-10
5.208333E-04    -1.557852E-05   1.157559E-09
5.416666E-04    -7.959490E-05   -2.043066E-09
5.625000E-04    6.209445E-05    -3.898322E-10
5.833333E-04    3.734085E-05    -1.022499E-09
6.041666E-04    -1.367731E-04   1.874696E-10
6.250000E-04    6.938444E-05    -5.454126E-10
6.458333E-04    1.463769E-04    8.799361E-11
6.666667E-04    -1.712925E-04   -4.488356E-10
6.875000E-04    3.291461E-05    1.923581E-10
7.083333E-04    1.689168E-04    3.183231E-12
7.291667E-04    -1.292515E-04   -2.531806E-10
7.500000E-04    7.024940E-05    7.376002E-10
7.708333E-04    3.762876E-05    -3.799414E-10
7.916667E-04    3.641089E-05    -1.080025E-10
8.125000E-04    -6.676296E-05   -5.861693E-10
8.333334E-04    -1.111577E-05   5.120455E-10
8.541666E-04    6.295797E-05    2.612524E-10
8.750000E-04    -4.777849E-05   7.682956E-10
8.958333E-04    1.624918E-04    5.605898E-10
9.166666E-04    -1.042774E-04   1.800800E-10
9.375000E-04    -4.849224E-05   1.971330E-10
9.583333E-04    1.200077E-04    4.211245E-10
9.791667E-04    -1.652314E-04   2.817160E-10
9.999999E-04    8.925403E-05    1.675744E-10
1.020833E-03    1.494525E-04    2.319211E-10
1.041667E-03    -1.770152E-04   -2.096385E-10
1.062500E-03    7.457997E-05    2.461320E-10
1.083333E-03    -5.792180E-05   6.157279E-10
1.104167E-03    -4.535441E-05   -1.567287E-09
1.125000E-03    9.195334E-05    4.507683E-10
1.145833E-03    1.572285E-05    -3.542482E-10
1.166667E-03    7.407874E-05    -5.397851E-10
1.187500E-03    -9.682511E-05   2.648903E-10
1.208333E-03    2.852118E-05    -5.481979E-10
1.229167E-03    -6.297733E-05   -1.979288E-10
1.250000E-03    -1.232066E-04   2.651177E-10
1.270833E-03    1.779425E-04    -3.509513E-10
1.291667E-03    -4.883332E-05   2.465299E-10
1.312500E-03    -4.573438E-05   -5.759375E-10
1.333333E-03    -6.741671E-05   -4.047251E-11
