Time [s]        Real Pa         Imag Pa
0.000000E+00    1.103087E-04    3.274181E-11
2.083333E-05    -7.229098E-05   -3.437890E-10
4.166667E-05    -5.025639E-05   -8.134293E-11
6.250000E-05    -1.000467E-04   -2.637535E-10
8.333333E-05    -8.286068E-05   4.820322E-11
1.041667E-04    -8.669904E-05   -6.912160E-11
1.250000E-04    -9.405096E-05   -1.799663E-10
1.458333E-04    -6.793554E-05   -4.602043E-10
1.666667E-04    -4.518290E-05   2.728484E-12
1.875000E-04    -4.521832E-05   -4.511094E-10
2.083333E-04    -2.975820E-05   7.497647E-11
2.291667E-04    -4.406222E-06   2.000888E-10
2.500000E-04    4.021033E-05    -6.966729E-10
2.708333E-04    7.714757E-05    5.957190E-10
2.916667E-04    6.138116E-05    -9.436008E-10
3.125000E-04    7.570710E-05    1.564331E-10
3.333333E-04    6.836333E-05    -7.785275E-10
3.541667E-04    1.207564E-04    1.200533E-10
3.750000E-04    1.427494E-04    -9.999326E-10
3.958333E-04    1.338191E-04    1.818989E-11
4.166667E-04    7.649628E-05    2.013621E-09
4.375000E-04    1.067089E-04    -1.369699E-09
4.583333E-04    2.313217E-04    9.631549E-10
4.791667E-04    -2.604931E-06   -1.068656E-09
5.000000E-04    -3.531457E-05   1.531589E-09
5.208333E-04    1.477609E-04    -1.172339E-09
5.416666E-04    -4.245728E-05   1.883961E-09
5.625000E-04    -6.122922E-06   -2.070010E-09
5.833333E-04    1.162989E-07    2.864908E-09
6.041666E-04    9.116097E-05    -1.909029E-09
6.250000E-04    -2.804588E-05   2.364686E-09
6.458333E-04    -5.392067E-05   -2.773049E-09
6.666667E-04    7.203560E-05    1.689841E-09
6.875000E-04    8.598363E-06    -1.313310E-09
7.083333E-04    -5.849080E-05   7.390213E-10
7.291667E-04    9.879425E-05    5.456968E-12
7.500000E-04    7.379502E-05    -9.367795E-11
7.708333E-04    1.179989E-04    6.220944E-10
7.916667E-04    3.356201E-05    2.709157E-10
8.125000E-04    5.584840E-05    -6.466507E-10
8.333334E-04    1.792036E-04    -5.975380E-10
8.541666E-04    9.643976E-06    5.256879E-10
8.750000E-04    5.545076E-05    3.404921E-11
8.958333E-04    2.214740E-04    2.728484E-10
9.166666E-04    7.212201E-05    -7.821654E-11
