Time [s]        Real Pa         Imag Pa
0.000000E+00    2.585288E-04    -7.021299E-10
2.083333E-05    3.066014E-05    -2.473826E-10
4.166667E-05    6.885349E-05    9.522410E-10
6.250000E-05    4.842716E-05    -2.746674E-10
8.333333E-05    3.176438E-05    1.828084E-10
1.041667E-04    2.104102E-05    -6.466507E-10
1.250000E-04    1.384521E-05    3.192326E-10
1.458333E-04    3.546003E-06    -6.939445E-10
1.666667E-04    -6.823902E-07   4.311005E-10
1.875000E-04    1.015593E-05    -2.246452E-10
2.083333E-04    8.989431E-06    3.096829E-10
2.291667E-04    2.280243E-05    -6.648406E-10
2.500000E-04    1.539204E-05    -1.509761E-10
2.708333E-04    3.196691E-05    7.048584E-11
2.916667E-04    -8.768373E-06   -3.019522E-10
3.125000E-04    -5.168273E-06   -5.802576E-10
3.333333E-04    -6.103533E-05   9.949872E-10
3.541667E-04    -1.923433E-05   4.929461E-10
3.750000E-04    -5.764401E-05   -6.839400E-10
3.958333E-04    5.130409E-05    2.328306E-10
4.166667E-04    -9.754150E-05   3.692548E-10
4.375000E-04    -7.441116E-05   -7.366907E-11
4.583333E-04    -6.905255E-05   3.992682E-10
4.791667E-04    1.843475E-05    -2.828529E-10
5.000000E-04    1.386238E-05    8.749339E-10
5.208333E-04    -1.220278E-04   -5.311449E-10
5.416666E-04    1.068987E-04    6.298251E-10
5.625000E-04    -7.716133E-05   -1.574335E-09
5.833333E-04    4.754094E-05    1.391527E-09
6.041666E-04    5.577145E-05    -8.658390E-10
6.250000E-04    -1.826296E-04   1.582521E-09
6.458333E-04    1.621564E-04    7.967174E-10
6.666667E-04    -6.635916E-05   1.422450E-09
6.875000E-04    -8.274482E-05   -8.712959E-10
7.083333E-04    2.003896E-05    1.182343E-11
7.291667E-04    -1.098430E-04   -1.928129E-10
7.500000E-04    -1.749505E-05   -1.019544E-09
7.708333E-04    -9.483795E-05   7.412382E-10
7.916667E-04    -1.085862E-05   -2.610250E-10
8.125000E-04    -4.541276E-05   6.793925E-10
8.333334E-04    -1.050492E-04   -6.439222E-10
8.541666E-04    -8.482528E-05   1.591616E-10
8.750000E-04    1.791175E-05    -4.160938E-10
8.958333E-04    -1.315549E-04   3.028617E-10
9.166666E-04    7.472078E-05    3.456080E-10
9.375000E-04    -4.424424E-05   1.928129E-10
9.583333E-04    -4.364986E-05   -2.291927E-10
9.791667E-04    -1.426231E-04   8.612915E-10
9.999999E-04    1.502452E-04    1.013177E-09
1.020833E-03    1.036146E-04    -1.664375E-10
1.041667E-03    -1.126458E-04   3.365130E-10
1.062500E-03    1.878974E-04    -4.474714E-10
1.083333E-03    -1.859821E-05   -7.639755E-11
1.104167E-03    8.955704E-05    5.697984E-10
1.125000E-03    2.477758E-05    2.205525E-10
1.145833E-03    -8.416695E-05   2.319211E-10
1.166667E-03    2.499137E-04    1.491571E-10
1.187500E-03    -7.807052E-06   2.000888E-10
1.208333E-03    -4.849718E-05   -2.414708E-10
1.229167E-03    1.041053E-04    1.120952E-09
1.250000E-03    5.007248E-05    -8.549250E-10
1.270833E-03    7.133761E-05    9.640644E-11
1.291667E-03    -2.526034E-04   -3.601599E-10
1.312500E-03    2.216261E-04    9.094947E-13
1.333333E-03    7.693441E-05    -4.620233E-10
1.354167E-03    -3.726517E-04   1.067747E-09
1.375000E-03    1.977261E-04    -1.928129E-10
1.395833E-03    6.879781E-05    1.982698E-10
1.416667E-03    -3.302185E-04   2.482921E-10
1.437500E-03    2.251373E-04    7.275958E-12
1.458333E-03    -2.341902E-04   -4.696403E-10
1.479167E-03    2.262954E-04    5.356924E-10
1.500000E-03    -1.579680E-04   -3.383320E-10
1.520833E-03    -2.880267E-04   -3.046807E-10
1.541667E-03    4.550367E-04    -1.032276E-10
1.562500E-03    -1.563005E-04   -6.793925E-10
1.583333E-03    -1.953171E-04   -4.547474E-11
1.604167E-03    1.989057E-04    -2.232809E-10
1.625000E-03    -1.218570E-04   8.367351E-11
1.645833E-03    6.115422E-05    -1.800800E-10
1.666667E-03    -1.623464E-04   5.275069E-11
1.687500E-03    1.423977E-04    -1.946319E-10
1.708333E-03    1.862089E-04    5.347829E-10
1.729167E-03    -3.269392E-04   1.236913E-10
1.750000E-03    6.754680E-05    9.804353E-10
1.770833E-03    9.245081E-05    -1.900844E-10
1.791667E-03    -5.175782E-06   6.775736E-10
1.812500E-03    -9.228030E-05   -7.848939E-10
1.833333E-03    -2.516094E-05   1.045919E-09
1.854167E-03    2.344189E-04    -7.985363E-10
1.875000E-03    -2.186710E-04   8.790266E-10
1.895833E-03    -6.892066E-05   -3.037712E-10
1.916667E-03    2.219692E-04    6.657501E-10
1.937500E-03    -1.714515E-04   -1.964509E-10
1.958333E-03    1.748113E-04    8.603820E-10
1.979167E-03    -2.238500E-04   -5.456968E-12
2.000000E-03    -8.332402E-06   -6.202754E-10
2.020833E-03    1.257321E-04    4.001777E-10
2.041667E-03    -4.185796E-04   2.498382E-09
2.062500E-03    2.496922E-04    2.375600E-09
2.083333E-03    4.272569E-05    -1.828084E-10
2.104167E-03    -2.623718E-04   9.003998E-11
2.125000E-03    1.273671E-04    3.337846E-10
2.145833E-03    -2.404642E-04   6.175469E-10
2.166667E-03    8.807378E-05    2.637535E-10
2.187500E-03    -4.227823E-05   -1.165063E-09
2.208333E-03    -1.908283E-04   -3.469722E-10
2.229167E-03    2.439886E-04    -9.813448E-10
2.250000E-03    -2.659521E-04   4.165486E-10
2.270833E-03    -6.374394E-06   -1.104127E-09
2.291667E-03    2.064576E-04    2.760316E-10
2.312500E-03    -1.970335E-04   -1.261469E-09
2.333333E-03    2.897392E-04    7.948984E-10
2.354167E-03    1.122792E-04    -9.104042E-10
2.375000E-03    -9.646003E-05   2.578417E-10
2.395833E-03    1.399608E-04    -1.126864E-09
2.416667E-03    -1.785810E-04   3.519744E-10
2.437500E-03    9.394113E-05    -6.152732E-10
2.458333E-03    9.728489E-05    -7.714789E-10
2.479167E-03    -1.188457E-04   2.264642E-10
2.500000E-03    3.006477E-04    -1.168701E-09
2.520833E-03    -1.094882E-04   6.839400E-10
2.541667E-03    -1.743580E-04   -6.398295E-10
2.562500E-03    1.414227E-04    1.525677E-09
2.583333E-03    8.023316E-05    -1.513399E-09
2.604167E-03    -3.094974E-06   6.566552E-10
2.625000E-03    1.259132E-04    -9.272298E-10
2.645833E-03    -1.483642E-04   5.547918E-11
2.666667E-03    8.417913E-05    -1.798981E-09
2.687500E-03    -2.299562E-04   1.710760E-09
2.708333E-03    -4.932558E-05   1.752596E-09
2.729167E-03    2.111798E-04    4.501999E-10
2.750000E-03    -7.863251E-05   2.755769E-10
2.770833E-03    -1.813462E-04   -1.191438E-10
2.791667E-03    -4.081536E-06   4.010872E-10
2.812500E-03    -2.172437E-04   -2.082743E-10
2.833333E-03    9.303780E-05    1.358785E-09
2.854167E-03    -1.773575E-04   -6.866685E-10
2.875000E-03    1.049765E-04    3.060450E-10
2.895833E-03    1.424820E-04    -7.830749E-10
2.916667E-03    -2.917586E-04   4.069989E-10
2.937500E-03    1.708184E-05    -1.306489E-09
2.958333E-03    1.584131E-04    7.876224E-10
2.979167E-03    -1.223019E-04   -6.220944E-10
3.000000E-03    2.998304E-04    -9.995347E-10
3.020833E-03    -1.627770E-04   -1.780791E-09
3.041667E-03    4.743192E-05    -9.476935E-10
3.062500E-03    1.743596E-04    -8.840289E-10
3.083333E-03    -3.758821E-04   6.893970E-10
3.104167E-03    4.178202E-05    -6.639311E-11
3.125000E-03    2.101150E-04    2.082743E-10
3.145833E-03    -2.654698E-04   9.476935E-10
3.166667E-03    -3.938931E-05   -1.637090E-11
3.187500E-03    -1.784321E-04   1.655280E-10
3.208333E-03    1.282235E-04    -2.047955E-09
3.229167E-03    -2.167367E-04   9.431460E-10
3.250000E-03    3.108046E-04    -9.713403E-10
3.270833E-03    -2.799694E-04   2.995876E-09
3.291667E-03    3.481830E-04    -3.148671E-09
3.312500E-03    -6.833496E-04   4.662070E-09
3.333333E-03    -1.779217E-02   -4.936737E-09
3.354167E-03    -1.380724E-01   5.582478E-09
3.375000E-03    -2.213035E-01   -6.470145E-09
3.395833E-03    -9.654844E-02   3.121386E-09
3.416667E-03    -5.206428E-02   -5.312359E-09
3.437500E-03    -6.810926E-02   3.464265E-09
3.458333E-03    -4.851325E-03   -1.838089E-09
3.479167E-03    -1.111326E-02   3.207788E-09
3.500000E-03    -8.059307E-03   -2.510205E-09
3.520833E-03    4.746197E-02    3.613422E-09
3.541667E-03    4.919777E-02    7.626113E-10
3.562500E-03    6.241620E-02    6.994014E-10
3.583333E-03    7.283516E-02    3.092282E-10
3.604167E-03    6.973521E-02    -2.692104E-10
3.625000E-03    7.826975E-02    8.567440E-10
