Freq [Hz]   dBV         Phase [Deg]
10.00       -20.77      -0.61
11.22       -20.76      -0.78
12.59       -20.75      -0.97
14.13       -20.74      -1.18
15.85       -20.74      -1.41
17.78       -20.73      -1.67
19.95       -20.73      -1.95
22.39       -20.73      -2.26
25.12       -20.73      -2.57
28.18       -20.74      -2.92
31.62       -20.74      -3.29
35.48       -20.75      -3.70
39.81       -20.76      -4.14
44.67       -20.77      -4.63
50.12       -20.78      -5.17
56.23       -20.79      -5.75
63.10       -20.80      -6.41
70.79       -20.81      -7.13
79.43       -20.83      -7.96
89.13       -20.84      -8.87
100.00      -20.86      -9.87
112.20      -20.89      -11.01
125.89      -20.91      -12.26
141.25      -20.95      -13.67
158.49      -20.98      -15.20
177.83      -21.03      -16.96
199.53      -21.09      -18.90
223.87      -21.16      -21.04
251.19      -21.24      -23.33
281.84      -21.33      -25.80
316.23      -21.44      -28.61
354.81      -21.57      -31.66
398.11      -21.72      -34.88
446.68      -21.87      -38.39
501.19      -22.03      -42.12
562.34      -22.18      -46.17
630.96      -22.28      -50.54
707.95      -22.30      -55.97
794.33      -22.26      -62.64
891.25      -22.20      -71.64
1000.00     -22.29      -83.58
1122.02     -22.83      -98.70
1258.93     -24.23      -115.77
1412.54     -26.42      -130.43
1584.89     -29.08      -141.38
1778.28     -31.77      -148.56
1995.26     -34.25      -153.33
2238.72     -36.84      -157.32
2511.89     -39.19      -160.57
2818.38     -41.70      -163.68
3162.28     -44.17      -166.37
3548.13     -46.83      -168.82
3981.07     -49.69      -170.82
4466.84     -52.71      -172.55
5011.87     -56.06      -174.14
5623.41     -59.82      -175.92
6309.57     -64.76      -179.97
7079.46     -71.70      166.74
7943.28     -79.02      92.17
8912.51     -71.83      41.37
10000.00    -67.73      33.77
11220.19    -65.13      32.28
12589.26    -63.46      33.07
14125.38    -62.09      33.95
15848.94    -61.09      35.07
17782.80    -60.13      36.53
19952.63    -59.37      38.55
22387.22    -58.67      39.73
