Freq [Hz]   dBV         Phase [Deg]
10.00       -53.43      12.61
11.22       -53.17      10.92
12.59       -52.98      9.10
14.13       -52.83      6.95
15.85       -52.74      4.58
17.78       -52.72      2.44
19.95       -52.74      0.31
22.39       -52.89      -1.91
25.12       -53.04      -3.83
28.18       -53.26      -5.62
31.62       -53.51      -6.93
35.48       -53.86      -8.07
39.81       -54.19      -8.63
44.67       -54.62      -9.11
50.12       -55.07      -9.36
56.23       -55.56      -8.84
63.10       -56.21      -7.80
70.79       -56.89      -6.60
79.43       -57.73      -4.20
89.13       -58.68      0.01
100.00      -59.74      5.84
112.20      -60.98      15.30
125.89      -61.96      29.89
141.25      -62.36      49.74
158.49      -61.53      71.70
177.83      -59.45      89.40
199.53      -57.03      101.27
223.87      -54.48      109.10
251.19      -52.16      113.96
281.84      -50.02      116.94
316.23      -47.86      119.00
354.81      -45.79      119.56
398.11      -43.85      118.96
446.68      -42.03      117.21
501.19      -40.37      114.61
562.34      -39.13      110.97
630.96      -38.66      110.44
707.95      -37.92      120.03
794.33      -35.21      131.09
891.25      -31.27      132.82
1000.00     -27.45      124.73
1122.02     -24.29      109.62
1258.93     -22.18      90.11
1412.54     -21.20      71.12
1584.89     -20.87      54.37
1778.28     -20.86      40.63
1995.26     -20.97      29.43
2238.72     -21.16      18.63
2511.89     -21.42      9.51
2818.38     -21.76      0.66
3162.28     -22.17      -7.21
3548.13     -22.67      -14.64
3981.07     -23.25      -21.57
4466.84     -23.88      -27.75
5011.87     -24.58      -33.47
5623.41     -25.29      -38.45
6309.57     -26.10      -43.24
7079.46     -26.92      -47.46
7943.28     -27.74      -51.13
8912.51     -28.59      -54.42
10000.00    -29.46      -57.38
11220.19    -30.40      -60.14
12589.26    -31.34      -62.50
14125.38    -32.29      -64.50
15848.94    -33.25      -66.22
17782.80    -34.26      -67.71
19952.63    -35.26      -68.81
22387.22    -36.29      -69.63
