Freq [Hz]   Ohm         Phase [Deg]
10.00       9.22        26.75
11.22       9.62        29.17
12.59       10.12       31.73
14.13       10.74       34.25
15.85       11.56       36.98
17.78       12.59       39.54
19.95       14.00       41.95
22.39       16.09       44.58
25.12       18.89       45.43
28.18       25.01       46.75
31.62       30.84       39.56
35.48       44.20       28.84
39.81       52.63       -2.65
44.67       45.05       -33.14
50.12       33.47       -48.79
56.23       25.24       -55.61
63.10       19.55       -57.66
70.79       15.87       -57.55
79.43       13.12       -56.01
89.13       11.24       -53.06
100.00      9.97        -49.33
112.20      9.04        -45.30
125.89      8.40        -41.39
141.25      7.95        -37.60
158.49      7.67        -34.41
177.83      7.44        -32.52
199.53      7.16        -31.23
223.87      6.76        -29.37
251.19      6.42        -26.72
281.84      6.23        -23.50
316.23      6.15        -20.53
354.81      6.14        -18.26
398.11      6.21        -16.94
446.68      6.16        -18.03
501.19      5.85        -17.22
562.34      5.71        -14.78
630.96      5.68        -13.32
707.95      5.59        -12.20
794.33      5.54        -10.99
891.25      5.46        -9.76
1000.00     5.42        -8.44
1122.02     5.40        -7.35
1258.93     5.37        -6.39
1412.54     5.34        -5.31
1584.89     5.34        -4.27
1778.28     5.34        -3.34
1995.26     5.36        -2.56
2238.72     5.37        -2.04
2511.89     5.36        -1.41
2818.38     5.38        -0.53
3162.28     5.40        0.00
3548.13     5.43        0.44
3981.07     5.45        0.84
4466.84     5.47        1.22
5011.87     5.50        1.54
5623.41     5.52        1.82
6309.57     5.54        2.12
7079.46     5.56        2.40
7943.28     5.58        2.66
8912.51     5.59        2.91
10000.00    5.61        3.15
11220.19    5.63        3.42
12589.26    5.65        3.71
14125.38    5.66        4.06
15848.94    5.67        4.40
17782.80    5.68        4.72
19952.63    5.70        5.09
22387.22    5.72        5.55
