Freq [Hz]   Ohm         Phase [Deg]
10.00       7.78        -13.72
11.22       7.34        -14.43
12.59       6.79        -15.01
14.13       6.33        -15.20
15.85       6.04        -14.66
17.78       5.75        -14.05
19.95       5.44        -13.16
22.39       5.30        -11.58
25.12       5.29        -9.86
28.18       5.10        -8.38
31.62       4.86        -6.83
35.48       4.72        -4.75
39.81       4.63        -2.71
44.67       4.69        -0.53
50.12       4.68        1.47
56.23       4.67        3.59
63.10       4.71        5.73
70.79       4.80        7.61
79.43       4.88        9.49
89.13       4.98        11.22
100.00      5.09        12.84
112.20      5.20        14.37
125.89      5.30        15.92
141.25      5.41        17.56
158.49      5.55        19.33
177.83      5.77        21.13
199.53      6.03        21.87
223.87      6.20        21.80
251.19      6.30        22.22
281.84      6.36        23.36
316.23      6.46        25.43
354.81      6.63        27.89
398.11      6.91        31.14
446.68      7.55        32.93
501.19      7.84        31.71
562.34      7.96        33.14
630.96      8.29        35.56
707.95      8.73        37.12
794.33      9.20        38.73
891.25      9.69        39.88
1000.00     10.20       41.52
1122.02     10.83       43.15
1258.93     11.60       44.39
1412.54     12.25       45.10
1584.89     13.06       46.63
1778.28     13.91       47.83
1995.26     14.91       49.39
2238.72     16.25       49.96
2511.89     17.25       50.03
2818.38     18.23       51.74
3162.28     19.55       52.92
3548.13     21.09       53.91
3981.07     22.77       54.76
4466.84     24.53       55.66
5011.87     26.55       56.39
5623.41     28.68       56.98
6309.57     31.02       57.50
7079.46     33.60       58.09
7943.28     36.32       58.50
8912.51     39.21       58.89
10000.00    42.33       59.20
11220.19    45.97       59.56
12589.26    49.85       59.86
14125.38    53.96       60.15
15848.94    58.33       60.31
17782.80    63.10       60.48
19952.63    68.26       60.65
22387.22    73.43       60.31
