Freq [Hz]   Ohm         Phase [Deg]
10.00       8.14        31.20
11.22       8.52        33.92
12.59       8.99        36.75
14.13       9.54        39.55
15.85       10.26       42.52
17.78       11.15       45.37
19.95       12.34       48.25
22.39       13.90       50.92
25.12       16.01       52.95
28.18       19.64       56.56
31.62       23.95       52.36
35.48       30.56       52.84
39.81       45.16       43.55
44.67       57.81       13.16
50.12       51.78       -19.01
56.23       39.92       -37.25
63.10       29.68       -46.11
70.79       23.00       -48.63
79.43       18.42       -48.44
89.13       15.22       -46.40
100.00      13.02       -42.84
112.20      11.48       -38.18
125.89      10.46       -33.01
141.25      9.79        -27.56
158.49      9.44        -22.43
177.83      9.33        -18.74
199.53      9.06        -16.93
223.87      8.58        -14.11
251.19      8.06        -9.51
281.84      7.81        -3.48
316.23      7.81        3.04
354.81      8.01        9.09
398.11      8.54        15.22
446.68      9.51        16.24
501.19      9.41        15.47
562.34      9.34        20.00
630.96      9.80        24.50
707.95      10.33       27.09
794.33      10.85       29.95
891.25      11.45       32.13
1000.00     12.02       34.66
1122.02     12.79       37.11
1258.93     13.73       38.72
1412.54     14.37       40.00
1584.89     15.35       42.22
1778.28     16.31       43.89
1995.26     17.55       45.91
2238.72     19.12       46.31
2511.89     20.15       46.49
2818.38     21.25       48.93
3162.28     22.79       50.36
3548.13     24.59       51.47
3981.07     26.54       52.43
4466.84     28.57       53.48
5011.87     30.90       54.31
5623.41     33.34       54.95
6309.57     35.98       55.55
7079.46     38.92       56.24
7943.28     42.01       56.71
8912.51     45.27       57.18
10000.00    48.79       57.56
11220.19    52.90       58.00
12589.26    57.30       58.38
14125.38    61.93       58.73
15848.94    66.84       58.95
17782.80    72.22       59.18
19952.63    78.05       59.42
22387.22    83.91       59.17
