Freq [Hz]   dBV         Phase [Deg]
10.00       -48.66      7.37
11.22       -48.49      6.31
12.59       -48.38      5.07
14.13       -48.28      3.87
15.85       -48.23      2.48
17.78       -48.20      1.12
19.95       -48.21      -0.16
22.39       -48.26      -1.48
25.12       -48.35      -2.55
28.18       -48.47      -3.65
31.62       -48.59      -4.39
35.48       -48.73      -5.07
39.81       -48.89      -5.49
44.67       -49.07      -5.78
50.12       -49.25      -5.85
56.23       -49.44      -5.74
63.10       -49.60      -5.46
70.79       -49.76      -4.93
79.43       -49.97      -4.17
89.13       -50.12      -3.37
100.00      -50.30      -2.46
112.20      -50.44      -1.02
125.89      -50.56      0.24
141.25      -50.66      1.86
158.49      -50.75      3.62
177.83      -50.80      5.21
199.53      -50.83      6.81
223.87      -50.90      8.52
251.19      -50.99      10.15
281.84      -51.12      11.79
316.23      -51.29      13.53
354.81      -51.51      15.80
398.11      -51.76      17.92
446.68      -52.16      18.94
501.19      -53.10      19.58
562.34      -54.98      20.87
630.96      -58.69      30.28
707.95      -64.77      74.78
794.33      -59.15      162.58
891.25      -49.84      179.37
1000.00     -43.12      177.90
1122.02     -37.55      167.69
1258.93     -33.01      148.55
1412.54     -30.29      125.21
1584.89     -29.25      104.29
1778.28     -29.05      90.10
1995.26     -28.98      81.43
2238.72     -28.80      75.13
2511.89     -28.50      70.94
2818.38     -28.08      67.42
3162.28     -27.61      64.46
3548.13     -27.08      61.63
3981.07     -26.51      58.81
4466.84     -25.95      56.02
5011.87     -25.38      53.12
5623.41     -24.86      50.26
6309.57     -24.34      47.15
7079.46     -23.86      44.07
7943.28     -23.45      41.09
8912.51     -23.08      38.15
10000.00    -22.75      35.28
11220.19    -22.45      32.36
12589.26    -22.19      29.68
14125.38    -21.98      27.25
15848.94    -21.81      25.00
17782.80    -21.67      22.84
19952.63    -21.54      20.90
22387.22    -21.43      19.20
