#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Auditorio

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   A0           0,700        4,000        1,400
 Rec id and loc     [m] :   01           3,000        3,800        1,500

 01        6,7308

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  OMNI.SD0
   Dir. Index (DI) [dB] :       0,0      0,0      0,0      0,0      0,0      0,0
 Level
   On axis 1m      [dB] :      85,0     88,0     91,0     94,0     97,0    100,0
   Total power     [dB] :      95,9     98,9    101,9    104,9    107,9    110,9
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      50
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,10     0,30     0,63     1,07     2,28     6,83      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K
#DATA
d	     0,0000	 0	 90,00	 90,00	  77,7	  80,7	  83,7	  86,7	  89,7	  92,7
*	     1,8214	 1	102,73	107,90	  55,0	  57,6	  60,6	  64,9	  69,7	  72,7
*	     1,3906	 1	 91,61	107,99	  57,3	  59,9	  62,9	  67,2	  72,0	  75,0
*	     1,7030	 1	 80,73	107,46	  56,0	  58,7	  61,6	  65,9	  70,8	  73,7
*	     2,6598	 1	 70,79	106,45	  52,2	  54,9	  57,8	  62,1	  67,0	  69,9
*	     4,0165	 1	 62,18	105,19	  47,9	  50,5	  53,5	  57,8	  62,6	  65,6
s	     3,8395	 1	 90,00	 37,03	  71,0	  73,4	  74,9	  76,9	  76,9	  78,6
*	    44,3280	 1	253,37	 82,21	  27,2	  29,6	  31,1	  33,1	  33,0	  34,4
*	    41,7107	 1	268,76	 81,62	  28,6	  31,0	  32,5	  34,5	  34,4	  35,8
*	    41,9460	 1	285,07	 81,65	  28,5	  30,9	  32,4	  34,4	  34,3	  35,7
*	    44,9868	 1	299,93	 82,24	  26,8	  29,2	  30,7	  32,7	  32,6	  34,0
*	    33,6326	 1	245,92	 78,94	  33,4	  35,8	  37,3	  39,3	  39,3	  40,7
*	    30,2361	 1	266,29	 77,45	  35,8	  38,2	  39,7	  41,7	  41,7	  43,2
*	    30,5552	 1	289,01	 77,61	  35,6	  38,0	  39,5	  41,5	  41,4	  42,9
*	    34,4801	 1	308,10	 79,18	  32,8	  35,2	  36,7	  38,7	  38,6	  40,1
*	    23,8232	 1	232,07	 73,55	  40,8	  43,2	  44,7	  46,8	  46,7	  48,2
*	    19,0880	 1	260,63	 68,54	  45,6	  48,0	  49,5	  51,5	  51,5	  53,0
*	    19,5731	 1	297,67	 69,37	  45,0	  47,4	  48,9	  50,9	  50,9	  52,4
*	    24,9574	 1	322,48	 74,50	  39,7	  42,1	  43,6	  45,6	  45,6	  47,1
*	    16,1689	 1	204,35	 66,31	  48,3	  50,7	  52,2	  54,2	  54,2	  55,8
*	     9,2041	 1	236,97	 43,67	  58,9	  61,3	  62,9	  64,9	  64,8	  66,5
*	    10,0443	 1	326,94	 50,54	  57,1	  59,5	  61,0	  63,0	  63,0	  64,6
*	    13,1275	 1	164,53	 65,06	  51,6	  54,0	  55,5	  57,6	  57,5	  59,1
*	     4,9643	 1	131,40	 42,85	  65,4	  67,8	  69,4	  71,4	  71,4	  73,0
*	     5,8284	 1	 44,56	 49,34	  63,5	  65,9	  67,5	  69,5	  69,5	  71,1
*	    14,6346	 1	 22,54	 67,74	  49,7	  52,1	  53,6	  55,6	  55,6	  57,2
s	     4,0659	 1	 91,88	 89,07	  73,4	  76,3	  79,3	  82,3	  85,3	  88,2
*	    19,7674	 1	146,28	100,15	  38,6	  41,4	  44,1	  47,8	  50,4	  53,2
*	    19,2063	 1	146,72	 88,16	  39,2	  41,9	  44,7	  48,3	  51,0	  53,8
*	    20,0155	 1	147,16	 76,21	  38,3	  41,1	  43,9	  47,5	  50,2	  52,9
*	    14,7756	 1	137,30	101,89	  44,2	  47,0	  49,7	  53,4	  56,0	  58,8
*	    14,0761	 1	137,76	 87,77	  45,1	  47,8	  50,6	  54,3	  56,9	  59,7
*	    15,0920	 1	138,22	 73,71	  43,8	  46,5	  49,3	  53,0	  55,6	  58,4
*	    10,3365	 1	124,80	103,83	  50,7	  53,4	  56,2	  59,9	  62,5	  65,4
*	     9,4204	 1	125,22	 87,31	  52,3	  55,0	  57,8	  61,5	  64,1	  67,0
*	    10,7646	 1	125,65	 70,89	  49,9	  52,7	  55,5	  59,1	  61,8	  64,6
*	     6,9473	 1	108,23	105,37	  57,8	  60,5	  63,3	  67,0	  69,6	  72,5
*	     5,6479	 1	108,48	 86,90	  61,3	  64,1	  66,9	  70,5	  73,2	  76,1
*	     7,5612	 1	108,75	 68,57	  56,1	  58,9	  61,7	  65,3	  68,0	  70,8
*	     6,5612	 1	 89,11	 68,04	  58,8	  61,5	  64,3	  68,0	  70,6	  73,5
*	     8,4812	 1	 70,71	 69,65	  54,4	  57,2	  59,9	  63,6	  66,3	  69,1
*	    11,8524	 1	 57,10	102,41	  48,5	  51,3	  54,0	  57,7	  60,3	  63,2
*	    11,0138	 1	 56,74	 87,32	  49,8	  52,6	  55,4	  59,0	  61,7	  64,5
*	    12,2485	 1	 56,37	 72,31	  47,8	  50,6	  53,4	  57,0	  59,7	  62,5
*	    16,6048	 1	 46,84	100,49	  42,1	  44,9	  47,7	  51,3	  54,0	  56,8
*	    15,9596	 1	 46,46	 87,69	  42,9	  45,6	  48,4	  52,1	  54,7	  57,5
*	    16,9010	 1	 46,07	 74,94	  41,8	  44,5	  47,3	  51,0	  53,6	  56,4
*	     5,6112	 1	106,98	 82,18	  57,2	  60,2	  63,2	  66,2	  69,2	  72,1
*	     5,4751	 1	 78,57	 82,23	  58,2	  61,2	  64,2	  67,2	  70,2	  73,1
s	     4,7460	 2	 91,85	107,40	  71,5	  74,1	  77,3	  80,1	  83,6	  86,5
*	    15,7961	 1	137,22	108,44	  47,3	  50,3	  53,3	  56,2	  59,2	  62,0
*	     8,6405	 1	108,85	113,51	  58,3	  61,3	  64,3	  67,3	  70,2	  73,1
*	     9,2171	 1	 72,47	112,38	  57,4	  60,4	  63,4	  66,3	  69,3	  72,2
*	    13,2728	 1	164,48	116,28	  50,2	  53,2	  56,2	  59,1	  62,1	  65,0
*	     5,2097	 1	131,05	138,61	  63,7	  66,7	  69,6	  72,6	  75,6	  78,5
*	     6,0566	 1	 44,30	131,53	  61,9	  64,9	  67,8	  70,8	  73,8	  76,7
*	    14,7697	 1	 22,47	112,70	  48,3	  51,3	  54,3	  57,2	  60,2	  63,1
*	    16,6778	 1	204,44	117,77	  46,5	  49,5	  52,4	  55,4	  58,4	  61,2
*	     9,9860	 1	237,40	141,24	  56,2	  59,2	  62,1	  65,1	  68,1	  71,0
*	    10,7639	 1	327,15	133,79	  54,6	  57,6	  60,5	  63,5	  66,5	  69,4
