#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Restaurante

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   C2           7,800        1,550        1,400
 Rec id and loc     [m] :   01           8,450        6,740        1,500

 01       15,2378

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  Voz.SD0
   Dir. Index (DI) [dB] :       1,1      2,0      3,0      0,7      2,3      5,1
 Level
   On axis 1m      [dB] :      51,2     57,2     59,8     53,5     48,8     43,8
   Total power     [dB] :      61,1     66,2     67,8     63,8     57,5     49,7
 Aim
   Horizontal angle [°] :      -0,0
   Vertical   angle [°] :       0,0
   Point            [m] :                8,450        1,550        1,400
   Roll angle       [°] :       0,0
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      70
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,08     0,26     0,64     1,15     2,08     5,31      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K
#DATA
d	     0,0000	 0	135,43	 90,17	  34,8	  40,8	  43,9	  40,6	  33,8	  27,3
*	     0,3606	 1	123,29	 91,00	  -0,7	   0,6	   4,2	  -3,0	  -8,3	 -18,3
*	     1,0338	 1	123,10	106,21	  -1,8	  -0,5	   2,6	  -4,6	 -11,2	 -21,3
*	     0,7088	 1	132,45	 90,12	  20,8	  18,1	  19,1	   9,8	   2,6	  -8,1
*	     2,2559	 1	115,53	108,56	   3,3	   4,6	   6,6	  -0,3	  -9,1	 -19,2
*	     1,2298	 1	115,67	 94,86	   4,9	   6,0	   9,0	   1,7	  -3,8	 -14,5
s	     2,0428	 1	135,95	 60,92	  32,7	  37,7	  37,9	  30,4	  20,9	   7,4
*	    10,3193	 1	158,00	 76,68	   9,5	  15,6	  17,9	  16,7	   7,8	   1,2
*	     5,9102	 1	165,72	 71,07	  11,9	  18,3	  21,3	  19,4	  12,3	   3,8
*	     5,2792	 1	186,07	 59,55	  11,6	  18,3	  22,2	  19,6	  14,2	   4,8
*	     8,6943	 1	245,65	 50,83	  10,1	  16,9	  21,1	  18,9	  12,1	   4,1
*	     6,4909	 1	138,07	 75,89	  16,2	  22,4	  23,7	  20,9	  11,9	   4,9
*	     2,3962	 1	135,61	 69,18	  16,5	  23,1	  25,6	  23,6	  13,9	   7,4
*	     2,2646	 1	127,39	 51,19	  15,6	  22,5	  25,8	  24,9	  14,2	   8,1
*	     5,7304	 1	 13,46	 23,20	  15,4	  22,3	  25,7	  25,3	  14,1	   8,2
*	    10,4068	 1	119,14	 76,66	   8,9	  11,8	  15,3	  13,3	  -0,7	 -12,0
*	     6,4571	 1	108,68	 71,93	  10,6	  13,9	  17,8	  15,5	   2,8	  -6,5
*	     6,6814	 1	 86,40	 64,53	   9,0	  14,3	  17,5	  16,7	   4,7	  -2,8
*	    10,6188	 1	 44,16	 60,92	   6,1	  12,6	  15,2	  15,0	   3,1	  -3,9
*	    18,5339	 1	104,33	 78,24	  -1,7	   2,1	   4,4	   1,4	 -12,3	 -22,6
*	    15,0442	 1	 91,88	 75,68	   0,8	   3,4	   6,5	   2,7	  -9,8	 -19,0
*	    15,1639	 1	 72,80	 73,11	   0,3	   3,2	   7,5	   3,9	  -7,5	 -15,9
*	    18,6839	 1	 47,92	 72,45	  -2,2	   2,1	   5,8	   4,1	  -7,7	 -15,5
*	     2,4701	 1	 53,79	 95,27	   4,9	   6,2	  10,0	   2,7	  -2,5	 -12,4
*	     3,5925	 1	 54,43	132,33	   0,7	   2,0	   5,6	  -1,6	  -7,2	 -17,2
*	     2,7812	 1	111,23	 99,73	  -3,4	  -3,2	   1,9	  -5,4	 -11,7	 -24,0
*	     2,8357	 1	108,24	107,91	  -1,8	  -1,1	   1,5	  -5,7	 -13,6	 -24,5
s	     3,4145	 1	178,41	 90,86	  33,0	  38,6	  42,3	  37,0	  34,4	  24,8
*	    13,7726	 1	155,73	 80,27	  -4,2	   2,7	   7,2	   6,7	   2,4	  -4,9
*	    13,1381	 1	155,65	 84,03	  -3,5	   3,6	   8,4	   7,5	   3,4	  -3,9
*	    12,7988	 1	155,56	 87,85	  -3,1	   4,1	   9,1	   7,9	   4,0	  -3,2
*	    12,7760	 1	155,48	 91,69	  -3,1	   4,2	   9,2	   8,0	   4,1	  -3,1
*	    11,8541	 1	156,66	 79,65	  -1,9	   4,8	   8,9	   8,7	   3,5	  -2,7
*	    11,1693	 1	156,57	 83,68	  -1,0	   5,9	  10,3	   9,7	   4,6	  -1,4
*	    10,8006	 1	156,48	 87,77	  -0,5	   6,7	  11,4	   9,8	   5,4	  -0,6
*	    10,7755	 1	156,40	 91,87	  -0,4	   6,8	  11,5	   9,8	   5,6	  -0,4
*	     7,4269	 1	160,44	 77,25	   2,6	   8,9	  12,7	  13,3	   6,3	   1,7
*	     6,6515	 1	160,33	 82,27	   3,3	  10,2	  14,1	  13,2	   7,6	   3,5
*	     6,2323	 1	160,22	 87,40	   3,9	  11,2	  15,6	  13,3	   8,4	   4,6
*	     5,0073	 1	167,05	107,75	   7,6	   9,4	  16,3	   8,0	   7,4	  -5,2
*	     8,3183	 1	158,41	 83,54	   5,2	  16,2	  15,2	  10,6	   8,7	  -0,0
*	     5,2984	 1	162,80	 82,11	   7,4	  18,3	  17,8	  13,4	  11,9	   1,6
*	     3,9802	 1	170,52	 79,78	   6,7	  17,7	  18,4	  13,7	  14,1	   1,0
*	     3,8533	 1	185,33	 75,93	   7,0	  18,2	  18,9	  14,2	  15,4	   2,2
*	     5,0821	 1	216,33	 71,08	   8,1	  19,2	  20,1	  15,6	  15,9	   3,7
