#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Restaurante

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   C4           8,450        2,190        1,400
 Rec id and loc     [m] :   01           8,450        6,740        1,500

 01       13,2560

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  Voz.SD0
   Dir. Index (DI) [dB] :       1,1      2,0      3,0      0,7      2,3      5,1
 Level
   On axis 1m      [dB] :      51,2     57,2     59,8     53,5     48,8     43,8
   Total power     [dB] :      61,1     66,2     67,8     63,8     57,5     49,7
 Aim
   Horizontal angle [°] :      -0,0
   Vertical   angle [°] :       0,0
   Point            [m] :                8,450        1,550        1,400
   Roll angle       [°] :       0,0
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      70
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,08     0,26     0,64     1,15     2,08     5,31      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K
#DATA
d	     0,0000	 0	142,56	 90,46	  35,0	  39,0	  37,8	  33,4	  22,7	  13,1
*	    11,5384	 1	158,00	 76,68	   9,8	  15,8	  18,4	  16,5	  10,0	   1,3
*	     5,7359	 1	165,72	 71,07	  14,4	  19,8	  22,7	  21,6	   9,7	   2,0
*	     4,8745	 1	186,07	 59,55	  14,4	  17,1	  20,7	  17,3	   4,9	  -4,5
*	     8,3612	 1	245,65	 50,83	  11,8	  14,8	  17,1	  13,8	   0,9	  -7,9
*	     9,5534	 1	138,07	 75,89	  14,6	  20,2	  21,5	  20,4	  12,7	   4,8
*	     3,3898	 1	135,61	 69,18	  19,7	  23,8	  27,2	  25,4	  12,7	   4,9
*	     2,6401	 1	127,39	 51,19	  18,1	  21,2	  24,3	  21,2	   7,6	  -3,4
*	     5,9727	 1	 13,46	 23,20	  16,1	  20,6	  22,2	  19,4	   5,5	  -4,2
*	    14,4553	 1	119,14	 76,66	   5,0	  11,5	  14,9	  12,8	   5,8	  -2,3
*	     9,1091	 1	108,68	 71,93	   9,1	  15,4	  18,0	  17,5	   5,8	  -1,5
*	     8,2215	 1	 86,40	 64,53	   9,7	  12,7	  16,9	  13,6	   1,8	  -7,0
*	    11,6420	 1	 44,16	 60,92	   7,0	   9,2	  12,7	   8,2	  -3,3	 -11,5
*	    22,6221	 1	104,33	 78,24	  -3,4	   3,4	   7,4	   5,6	  -2,7	  -9,5
*	    18,2783	 1	 91,88	 75,68	  -0,6	   6,2	   8,9	   8,7	  -3,0	  -9,6
*	    17,5101	 1	 72,80	 73,11	  -0,1	   4,6	   8,1	   6,9	  -5,0	 -12,8
*	    20,4073	 1	 47,92	 72,45	  -2,0	   0,9	   5,2	   1,4	  -9,8	 -18,0
s	     2,7830	 1	176,82	 90,97	  33,6	  34,3	  36,3	  27,2	  19,3	   6,4
*	    15,7327	 1	155,73	 80,27	  -5,7	   1,2	   5,7	   5,2	   0,9	  -6,4
*	    15,0970	 1	155,65	 84,03	  -5,0	   2,1	   6,9	   6,0	   1,9	  -5,4
*	    14,7569	 1	155,56	 87,85	  -4,6	   2,6	   7,7	   6,4	   2,5	  -4,7
