#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Restaurante

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   H1           3,620        2,230        1,400
 Rec id and loc     [m] :   01           8,450        6,740        1,500

 01       19,2500

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  Voz.SD0
   Dir. Index (DI) [dB] :       1,1      2,0      3,0      0,7      2,3      5,1
 Level
   On axis 1m      [dB] :      51,2     57,2     59,8     53,5     48,8     43,8
   Total power     [dB] :      61,1     66,2     67,8     63,8     57,5     49,7
 Aim
   Horizontal angle [°] :      -0,0
   Vertical   angle [°] :       0,0
   Point            [m] :                3,620        2,950        1,400
   Roll angle       [°] :       0,0
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      70
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,08     0,26     0,64     1,15     2,08     5,31      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K
#DATA
d	     0,0000	 0	 95,61	 89,55	  33,7	  39,7	  43,2	  37,9	  35,3	  25,2
s	     0,3337	 1	 95,59	 99,32	  30,6	  37,2	  40,2	  35,6	  32,5	  23,3
*	     0,3582	 1	 97,77	 98,33	  -1,7	   0,3	   6,7	  -2,8	  -1,4	 -14,8
*	     0,5946	 1	104,44	 99,39	  -2,9	  -0,9	   5,6	  -4,0	  -2,1	 -15,5
*	     0,3529	 1	 97,83	100,83	  -2,1	  -0,1	   6,5	  -3,1	  -1,6	 -15,1
*	     0,8590	 1	 96,00	102,78	  -3,0	  -1,7	   2,8	  -7,0	  -7,7	 -20,5
*	     0,8639	 1	 97,13	108,76	  -3,6	  -2,3	   2,5	  -7,5	  -7,3	 -20,6
*	     1,1284	 1	 96,58	 89,53	  26,6	  24,1	  25,0	  15,7	   8,5	  -2,4
*	     2,9283	 1	 96,56	 95,81	   9,6	  10,9	   7,9	   2,7	 -15,6	 -24,4
s	     1,1520	 2	 98,07	 98,89	  24,4	  26,1	  27,4	  21,4	  12,1	   4,0
*	     1,2068	 1	104,02	102,48	  -4,1	  -2,7	   1,7	  -8,2	  -9,3	 -21,4
*	     1,6093	 1	109,60	103,48	  -5,2	  -3,8	   0,7	  -9,0	 -10,3	 -22,1
*	     1,2167	 1	108,24	107,91	  -4,6	  -3,4	   1,4	  -8,7	  -8,2	 -21,3
*	     4,2643	 1	271,96	141,12	   5,6	   7,6	  14,2	   4,6	   6,3	  -7,4
*	     1,4158	 1	108,53	156,88	   9,7	  11,7	  18,3	   8,7	  10,4	  -3,3
*	     3,0195	 1	203,67	144,22	   6,8	   8,8	  15,4	   5,7	   7,6	  -6,0
s	     1,6543	 1	 95,67	 65,72	  31,8	  36,7	  37,2	  28,6	  22,9	   6,6
*	    17,8585	 1	158,00	 76,68	  -5,1	   1,8	   4,5	   4,4	  -7,4	 -14,0
*	    12,2866	 1	165,72	 71,07	  -0,2	   6,7	  10,5	   9,5	  -0,5	  -6,8
*	     9,2440	 1	186,07	 59,55	   5,0	  11,8	  16,0	  13,6	   7,3	  -1,1
*	    10,5556	 1	245,65	 50,83	   6,8	  13,6	  17,9	  15,1	   9,6	  -0,0
*	    11,7777	 1	138,07	 75,89	  -0,2	   6,6	   9,0	   8,9	  -2,9	  -9,9
*	     5,8874	 1	135,61	 69,18	   5,4	  12,2	  15,9	  14,5	   5,4	  -1,2
*	     2,8832	 1	127,39	 51,19	  11,3	  18,0	  22,1	  19,4	  14,1	   4,6
*	     4,5040	 1	 13,46	 23,20	  14,6	  21,4	  25,5	  22,8	  16,6	   7,3
*	     8,1176	 1	119,14	 76,66	   5,1	  10,5	  13,5	  12,6	   0,7	  -6,9
*	     2,6764	 1	108,68	 71,93	  10,4	  16,8	  20,1	  18,2	  10,2	   3,0
*	     1,8474	 1	 86,40	 64,53	  11,2	  17,9	  21,5	  19,1	  12,6	   3,6
*	     5,3356	 1	 44,16	 60,92	   9,3	  15,9	  19,1	  16,7	   9,0	   1,9
*	     7,9568	 1	104,33	 78,24	  10,4	  13,7	  17,2	  15,8	   1,8	  -8,3
*	     3,1422	 1	 91,88	 75,68	  16,7	  21,8	  22,4	  21,3	  13,4	   5,7
*	     4,6552	 1	 72,80	 73,11	   9,8	  15,9	  18,4	  17,1	   7,6	   2,0
*	     9,3304	 1	 47,92	 72,45	   3,8	  10,6	  13,1	  10,4	   2,3	  -2,7
s	     1,7697	 1	 95,56	112,38	  28,2	  29,3	  36,6	  28,5	  26,0	  15,8
*	     2,4910	 1	 96,63	 97,80	   4,8	   6,2	   3,9	  -4,4	 -16,3	 -27,0
s	     2,5340	 2	 98,02	111,51	  25,2	  28,0	  27,8	  23,7	  10,2	   0,6
s	     3,2610	 1	 88,28	 89,42	  31,0	  36,5	  39,2	  31,7	  29,5	  13,9
*	    10,6652	 1	 52,79	 79,63	  -0,7	   6,5	  10,6	   8,7	   3,8	  -0,2
*	    10,1333	 1	 52,92	 88,42	   0,0	   7,3	  12,0	   9,1	   4,5	   0,4
*	     8,4793	 1	 61,61	 79,64	   1,7	   8,8	  12,9	  11,4	   6,2	   2,0
*	     7,8799	 1	 61,71	 88,31	   2,7	  10,0	  14,6	  11,6	   7,2	   2,9
*	     6,7219	 1	 70,02	 79,87	   4,5	  11,3	  15,4	  14,6	   9,0	   4,3
*	     6,0219	 1	 70,09	 88,26	   5,8	  13,1	  17,7	  14,5	  10,3	   5,8
*	     5,4243	 1	 77,73	 80,27	   7,6	  14,2	  18,2	  18,2	  12,4	   6,8
*	     4,5537	 1	 77,77	 88,23	   9,1	  16,4	  21,1	  18,7	  14,4	   9,1
*	     4,7230	 1	 84,57	 80,77	  11,0	  17,4	  20,9	  20,9	  16,5	   9,3
*	     3,5349	 1	 84,59	 88,24	  13,5	  20,8	  25,8	  24,6	  20,6	  13,5
*	     5,0889	 1	 90,53	 81,31	  12,7	  19,2	  22,4	  21,8	  15,4	   9,6
*	     3,4757	 1	 90,53	 88,26	  17,8	  25,0	  30,4	  30,3	  24,7	  19,2
*	     7,1757	 1	 95,66	 81,86	   9,7	  14,4	  19,1	  19,1	   9,4	   2,8
*	     5,8176	 1	 95,64	 88,30	  13,1	  16,6	  22,1	  20,4	  11,9	   5,2
*	     4,0598	 1	117,79	 96,10	  -5,9	  -3,9	   1,0	  -5,7	 -10,9	 -21,0
*	     4,1883	 1	118,61	100,57	  -7,6	  -6,3	  -3,1	 -10,5	 -17,2	 -27,2
s	     4,6910	 2	 88,27	 68,77	  29,9	  34,5	  35,1	  27,0	  21,5	   4,9
*	     4,9051	 1	 32,79	 91,68	   5,7	   6,9	  10,9	   0,2	  -0,1	 -11,3
s	     5,9795	 2	 95,73	 48,41	  25,9	  26,4	  31,2	  22,3	  12,8	   3,4
s	     6,3600	 2	 95,50	129,96	  31,0	  35,1	  34,2	  26,2	  19,9	   4,2
s	     6,5637	 1	355,62	 90,75	  31,2	  36,7	  38,6	  31,1	  27,5	  13,4
*	    12,9350	 1	275,81	 71,17	   7,2	  14,4	  20,1	  18,8	  15,7	   7,2
*	    12,4996	 1	275,88	100,82	   7,9	  15,1	  20,8	  19,5	  16,5	   7,9
*	     8,7435	 1	 15,30	121,93	   8,9	  16,2	  20,9	  19,7	  15,6	   9,2
*	     8,7299	 1	 26,75	 95,50	   8,5	  15,7	  20,4	  17,5	  13,3	   8,4
*	    10,0381	 1	 27,15	113,53	   6,8	  13,8	  18,5	  16,9	  12,6	   7,2
*	     7,8899	 1	319,59	 69,61	   3,7	  14,9	  15,4	  10,6	  10,6	  -1,9
*	     9,3454	 1	298,66	 71,55	   1,9	  13,1	  13,8	   8,9	   9,2	  -3,8
*	     6,9173	 1	358,32	 72,59	   2,9	  14,0	  14,1	   9,3	   8,8	  -2,8
*	     7,1146	 1	340,75	 70,19	   3,9	  15,1	  15,4	  10,6	  10,4	  -1,7
*	     7,6681	 1	 18,22	 77,28	  -0,1	  11,1	  10,9	   5,5	   4,8	  -5,7
*	     7,1276	 1	  9,56	 75,00	   1,5	  12,6	  12,5	   7,6	   6,9	  -4,2
*	     9,4304	 1	 28,46	 80,37	  -2,9	   8,2	   8,0	   1,5	   0,8	  -8,5
*	     8,4343	 1	 24,09	 78,99	  -1,5	   9,6	   9,4	   3,5	   2,7	  -7,1
