#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Restaurante

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   A1           9,220        6,740        1,400
 Rec id and loc     [m] :   02           8,450        4,100        1,500

 02        8,0152

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  Voz.SD0
   Dir. Index (DI) [dB] :       1,1      2,0      3,0      0,7      2,3      5,1
 Level
   On axis 1m      [dB] :      51,2     57,2     59,8     53,5     48,8     43,8
   Total power     [dB] :      61,1     66,2     67,8     63,8     57,5     49,7
 Aim
   Horizontal angle [°] :      -0,0
   Vertical   angle [°] :       0,0
   Point            [m] :                8,450        6,740        1,400
   Roll angle       [°] :       0,0
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      70
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,08     0,26     0,64     1,15     2,08     5,31      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K
#DATA
d	     0,0000	 0	343,80	 92,55	  40,4	  46,4	  50,0	  45,6	  41,1	  33,9
*	     0,2894	 1	339,84	 92,74	  29,4	  27,7	  32,2	  22,3	  17,7	   6,0
*	     2,2941	 1	340,29	108,44	  12,8	  14,1	  11,4	   5,1	 -10,9	 -20,2
*	     1,3181	 1	317,30	138,09	  19,2	  21,2	  27,0	  19,2	  16,1	   5,8
*	     2,6508	 1	252,06	147,40	  17,9	  19,9	  25,7	  18,1	  14,9	   4,8
s	     2,2450	 1	318,62	 92,72	  37,8	  39,9	  43,4	  37,8	  29,3	  21,8
*	    25,2396	 1	201,09	 76,27	 -15,9	  -8,6	  -4,4	  -2,8	 -12,0	 -17,0
*	    24,7784	 1	200,93	 82,08	 -15,5	  -8,3	  -4,0	  -2,4	 -11,5	 -16,6
*	    24,5450	 1	200,77	 88,07	 -15,3	  -8,1	  -3,8	  -2,1	 -11,3	 -16,3
*	    22,7143	 1	203,50	 74,85	 -13,7	  -6,5	  -2,3	  -0,7	  -9,8	 -14,9
*	    22,2118	 1	203,32	 81,23	 -13,3	  -6,1	  -1,8	  -0,2	  -9,3	 -14,4
*	    21,9570	 1	203,15	 87,86	 -13,1	  -5,8	  -1,6	   0,1	  -9,1	 -14,1
*	    21,9573	 1	202,97	 94,56	 -13,1	  -5,8	  -1,6	   0,1	  -9,1	 -14,1
*	    15,4268	 1	215,13	 68,67	  -6,3	   0,9	   4,9	   6,5	  -2,6	  -7,8
*	    14,7479	 1	214,90	 77,45	  -5,5	   1,7	   5,8	   7,5	  -1,7	  -6,8
