#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Restaurante

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   D2           5,470        6,740        1,400
 Rec id and loc     [m] :   02           8,450        4,100        1,500

 02       11,5997

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  Voz.SD0
   Dir. Index (DI) [dB] :       1,1      2,0      3,0      0,7      2,3      5,1
 Level
   On axis 1m      [dB] :      51,2     57,2     59,8     53,5     48,8     43,8
   Total power     [dB] :      61,1     66,2     67,8     63,8     57,5     49,7
 Aim
   Horizontal angle [°] :      -0,0
   Vertical   angle [°] :       0,0
   Point            [m] :                6,110        6,740        1,400
   Roll angle       [°] :       0,0
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      70
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,08     0,26     0,64     1,15     2,08     5,31      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K
#DATA
d	     0,0000	 0	 48,48	 90,20	  38,4	  44,4	  47,8	  42,5	  39,5	  29,9
*	     1,1509	 1	 49,40	 99,10	  18,2	  20,8	  23,0	  14,9	   6,1	  -4,3
*	     2,4244	 1	 43,16	 98,22	  16,0	  18,6	  21,0	  13,0	   4,7	  -5,8
*	     0,9732	 1	 42,70	100,55	  15,0	  17,0	  22,3	  14,3	  13,2	   1,8
*	     2,3385	 1	 36,56	 99,29	  13,0	  15,0	  20,3	  12,3	  10,9	  -0,6
*	     1,2313	 1	 50,89	 90,08	  29,5	  28,2	  28,5	  19,2	  12,0	  -0,5
*	     1,3461	 1	 20,58	144,14	  16,0	  18,0	  24,2	  14,6	  15,6	   2,9
*	     2,1004	 1	128,47	162,01	  16,4	  18,4	  24,9	  15,4	  16,8	   3,2
*	     3,6812	 1	252,06	147,40	  13,5	  15,5	  21,7	  12,1	  13,3	   0,4
s	     2,5771	 1	 47,66	 53,65	  35,9	  40,4	  40,0	  31,9	  25,6	   9,9
*	    20,8892	 1	207,22	 69,40	   0,5	   7,4	  11,6	   8,8	   3,2	  -6,4
*	    12,6971	 1	236,21	 55,68	  10,2	  17,0	  20,9	  18,2	  11,8	   2,8
*	     9,7014	 1	301,20	 54,91	  13,8	  20,4	  23,4	  20,8	  12,9	   6,5
*	    12,8521	 1	331,99	 68,91	   8,2	  14,9	  17,4	  14,8	   6,6	   1,6
*	    17,0045	 1	171,96	 66,38	   3,1	  10,0	  14,2	  11,8	   5,3	  -3,0
*	     7,2814	 1	157,70	 40,11	  16,0	  22,7	  26,6	  24,0	  18,6	   9,2
*	     3,1680	 1	 24,35	 37,76	  22,2	  28,7	  31,9	  29,8	  22,7	  14,4
*	     6,5386	 1	  8,29	 65,69	  16,5	  22,5	  24,9	  23,9	  14,3	   8,4
*	    17,8869	 1	141,46	 70,19	   1,3	   8,2	  11,8	  11,1	   0,6	  -5,6
*	     8,9017	 1	113,36	 62,04	  10,9	  17,7	  21,2	  20,0	  10,2	   3,8
*	     3,7457	 1	 68,63	 61,70	  19,5	  25,8	  28,5	  26,6	  17,9	  10,9
*	     4,9696	 1	 39,47	 69,81	  22,6	  27,6	  28,3	  26,5	  17,9	  10,2
*	    22,6197	 1	124,55	 74,78	  -2,9	   3,9	   6,4	   6,3	  -5,5	 -12,4
*	    14,9225	 1	103,33	 72,18	   3,9	   9,8	  12,7	  12,1	   0,2	  -7,1
*	    10,3071	 1	 77,88	 72,10	  10,5	  14,5	  18,1	  16,4	   4,0	  -4,3
*	    10,9267	 1	 56,32	 74,62	  12,5	  15,5	  19,0	  17,7	   3,2	  -8,4
*	     3,5609	 1	 46,57	102,83	  10,4	  11,7	   9,0	   0,7	 -11,4	 -22,0
*	     3,5617	 1	 32,99	 90,48	  17,2	  18,5	  23,5	  13,2	  14,2	   0,5
*	     4,4812	 1	 33,24	100,75	  14,6	  15,9	  19,7	  10,2	   6,6	  -4,6
*	    18,1203	 1	140,64	109,52	   9,5	  16,8	  18,2	  16,1	   7,2	   1,0
*	     9,3158	 1	113,87	117,09	  18,6	  25,9	  27,0	  24,6	  15,5	   9,0
*	     4,0222	 1	 71,52	117,95	  26,4	  34,0	  33,8	  31,1	  20,1	  13,4
*	     9,4803	 1	301,14	133,10	  22,2	  29,4	  30,9	  26,6	  22,7	  15,3
s	     4,7149	 2	 47,34	 44,07	  31,7	  37,7	  37,5	  32,7	  19,9	  13,0
*	     4,8943	 1	264,79	 97,89	  19,5	  20,8	  25,1	  14,9	  15,0	   2,6
*	     6,0190	 1	264,66	134,57	  15,3	  16,6	  21,0	  10,8	  10,9	  -1,5
*	     5,2963	 1	 88,58	 90,11	   2,9	   4,2	   7,9	   0,6	  -4,6	 -14,7
s	     5,7208	 2	 35,77	118,23	  27,8	  33,7	  34,2	  29,2	  22,1	  14,9
*	     6,3094	 1	110,61	 90,67	   7,7	   9,0	  13,6	   5,1	   2,4	  -8,0
s	     6,7766	 1	 28,20	 90,12	  32,4	  37,9	  40,6	  33,2	  31,1	  15,8
*	    15,4667	 1	339,01	 80,48	   6,2	  13,4	  17,8	  15,8	  11,1	   6,2
*	     9,7110	 1	 36,59	105,40	  13,2	  20,5	  21,5	  22,8	   8,7	   3,4
