#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Restaurante

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   F1           6,830        1,550        1,400
 Rec id and loc     [m] :   02           8,450        4,100        1,500

 02        8,8043

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  Voz.SD0
   Dir. Index (DI) [dB] :       1,1      2,0      3,0      0,7      2,3      5,1
 Level
   On axis 1m      [dB] :      51,2     57,2     59,8     53,5     48,8     43,8
   Total power     [dB] :      61,1     66,2     67,8     63,8     57,5     49,7
 Aim
   Horizontal angle [°] :      -0,0
   Vertical   angle [°] :       0,0
   Point            [m] :                6,110        1,550        1,400
   Roll angle       [°] :       0,0
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      70
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,08     0,26     0,64     1,15     2,08     5,31      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K
#DATA
d	     0,0000	 0	147,54	 91,01	  39,6	  43,3	  46,0	  42,2	  33,7	  25,6
*	     3,4586	 1	 20,58	144,14	  15,5	  16,0	  21,2	  13,9	   8,6	  -2,9
*	     4,5864	 1	317,30	138,09	  12,9	  12,4	  18,1	   9,8	   4,9	  -7,1
*	     1,6359	 1	128,47	162,01	  19,6	  19,6	  25,0	  17,4	  11,7	  -0,4
*	     1,8213	 1	129,04	 96,93	   8,5	   9,8	  14,4	   4,8	   3,7	  -8,1
*	     3,4992	 1	133,63	110,08	   5,2	   7,0	   8,2	  -0,6	  -9,4	 -19,8
*	     3,8195	 1	114,56	112,77	   1,7	   3,2	   6,4	  -2,3	  -7,7	 -18,3
*	     2,7834	 1	113,96	 99,37	   3,7	   5,1	   9,7	   0,7	  -1,6	 -12,2
*	     2,9352	 1	144,49	108,59	  14,7	  16,1	  13,7	   5,5	  -6,4	 -17,1
*	     6,4765	 1	134,14	 98,59	   9,7	  11,5	  17,1	   8,3	   9,5	  -1,8
*	     3,9604	 1	140,80	 99,81	  16,7	  18,6	  23,4	  16,4	  12,2	   1,4
*	     2,9747	 1	133,90	101,15	  16,6	  18,6	  23,7	  15,5	  12,0	   1,0
s	     3,1934	 1	148,90	 46,30	  36,4	  39,7	  39,7	  32,3	  20,7	   5,9
*	    12,2728	 1	207,22	 69,40	  10,0	  13,3	  16,2	  13,1	  -0,5	 -11,2
*	     8,9744	 1	236,21	 55,68	  15,4	  17,9	  21,5	  17,7	   5,4	  -4,0
*	    12,2192	 1	301,20	 54,91	  11,9	  15,4	  19,4	  16,8	   5,1	  -3,0
*	    20,8142	 1	331,99	 68,91	   2,0	   7,0	  10,3	   9,4	  -2,5	 -10,2
*	     6,7128	 1	171,96	 66,38	  20,4	  23,9	  27,4	  25,9	  12,4	   3,2
*	     3,2962	 1	157,70	 40,11	  25,3	  29,8	  33,2	  31,9	  19,6	  11,9
*	     7,7774	 1	 24,35	 37,76	  18,3	  24,7	  27,3	  27,0	  15,2	   8,1
*	    17,8445	 1	  8,29	 65,69	   4,6	  11,4	  14,1	  14,0	   2,2	  -4,4
*	     8,5987	 1	141,46	 70,19	  20,4	  25,6	  26,5	  25,3	  17,8	   9,9
*	     6,6008	 1	113,36	 62,04	  19,9	  25,9	  28,4	  26,5	  19,2	  11,2
*	    11,2921	 1	 68,63	 61,70	  11,5	  18,2	  22,0	  20,3	  11,8	   5,0
*	    20,0696	 1	 39,47	 69,81	   1,9	   8,8	  12,6	  11,4	   1,9	  -4,5
*	    17,2122	 1	124,55	 74,78	   7,8	  14,0	  16,5	  15,1	   5,8	  -0,0
*	    15,6932	 1	103,33	 72,18	   8,2	  14,7	  17,7	  15,7	   7,9	   0,4
