#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Restaurante

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   G1           3,620        4,540        1,400
 Rec id and loc     [m] :   02           8,450        4,100        1,500

 02       14,1296

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  Voz.SD0
   Dir. Index (DI) [dB] :       1,1      2,0      3,0      0,7      2,3      5,1
 Level
   On axis 1m      [dB] :      51,2     57,2     59,8     53,5     48,8     43,8
   Total power     [dB] :      61,1     66,2     67,8     63,8     57,5     49,7
 Aim
   Horizontal angle [°] :      -0,0
   Vertical   angle [°] :       0,0
   Point            [m] :                3,620        5,270        1,400
   Roll angle       [°] :       0,0
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      70
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,08     0,26     0,64     1,15     2,08     5,31      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K
#DATA
d	     0,0000	 0	 84,80	 89,53	  35,5	  41,5	  43,7	  41,4	  32,7	  26,3
*	     0,5741	 1	 68,03	 90,82	   3,6	   4,9	   9,6	   1,0	  -1,5	 -11,9
*	     1,2920	 1	 68,22	107,83	   2,4	   3,8	   7,9	  -0,6	  -4,4	 -14,9
*	     1,9945	 1	 20,58	144,14	  11,2	  13,2	  18,7	  12,0	   7,4	  -2,3
*	     3,9647	 1	317,30	138,09	   8,2	  10,2	  15,7	   9,0	   4,5	  -5,2
s	     2,1822	 1	 84,70	 58,35	  33,0	  38,0	  37,8	  30,8	  20,0	   6,5
*	    18,3245	 1	207,22	 69,40	  -0,0	   5,1	   8,4	   7,5	  -4,4	 -12,1
*	    12,1634	 1	236,21	 55,68	   7,4	  14,3	  16,9	  16,8	   5,0	  -1,7
*	    11,5983	 1	301,20	 54,91	   8,0	  14,9	  18,5	  17,8	   7,3	   1,2
*	    16,8814	 1	331,99	 68,91	   1,1	   7,9	  12,2	   9,9	   3,1	  -4,9
*	    12,6445	 1	171,96	 66,38	   4,4	   8,3	  12,2	   9,9	  -1,7	  -9,7
*	     5,1304	 1	157,70	 40,11	  15,2	  21,6	  24,2	  23,9	  12,1	   5,0
*	     4,3492	 1	 24,35	 37,76	  16,3	  23,1	  26,7	  25,7	  15,7	   9,4
*	    10,8076	 1	  8,29	 65,69	   6,2	  13,0	  17,0	  14,4	   9,0	  -0,3
*	    11,1096	 1	141,46	 70,19	   5,3	   7,9	  11,7	   7,9	  -3,8	 -12,5
*	     3,8192	 1	113,36	 62,04	  14,3	  19,1	  22,5	  21,4	   9,2	   1,6
*	     2,7444	 1	 68,63	 61,70	  16,2	  22,8	  26,0	  24,3	  15,3	   8,6
*	     8,7833	 1	 39,47	 69,81	   8,9	  15,5	  19,1	  16,7	  10,4	   1,3
*	    13,4470	 1	124,55	 74,78	   3,1	   6,9	   9,4	   6,4	  -7,4	 -18,0
*	     6,1143	 1	103,33	 72,18	  14,7	  17,6	  21,1	  20,0	   5,3	  -6,2
*	     4,4819	 1	 77,88	 72,10	  20,5	  25,6	  26,2	  24,5	  16,0	   8,3
*	    10,7267	 1	 56,32	 74,62	   9,6	  15,5	  18,0	  17,0	   7,3	   1,4
*	     3,2317	 1	 56,68	109,44	   6,3	   7,7	  12,0	   2,3	   0,7	 -11,1
*	     2,1997	 1	 56,44	 95,02	   7,7	   9,0	  14,0	   4,0	   4,8	  -8,0
*	     2,7246	 1	 71,52	117,95	  24,1	  31,6	  31,8	  29,3	  18,8	  12,2
*	    11,2304	 1	301,14	133,10	  16,7	  24,0	  25,4	  23,4	  14,5	   8,3
*	    16,1258	 1	333,54	115,97	  10,1	  17,4	  19,7	  15,9	  11,0	   3,3
*	     2,9233	 1	354,16	 96,46	   8,1	   9,4	  13,7	   5,8	   2,0	  -8,1
*	     4,0474	 1	355,53	133,32	   3,9	   5,2	   9,4	   1,4	  -2,7	 -12,8
s	     4,1960	 1	 85,99	 89,25	  32,4	  37,9	  39,3	  34,9	  26,0	  14,2
*	    11,1991	 1	 64,76	 80,05	   6,4	  13,1	  17,1	  17,1	  10,9	   5,8
*	    10,3962	 1	 64,86	 88,02	   7,8	  15,0	  19,7	  17,0	  12,8	   7,8
*	     8,2780	 1	 72,46	 79,52	  11,0	  17,6	  21,4	  21,4	  16,7	   9,8
*	     7,1920	 1	 72,54	 87,91	  13,3	  20,5	  25,2	  23,9	  19,6	  13,3
*	     6,3058	 1	 80,88	 79,16	  15,7	  21,7	  24,8	  24,6	  19,3	  12,8
*	     4,7612	 1	 80,92	 87,83	  19,1	  26,3	  31,9	  30,7	  28,3	  19,9
*	     6,0732	 1	 89,72	 79,02	  14,7	  20,4	  24,3	  24,7	  15,8	   9,0
*	     4,5094	 1	 89,73	 87,81	  19,4	  24,7	  29,4	  30,1	  20,9	  14,4
*	     7,6184	 1	 98,57	 79,15	  10,6	  13,8	  18,9	  18,4	   7,7	  -1,6
*	     6,5110	 1	 98,53	 87,83	  12,0	  14,3	  19,0	  15,8	   7,5	   1,8
*	    10,1718	 1	107,02	 79,50	   5,3	   8,2	  12,9	  10,9	   0,8	  -8,2
*	     9,3505	 1	106,95	 87,91	   5,9	   9,0	  11,6	  10,4	   0,0	  -5,6
*	    13,3001	 1	114,78	 80,01	   0,4	   4,2	   7,7	   6,2	  -4,4	 -12,7
*	    12,6443	 1	114,69	 88,01	   1,1	   4,6	   6,3	   5,9	  -5,3	 -11,1
*	     5,1351	 1	 49,40	 99,10	  -1,3	   0,7	   7,2	  -2,3	  -1,0	 -14,5
*	     5,2192	 1	 42,70	100,55	  -2,0	  -0,0	   6,5	  -3,1	  -1,4	 -14,8
*	     7,5972	 1	 36,56	 99,29	  -4,6	  -2,6	   3,9	  -5,6	  -4,2	 -17,8
*	     5,4777	 1	 37,15	109,27	  -3,6	  -2,3	   2,4	  -7,7	  -7,4	 -20,2
*	     5,5491	 1	 37,80	110,14	  -3,0	  -1,7	   3,0	  -7,1	  -7,0	 -19,8
*	     5,6445	 1	 66,34	 89,58	  11,3	  12,6	  16,6	   5,1	   4,1	  -4,9
s	     5,9267	 2	 85,94	 64,35	  30,8	  35,7	  35,4	  29,3	  18,0	   4,6
*	     8,5272	 1	 33,81	105,85	  -5,4	  -4,1	   0,7	  -9,3	  -9,2	 -22,4
s	     8,6787	 3	 85,90	 51,80	  24,9	  28,7	  24,6	  18,2	   1,5	 -11,9
s	     9,0055	 1	273,18	 92,38	  30,7	  36,3	  38,9	  36,5	  27,3	  21,5
*	    22,1287	 1	201,09	 76,27	  -8,6	  -4,0	   1,0	   0,8	  -8,2	 -14,8
*	    21,6930	 1	200,93	 82,08	  -8,2	  -3,7	   1,4	   1,0	  -7,9	 -14,5
*	    21,4733	 1	200,77	 88,07	  -8,1	  -3,5	   1,5	   1,2	  -7,7	 -14,3
*	    20,1747	 1	203,50	 74,85	  -6,9	  -1,9	   2,9	   3,2	  -5,9	 -12,5
*	    19,7056	 1	203,32	 81,23	  -6,5	  -1,6	   3,3	   3,5	  -5,5	 -12,1
