#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Restaurante

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   B3           8,450        3,380        1,400
 Rec id and loc     [m] :   03           8,450        1,550        1,500

 03        5,3382

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  Voz.SD0
   Dir. Index (DI) [dB] :       1,1      2,0      3,0      0,7      2,3      5,1
 Level
   On axis 1m      [dB] :      51,2     57,2     59,8     53,5     48,8     43,8
   Total power     [dB] :      61,1     66,2     67,8     63,8     57,5     49,7
 Aim
   Horizontal angle [°] :      -0,0
   Vertical   angle [°] :       0,0
   Point            [m] :                8,450        4,100        1,400
   Roll angle       [°] :       0,0
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      70
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,08     0,26     0,64     1,15     2,08     5,31      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K
#DATA
d	     0,0000	 0	 36,52	 92,33	  42,9	  46,9	  46,0	  41,4	  30,7	  21,1
s	     4,4047	 1	 34,78	 32,39	  39,2	  41,1	  41,6	  33,7	  20,8	   5,1
*	    10,1116	 1	287,02	 51,82	  19,0	  21,8	  25,7	  22,8	  10,3	   0,7
*	     8,3139	 1	349,45	 58,08	  21,7	  28,1	  30,6	  29,3	  18,3	  11,2
*	    14,4030	 1	 12,18	 70,34	  13,7	  20,0	  22,8	  20,8	  14,2	   5,5
*	    24,3066	 1	 20,53	 76,30	   3,5	  10,0	  12,9	  10,9	   2,6	  -4,2
*	     7,3185	 1	177,52	 27,88	  25,1	  28,0	  31,5	  28,7	  15,0	   3,7
*	     5,2284	 1	 53,48	 48,07	  29,5	  34,9	  37,2	  35,2	  24,5	  16,4
*	    12,3229	 1	 43,78	 68,22	  17,9	  23,9	  25,8	  24,7	  16,6	   9,1
*	    22,9953	 1	 41,11	 75,46	   4,8	  11,3	  13,8	  11,7	   3,0	  -2,4
*	    13,9648	 1	139,15	 61,29	  12,6	  16,2	  20,1	  17,7	   5,7	  -2,7
*	    12,4781	 1	 95,78	 63,77	  14,3	  21,1	  23,8	  23,0	  11,7	   5,2
*	    17,5585	 1	 71,77	 71,34	   8,6	  15,1	  18,6	  16,2	  10,5	   1,3
*	    26,4787	 1	 60,61	 76,30	   1,0	   7,6	  11,1	   8,7	   1,7	  -6,6
*	    23,9652	 1	133,52	 72,52	   1,2	   6,5	   9,7	   8,9	  -3,0	 -10,6
*	    22,9554	 1	108,40	 72,90	   2,0	   8,9	  11,9	  11,7	   0,0	  -6,1
*	    26,4825	 1	 88,64	 75,40	  -0,7	   6,0	  10,1	   7,9	   0,8	  -6,9
*	    33,4095	 1	 75,65	 78,00	  -5,4	   1,4	   5,5	   2,8	  -2,9	 -12,5
*	    34,9216	 1	131,35	 77,38	  -7,2	  -0,9	   1,8	   1,5	 -10,4	 -17,6
