#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Restaurante

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   A1           9,220        6,740        1,400
 Rec id and loc     [m] :   06           6,110        1,550        1,500

 06       17,6256

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  Voz.SD0
   Dir. Index (DI) [dB] :       1,1      2,0      3,0      0,7      2,3      5,1
 Level
   On axis 1m      [dB] :      51,2     57,2     59,8     53,5     48,8     43,8
   Total power     [dB] :      61,1     66,2     67,8     63,8     57,5     49,7
 Aim
   Horizontal angle [°] :      -0,0
   Vertical   angle [°] :       0,0
   Point            [m] :                8,450        6,740        1,400
   Roll angle       [°] :       0,0
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      70
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,08     0,26     0,64     1,15     2,08     5,31      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K
#DATA
d	     0,0000	 0	 35,56	 89,75	  33,6	  39,6	  43,2	  37,9	  36,1	  26,0
*	     0,4276	 1	 33,55	 89,81	  24,3	  22,5	  27,0	  17,2	  12,5	   0,8
*	     1,0991	 1	 24,01	 98,47	  -0,4	   1,6	   7,3	  -0,5	  -3,6	 -14,0
*	     1,5734	 1	 17,86	 99,69	  -2,0	  -0,0	   5,8	  -1,8	  -5,0	 -15,2
*	     1,3940	 1	 27,20	102,98	  -1,6	  -0,2	   3,4	  -5,3	 -10,1	 -20,7
*	     1,5144	 1	 42,80	 95,64	   7,3	   9,3	  14,8	   6,4	   6,6	  -5,0
s	     1,7932	 1	 34,74	 63,98	  32,0	  36,8	  37,3	  28,8	  23,2	   7,2
*	    11,8278	 1	328,02	 72,11	   1,4	   8,2	  11,1	  11,0	  -0,8	  -7,1
*	     6,9292	 1	356,72	 72,14	   5,8	  12,6	  15,2	  14,9	   3,3	  -3,5
*	     4,9850	 1	 18,03	 74,90	  10,8	  16,4	  19,2	  18,2	   6,5	  -1,1
*	     7,3736	 1	 31,01	 77,65	  13,0	  17,2	  20,5	  18,6	   6,1	  -1,8
*	     6,8479	 1	319,32	 56,50	   8,6	  15,5	  19,5	  17,9	   9,2	   2,6
*	     2,4949	 1	 13,90	 59,98	  11,8	  18,5	  22,5	  20,4	  12,8	   5,6
*	     2,0138	 1	 37,94	 69,97	  13,8	  20,0	  22,7	  20,7	  14,4	   5,7
*	     5,4980	 1	 47,52	 75,46	  14,3	  20,0	  21,2	  20,2	  12,5	   4,6
*	     6,3008	 1	232,90	 24,16	  13,5	  20,3	  24,5	  21,8	  16,5	   7,1
*	     3,2383	 1	 72,01	 45,96	  13,6	  20,3	  24,3	  21,7	  15,9	   6,4
*	     4,8511	 1	 68,78	 67,06	  10,2	  16,7	  19,7	  17,7	   9,9	   2,5
*	     9,4478	 1	 67,93	 74,39	   6,4	  12,7	  15,2	  13,4	   4,4	  -1,1
*	    13,1241	 1	171,53	 58,70	   4,5	  11,3	  15,6	  12,8	   6,9	  -2,7
*	    10,3047	 1	122,81	 61,20	   6,0	  12,8	  16,5	  13,8	   7,0	  -1,4
*	    11,7665	 1	 98,46	 69,88	   3,7	  10,4	  13,4	  10,3	   2,6	  -3,5
*	    16,1732	 1	 87,98	 75,15	  -0,6	   6,3	   8,8	   5,8	  -2,1	  -7,0
*	     2,1977	 1	 13,74	 90,91	  -3,4	  -2,1	   1,7	  -5,5	 -10,8	 -20,7
*	     2,2375	 1	 19,24	103,58	  -3,5	  -2,2	   1,0	  -6,7	 -13,0	 -23,2
s	     2,7122	 1	 24,51	 89,97	  31,9	  33,8	  37,4	  31,7	  23,2	  15,7
*	    15,0775	 1	314,38	 76,50	 -11,3	  -4,1	   0,1	   1,7	  -7,4	 -12,4
*	    14,6044	 1	314,54	 82,56	 -10,9	  -3,7	   0,6	   2,2	  -6,9	 -12,0
*	    14,3649	 1	314,70	 88,83	 -10,7	  -3,5	   0,8	   2,5	  -6,7	 -11,7
*	    13,3438	 1	320,44	 75,82	 -10,0	  -2,8	   1,4	   3,0	  -6,1	 -11,2
*	    12,8472	 1	320,62	 82,08	  -9,6	  -2,3	   1,9	   3,6	  -5,6	 -10,7
*	    12,5954	 1	320,80	 88,56	  -9,4	  -2,1	   2,1	   3,8	  -5,4	 -10,4
*	    12,5954	 1	320,98	 95,13	  -9,4	  -2,1	   2,1	   3,8	  -5,4	 -10,4
*	     9,0442	 1	340,37	 74,69	  -6,5	   0,7	   4,8	   6,3	  -2,8	  -8,0
*	     8,4822	 1	340,60	 81,13	  -6,0	   1,3	   5,3	   7,0	  -2,2	  -7,3
