#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Restaurante

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   B3           8,450        3,380        1,400
 Rec id and loc     [m] :   06           6,110        1,550        1,500

 06        8,6574

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  Voz.SD0
   Dir. Index (DI) [dB] :       1,1      2,0      3,0      0,7      2,3      5,1
 Level
   On axis 1m      [dB] :      51,2     57,2     59,8     53,5     48,8     43,8
   Total power     [dB] :      61,1     66,2     67,8     63,8     57,5     49,7
 Aim
   Horizontal angle [°] :      -0,0
   Vertical   angle [°] :       0,0
   Point            [m] :                8,450        4,100        1,400
   Roll angle       [°] :       0,0
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      70
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,08     0,26     0,64     1,15     2,08     5,31      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K
#DATA
d	     0,0000	 0	 14,56	 91,41	  39,7	  42,7	  45,8	  40,9	  32,7	  24,7
*	     2,1446	 1	 24,81	103,03	   9,4	  11,8	  15,2	   6,9	  -0,3	 -10,6
*	     3,5875	 1	 35,05	109,53	   5,0	   6,7	   9,0	   0,1	  -6,8	 -17,4
*	     2,2681	 1	 34,07	 97,88	   8,7	  10,1	  14,6	   4,9	   3,6	  -8,2
*	     2,8434	 1	 43,95	 97,32	   5,2	   6,5	  11,3	   2,0	   0,4	 -10,5
*	     2,8495	 1	 19,83	109,61	  14,7	  16,2	  14,2	   6,0	  -5,7	 -16,4
*	     3,2073	 1	112,04	135,90	  15,1	  15,6	  20,7	  13,4	   8,0	  -3,7
s	     3,2329	 1	 12,60	 46,21	  36,6	  39,5	  39,7	  32,1	  20,3	   5,5
*	    12,6992	 1	328,02	 72,11	  10,3	  13,1	  17,0	  14,0	   1,5	  -8,1
*	    10,3566	 1	356,72	 72,14	  14,6	  21,0	  23,5	  22,2	  11,2	   4,1
*	    14,9943	 1	 18,03	 74,90	  10,0	  16,3	  19,1	  17,1	  10,5	   1,8
*	    23,8826	 1	 31,01	 77,65	   1,5	   7,9	  10,9	   8,9	   0,6	  -6,2
*	     6,4333	 1	319,32	 56,50	  19,5	  22,3	  25,8	  23,0	   9,3	  -2,0
*	     3,8813	 1	 13,90	 59,98	  25,8	  31,2	  33,5	  31,5	  20,8	  12,6
*	    10,1894	 1	 37,94	 69,97	  16,5	  22,6	  24,4	  23,3	  15,3	   7,8
*	    20,4850	 1	 47,52	 75,46	   4,2	  10,6	  13,2	  11,0	   2,4	  -3,0
*	     6,4819	 1	232,90	 24,16	  21,5	  25,1	  29,0	  26,5	  14,6	   6,2
*	     5,6876	 1	 72,01	 45,96	  20,4	  27,1	  29,8	  29,1	  17,8	  11,3
*	    12,0511	 1	 68,78	 67,06	  11,0	  17,5	  20,9	  18,6	  12,9	   3,7
*	    21,6395	 1	 67,93	 74,39	   2,1	   8,8	  12,2	   9,8	   2,8	  -5,5
*	    14,4464	 1	171,53	 58,70	   9,0	  14,2	  17,5	  16,7	   4,7	  -2,8
*	    13,8611	 1	122,81	 61,20	   8,7	  15,6	  18,6	  18,3	   6,7	   0,6
*	    18,6958	 1	 98,46	 69,88	   3,2	  10,0	  14,0	  11,9	   4,7	  -2,9
*	    26,6728	 1	 87,98	 75,15	  -3,1	   3,7	   7,8	   5,1	  -0,6	 -10,2
*	    25,0328	 1	164,40	 71,78	  -1,8	   4,4	   7,2	   6,8	  -5,0	 -12,2
*	     6,1524	 1	 30,64	 99,18	  10,2	  12,0	  17,6	   8,8	  10,0	  -1,3
*	     7,4009	 1	 24,01	 98,47	   8,1	  10,1	  15,7	   6,8	   7,7	  -4,0
*	     3,4589	 1	 24,64	100,76	  17,5	  19,5	  24,2	  17,3	  13,3	   2,4
*	     4,9307	 1	 17,86	 99,69	  14,1	  16,1	  21,2	  12,9	   9,7	  -1,4
*	     4,6554	 1	152,01	 95,43	  20,6	  20,1	  24,0	  15,8	  10,6	  -1,0
s	     6,1843	 2	 17,24	143,78	  33,7	  36,5	  36,5	  28,6	  17,8	   2,6
*	     6,4568	 1	 13,74	 90,91	  16,9	  18,2	  23,2	  12,9	  14,4	   0,7
s	     7,2403	 1	271,87	 93,11	  34,0	  34,9	  36,7	  30,3	  21,2	  14,6
*	    25,8378	 1	177,20	 81,95	  -9,8	  -4,2	   0,3	   1,2	  -8,0	 -14,4
*	    23,2887	 1	179,68	 81,16	  -7,7	  -2,3	   2,3	   3,1	  -6,1	 -12,6
*	    20,7941	 1	182,78	 80,18	  -5,4	  -0,3	   4,5	   5,0	  -4,2	 -10,7
*	    18,3716	 1	186,77	 78,98	  -2,9	   1,9	   6,8	   6,8	  -2,2	  -8,7
*	    16,7154	 1	192,34	 68,13	  -1,0	   3,5	   8,5	   8,1	  -0,8	  -7,5
*	    16,0470	 1	191,97	 77,51	  -0,2	   4,2	   9,3	   8,8	  -0,0	  -6,6
*	    15,7339	 1	191,61	 87,63	   0,1	   4,5	   9,7	   9,1	   0,3	  -6,2
*	    11,3831	 1	305,89	 71,93	   3,3	   7,7	  11,1	   9,8	  -1,3	 -10,3
*	    10,6153	 1	306,08	 80,32	   3,7	   8,7	  11,0	  10,0	  -1,2	  -9,2
*	    10,2483	 1	306,27	 89,22	   4,4	   9,0	  10,3	   9,9	  -1,3	  -8,6
*	    17,4429	 1	187,53	 91,33	   2,2	   1,4	   8,1	   0,1	  -4,5	 -16,1
*	    17,6485	 1	187,91	 80,82	   2,0	   1,2	   7,9	  -0,0	  -4,7	 -16,3
*	    20,2120	 1	182,83	 91,01	  -0,7	  -1,1	   5,4	  -2,1	  -6,9	 -18,5
*	    20,3950	 1	183,16	 81,96	  -0,9	  -1,3	   5,2	  -2,2	  -7,1	 -18,6
*	    23,0717	 1	179,30	 90,77	  -3,4	  -3,5	   2,8	  -4,2	  -9,2	 -20,7
*	    23,2363	 1	179,59	 82,84	  -3,5	  -3,6	   2,7	  -4,3	  -9,3	 -20,8
*	    25,9970	 1	176,57	 90,58	  -5,9	  -5,7	   0,5	  -6,4	 -11,4	 -22,8
*	    26,1465	 1	176,82	 83,56	  -6,0	  -5,8	   0,4	  -6,5	 -11,5	 -22,9
*	    23,3131	 1	180,55	 73,58	  -5,9	   3,3	   3,2	   0,3	  -5,3	 -16,6
*	    12,7426	 1	203,53	 75,70	   7,0	  14,6	  15,3	  10,2	   5,3	  -6,0
*	     8,8181	 1	236,99	 71,56	  12,9	  19,6	  20,1	  13,9	   9,2	  -2,0
*	     7,7073	 1	276,98	 74,39	  13,2	  19,9	  18,9	  13,2	   7,3	  -3,8
*	     9,1625	 1	299,68	 79,39	   8,7	  17,7	  15,1	  10,6	   3,0	  -9,8
*	    12,4232	 1	310,95	 82,60	   4,9	  12,4	  10,3	   5,6	  -1,4	 -13,0
*	     8,0383	 1	 87,95	 97,89	  -5,0	  -3,7	   0,7	  -7,6	 -10,9	 -21,2
s	     8,0627	 1	355,11	 91,17	  33,6	  38,7	  40,7	  38,1	  28,9	  22,1
*	    15,3643	 1	314,38	 76,50	  -0,6	   2,0	   6,7	   4,1	  -5,1	 -12,7
*	    14,7399	 1	314,54	 82,56	  -0,2	   2,5	   6,6	   4,2	  -5,0	 -11,5
*	    14,4164	 1	314,70	 88,83	   0,1	   2,7	   6,4	   4,2	  -5,1	 -10,8
*	    13,8048	 1	320,44	 75,82	   1,3	   4,1	   8,9	   6,7	  -2,6	 -10,4
*	    13,1306	 1	320,62	 82,08	   1,8	   4,3	   9,0	   6,1	  -2,6	  -9,2
*	    12,7793	 1	320,80	 88,56	   2,1	   4,5	   8,9	   6,0	  -2,6	  -8,3
*	    10,4301	 1	340,37	 74,69	   6,4	  10,5	  15,5	  15,1	   5,5	  -1,9
*	     9,5768	 1	340,60	 81,13	   7,4	  11,1	  16,5	  15,2	   6,2	  -0,9
*	     9,1173	 1	340,83	 87,84	   7,9	  11,3	  16,9	  14,9	   6,6	  -0,1
*	     9,9022	 1	  2,46	105,48	  13,6	  15,4	  19,2	  12,7	   4,1	  -6,1
*	     9,5342	 1	354,88	106,56	  13,3	  14,9	  18,2	  12,8	   0,9	  -8,9
*	    10,8324	 1	331,48	 82,26	   8,4	  15,2	  15,6	   9,6	   4,5	  -7,1
