#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Restaurante

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   H1           3,620        2,230        1,400
 Rec id and loc     [m] :   06           6,110        1,550        1,500

 06        7,5238

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  Voz.SD0
   Dir. Index (DI) [dB] :       1,1      2,0      3,0      0,7      2,3      5,1
 Level
   On axis 1m      [dB] :      51,2     57,2     59,8     53,5     48,8     43,8
   Total power     [dB] :      61,1     66,2     67,8     63,8     57,5     49,7
 Aim
   Horizontal angle [°] :      -0,0
   Vertical   angle [°] :       0,0
   Point            [m] :                3,620        2,950        1,400
   Roll angle       [°] :       0,0
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      70
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,08     0,26     0,64     1,15     2,08     5,31      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K
#DATA
d	     0,0000	 0	141,16	 90,93	  41,0	  46,9	  48,5	  46,2	  37,5	  30,4
*	     1,3547	 1	112,04	135,90	  20,2	  22,2	  26,8	  20,2	  14,4	   4,3
*	     2,7038	 1	 49,43	144,98	  18,7	  20,7	  25,6	  18,9	  13,7	   3,7
*	     5,7603	 1	121,19	100,08	  12,2	  14,0	  19,6	  10,9	  12,1	   0,8
*	     4,6731	 1	114,16	101,86	  13,1	  15,1	  20,7	  11,8	  12,6	   0,9
*	     3,5256	 1	130,60	101,45	  19,2	  21,1	  25,8	  19,0	  14,7	   4,0
*	     2,4001	 1	124,52	103,98	  19,3	  21,3	  26,5	  18,1	  14,7	   3,7
*	     2,6816	 1	 59,85	 94,56	  13,1	  14,4	  18,7	  10,9	   6,9	  -3,1
*	     3,9548	 1	 60,69	131,63	   8,6	   9,9	  13,6	   5,7	   0,6	  -9,6
s	     3,5683	 1	143,00	 41,41	  37,0	  41,4	  40,8	  33,2	  22,6	   8,1
*	    23,9553	 1	328,02	 72,11	  -0,1	   6,8	   9,5	   9,4	  -2,4	  -8,9
*	    24,4292	 1	356,72	 72,14	  -0,6	   6,3	  10,0	   9,1	  -0,9	  -7,2
