#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Auditorio

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   A1          -9,000        0,000        0,000
 Rec id and loc     [m] :   61          -8,500       -1,000        0,000

 61        3,2565

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  OMNI.SD0
   Dir. Index (DI) [dB] :       0,0      0,0      0,0      0,0      0,0      0,0
 Level
   On axis 1m      [dB] :      58,0     64,0     70,3     70,7     65,9     59,9
   Total power     [dB] :      68,9     74,9     81,2     81,6     76,8     70,8
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      50
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,10     0,30     0,63     1,07     2,28     6,83      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K
#DATA
d	     0,0000	 0	 90,00	 90,00	  57,0	  63,0	  69,3	  69,7	  64,9	  58,9
s	     4,0046	 1	 90,00	153,35	  47,0	  54,1	  61,4	  62,1	  57,3	  51,3
*	    31,4442	 1	258,29	101,86	  -1,9	   5,1	  12,5	  13,1	   8,3	   2,1
*	    23,6918	 1	263,66	105,81	   4,8	  11,8	  19,2	  19,8	  15,0	   8,8
*	    22,0618	 1	242,26	106,80	   6,4	  13,4	  20,8	  21,4	  16,6	  10,5
*	    16,4561	 1	274,52	112,94	  13,1	  20,1	  27,5	  28,1	  23,3	  17,2
*	    14,1631	 1	241,50	116,29	  16,3	  23,3	  30,7	  31,3	  26,6	  20,5
*	    10,6324	 1	302,37	125,07	  22,3	  29,4	  36,8	  37,4	  32,6	  26,5
*	     7,1102	 1	238,14	143,57	  30,1	  37,2	  44,6	  45,2	  40,4	  34,4
*	     9,5832	 1	181,88	122,95	  24,0	  31,0	  38,4	  39,0	  34,3	  28,2
*	     8,5803	 1	357,82	126,73	  26,1	  33,2	  40,6	  41,2	  36,4	  30,3
*	     4,1063	 1	 70,44	150,85	  38,4	  45,5	  52,8	  53,5	  48,7	  42,7
*	     7,0206	 1	131,23	124,32	  29,9	  36,9	  44,3	  45,0	  40,2	  34,1
*	    11,6298	 1	 29,91	114,35	  20,1	  27,1	  34,5	  35,2	  30,4	  24,3
*	     8,1775	 1	 65,54	118,48	  27,4	  34,5	  41,8	  42,5	  37,7	  31,6
*	    10,1897	 1	 99,80	113,61	  23,3	  30,3	  37,7	  38,3	  33,5	  27,5
*	    17,7256	 1	 42,13	106,57	  11,2	  18,2	  25,6	  26,2	  21,5	  15,3
*	    15,4403	 1	 64,67	107,70	  14,4	  21,4	  28,8	  29,4	  24,6	  18,5
*	    25,0186	 1	 47,99	102,31	   3,4	  10,5	  17,8	  18,4	  13,6	   7,5
*	    23,3837	 1	 64,31	102,74	   5,0	  12,1	  19,5	  20,1	  15,3	   9,1
*	    32,7873	 1	 51,36	 99,72	  -2,9	   4,1	  11,5	  12,1	   7,3	   1,0
*	    31,5289	 1	 64,11	 99,94	  -2,0	   5,1	  12,4	  13,0	   8,2	   2,0
*	    40,7773	 1	 53,53	 98,01	  -8,2	  -1,1	   6,2	   6,8	   2,0	  -4,3
s	     5,7377	 1	140,72	 90,00	  45,2	  52,2	  59,6	  60,2	  55,4	  49,4
*	    32,9420	 1	190,02	 17,81	  -3,7	   3,3	  10,7	  11,3	   6,5	   0,3
*	    32,0307	 1	156,55	 15,68	  -3,0	   4,0	  11,4	  12,0	   7,2	   1,0
*	    32,1354	 1	125,44	 18,93	  -3,1	   3,9	  11,3	  11,9	   7,1	   0,9
*	    27,3286	 1	190,02	 21,34	   0,7	   7,7	  15,1	  15,7	  10,9	   4,7
*	    26,2458	 1	156,55	 18,85	   1,6	   8,7	  16,1	  16,7	  11,9	   5,7
*	    26,3687	 1	125,44	 22,63	   1,5	   8,6	  16,0	  16,6	  11,8	   5,6
