DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
1.465, -75.7321
2.930, -83.0183
4.395, -74.8557
5.859, -75.9321
7.324, -75.9988
8.789, -75.6837
10.254, -69.3934
11.719, -64.8922
13.184, -58.1422
14.648, -60.6526
16.113, -60.2640
17.578, -61.7632
19.043, -62.4445
20.508, -66.5274
21.973, -64.7960
23.438, -65.0288
24.902, -64.1190
26.367, -52.4414
27.832, -56.7489
29.297, -57.8912
30.762, -51.1137
32.227, -45.3026
33.691, -45.7636
35.156, -51.0845
36.621, -53.5918
38.086, -56.0016
39.551, -55.4477
41.016, -56.0095
42.480, -56.8153
43.945, -56.1822
45.410, -58.2263
46.875, -58.6092
48.340, -52.3573
49.805, -53.2759
51.270, -52.3046
52.734, -49.7960
54.199, -52.3314
55.664, -50.2481
57.129, -47.8018
58.594, -44.0493
60.059, -43.7946
61.523, -41.3603
62.988, -42.6427
64.453, -39.3522
65.918, -39.3703
67.383, -37.9689
68.848, -35.6189
70.313, -34.8983
71.777, -33.6805
73.242, -34.7557
74.707, -33.5950
76.172, -32.7649
77.637, -33.3196
79.102, -31.8969
80.566, -32.7311
82.031, -31.4516
83.496, -32.2489
84.961, -32.4269
86.426, -32.2483
87.891, -31.1239
89.355, -31.9816
90.820, -32.2975
92.285, -33.2183
93.750, -32.8815
95.215, -32.7156
96.680, -33.2772
98.145, -32.6540
99.609, -32.4452
101.074, -32.6553
102.539, -33.7083
104.004, -32.2619
105.469, -32.9799
106.934, -32.2498
108.398, -32.7520
109.863, -32.4508
111.328, -32.9562
112.793, -32.4662
114.258, -32.8642
115.723, -32.6871
117.188, -33.0413
118.652, -31.4467
120.117, -32.0709
121.582, -32.4763
123.047, -33.1046
124.512, -33.0566
125.977, -31.9208
127.441, -31.6750
128.906, -29.4982
130.371, -28.1732
131.836, -36.6361
133.301, -31.7317
134.766, -34.7271
136.230, -31.1441
137.695, -41.0739
139.160, -35.5805
140.625, -57.7764
142.090, -39.4581
143.555, -41.9557
145.020, -44.9121
146.484, -38.2440
147.949, -41.8582
149.414, -41.5703
150.879, -47.8964
152.344, -39.5924
153.809, -38.1820
155.273, -40.0155
156.738, -49.9348
158.203, -36.5045
159.668, -42.2558
161.133, -39.6862
162.598, -39.3273
164.063, -40.0630
165.527, -44.3879
166.992, -41.5153
168.457, -41.9346
169.922, -43.2542
171.387, -42.8073
172.852, -42.0889
174.316, -43.5789
175.781, -43.7811
177.246, -44.7601
178.711, -44.5267
180.176, -45.6223
181.641, -45.5191
183.105, -45.4093
184.570, -44.6219
186.035, -46.4426
187.500, -45.8467
188.965, -46.4943
190.430, -48.0097
191.895, -46.0657
193.359, -48.6268
194.824, -47.4792
196.289, -47.7199
197.754, -46.9454
199.219, -47.4376
200.684, -45.7578
202.148, -44.6613
203.613, -42.6967
205.078, -41.3944
206.543, -41.1986
208.008, -39.4042
209.473, -37.3201
210.938, -36.8840
212.402, -35.5518
213.867, -33.3243
215.332, -32.0589
216.797, -30.6698
218.262, -29.9140
219.727, -28.1356
221.191, -26.6582
222.656, -24.8796
224.121, -23.5122
225.586, -22.2892
227.051, -20.6162
228.516, -18.7719
229.980, -17.6738
231.445, -17.8686
232.910, -19.5136
234.375, -20.9239
235.840, -22.7530
237.305, -24.7344
238.770, -26.2150
240.234, -28.9336
241.699, -29.9997
243.164, -29.9730
244.629, -32.6028
246.094, -33.5847
247.559, -34.4559
249.023, -35.9165
250.488, -36.8928
251.953, -37.1253
253.418, -37.0166
254.883, -37.9401
256.348, -40.2279
257.813, -39.4099
259.277, -39.8866
260.742, -39.5816
262.207, -40.2014
263.672, -41.0058
265.137, -41.2620
266.602, -40.8009
268.066, -41.6625
269.531, -41.0431
270.996, -40.5609
272.461, -40.3444
273.926, -40.7669
275.391, -40.8232
276.855, -39.7837
278.320, -40.8772
279.785, -40.0740
281.250, -39.2473
282.715, -39.9301
284.180, -39.4788
285.645, -38.9446
287.109, -38.8986
288.574, -38.9076
290.039, -38.7567
291.504, -39.2752
292.969, -39.1592
294.434, -38.4514
295.898, -37.3968
297.363, -37.3186
298.828, -37.8834
300.293, -37.2893
301.758, -35.8203
303.223, -36.8366
304.688, -37.0518
306.152, -34.7929
307.617, -35.0394
309.082, -34.7090
310.547, -34.3316
312.012, -33.8929
313.477, -34.0736
314.941, -32.6689
316.406, -32.4934
317.871, -31.2127
319.336, -31.5245
320.801, -30.0886
322.266, -29.2261
323.730, -29.7282
325.195, -30.7107
326.660, -29.5166
328.125, -28.4510
329.590, -26.8355
331.055, -29.2384
332.520, -26.3905
333.984, -25.8152
335.449, -25.3946
336.914, -26.1429
338.379, -25.7278
339.844, -24.9340
341.309, -29.0721
342.773, -25.4480
344.238, -25.8046
345.703, -29.7026
347.168, -29.6149
348.633, -27.8272
350.098, -29.7605
351.563, -31.8057
353.027, -29.0264
354.492, -29.1723
355.957, -27.8532
357.422, -30.5926
358.887, -30.4390
360.352, -30.0548
361.816, -30.1017
363.281, -30.2114
364.746, -27.8493
366.211, -29.4986
367.676, -28.9642
369.141, -28.1862
370.605, -27.9191
372.070, -28.1294
373.535, -27.7586
375.000, -27.5015
376.465, -26.8987
377.930, -26.9120
379.395, -26.2587
380.859, -26.2463
382.324, -25.5853
383.789, -25.4964
385.254, -24.2159
386.719, -23.9887
388.184, -23.0961
389.648, -22.0586
391.113, -21.3853
392.578, -19.4301
394.043, -18.3697
395.508, -17.4965
396.973, -16.5565
398.438, -16.3997
399.902, -17.0080
401.367, -17.5311
402.832, -18.5486
404.297, -19.1369
405.762, -19.7336
407.227, -20.4387
408.691, -21.2013
410.156, -21.4712
411.621, -22.0946
413.086, -22.8594
414.551, -23.2927
416.016, -23.6539
417.480, -24.0713
418.945, -24.3558
420.410, -24.9165
421.875, -25.2373
423.340, -25.7678
424.805, -25.9237
426.270, -26.6312
427.734, -26.8032
429.199, -28.0900
430.664, -27.0354
432.129, -27.7314
433.594, -28.5234
435.059, -28.0747
436.523, -28.9544
437.988, -29.0147
439.453, -29.1932
440.918, -29.7019
442.383, -29.5012
443.848, -29.9291
445.313, -30.3908
446.777, -31.1784
448.242, -30.7195
449.707, -31.2201
451.172, -31.3012
452.637, -31.7867
454.102, -31.6854
455.566, -32.1883
457.031, -32.4619
458.496, -32.7446
459.961, -33.0371
461.426, -33.1680
462.891, -32.9289
464.355, -33.4772
465.820, -33.3864
467.285, -33.9273
468.750, -33.7347
470.215, -33.9121
471.680, -33.4577
473.145, -34.5466
474.609, -34.2460
476.074, -34.4511
477.539, -34.4763
479.004, -34.6592
480.469, -34.1869
481.934, -35.6379
483.398, -34.4155
484.863, -34.7413
486.328, -34.7912
487.793, -35.0948
489.258, -35.6846
490.723, -35.3252
492.188, -35.6736
493.652, -35.4754
495.117, -35.6921
496.582, -35.6533
498.047, -35.9207
499.512, -36.2533
500.977, -35.8474
502.441, -36.0399
503.906, -35.7664
505.371, -35.9285
506.836, -35.6808
508.301, -35.8973
509.766, -36.0866
511.230, -35.6615
512.695, -35.3095
514.160, -35.3163
515.625, -35.4134
517.090, -34.8393
518.555, -34.6323
520.020, -34.6132
521.484, -34.2223
522.949, -34.0494
524.414, -33.1530
525.879, -33.0104
527.344, -32.9785
528.809, -32.2759
530.273, -31.9372
531.738, -31.2358
533.203, -30.3915
534.668, -29.7747
536.133, -29.4476
537.598, -28.8447
539.063, -28.2433
540.527, -27.3640
541.992, -26.8907
543.457, -26.1303
544.922, -25.8254
546.387, -24.9852
547.852, -24.5581
549.316, -24.1948
550.781, -23.9744
552.246, -23.5236
553.711, -23.3951
555.176, -23.2421
556.641, -22.9400
558.105, -22.9047
559.570, -23.0997
561.035, -23.5762
562.500, -24.0414
563.965, -24.0344
565.430, -23.5680
566.895, -23.9953
568.359, -24.6348
569.824, -25.6403
571.289, -26.3707
572.754, -26.4831
574.219, -27.0810
575.684, -27.2882
577.148, -28.4404
578.613, -28.8961
580.078, -29.3034
581.543, -29.8549
583.008, -30.3574
584.473, -30.8354
585.938, -30.9734
587.402, -32.0890
588.867, -31.9884
590.332, -32.7164
591.797, -33.1708
593.262, -33.8487
594.727, -34.0873
596.191, -34.3000
597.656, -35.0590
599.121, -35.2339
600.586, -35.4534
602.051, -35.8163
603.516, -36.5412
604.980, -36.9608
606.445, -36.9326
607.910, -36.4170
609.375, -37.5686
610.840, -37.4020
612.305, -38.6429
613.770, -38.0583
615.234, -38.9249
616.699, -38.3560
618.164, -38.7256
619.629, -38.6968
621.094, -38.0574
622.559, -38.7090
624.023, -39.2333
625.488, -38.6642
626.953, -38.0387
628.418, -38.4476
629.883, -38.3151
631.348, -37.7593
632.813, -37.0197
634.277, -37.6232
635.742, -36.8098
637.207, -37.2619
638.672, -36.1951
640.137, -35.9649
641.602, -36.5332
643.066, -35.8054
644.531, -35.9644
645.996, -35.5099
647.461, -35.1061
648.926, -34.8368
650.391, -34.2188
651.855, -33.5459
653.320, -33.7517
654.785, -32.3644
656.250, -32.1047
