DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
1.465, -85.3323
2.930, -84.8513
4.395, -79.7079
5.859, -84.2688
7.324, -82.4850
8.789, -91.4264
10.254, -78.9057
11.719, -65.2546
13.184, -55.6533
14.648, -64.4858
16.113, -70.2176
17.578, -81.4075
19.043, -75.5126
20.508, -70.7882
21.973, -67.5950
23.438, -71.2941
24.902, -67.1770
26.367, -57.2421
27.832, -56.9485
29.297, -59.7663
30.762, -57.0426
32.227, -48.1552
33.691, -47.4399
35.156, -54.5586
36.621, -60.4683
38.086, -52.8590
39.551, -71.2454
41.016, -61.0504
42.480, -55.8214
43.945, -56.0448
45.410, -60.7513
46.875, -69.7489
48.340, -52.6017
49.805, -53.3264
51.270, -54.9613
52.734, -56.6121
54.199, -52.0462
55.664, -54.6848
57.129, -48.5345
58.594, -51.0882
60.059, -46.8686
61.523, -46.9741
62.988, -47.2535
64.453, -43.6625
65.918, -43.1415
67.383, -42.8269
68.848, -39.8944
70.313, -39.8936
71.777, -39.0829
73.242, -39.3612
74.707, -39.4133
76.172, -39.2727
77.637, -41.1371
79.102, -40.8999
80.566, -42.5951
82.031, -42.4239
83.496, -42.6496
84.961, -43.5522
86.426, -47.3990
87.891, -46.0660
89.355, -48.1475
90.820, -48.8592
92.285, -51.9056
93.750, -58.7034
95.215, -56.6006
96.680, -51.5912
98.145, -53.9567
99.609, -47.7966
101.074, -51.7065
102.539, -49.4881
104.004, -54.7364
105.469, -52.9356
106.934, -47.6475
108.398, -53.4090
109.863, -50.8905
111.328, -49.9962
112.793, -46.6232
114.258, -45.1999
115.723, -46.3395
117.188, -43.3701
118.652, -42.1835
120.117, -41.6336
121.582, -41.7294
123.047, -42.1085
124.512, -40.9147
125.977, -39.9546
127.441, -41.0559
128.906, -40.7768
130.371, -38.6205
131.836, -39.7606
133.301, -39.9761
134.766, -37.5871
136.230, -41.8088
137.695, -39.7049
139.160, -38.1395
140.625, -41.1496
142.090, -39.4178
143.555, -38.9455
145.020, -40.0011
146.484, -41.3747
147.949, -44.9854
149.414, -39.3535
150.879, -48.3170
152.344, -44.0740
153.809, -53.3208
155.273, -45.5271
156.738, -39.0467
158.203, -45.2675
159.668, -35.3762
161.133, -41.3754
162.598, -37.2623
164.063, -41.1478
165.527, -38.9570
166.992, -39.7017
168.457, -37.6269
169.922, -35.8389
171.387, -32.4494
172.852, -53.4207
174.316, -39.7388
175.781, -42.3775
177.246, -41.1212
178.711, -47.7601
180.176, -36.3806
181.641, -39.5818
183.105, -41.4048
184.570, -37.7731
186.035, -43.0720
187.500, -45.9469
188.965, -43.8743
190.430, -41.6690
191.895, -46.9939
193.359, -40.8004
194.824, -51.9552
196.289, -41.6384
197.754, -40.7669
199.219, -50.5475
200.684, -42.2445
202.148, -40.5642
203.613, -41.1465
205.078, -45.1818
206.543, -38.8892
208.008, -45.7162
209.473, -40.4195
210.938, -34.7207
212.402, -38.8570
213.867, -37.3207
215.332, -36.9790
216.797, -34.0622
218.262, -33.7687
219.727, -34.1542
221.191, -31.3146
222.656, -29.2565
224.121, -28.2276
225.586, -26.5162
227.051, -26.0967
228.516, -22.7522
229.980, -23.0286
231.445, -22.5735
232.910, -23.3007
234.375, -26.6521
235.840, -28.7565
237.305, -29.9461
238.770, -33.5457
240.234, -35.1513
241.699, -34.4067
243.164, -37.8957
244.629, -38.1849
246.094, -40.8469
247.559, -41.4080
249.023, -44.5035
250.488, -45.1268
251.953, -40.9312
253.418, -43.4005
254.883, -42.9322
256.348, -46.5242
257.813, -42.2632
259.277, -43.9556
260.742, -44.0920
262.207, -46.7396
263.672, -46.0683
265.137, -43.1717
266.602, -43.7700
268.066, -47.4044
269.531, -47.8428
270.996, -40.8353
272.461, -43.7036
273.926, -43.3200
275.391, -47.3419
276.855, -39.3016
278.320, -54.0855
279.785, -46.9677
281.250, -39.3764
282.715, -42.1906
284.180, -40.8233
285.645, -44.6738
287.109, -47.0153
288.574, -42.4970
290.039, -41.9576
291.504, -41.7769
292.969, -39.3475
294.434, -41.8165
295.898, -42.1738
297.363, -40.6924
298.828, -43.6785
300.293, -40.0430
301.758, -39.9694
303.223, -39.1412
304.688, -38.6845
306.152, -40.5674
307.617, -34.2987
309.082, -40.1076
310.547, -36.8729
312.012, -37.2194
313.477, -41.3307
314.941, -36.6764
316.406, -35.9146
317.871, -35.8113
319.336, -42.9538
320.801, -36.1593
322.266, -34.8904
323.730, -38.9031
325.195, -32.9248
326.660, -32.9017
328.125, -31.8282
329.590, -33.5205
331.055, -30.8855
332.520, -31.9695
333.984, -34.1375
335.449, -32.6824
336.914, -31.1398
338.379, -31.9716
339.844, -31.0654
341.309, -29.9542
342.773, -29.3376
344.238, -28.3396
345.703, -29.6916
347.168, -28.4599
348.633, -26.9988
350.098, -30.3175
351.563, -26.9528
353.027, -30.7772
354.492, -29.3605
355.957, -30.2051
357.422, -30.6950
358.887, -29.4114
360.352, -30.3655
361.816, -31.2712
363.281, -31.2880
364.746, -29.6802
366.211, -31.5098
367.676, -31.9128
369.141, -31.6025
370.605, -31.8709
372.070, -31.0318
373.535, -34.1461
375.000, -36.7772
376.465, -32.9131
377.930, -33.3266
379.395, -34.0497
380.859, -34.8794
382.324, -34.4055
383.789, -32.6392
385.254, -33.7918
386.719, -31.1415
388.184, -31.6329
389.648, -29.8714
391.113, -27.2668
392.578, -27.0850
394.043, -25.6337
395.508, -23.8545
396.973, -24.4737
398.438, -24.2250
399.902, -25.2471
401.367, -25.8494
402.832, -27.1960
404.297, -27.8826
405.762, -28.6715
407.227, -29.8112
408.691, -30.4964
410.156, -31.0966
411.621, -31.0585
413.086, -33.2972
414.551, -32.4051
416.016, -33.1234
417.480, -33.1185
418.945, -35.2678
420.410, -37.3777
421.875, -36.5215
423.340, -40.7730
424.805, -37.6377
426.270, -43.0025
427.734, -43.9756
429.199, -42.2375
430.664, -45.8685
432.129, -42.7447
433.594, -46.0363
435.059, -48.9188
436.523, -47.5380
437.988, -46.8785
439.453, -48.6087
440.918, -49.9485
442.383, -51.0374
443.848, -50.4925
445.313, -49.4204
446.777, -51.8483
448.242, -55.7185
449.707, -51.9564
451.172, -54.0683
452.637, -51.5785
454.102, -52.0719
455.566, -55.6038
457.031, -50.5674
458.496, -51.1066
459.961, -52.3544
461.426, -51.0816
462.891, -55.2727
464.355, -53.3697
465.820, -52.6721
467.285, -52.4171
468.750, -55.1062
470.215, -56.2681
471.680, -56.6069
473.145, -66.0215
474.609, -54.7449
476.074, -56.3486
477.539, -62.9525
479.004, -57.9701
480.469, -58.8929
481.934, -63.3889
483.398, -51.8246
484.863, -59.0208
486.328, -56.1026
487.793, -65.4613
489.258, -57.7066
490.723, -55.4594
492.188, -55.9415
493.652, -67.2837
495.117, -61.9046
496.582, -55.6912
498.047, -57.4357
499.512, -55.3932
500.977, -56.7248
502.441, -55.2233
503.906, -49.8587
505.371, -56.2842
506.836, -59.4587
508.301, -55.1056
509.766, -55.5673
511.230, -56.6407
512.695, -57.1496
514.160, -53.4588
515.625, -67.6992
517.090, -68.1929
518.555, -57.1123
520.020, -78.8254
521.484, -52.6199
522.949, -60.3854
524.414, -57.5230
525.879, -55.5476
527.344, -61.8725
528.809, -58.6624
530.273, -62.4780
531.738, -62.7410
533.203, -59.3612
534.668, -56.8400
536.133, -57.2277
537.598, -56.5141
539.063, -54.4073
540.527, -54.1469
541.992, -56.3518
543.457, -51.8334
544.922, -52.8945
546.387, -47.5815
547.852, -52.9878
549.316, -50.6785
550.781, -48.0276
552.246, -47.6148
553.711, -47.9763
555.176, -46.6330
556.641, -46.1426
558.105, -47.0303
559.570, -46.5557
561.035, -45.0959
562.500, -45.9798
563.965, -45.9036
565.430, -45.4786
566.895, -45.3787
568.359, -43.8397
569.824, -44.0234
571.289, -44.7712
572.754, -42.9594
574.219, -44.5196
575.684, -44.3986
577.148, -43.1710
578.613, -44.0493
580.078, -43.3133
581.543, -43.2815
583.008, -42.7047
584.473, -41.7794
585.938, -40.7241
587.402, -42.1038
588.867, -42.1889
590.332, -42.3418
591.797, -41.8871
593.262, -38.9536
594.727, -42.8678
596.191, -43.5421
597.656, -41.5242
599.121, -41.3127
600.586, -38.7622
602.051, -38.4460
603.516, -39.3583
604.980, -38.6649
606.445, -39.8269
607.910, -41.5363
609.375, -36.5482
610.840, -40.4719
612.305, -41.4820
613.770, -38.0521
615.234, -41.7148
616.699, -41.6199
618.164, -40.1546
619.629, -39.3516
621.094, -41.3016
622.559, -41.7028
624.023, -39.0508
625.488, -37.3498
626.953, -39.2119
628.418, -40.4272
629.883, -41.0130
631.348, -42.0045
632.813, -38.4536
634.277, -37.9923
635.742, -42.3172
637.207, -37.4252
638.672, -39.0084
640.137, -42.4956
641.602, -48.1018
643.066, -43.8795
644.531, -46.8046
645.996, -45.5915
647.461, -43.8436
648.926, -46.6117
650.391, -51.6431
651.855, -55.3798
653.320, -50.7603
654.785, -62.9858
656.250, -48.1436
