DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
1.465, -55.8821
2.930, -51.5850
4.395, -55.2737
5.859, -52.2434
7.324, -52.3631
8.789, -51.5495
10.254, -50.0202
11.719, -54.0384
13.184, -80.1573
14.648, -50.6953
16.113, -52.5827
17.578, -45.1009
19.043, -44.3498
20.508, -44.6909
21.973, -45.7887
23.438, -45.0017
24.902, -49.8930
26.367, -60.8788
27.832, -46.7899
29.297, -48.9095
30.762, -54.8833
32.227, -39.6322
33.691, -38.2381
35.156, -41.4207
36.621, -41.5638
38.086, -54.2518
39.551, -40.6342
41.016, -44.8546
42.480, -38.4805
43.945, -37.7766
45.410, -36.7026
46.875, -36.7267
48.340, -34.1114
49.805, -32.3162
51.270, -33.4627
52.734, -31.8861
54.199, -30.7031
55.664, -29.8251
57.129, -28.1468
58.594, -26.5096
60.059, -25.2895
61.523, -24.7233
62.988, -23.6842
64.453, -23.4437
65.918, -22.1222
67.383, -21.2833
68.848, -20.1446
70.313, -19.1115
71.777, -17.8642
73.242, -17.7775
74.707, -16.4309
76.172, -16.4199
77.637, -15.5895
79.102, -15.8162
80.566, -14.6225
82.031, -14.1907
83.496, -13.7128
84.961, -13.4814
86.426, -13.6949
87.891, -13.2316
89.355, -12.6694
90.820, -12.8643
92.285, -13.2397
93.750, -13.1028
95.215, -12.7292
96.680, -12.4696
98.145, -12.3842
99.609, -12.5467
101.074, -12.5761
102.539, -11.7490
104.004, -11.9770
105.469, -11.5132
106.934, -11.8869
108.398, -12.2195
109.863, -12.2304
111.328, -11.2450
112.793, -11.4786
114.258, -11.5339
115.723, -11.9261
117.188, -12.5021
118.652, -11.7400
120.117, -11.4447
121.582, -12.4642
123.047, -11.6451
124.512, -12.3386
125.977, -12.7385
127.441, -13.2629
128.906, -12.3786
130.371, -13.3225
131.836, -12.7861
133.301, -12.8967
134.766, -13.3362
136.230, -13.3543
137.695, -13.5498
139.160, -13.3104
140.625, -13.3332
142.090, -14.0120
143.555, -13.3166
145.020, -13.3979
146.484, -12.8621
147.949, -13.2687
149.414, -14.2350
150.879, -14.2874
152.344, -13.3052
153.809, -13.7092
155.273, -13.6341
156.738, -13.7150
158.203, -14.1643
159.668, -13.5651
161.133, -14.1123
162.598, -14.1315
164.063, -13.8110
165.527, -14.1908
166.992, -14.2936
168.457, -14.4892
169.922, -14.8204
171.387, -14.4525
172.852, -14.3826
174.316, -14.8159
175.781, -15.0673
177.246, -14.7746
178.711, -15.0037
180.176, -15.2515
181.641, -14.7705
183.105, -14.6373
184.570, -15.7198
186.035, -15.3641
187.500, -14.9822
188.965, -15.2610
190.430, -15.2290
191.895, -15.6958
193.359, -16.3173
194.824, -15.5320
196.289, -15.7933
197.754, -15.0561
199.219, -14.7867
200.684, -14.5947
202.148, -14.8431
203.613, -13.4909
205.078, -13.7880
206.543, -12.7416
208.008, -12.1925
209.473, -11.4236
210.938, -11.0064
212.402, -10.4929
213.867, -9.5462
215.332, -9.3216
216.797, -8.7242
218.262, -7.5180
219.727, -7.3754
221.191, -6.7011
222.656, -6.6716
224.121, -5.3261
225.586, -5.4254
227.051, -5.0016
228.516, -4.5836
229.980, -4.7919
231.445, -4.8699
232.910, -5.4165
234.375, -6.1765
235.840, -5.4121
237.305, -5.1711
238.770, -5.6523
240.234, -6.0846
241.699, -5.7147
243.164, -5.7907
244.629, -5.7941
246.094, -6.0044
247.559, -6.0273
249.023, -6.3681
250.488, -6.1777
251.953, -6.5829
253.418, -6.5458
254.883, -6.6392
256.348, -6.3929
257.813, -6.6953
259.277, -6.3322
260.742, -6.4030
262.207, -6.7706
263.672, -6.8146
265.137, -7.4369
266.602, -7.1923
268.066, -7.9106
269.531, -7.6253
270.996, -7.5601
272.461, -8.1278
273.926, -7.7470
275.391, -7.9678
276.855, -8.2501
278.320, -8.5568
279.785, -8.8992
281.250, -8.3975
282.715, -8.3455
284.180, -8.6199
285.645, -8.5614
287.109, -8.4517
288.574, -8.7042
290.039, -9.1264
291.504, -9.3345
292.969, -9.6541
294.434, -9.2224
295.898, -9.2343
297.363, -9.0884
298.828, -9.7276
300.293, -9.3692
301.758, -9.9729
303.223, -9.8913
304.688, -9.8045
306.152, -9.3772
307.617, -9.6832
309.082, -9.8374
310.547, -9.6547
312.012, -9.3347
313.477, -9.3806
314.941, -9.1758
316.406, -8.9331
317.871, -9.2105
319.336, -8.9765
320.801, -8.4680
322.266, -8.2861
323.730, -8.9920
325.195, -7.7815
326.660, -8.0524
328.125, -7.3329
329.590, -7.4847
331.055, -7.7141
332.520, -6.9674
333.984, -6.8948
335.449, -7.0179
336.914, -6.7532
338.379, -7.0938
339.844, -6.9555
341.309, -6.8196
342.773, -6.8318
344.238, -6.2794
345.703, -7.2216
347.168, -7.0316
348.633, -6.9362
350.098, -6.6201
351.563, -6.8199
353.027, -6.7051
354.492, -6.8090
355.957, -6.8593
357.422, -6.7873
358.887, -6.7953
360.352, -6.5822
361.816, -6.5712
363.281, -6.6547
364.746, -6.6555
366.211, -6.5625
367.676, -6.7422
369.141, -5.8403
370.605, -6.2215
372.070, -5.9344
373.535, -6.5870
375.000, -5.7522
376.465, -5.8520
377.930, -5.7006
379.395, -6.3741
380.859, -5.7136
382.324, -5.9411
383.789, -5.7242
385.254, -5.6924
386.719, -5.7750
388.184, -5.2891
389.648, -6.1487
391.113, -6.4675
392.578, -6.2132
394.043, -6.6314
395.508, -6.7215
396.973, -6.5771
398.438, -6.3924
399.902, -6.4242
401.367, -7.3840
402.832, -6.8520
404.297, -7.4938
405.762, -7.7563
407.227, -8.6722
408.691, -8.5541
410.156, -9.3837
411.621, -9.8788
413.086, -10.2884
414.551, -10.3886
416.016, -11.3701
417.480, -12.0502
418.945, -12.1653
420.410, -13.1175
421.875, -13.1099
423.340, -14.2118
424.805, -13.9342
426.270, -14.6738
427.734, -14.9475
429.199, -15.1954
430.664, -15.2189
432.129, -15.0097
433.594, -16.1697
435.059, -16.1560
436.523, -16.6019
437.988, -16.1143
439.453, -16.6849
440.918, -16.2079
442.383, -16.5190
443.848, -16.0042
445.313, -16.6749
446.777, -16.4097
448.242, -15.6685
449.707, -16.4893
451.172, -15.9955
452.637, -16.0838
454.102, -16.1747
455.566, -16.6276
457.031, -15.7754
458.496, -15.6911
459.961, -16.2053
461.426, -15.6327
462.891, -14.4579
464.355, -15.9478
465.820, -15.2909
467.285, -15.1864
468.750, -15.0110
470.215, -14.9068
471.680, -14.9101
473.145, -14.3160
474.609, -14.7652
476.074, -16.2992
477.539, -14.5456
479.004, -14.2700
480.469, -13.3490
481.934, -13.4460
483.398, -13.0012
484.863, -12.7052
486.328, -12.2046
487.793, -13.6068
489.258, -12.5882
490.723, -11.5331
492.188, -12.2191
493.652, -14.0650
495.117, -12.1646
496.582, -12.1802
498.047, -12.5733
499.512, -11.0220
500.977, -10.8466
502.441, -11.2310
503.906, -13.5449
505.371, -12.4403
506.836, -15.1856
508.301, -11.2379
509.766, -10.9622
511.230, -13.2613
512.695, -12.6481
514.160, -11.9220
515.625, -10.9653
517.090, -11.8623
518.555, -11.6409
520.020, -11.0548
521.484, -11.8747
522.949, -10.5547
524.414, -9.7273
525.879, -10.3371
527.344, -10.9673
528.809, -9.7584
530.273, -9.8680
531.738, -9.0275
533.203, -9.5489
534.668, -9.0208
536.133, -8.6843
537.598, -7.5735
539.063, -9.2586
540.527, -8.8926
541.992, -8.4108
543.457, -8.0679
544.922, -8.1978
546.387, -7.4842
547.852, -7.8233
549.316, -6.7778
550.781, -7.2769
552.246, -7.1642
553.711, -7.3107
555.176, -6.7948
556.641, -6.8778
558.105, -6.6269
559.570, -6.8083
561.035, -6.7172
562.500, -8.5545
563.965, -8.3285
565.430, -8.5104
566.895, -9.1834
568.359, -9.0750
569.824, -8.7888
571.289, -9.7496
572.754, -10.1740
574.219, -9.6171
575.684, -10.0834
577.148, -11.7822
578.613, -10.8121
580.078, -12.6560
581.543, -13.0689
583.008, -12.0858
584.473, -12.5834
585.938, -13.6492
587.402, -14.2398
588.867, -15.0466
590.332, -14.6105
591.797, -14.5783
593.262, -14.6307
594.727, -15.4131
596.191, -15.2984
597.656, -16.1661
599.121, -15.9271
600.586, -16.2383
602.051, -17.3716
603.516, -16.1591
604.980, -16.6085
606.445, -18.4399
607.910, -19.1341
609.375, -20.0246
610.840, -20.1274
612.305, -18.6364
613.770, -19.1297
615.234, -21.4096
616.699, -20.7879
618.164, -19.5882
619.629, -21.4727
621.094, -22.4381
622.559, -20.5228
624.023, -20.5684
625.488, -22.0711
626.953, -23.2802
628.418, -22.5334
629.883, -22.0692
631.348, -22.6475
632.813, -21.2714
634.277, -23.4529
635.742, -21.3851
637.207, -21.5566
638.672, -23.4229
640.137, -22.1366
641.602, -23.3103
643.066, -23.2207
644.531, -23.8538
645.996, -22.8384
647.461, -22.5804
648.926, -24.6735
650.391, -24.0636
651.855, -22.6957
653.320, -25.5549
654.785, -25.7913
656.250, -22.6253
