DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
1.465, -72.6874
2.930, -71.6455
4.395, -72.7632
5.859, -81.4586
7.324, -68.5621
8.789, -69.4390
10.254, -70.7746
11.719, -73.6913
13.184, -59.4128
14.648, -52.7253
16.113, -52.7978
17.578, -49.2695
19.043, -47.7896
20.508, -50.8401
21.973, -48.5918
23.438, -51.0236
24.902, -52.1040
26.367, -51.1333
27.832, -49.4371
29.297, -48.0881
30.762, -46.2806
32.227, -43.0760
33.691, -44.8207
35.156, -48.8348
36.621, -47.4604
38.086, -44.7275
39.551, -41.6925
41.016, -40.9721
42.480, -39.7200
43.945, -37.8961
45.410, -37.7253
46.875, -35.8781
48.340, -34.2461
49.805, -32.8350
51.270, -31.6625
52.734, -30.4895
54.199, -29.2901
55.664, -27.6009
57.129, -26.6062
58.594, -25.8106
60.059, -25.2156
61.523, -24.2256
62.988, -22.8715
64.453, -21.9601
65.918, -22.2246
67.383, -21.6161
68.848, -21.9073
70.313, -22.2534
71.777, -21.9079
73.242, -22.8109
74.707, -22.1748
76.172, -21.9005
77.637, -23.1865
79.102, -22.7972
80.566, -22.7578
82.031, -21.9437
83.496, -23.0245
84.961, -22.3982
86.426, -21.6996
87.891, -22.0246
89.355, -22.1664
90.820, -22.5727
92.285, -22.6149
93.750, -22.6819
95.215, -22.6995
96.680, -23.6290
98.145, -24.1120
99.609, -23.7161
101.074, -24.2866
102.539, -26.2610
104.004, -26.2582
105.469, -27.1190
106.934, -27.7459
108.398, -28.5232
109.863, -28.2374
111.328, -29.2366
112.793, -30.2007
114.258, -30.7618
115.723, -31.2537
117.188, -30.0818
118.652, -29.3028
120.117, -29.0507
121.582, -28.7404
123.047, -27.1352
124.512, -26.9656
125.977, -25.9290
127.441, -24.7061
128.906, -24.5625
130.371, -24.7417
131.836, -24.9006
133.301, -24.2750
134.766, -24.6147
136.230, -24.3900
137.695, -23.4893
139.160, -23.6553
140.625, -23.0495
142.090, -22.3063
143.555, -22.6871
145.020, -21.9305
146.484, -22.5832
147.949, -21.9357
149.414, -21.7420
150.879, -21.1095
152.344, -20.8105
153.809, -20.5088
155.273, -20.7223
156.738, -20.3524
158.203, -19.6572
159.668, -19.4174
161.133, -19.3216
162.598, -19.2917
164.063, -18.5248
165.527, -18.6883
166.992, -18.0046
168.457, -17.9981
169.922, -17.1584
171.387, -18.2235
172.852, -17.3981
174.316, -17.0769
175.781, -17.8267
177.246, -17.6830
178.711, -17.0290
180.176, -16.9349
181.641, -16.3489
183.105, -16.0694
184.570, -16.4979
186.035, -16.6738
187.500, -15.7020
188.965, -15.7434
190.430, -15.7232
191.895, -15.0610
193.359, -15.5914
194.824, -15.9567
196.289, -15.1498
197.754, -14.7949
199.219, -14.3726
200.684, -14.6655
202.148, -14.7237
203.613, -13.7463
205.078, -14.5007
206.543, -14.3989
208.008, -14.6073
209.473, -14.2451
210.938, -14.1461
212.402, -14.2193
213.867, -14.1265
215.332, -14.6129
216.797, -13.7475
218.262, -14.3633
219.727, -14.8498
221.191, -15.0925
222.656, -15.2132
224.121, -15.7352
225.586, -16.1120
227.051, -16.5503
228.516, -17.6491
229.980, -18.4231
231.445, -20.9253
232.910, -23.2917
234.375, -24.0508
235.840, -23.8266
237.305, -24.4550
238.770, -24.0751
240.234, -24.5314
241.699, -24.5185
243.164, -23.9964
244.629, -24.8415
246.094, -24.8481
247.559, -24.9336
249.023, -24.3761
250.488, -23.2971
251.953, -23.6931
253.418, -23.3967
254.883, -22.8541
256.348, -22.8517
257.813, -22.4117
259.277, -22.8755
260.742, -22.2282
262.207, -22.1867
263.672, -22.0154
265.137, -21.6664
266.602, -21.9009
268.066, -21.4295
269.531, -21.4445
270.996, -21.3165
272.461, -21.5176
273.926, -20.9524
275.391, -20.7664
276.855, -20.5370
278.320, -20.2099
279.785, -19.9813
281.250, -20.1810
282.715, -20.1528
284.180, -19.6606
285.645, -19.7889
287.109, -19.5476
288.574, -19.2171
290.039, -19.2060
291.504, -18.6416
292.969, -18.7630
294.434, -18.3113
295.898, -18.4677
297.363, -17.9197
298.828, -17.9248
300.293, -17.3214
301.758, -17.3684
303.223, -17.1790
304.688, -17.3163
306.152, -16.8816
307.617, -16.7359
309.082, -16.4597
310.547, -15.7533
312.012, -15.8959
313.477, -15.2737
314.941, -15.4304
316.406, -15.0743
317.871, -15.0530
319.336, -15.0354
320.801, -14.8354
322.266, -14.9407
323.730, -14.8958
325.195, -15.1380
326.660, -15.2030
328.125, -15.2660
329.590, -15.5149
331.055, -15.8272
332.520, -16.0641
333.984, -16.5505
335.449, -16.3204
336.914, -17.0388
338.379, -17.5474
339.844, -17.7997
341.309, -18.0314
342.773, -18.7328
344.238, -19.1655
345.703, -19.4166
347.168, -20.1749
348.633, -20.5451
350.098, -21.0530
351.563, -21.1819
353.027, -22.1562
354.492, -22.2609
355.957, -22.6498
357.422, -23.4007
358.887, -23.6030
360.352, -25.3172
361.816, -25.0105
363.281, -25.0289
364.746, -26.6391
366.211, -26.5788
367.676, -27.8641
369.141, -27.9080
370.605, -28.3550
372.070, -29.4476
373.535, -30.0236
375.000, -28.1079
376.465, -29.1183
377.930, -29.0161
379.395, -29.7953
380.859, -29.1781
382.324, -28.4299
383.789, -27.7344
385.254, -28.1093
386.719, -27.8125
388.184, -27.9832
389.648, -27.2730
391.113, -26.6547
392.578, -26.9740
394.043, -25.2761
395.508, -23.9259
396.973, -21.2482
398.438, -21.3913
399.902, -19.0902
401.367, -18.8167
402.832, -19.0689
404.297, -18.9893
405.762, -19.0476
407.227, -19.5107
408.691, -19.3834
410.156, -19.9308
411.621, -20.1320
413.086, -20.5480
414.551, -20.2857
416.016, -21.4810
417.480, -21.4243
418.945, -21.0788
420.410, -21.7740
421.875, -22.6658
423.340, -22.5800
424.805, -22.4407
426.270, -22.4155
427.734, -23.3437
429.199, -23.3774
430.664, -23.6566
432.129, -24.1637
433.594, -24.9648
435.059, -25.4435
436.523, -26.2015
437.988, -24.9164
439.453, -25.2853
440.918, -26.2013
442.383, -26.1080
443.848, -25.6942
445.313, -26.1558
446.777, -26.3856
448.242, -26.7004
449.707, -27.4633
451.172, -27.8819
452.637, -27.2586
454.102, -27.6478
455.566, -28.1074
457.031, -28.0579
458.496, -28.5319
459.961, -28.9842
461.426, -29.5982
462.891, -30.6924
464.355, -30.2071
465.820, -30.7221
467.285, -31.2560
468.750, -31.9031
470.215, -31.2085
471.680, -31.8061
473.145, -33.2012
474.609, -33.1005
476.074, -33.7676
477.539, -34.8274
479.004, -34.8946
480.469, -35.0804
481.934, -35.9293
483.398, -36.1389
484.863, -36.0674
486.328, -37.2995
487.793, -37.8006
489.258, -37.5792
490.723, -36.3506
492.188, -35.8061
493.652, -36.3482
495.117, -35.2169
496.582, -33.8562
498.047, -34.2836
499.512, -34.1536
500.977, -32.5309
502.441, -32.8116
503.906, -32.7752
505.371, -32.0693
506.836, -30.8666
508.301, -30.2544
509.766, -31.0600
511.230, -29.5859
512.695, -28.5018
514.160, -27.7470
515.625, -27.2775
517.090, -27.2148
518.555, -26.2990
520.020, -25.8076
521.484, -25.9356
522.949, -24.7650
524.414, -23.6322
525.879, -23.3265
527.344, -22.7970
528.809, -22.3998
530.273, -21.7493
531.738, -20.7635
533.203, -20.3612
534.668, -19.7845
536.133, -18.9628
537.598, -17.9740
539.063, -17.2509
540.527, -16.4754
541.992, -15.8854
543.457, -15.4451
544.922, -13.9950
546.387, -13.3452
547.852, -13.5265
549.316, -12.3412
550.781, -11.6661
552.246, -11.1378
553.711, -10.8223
555.176, -10.6467
556.641, -9.8749
558.105, -9.7272
559.570, -8.9096
561.035, -8.8669
562.500, -9.0667
563.965, -9.1344
565.430, -8.6960
566.895, -8.6955
568.359, -9.1183
569.824, -8.7300
571.289, -8.9643
572.754, -9.5923
574.219, -9.4631
575.684, -8.2464
577.148, -9.3569
578.613, -9.9547
580.078, -10.0886
581.543, -10.0728
583.008, -9.9619
584.473, -10.4731
585.938, -10.1663
587.402, -10.1909
588.867, -10.8194
590.332, -10.8662
591.797, -11.0810
593.262, -11.4260
594.727, -11.0585
596.191, -10.8237
597.656, -11.8164
599.121, -11.6464
600.586, -12.0511
602.051, -11.8018
603.516, -12.8162
604.980, -12.1418
606.445, -12.2944
607.910, -12.4935
609.375, -12.1183
610.840, -13.3208
612.305, -12.4217
613.770, -12.6163
615.234, -12.4540
616.699, -12.3877
618.164, -12.2426
619.629, -12.3646
621.094, -12.8907
622.559, -13.0253
624.023, -13.3541
625.488, -13.6467
626.953, -13.7783
628.418, -12.9804
629.883, -13.0894
631.348, -13.6820
632.813, -13.4562
634.277, -13.9293
635.742, -14.1227
637.207, -13.4722
638.672, -13.3955
640.137, -13.8116
641.602, -14.7991
643.066, -13.0827
644.531, -14.0274
645.996, -14.2986
647.461, -13.0413
648.926, -13.6825
650.391, -13.9222
651.855, -13.4179
653.320, -13.6735
654.785, -13.1126
656.250, -13.7822
