DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
1.465, -77.2347
2.930, -73.8209
4.395, -74.5408
5.859, -74.4910
7.324, -79.6071
8.789, -79.4809
10.254, -81.7024
11.719, -75.1861
13.184, -59.5666
14.648, -61.1628
16.113, -61.1707
17.578, -63.1592
19.043, -62.1336
20.508, -64.8099
21.973, -63.0336
23.438, -58.5968
24.902, -57.3803
26.367, -43.6117
27.832, -51.9765
29.297, -61.4076
30.762, -50.3105
32.227, -39.6408
33.691, -48.4606
35.156, -49.8973
36.621, -57.5892
38.086, -57.8472
39.551, -56.8640
41.016, -54.1172
42.480, -56.1837
43.945, -53.3175
45.410, -54.9244
46.875, -53.2868
48.340, -51.8089
49.805, -50.4466
51.270, -47.6422
52.734, -46.3562
54.199, -46.9086
55.664, -46.3788
57.129, -44.4112
58.594, -41.4261
60.059, -41.4435
61.523, -41.1636
62.988, -38.3080
64.453, -37.3282
65.918, -35.7552
67.383, -37.0695
68.848, -34.2988
70.313, -32.5160
71.777, -27.7038
73.242, -25.9861
74.707, -24.0453
76.172, -22.4549
77.637, -24.7649
79.102, -24.4059
80.566, -24.6273
82.031, -28.0313
83.496, -30.4984
84.961, -31.4971
86.426, -33.3069
87.891, -36.3426
89.355, -37.7804
90.820, -40.4784
92.285, -38.8676
93.750, -40.7122
95.215, -40.9114
96.680, -40.9447
98.145, -41.5577
99.609, -40.8372
101.074, -40.0884
102.539, -40.8719
104.004, -40.0506
105.469, -40.2800
106.934, -40.7346
108.398, -40.4934
109.863, -39.4005
111.328, -39.8570
112.793, -40.3967
114.258, -39.6964
115.723, -39.7391
117.188, -39.4600
118.652, -39.5967
120.117, -39.3693
121.582, -38.9874
123.047, -39.7858
124.512, -39.6177
125.977, -39.6013
127.441, -39.7715
128.906, -38.8248
130.371, -38.9436
131.836, -40.1011
133.301, -39.2555
134.766, -39.5646
136.230, -39.1272
137.695, -39.1779
139.160, -39.3285
140.625, -39.4198
142.090, -39.4928
143.555, -39.0897
145.020, -39.2924
146.484, -40.2122
147.949, -39.9651
149.414, -40.0958
150.879, -40.1527
152.344, -41.0035
153.809, -41.0393
155.273, -40.7859
156.738, -40.7283
158.203, -40.8728
159.668, -41.0503
161.133, -41.5221
162.598, -41.8854
164.063, -42.1296
165.527, -41.8234
166.992, -42.1691
168.457, -42.1977
169.922, -43.5432
171.387, -42.8716
172.852, -42.8513
174.316, -43.8192
175.781, -44.6836
177.246, -44.8507
178.711, -44.7519
180.176, -45.6539
181.641, -45.8715
183.105, -46.8488
184.570, -47.8475
186.035, -48.0983
187.500, -49.1141
188.965, -50.9907
190.430, -51.4894
191.895, -53.0663
193.359, -55.6368
194.824, -55.1737
196.289, -52.7238
197.754, -49.9334
199.219, -46.9939
200.684, -46.0881
202.148, -44.1580
203.613, -42.1284
205.078, -40.1663
206.543, -38.7328
208.008, -37.5680
209.473, -35.3111
210.938, -33.9652
212.402, -32.5003
213.867, -30.6437
215.332, -29.1984
216.797, -27.3396
218.262, -25.6563
219.727, -23.8475
221.191, -22.1636
222.656, -20.4192
224.121, -18.9102
225.586, -16.8841
227.051, -15.4407
228.516, -14.7332
229.980, -14.7659
231.445, -15.3198
232.910, -17.1928
234.375, -18.7667
235.840, -20.4882
237.305, -21.6207
238.770, -23.1316
240.234, -24.7044
241.699, -26.2116
243.164, -27.5411
244.629, -28.8631
246.094, -30.1145
247.559, -31.5181
249.023, -32.4004
250.488, -33.6573
251.953, -34.8823
253.418, -35.5761
254.883, -37.0852
256.348, -37.8039
257.813, -38.7463
259.277, -39.4086
260.742, -40.2431
262.207, -41.0164
263.672, -41.4392
265.137, -42.1363
266.602, -42.3423
268.066, -43.4588
269.531, -42.8000
270.996, -42.5051
272.461, -43.3556
273.926, -43.2649
275.391, -43.0564
276.855, -43.1653
278.320, -42.8118
279.785, -43.1009
281.250, -42.2197
282.715, -42.2746
284.180, -42.5420
285.645, -41.9236
287.109, -41.7540
288.574, -40.6716
290.039, -40.0604
291.504, -40.1300
292.969, -39.7154
294.434, -39.6491
295.898, -38.9367
297.363, -38.1832
298.828, -38.2145
300.293, -37.8634
301.758, -37.1254
303.223, -37.3648
304.688, -36.4396
306.152, -36.1198
307.617, -35.5660
309.082, -34.7255
310.547, -34.4211
312.012, -33.7087
313.477, -32.9340
314.941, -32.3532
316.406, -32.2596
317.871, -31.1950
319.336, -30.2740
320.801, -28.9049
322.266, -28.4704
323.730, -27.1590
325.195, -26.4840
326.660, -24.9779
328.125, -24.8181
329.590, -22.4657
331.055, -21.2580
332.520, -20.1445
333.984, -17.6577
335.449, -16.5240
336.914, -15.7082
338.379, -16.1020
339.844, -17.9014
341.309, -20.0558
342.773, -22.4353
344.238, -24.1363
345.703, -25.7809
347.168, -26.5703
348.633, -28.5678
350.098, -29.8163
351.563, -30.1488
353.027, -31.3087
354.492, -32.1969
355.957, -32.7244
357.422, -33.1872
358.887, -33.4699
360.352, -33.6908
361.816, -34.3857
363.281, -34.0118
364.746, -33.8404
366.211, -34.3731
367.676, -34.0907
369.141, -34.0435
370.605, -34.1447
372.070, -33.7516
373.535, -33.7145
375.000, -33.5607
376.465, -32.8173
377.930, -32.7150
379.395, -32.1655
380.859, -32.0432
382.324, -31.4310
383.789, -30.3098
385.254, -29.6905
386.719, -28.5624
388.184, -26.9817
389.648, -24.4805
391.113, -21.3534
392.578, -19.0251
394.043, -16.9872
395.508, -17.4919
396.973, -19.1968
398.438, -20.6997
399.902, -22.5771
401.367, -23.9891
402.832, -25.1634
404.297, -26.1761
405.762, -27.4603
407.227, -28.3029
408.691, -29.7020
410.156, -30.4989
411.621, -31.0711
413.086, -31.7758
414.551, -32.6810
416.016, -33.1777
417.480, -33.7328
418.945, -34.8606
420.410, -34.7877
421.875, -35.9565
423.340, -35.6715
424.805, -36.1378
426.270, -37.1470
427.734, -37.1988
429.199, -38.3945
430.664, -38.9466
432.129, -38.3517
433.594, -39.5472
435.059, -39.0766
436.523, -39.5754
437.988, -40.8574
439.453, -41.6096
440.918, -41.0591
442.383, -40.8874
443.848, -39.5787
445.313, -42.4870
446.777, -42.2784
448.242, -42.1307
449.707, -43.4463
451.172, -43.2614
452.637, -42.2957
454.102, -42.7769
455.566, -43.5488
457.031, -43.7418
458.496, -45.6976
459.961, -43.5879
461.426, -44.4910
462.891, -44.2410
464.355, -44.1907
465.820, -45.3267
467.285, -46.1757
468.750, -45.2052
470.215, -46.9611
471.680, -46.3494
473.145, -46.9175
474.609, -47.1296
476.074, -47.5754
477.539, -47.5837
479.004, -47.5339
480.469, -48.1969
481.934, -47.4172
483.398, -48.8169
484.863, -48.3690
486.328, -48.0302
487.793, -49.2756
489.258, -49.3421
490.723, -50.0180
492.188, -50.7476
493.652, -51.0634
495.117, -49.2692
496.582, -50.8966
498.047, -51.3232
499.512, -50.7620
500.977, -52.0912
502.441, -51.2359
503.906, -51.3870
505.371, -52.7213
506.836, -52.5334
508.301, -52.1216
509.766, -53.4501
511.230, -53.6335
512.695, -54.8316
514.160, -54.7865
515.625, -51.4944
517.090, -53.7712
518.555, -52.4760
520.020, -52.0272
521.484, -52.9927
522.949, -52.7627
524.414, -53.3468
525.879, -51.4557
527.344, -51.7627
528.809, -48.8965
530.273, -47.5133
531.738, -49.2371
533.203, -46.9273
534.668, -46.8968
536.133, -45.0615
537.598, -44.5249
539.063, -43.6480
540.527, -42.7959
541.992, -42.0669
543.457, -41.4522
544.922, -40.2506
546.387, -39.7786
547.852, -39.9802
549.316, -39.4133
550.781, -38.3762
552.246, -37.5969
553.711, -37.5893
555.176, -36.5475
556.641, -36.0187
558.105, -35.1537
559.570, -34.4177
561.035, -34.2262
562.500, -33.6449
563.965, -34.0439
565.430, -33.4935
566.895, -33.4782
568.359, -33.8371
569.824, -33.9404
571.289, -34.2254
572.754, -34.5053
574.219, -34.5983
575.684, -35.4890
577.148, -35.2479
578.613, -35.8442
580.078, -35.5152
581.543, -35.9592
583.008, -36.0777
584.473, -36.4878
585.938, -36.5198
587.402, -35.7703
588.867, -36.1631
590.332, -36.0583
591.797, -36.3816
593.262, -36.4196
594.727, -36.6563
596.191, -36.0440
597.656, -36.3183
599.121, -35.7202
600.586, -36.1233
602.051, -36.4013
603.516, -35.3371
604.980, -35.8147
606.445, -35.3163
607.910, -35.4830
609.375, -34.7138
610.840, -34.9060
612.305, -34.7261
613.770, -34.1574
615.234, -33.5063
616.699, -33.5599
618.164, -32.9827
619.629, -32.4495
621.094, -31.6002
622.559, -31.2167
624.023, -31.0059
625.488, -30.6151
626.953, -30.5061
628.418, -31.4110
629.883, -32.5633
631.348, -34.5206
632.813, -35.3195
634.277, -37.3003
635.742, -38.8084
637.207, -40.8236
638.672, -41.2929
640.137, -42.2040
641.602, -41.9247
643.066, -41.9320
644.531, -41.4899
645.996, -39.9208
647.461, -38.8766
648.926, -38.1880
650.391, -36.7690
651.855, -35.8491
653.320, -35.4701
654.785, -33.5224
656.250, -31.8316
