DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
1.465, -67.6344
2.930, -71.6109
4.395, -89.3154
5.859, -90.0259
7.324, -75.8795
8.789, -92.0155
10.254, -78.8104
11.719, -68.1175
13.184, -60.4689
14.648, -62.8300
16.113, -70.5786
17.578, -72.7352
19.043, -79.1454
20.508, -73.9502
21.973, -72.9128
23.438, -76.0783
24.902, -65.9064
26.367, -54.4480
27.832, -59.5250
29.297, -54.5786
30.762, -48.3327
32.227, -39.7955
33.691, -55.4981
35.156, -52.9210
36.621, -55.9891
38.086, -59.7324
39.551, -58.2285
41.016, -57.4221
42.480, -72.6486
43.945, -60.1279
45.410, -57.9938
46.875, -58.0605
48.340, -71.0239
49.805, -49.9844
51.270, -63.5935
52.734, -72.9025
54.199, -47.9556
55.664, -48.5100
57.129, -52.3579
58.594, -69.5055
60.059, -54.4494
61.523, -52.6133
62.988, -51.3438
64.453, -42.2037
65.918, -47.4678
67.383, -40.6820
68.848, -41.5913
70.313, -38.0070
71.777, -34.4980
73.242, -33.3562
74.707, -33.2638
76.172, -32.9281
77.637, -30.4892
79.102, -36.2349
80.566, -33.7839
82.031, -32.9785
83.496, -33.8785
84.961, -38.3352
86.426, -39.9098
87.891, -41.0412
89.355, -40.3139
90.820, -42.1343
92.285, -42.2110
93.750, -48.9245
95.215, -45.5684
96.680, -45.5918
98.145, -48.9898
99.609, -45.9442
101.074, -45.9924
102.539, -48.1595
104.004, -50.5985
105.469, -48.4242
106.934, -47.7340
108.398, -47.5297
109.863, -49.3914
111.328, -49.8099
112.793, -49.0610
114.258, -47.1983
115.723, -46.7324
117.188, -50.2073
118.652, -50.0471
120.117, -46.9278
121.582, -49.9709
123.047, -46.6503
124.512, -47.2964
125.977, -48.4586
127.441, -47.5892
128.906, -48.5878
130.371, -45.2762
131.836, -47.4824
133.301, -46.1513
134.766, -47.1036
136.230, -47.5598
137.695, -50.2425
139.160, -54.7282
140.625, -50.9306
142.090, -46.8309
143.555, -47.8524
145.020, -46.0901
146.484, -54.6076
147.949, -48.0085
149.414, -47.8477
150.879, -48.4252
152.344, -48.9965
153.809, -46.3580
155.273, -49.4883
156.738, -49.0726
158.203, -49.8273
159.668, -51.9198
161.133, -49.7432
162.598, -48.5559
164.063, -50.7357
165.527, -49.5439
166.992, -47.8320
168.457, -48.9188
169.922, -51.4512
171.387, -48.9264
172.852, -52.1414
174.316, -48.6613
175.781, -48.5950
177.246, -48.4401
178.711, -50.3326
180.176, -51.7872
181.641, -45.9568
183.105, -46.0295
184.570, -50.9125
186.035, -48.4083
187.500, -49.4574
188.965, -42.5935
190.430, -47.0700
191.895, -46.2828
193.359, -43.5565
194.824, -42.8913
196.289, -41.6333
197.754, -41.3993
199.219, -41.0206
200.684, -41.0700
202.148, -41.0473
203.613, -37.7068
205.078, -39.2271
206.543, -37.1515
208.008, -36.6492
209.473, -35.5546
210.938, -34.2437
212.402, -33.3724
213.867, -31.7410
215.332, -31.4969
216.797, -29.8912
218.262, -29.0704
219.727, -26.6296
221.191, -25.7717
222.656, -24.3307
224.121, -22.2453
225.586, -20.5232
227.051, -19.4491
228.516, -18.3841
229.980, -18.5009
231.445, -19.1764
232.910, -20.6526
234.375, -22.2812
235.840, -23.5576
237.305, -24.7468
238.770, -26.1482
240.234, -27.7470
241.699, -29.8020
243.164, -30.1174
244.629, -31.1074
246.094, -33.0022
247.559, -34.3609
249.023, -35.5547
250.488, -36.3167
251.953, -35.4710
253.418, -36.5591
254.883, -37.1919
256.348, -38.1525
257.813, -37.6298
259.277, -39.0951
260.742, -40.0839
262.207, -40.2852
263.672, -41.3128
265.137, -41.0396
266.602, -45.9260
268.066, -40.1117
269.531, -40.6549
270.996, -40.8789
272.461, -41.2671
273.926, -39.3952
275.391, -40.1018
276.855, -38.6760
278.320, -38.1943
279.785, -42.5521
281.250, -40.2088
282.715, -44.2220
284.180, -38.8864
285.645, -43.5563
287.109, -42.3196
288.574, -42.8974
290.039, -43.2701
291.504, -43.8419
292.969, -43.4166
294.434, -47.0175
295.898, -42.4260
297.363, -43.8118
298.828, -46.2087
300.293, -43.6396
301.758, -44.7409
303.223, -44.2568
304.688, -43.2819
306.152, -45.3470
307.617, -45.8563
309.082, -44.7009
310.547, -44.3463
312.012, -43.1080
313.477, -43.1733
314.941, -44.1829
316.406, -47.1666
317.871, -44.7856
319.336, -46.4330
320.801, -41.6966
322.266, -43.0630
323.730, -39.9964
325.195, -44.2191
326.660, -40.3492
328.125, -47.1153
329.590, -43.4311
331.055, -42.1107
332.520, -40.0698
333.984, -41.8762
335.449, -41.5991
336.914, -36.8597
338.379, -37.9670
339.844, -37.2090
341.309, -34.4741
342.773, -39.8927
344.238, -39.9594
345.703, -39.7263
347.168, -42.1139
348.633, -44.1597
350.098, -39.4384
351.563, -45.5061
353.027, -38.8090
354.492, -40.0638
355.957, -49.7543
357.422, -64.9806
358.887, -40.0725
360.352, -40.9837
361.816, -41.9157
363.281, -52.2418
364.746, -38.6248
366.211, -42.9648
367.676, -48.1173
369.141, -49.9793
370.605, -42.8356
372.070, -38.9960
373.535, -43.5926
375.000, -42.8574
376.465, -41.2734
377.930, -45.5561
379.395, -40.6805
380.859, -41.6989
382.324, -44.7845
383.789, -38.7694
385.254, -38.9006
386.719, -47.8854
388.184, -34.6403
389.648, -30.3541
391.113, -29.0154
392.578, -25.6034
394.043, -22.6334
395.508, -22.7574
396.973, -24.3474
398.438, -25.4621
399.902, -26.7145
401.367, -27.8840
402.832, -29.7066
404.297, -30.5393
405.762, -30.5590
407.227, -33.5235
408.691, -37.7910
410.156, -34.6120
411.621, -31.7924
413.086, -36.2169
414.551, -34.7228
416.016, -37.9827
417.480, -42.0970
418.945, -48.2456
420.410, -35.4003
421.875, -36.3699
423.340, -37.0730
424.805, -45.7703
426.270, -41.0076
427.734, -45.1815
429.199, -39.7065
430.664, -40.5576
432.129, -44.6194
433.594, -54.0500
435.059, -44.8482
436.523, -51.0850
437.988, -41.5994
439.453, -42.7367
440.918, -49.4738
442.383, -48.5178
443.848, -46.7505
445.313, -45.2786
446.777, -53.2039
448.242, -46.8431
449.707, -45.9309
451.172, -48.8492
452.637, -56.6135
454.102, -60.3543
455.566, -43.2511
457.031, -65.4277
458.496, -54.1977
459.961, -49.8808
461.426, -57.7021
462.891, -45.7445
464.355, -55.7043
465.820, -51.6074
467.285, -59.2374
468.750, -46.9568
470.215, -46.8631
471.680, -46.1854
473.145, -50.2376
474.609, -46.9800
476.074, -53.3717
477.539, -44.7646
479.004, -43.3127
480.469, -53.5433
481.934, -48.8529
483.398, -48.9665
484.863, -52.5783
486.328, -45.1258
487.793, -56.1799
489.258, -48.2743
490.723, -48.1250
492.188, -69.8543
493.652, -48.6575
495.117, -51.7071
496.582, -65.5195
498.047, -50.4633
499.512, -52.6043
500.977, -55.8228
502.441, -44.8435
503.906, -47.4551
505.371, -44.6352
506.836, -49.4601
508.301, -48.2192
509.766, -45.4945
511.230, -57.1764
512.695, -56.5318
514.160, -47.6415
515.625, -45.9565
517.090, -45.0815
518.555, -43.7236
520.020, -46.2231
521.484, -50.0815
522.949, -50.3060
524.414, -51.4811
525.879, -50.2431
527.344, -46.7188
528.809, -44.3221
530.273, -52.1866
531.738, -54.3783
533.203, -47.1998
534.668, -87.0211
536.133, -45.3856
537.598, -45.0699
539.063, -45.7622
540.527, -48.0150
541.992, -46.7494
543.457, -44.4782
544.922, -43.0042
546.387, -41.5634
547.852, -43.7843
549.316, -43.8524
550.781, -43.2325
552.246, -42.9888
553.711, -43.4444
555.176, -42.5445
556.641, -41.1150
558.105, -41.3083
559.570, -42.1876
561.035, -40.2098
562.500, -43.3716
563.965, -39.9986
565.430, -39.2226
566.895, -42.5735
568.359, -41.9448
569.824, -39.8604
571.289, -40.5750
572.754, -42.1919
574.219, -41.2129
575.684, -40.0003
577.148, -41.6214
578.613, -41.9747
580.078, -45.2145
581.543, -42.9001
583.008, -43.9299
584.473, -42.9195
585.938, -45.1680
587.402, -45.6127
588.867, -42.8013
590.332, -41.1147
591.797, -43.4139
593.262, -44.5098
594.727, -43.4769
596.191, -42.9631
597.656, -46.4861
599.121, -44.7770
600.586, -46.8498
602.051, -44.2451
603.516, -46.1826
604.980, -45.3120
606.445, -43.5674
607.910, -45.5359
609.375, -46.3575
610.840, -44.0305
612.305, -47.4358
613.770, -43.0783
615.234, -46.6757
616.699, -43.3786
618.164, -44.8860
619.629, -44.0991
621.094, -44.0885
622.559, -43.6866
624.023, -44.9963
625.488, -43.1364
626.953, -44.8063
628.418, -43.1504
629.883, -43.2147
631.348, -42.1691
632.813, -42.6188
634.277, -43.2463
635.742, -42.7809
637.207, -44.1326
638.672, -45.7944
640.137, -45.1619
641.602, -45.2286
643.066, -45.1938
644.531, -44.1542
645.996, -45.2692
647.461, -44.9831
648.926, -44.2902
650.391, -45.2853
651.855, -44.2057
653.320, -41.4355
654.785, -41.7012
656.250, -41.7663
