DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
1.465, -50.5720
2.930, -56.5865
4.395, -60.3384
5.859, -66.1498
7.324, -61.7787
8.789, -66.3214
10.254, -67.4493
11.719, -64.0286
13.184, -58.8801
14.648, -77.5529
16.113, -73.4260
17.578, -72.8021
19.043, -78.6625
20.508, -77.7452
21.973, -82.2754
23.438, -72.7279
24.902, -69.0260
26.367, -46.0175
27.832, -56.0262
29.297, -65.4504
30.762, -52.6098
32.227, -54.8736
33.691, -47.9004
35.156, -58.5686
36.621, -51.8505
38.086, -64.8512
39.551, -55.0940
41.016, -58.7763
42.480, -60.1775
43.945, -57.6179
45.410, -55.5302
46.875, -55.4874
48.340, -55.2826
49.805, -53.9419
51.270, -50.3703
52.734, -47.4922
54.199, -48.5328
55.664, -47.3540
57.129, -42.0944
58.594, -44.7063
60.059, -43.8983
61.523, -42.5840
62.988, -42.7519
64.453, -39.9473
65.918, -43.4704
67.383, -42.5336
68.848, -47.1326
70.313, -39.6093
71.777, -33.2493
73.242, -29.4716
74.707, -29.5517
76.172, -29.2985
77.637, -29.2371
79.102, -29.8552
80.566, -29.7312
82.031, -31.8630
83.496, -33.4697
84.961, -36.4894
86.426, -37.5860
87.891, -39.4452
89.355, -40.3110
90.820, -44.4116
92.285, -44.6682
93.750, -46.8604
95.215, -48.0761
96.680, -48.2055
98.145, -51.3355
99.609, -52.6973
101.074, -54.7950
102.539, -54.5554
104.004, -60.5776
105.469, -55.0349
106.934, -52.1176
108.398, -55.9362
109.863, -56.9540
111.328, -52.2607
112.793, -54.3346
114.258, -53.2626
115.723, -55.2325
117.188, -53.3405
118.652, -58.0559
120.117, -55.6002
121.582, -52.2274
123.047, -50.9824
124.512, -54.0413
125.977, -53.0118
127.441, -52.0215
128.906, -50.8054
130.371, -54.4677
131.836, -53.1096
133.301, -51.5274
134.766, -52.5765
136.230, -55.9304
137.695, -52.2650
139.160, -54.0305
140.625, -50.3265
142.090, -55.8055
143.555, -55.0774
145.020, -50.7741
146.484, -55.4767
147.949, -51.6329
149.414, -56.8185
150.879, -59.7562
152.344, -54.9103
153.809, -56.5286
155.273, -53.2355
156.738, -54.9083
158.203, -55.2645
159.668, -55.6376
161.133, -55.1304
162.598, -53.3080
164.063, -53.9918
165.527, -55.6348
166.992, -54.7397
168.457, -55.0714
169.922, -55.4597
171.387, -56.5163
172.852, -54.5177
174.316, -54.9678
175.781, -54.6625
177.246, -54.3231
178.711, -53.5746
180.176, -55.3317
181.641, -54.2500
183.105, -54.1336
184.570, -53.4778
186.035, -53.2280
187.500, -53.6135
188.965, -50.5395
190.430, -52.1092
191.895, -51.9766
193.359, -50.3838
194.824, -50.0278
196.289, -49.3752
197.754, -49.8407
199.219, -47.7248
200.684, -47.4911
202.148, -46.3229
203.613, -46.8553
205.078, -44.9973
206.543, -44.5736
208.008, -43.5361
209.473, -42.5040
210.938, -41.0299
212.402, -39.9525
213.867, -39.0555
215.332, -37.6812
216.797, -35.8109
218.262, -35.1439
219.727, -34.1139
221.191, -32.6057
222.656, -30.8021
224.121, -29.2378
225.586, -28.1886
227.051, -26.7004
228.516, -26.4470
229.980, -26.3856
231.445, -27.2122
232.910, -28.3402
234.375, -30.6759
235.840, -32.6907
237.305, -33.7657
238.770, -35.5836
240.234, -37.1104
241.699, -38.6841
243.164, -39.7184
244.629, -41.3336
246.094, -42.5442
247.559, -43.1241
249.023, -44.0068
250.488, -44.8600
251.953, -45.5653
253.418, -46.4892
254.883, -47.4725
256.348, -47.2252
257.813, -48.4822
259.277, -48.1353
260.742, -48.5338
262.207, -48.6673
263.672, -49.1438
265.137, -48.4582
266.602, -49.3543
268.066, -49.0903
269.531, -49.8194
270.996, -50.0021
272.461, -49.6716
273.926, -49.0796
275.391, -50.0033
276.855, -50.0880
278.320, -49.6069
279.785, -49.4272
281.250, -49.2169
282.715, -50.2076
284.180, -50.3570
285.645, -50.3222
287.109, -49.3983
288.574, -50.2206
290.039, -49.9900
291.504, -49.6855
292.969, -50.1581
294.434, -49.9743
295.898, -50.1414
297.363, -49.3233
298.828, -49.9683
300.293, -49.8981
301.758, -50.4119
303.223, -50.3854
304.688, -49.8975
306.152, -49.5527
307.617, -48.8212
309.082, -49.8715
310.547, -50.6601
312.012, -51.4096
313.477, -50.0176
314.941, -51.2236
316.406, -50.5742
317.871, -52.6928
319.336, -52.6433
320.801, -51.4030
322.266, -52.8268
323.730, -53.2091
325.195, -54.4365
326.660, -58.5560
328.125, -61.1342
329.590, -60.7481
331.055, -56.5352
332.520, -53.8757
333.984, -52.3494
335.449, -50.8872
336.914, -48.9080
338.379, -47.2116
339.844, -47.1447
341.309, -51.3266
342.773, -52.2279
344.238, -53.8635
345.703, -53.8880
347.168, -49.9388
348.633, -51.3588
350.098, -48.2953
351.563, -50.4032
353.027, -44.0761
354.492, -48.0387
355.957, -45.9915
357.422, -48.6647
358.887, -45.0074
360.352, -44.2122
361.816, -42.7894
363.281, -41.7968
364.746, -42.4756
366.211, -43.1620
367.676, -41.8307
369.141, -38.1211
370.605, -40.9913
372.070, -38.7431
373.535, -37.6436
375.000, -35.3864
376.465, -34.7596
377.930, -34.0364
379.395, -32.1885
380.859, -29.8307
382.324, -28.2405
383.789, -25.5156
385.254, -23.9625
386.719, -21.3188
388.184, -18.0842
389.648, -14.8368
391.113, -12.1971
392.578, -9.6983
394.043, -9.5004
395.508, -10.8743
396.973, -13.6693
398.438, -15.0981
399.902, -17.3045
401.367, -18.4559
402.832, -20.6541
404.297, -21.6653
405.762, -23.5667
407.227, -24.3558
408.691, -25.5606
410.156, -26.2801
411.621, -27.2456
413.086, -28.2929
414.551, -28.8065
416.016, -29.9999
417.480, -29.8452
418.945, -31.1536
420.410, -31.3061
421.875, -31.8125
423.340, -33.3405
424.805, -33.1642
426.270, -33.7710
427.734, -34.4369
429.199, -34.2044
430.664, -34.4809
432.129, -34.8208
433.594, -35.6828
435.059, -35.9792
436.523, -36.0702
437.988, -36.4920
439.453, -37.8359
440.918, -37.4695
442.383, -37.1193
443.848, -37.9011
445.313, -37.7997
446.777, -37.6590
448.242, -38.6259
449.707, -38.2877
451.172, -38.3227
452.637, -39.0342
454.102, -39.3107
455.566, -39.3881
457.031, -39.8403
458.496, -39.7852
459.961, -40.0762
461.426, -40.5861
462.891, -40.1133
464.355, -41.0250
465.820, -40.5996
467.285, -40.1363
468.750, -40.7426
470.215, -40.5288
471.680, -40.1676
473.145, -40.7329
474.609, -41.6797
476.074, -40.9397
477.539, -41.6054
479.004, -41.3928
480.469, -40.8295
481.934, -42.0843
483.398, -42.0315
484.863, -41.1137
486.328, -41.0997
487.793, -41.7232
489.258, -41.9981
490.723, -42.3428
492.188, -41.4848
493.652, -42.1462
495.117, -41.7171
496.582, -41.5588
498.047, -41.5073
499.512, -41.6623
500.977, -41.2293
502.441, -41.5118
503.906, -42.2084
505.371, -41.2479
506.836, -41.6316
508.301, -41.9219
509.766, -41.1420
511.230, -41.0137
512.695, -40.8538
514.160, -41.2960
515.625, -41.1645
517.090, -41.0151
518.555, -40.6967
520.020, -40.6106
521.484, -41.0279
522.949, -39.8604
524.414, -39.6075
525.879, -39.7954
527.344, -39.4332
528.809, -40.2319
530.273, -39.3140
531.738, -39.0443
533.203, -39.1415
534.668, -38.6648
536.133, -38.6504
537.598, -38.3678
539.063, -38.4054
540.527, -38.3528
541.992, -39.0686
543.457, -37.9036
544.922, -38.3255
546.387, -38.1258
547.852, -37.6005
549.316, -37.5743
550.781, -37.0637
552.246, -36.8553
553.711, -36.4126
555.176, -35.5484
556.641, -35.7240
558.105, -35.8167
559.570, -35.3507
561.035, -35.4004
562.500, -35.3279
563.965, -35.2149
565.430, -35.3708
566.895, -36.0080
568.359, -36.6996
569.824, -37.9712
571.289, -38.0605
572.754, -38.0595
574.219, -39.5795
575.684, -40.3187
577.148, -41.2936
578.613, -41.8169
580.078, -42.9738
581.543, -43.2330
583.008, -44.8333
584.473, -44.4443
585.938, -45.2691
587.402, -45.2514
588.867, -45.8013
590.332, -47.8789
591.797, -47.6550
593.262, -47.7655
594.727, -49.8427
596.191, -49.4053
597.656, -48.8232
599.121, -49.6031
600.586, -49.3563
602.051, -50.8430
603.516, -50.6938
604.980, -50.6965
606.445, -50.7450
607.910, -51.3904
609.375, -50.9186
610.840, -52.0467
612.305, -51.9245
613.770, -52.0285
615.234, -52.4547
616.699, -50.9164
618.164, -50.8200
619.629, -49.6720
621.094, -49.5474
622.559, -48.2459
624.023, -46.8350
625.488, -45.5307
626.953, -44.3652
628.418, -41.5256
629.883, -41.5730
631.348, -40.1201
632.813, -38.4468
634.277, -38.4673
635.742, -38.6780
637.207, -37.8373
638.672, -37.9711
640.137, -38.2718
641.602, -39.1555
643.066, -39.5978
644.531, -39.5570
645.996, -40.1475
647.461, -41.1766
648.926, -40.0829
650.391, -39.6878
651.855, -39.7362
653.320, -39.6154
654.785, -38.6829
656.250, -39.2082
