DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
1.465, -57.0916
2.930, -65.1295
4.395, -51.8694
5.859, -57.8484
7.324, -53.7115
8.789, -58.5268
10.254, -51.4037
11.719, -55.8714
13.184, -51.7405
14.648, -48.2215
16.113, -52.6261
17.578, -44.4775
19.043, -52.4283
20.508, -56.0361
21.973, -48.4059
23.438, -41.8922
24.902, -48.2301
26.367, -55.7826
27.832, -44.4815
29.297, -46.5021
30.762, -46.0365
32.227, -37.8138
33.691, -38.5963
35.156, -42.0466
36.621, -38.6396
38.086, -38.6620
39.551, -41.7794
41.016, -42.2639
42.480, -40.2033
43.945, -38.3445
45.410, -38.9653
46.875, -35.4245
48.340, -34.2001
49.805, -32.9176
51.270, -31.5872
52.734, -31.7757
54.199, -28.5877
55.664, -28.9702
57.129, -24.9969
58.594, -24.1531
60.059, -23.0612
61.523, -21.9788
62.988, -20.1738
64.453, -19.8903
65.918, -17.5075
67.383, -16.3888
68.848, -15.3061
70.313, -14.4310
71.777, -14.7602
73.242, -14.0945
74.707, -13.7288
76.172, -13.3724
77.637, -13.2927
79.102, -14.3672
80.566, -14.1483
82.031, -13.5458
83.496, -14.5421
84.961, -14.0391
86.426, -14.0208
87.891, -15.1060
89.355, -14.8921
90.820, -13.8371
92.285, -14.5019
93.750, -13.5335
95.215, -14.0861
96.680, -13.8779
98.145, -13.0854
99.609, -13.4193
101.074, -12.9678
102.539, -12.6040
104.004, -12.6068
105.469, -12.2934
106.934, -12.4914
108.398, -11.7301
109.863, -11.6241
111.328, -11.0854
112.793, -11.4134
114.258, -10.7861
115.723, -10.8666
117.188, -10.2009
118.652, -10.7579
120.117, -9.5716
121.582, -9.9445
123.047, -9.2097
124.512, -9.9454
125.977, -9.4243
127.441, -8.6389
128.906, -9.1765
130.371, -8.9624
131.836, -9.3113
133.301, -8.3752
134.766, -8.0062
136.230, -8.5107
137.695, -7.5448
139.160, -8.2180
140.625, -7.5402
142.090, -7.9198
143.555, -6.7783
145.020, -6.2849
146.484, -7.3232
147.949, -6.4507
149.414, -7.7281
150.879, -7.5004
152.344, -6.8974
153.809, -6.6728
155.273, -6.9352
156.738, -6.6550
158.203, -6.5192
159.668, -6.9003
161.133, -6.7744
162.598, -6.5946
164.063, -6.0711
165.527, -6.8257
166.992, -6.2091
168.457, -6.8076
169.922, -6.7539
171.387, -6.8846
172.852, -6.3128
174.316, -7.0947
175.781, -6.6850
177.246, -6.3146
178.711, -6.5052
180.176, -6.2115
181.641, -6.2492
183.105, -6.4770
184.570, -6.3600
186.035, -6.2347
187.500, -5.6586
188.965, -6.1977
190.430, -5.7347
191.895, -5.7327
193.359, -6.1367
194.824, -5.7448
196.289, -5.5162
197.754, -5.8902
199.219, -5.1501
200.684, -4.7609
202.148, -4.4975
203.613, -4.4065
205.078, -4.6433
206.543, -4.3717
208.008, -4.2038
209.473, -3.6525
210.938, -3.3926
212.402, -3.1129
213.867, -3.2877
215.332, -2.5979
216.797, -2.1065
218.262, -1.9983
219.727, -2.4235
221.191, -1.9034
222.656, -2.1844
224.121, -2.2571
225.586, -2.7801
227.051, -4.1807
228.516, -4.7645
229.980, -6.5499
231.445, -7.8203
232.910, -9.0842
234.375, -7.5990
235.840, -8.8219
237.305, -9.0524
238.770, -9.2826
240.234, -10.5403
241.699, -10.9659
243.164, -11.5667
244.629, -11.7261
246.094, -12.3813
247.559, -13.8880
249.023, -13.2884
250.488, -14.3429
251.953, -15.3682
253.418, -16.1418
254.883, -15.5698
256.348, -16.1845
257.813, -17.7348
259.277, -18.7445
260.742, -19.1467
262.207, -20.7831
263.672, -20.2518
265.137, -19.7862
266.602, -19.4617
268.066, -21.1913
269.531, -22.2951
270.996, -22.2026
272.461, -22.6623
273.926, -23.1499
275.391, -26.0210
276.855, -25.3396
278.320, -27.5094
279.785, -25.1781
281.250, -25.3426
282.715, -27.2453
284.180, -27.6160
285.645, -30.3608
287.109, -29.5082
288.574, -28.4670
290.039, -31.7422
291.504, -29.6937
292.969, -33.5100
294.434, -41.7325
295.898, -39.1966
297.363, -43.2089
298.828, -36.9119
300.293, -32.5554
301.758, -33.9188
303.223, -28.5245
304.688, -29.9421
306.152, -25.9594
307.617, -27.5550
309.082, -25.4634
310.547, -24.5457
312.012, -25.6828
313.477, -25.0232
314.941, -21.5777
316.406, -18.9832
317.871, -18.0176
319.336, -16.0639
320.801, -15.6920
322.266, -14.3488
323.730, -14.2023
325.195, -12.9421
326.660, -12.1173
328.125, -10.8355
329.590, -10.3837
331.055, -10.2465
332.520, -9.5175
333.984, -8.8103
335.449, -8.6113
336.914, -8.3721
338.379, -8.6802
339.844, -7.6333
341.309, -7.6629
342.773, -7.7593
344.238, -7.8585
345.703, -6.8716
347.168, -7.2396
348.633, -7.2612
350.098, -6.6600
351.563, -6.5926
353.027, -6.5635
354.492, -5.9370
355.957, -5.9781
357.422, -5.6665
358.887, -5.6822
360.352, -4.8456
361.816, -4.5772
363.281, -4.4518
364.746, -3.9691
366.211, -3.3209
367.676, -2.9025
369.141, -2.6885
370.605, -1.8164
372.070, -1.5836
373.535, -0.5714
375.000, -0.2094
376.465, 0.2859
377.930, 0.9206
379.395, 1.9569
380.859, 2.3475
382.324, 2.9563
383.789, 3.2593
385.254, 4.0649
386.719, 3.6637
388.184, 4.2994
389.648, 3.8594
391.113, 3.3071
392.578, 3.2374
394.043, 3.1768
395.508, 2.3713
396.973, 2.4312
398.438, 1.2103
399.902, 0.5755
401.367, -0.1740
402.832, -0.7656
404.297, -1.5537
405.762, -1.8533
407.227, -2.6922
408.691, -2.3397
410.156, -3.3816
411.621, -3.7654
413.086, -3.5595
414.551, -5.2676
416.016, -5.0289
417.480, -5.9453
418.945, -6.7901
420.410, -8.1657
421.875, -9.2805
423.340, -9.6662
424.805, -11.5701
426.270, -12.5880
427.734, -14.5997
429.199, -15.4451
430.664, -15.3849
432.129, -16.8558
433.594, -17.3513
435.059, -18.6001
436.523, -21.7011
437.988, -22.3142
439.453, -20.1283
440.918, -24.4584
442.383, -27.4407
443.848, -31.4293
445.313, -25.9297
446.777, -29.2539
448.242, -24.6359
449.707, -31.0430
451.172, -25.6038
452.637, -26.8531
454.102, -33.3835
455.566, -30.0046
457.031, -33.1071
458.496, -31.8488
459.961, -28.5106
461.426, -33.9487
462.891, -28.6705
464.355, -34.5767
465.820, -37.4602
467.285, -30.0297
468.750, -29.3544
470.215, -46.2454
471.680, -31.9258
473.145, -37.0372
474.609, -29.8709
476.074, -30.7678
477.539, -39.4023
479.004, -31.3450
480.469, -36.9028
481.934, -44.4547
483.398, -38.2980
484.863, -36.0584
486.328, -31.0697
487.793, -30.3546
489.258, -50.2783
490.723, -37.9482
492.188, -35.5828
493.652, -31.0225
495.117, -37.5335
496.582, -33.1016
498.047, -30.9107
499.512, -39.4288
500.977, -35.7783
502.441, -37.0745
503.906, -30.3762
505.371, -38.4689
506.836, -35.4495
508.301, -28.7337
509.766, -34.9733
511.230, -31.5720
512.695, -48.6129
514.160, -30.2942
515.625, -35.6268
517.090, -37.3014
518.555, -29.0539
520.020, -26.4974
521.484, -32.5647
522.949, -32.0361
524.414, -27.8322
525.879, -28.9204
527.344, -27.4300
528.809, -24.5409
530.273, -30.3221
531.738, -24.7751
533.203, -27.1138
534.668, -21.8816
536.133, -22.2291
537.598, -18.3026
539.063, -18.4640
540.527, -17.0379
541.992, -15.5183
543.457, -14.7781
544.922, -14.7356
546.387, -12.8196
547.852, -13.0459
549.316, -12.1393
550.781, -10.3085
552.246, -9.8900
553.711, -9.3841
555.176, -9.6321
556.641, -8.3631
558.105, -8.7670
559.570, -8.0362
561.035, -8.1470
562.500, -8.7538
563.965, -8.2035
565.430, -10.0203
566.895, -8.9174
568.359, -9.3827
569.824, -10.7015
571.289, -9.6970
572.754, -10.5398
574.219, -11.0157
575.684, -11.7001
577.148, -12.9822
578.613, -13.7646
580.078, -13.5185
581.543, -13.6490
583.008, -14.6234
584.473, -14.6595
585.938, -14.2706
587.402, -15.1098
588.867, -14.1479
590.332, -14.9370
591.797, -15.8313
593.262, -16.7784
594.727, -16.1509
596.191, -17.6671
597.656, -16.1116
599.121, -15.5123
600.586, -17.6068
602.051, -16.2920
603.516, -17.2343
604.980, -17.4522
606.445, -16.7014
607.910, -17.3518
609.375, -16.5690
610.840, -18.3458
612.305, -16.6707
613.770, -16.6637
615.234, -17.7451
616.699, -18.0229
618.164, -18.2613
619.629, -18.0170
621.094, -18.3320
622.559, -17.6943
624.023, -17.7807
625.488, -18.3945
626.953, -18.1549
628.418, -19.6806
629.883, -18.0239
631.348, -18.2247
632.813, -17.1780
634.277, -17.4499
635.742, -18.6043
637.207, -18.7159
638.672, -19.0849
640.137, -19.2372
641.602, -18.3940
643.066, -20.3738
644.531, -18.6130
645.996, -19.5735
647.461, -18.7313
648.926, -19.2048
650.391, -18.9537
651.855, -21.9465
653.320, -20.8367
654.785, -21.4946
656.250, -19.7595
