DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
1.465, -60.3064
2.930, -65.2665
4.395, -67.4017
5.859, -73.6844
7.324, -79.2702
8.789, -68.5345
10.254, -73.4096
11.719, -62.4868
13.184, -58.2149
14.648, -51.2664
16.113, -51.3913
17.578, -47.7299
19.043, -49.9120
20.508, -49.4053
21.973, -50.6440
23.438, -52.5702
24.902, -51.6954
26.367, -50.3124
27.832, -52.3979
29.297, -46.7570
30.762, -47.1444
32.227, -43.9009
33.691, -41.8596
35.156, -42.8069
36.621, -41.0941
38.086, -38.1487
39.551, -36.4096
41.016, -35.5046
42.480, -34.4309
43.945, -32.4105
45.410, -30.5250
46.875, -29.3794
48.340, -26.9521
49.805, -25.7029
51.270, -26.2731
52.734, -24.4147
54.199, -23.6225
55.664, -25.0806
57.129, -22.9040
58.594, -21.6387
60.059, -22.8035
61.523, -21.3212
62.988, -20.8736
64.453, -21.8111
65.918, -21.7661
67.383, -21.1674
68.848, -20.6072
70.313, -22.6497
71.777, -21.0405
73.242, -21.8682
74.707, -22.4478
76.172, -21.8583
77.637, -21.7297
79.102, -20.7114
80.566, -20.0206
82.031, -20.5436
83.496, -19.9679
84.961, -19.8930
86.426, -20.0455
87.891, -20.9061
89.355, -20.5166
90.820, -20.7643
92.285, -21.8312
93.750, -22.4320
95.215, -22.2590
96.680, -23.0275
98.145, -23.6656
99.609, -23.9082
101.074, -24.2791
102.539, -25.1098
104.004, -24.4402
105.469, -24.4570
106.934, -24.9611
108.398, -24.5155
109.863, -24.3256
111.328, -23.5367
112.793, -23.2028
114.258, -23.0732
115.723, -22.6424
117.188, -21.7036
118.652, -21.7329
120.117, -21.5928
121.582, -19.5103
123.047, -18.9870
124.512, -19.3578
125.977, -18.3892
127.441, -17.8996
128.906, -17.7530
130.371, -16.6013
131.836, -17.4141
133.301, -16.3502
134.766, -16.2689
136.230, -15.8942
137.695, -15.0539
139.160, -14.9373
140.625, -13.5438
142.090, -14.8869
143.555, -13.7437
145.020, -13.1797
146.484, -12.9568
147.949, -14.0385
149.414, -12.4686
150.879, -12.8164
152.344, -12.8786
153.809, -13.1101
155.273, -12.9051
156.738, -12.5231
158.203, -12.3642
159.668, -11.9741
161.133, -12.7724
162.598, -12.8694
164.063, -11.9427
165.527, -12.4040
166.992, -12.8413
168.457, -12.7879
169.922, -13.4065
171.387, -12.3951
172.852, -12.9471
174.316, -13.5063
175.781, -12.7725
177.246, -12.8512
178.711, -13.0069
180.176, -12.9413
181.641, -13.3518
183.105, -12.8579
184.570, -12.8228
186.035, -13.7196
187.500, -12.3085
188.965, -13.1331
190.430, -13.3006
191.895, -13.7445
193.359, -12.7345
194.824, -12.4855
196.289, -12.6050
197.754, -12.9914
199.219, -12.8886
200.684, -12.5493
202.148, -12.9741
203.613, -12.4894
205.078, -12.5484
206.543, -11.7518
208.008, -12.2485
209.473, -11.7442
210.938, -12.0411
212.402, -11.6763
213.867, -11.1464
215.332, -11.1579
216.797, -11.1035
218.262, -10.9324
219.727, -10.4087
221.191, -10.6696
222.656, -10.9036
224.121, -10.4565
225.586, -11.1388
227.051, -11.3426
228.516, -12.6050
229.980, -14.4922
231.445, -16.3255
232.910, -16.9611
234.375, -18.5592
235.840, -19.0046
237.305, -20.0275
238.770, -19.6724
240.234, -21.2383
241.699, -21.6398
243.164, -22.2068
244.629, -21.7927
246.094, -23.2869
247.559, -23.6397
249.023, -24.5998
250.488, -24.7395
251.953, -25.2194
253.418, -25.0451
254.883, -25.7866
256.348, -26.4147
257.813, -25.8657
259.277, -26.0688
260.742, -25.9813
262.207, -26.0891
263.672, -25.8238
265.137, -25.3628
266.602, -25.1296
268.066, -25.3932
269.531, -25.1863
270.996, -24.9398
272.461, -24.7842
273.926, -24.2551
275.391, -24.3528
276.855, -23.7876
278.320, -24.1589
279.785, -23.3520
281.250, -23.2293
282.715, -23.6027
284.180, -23.4277
285.645, -22.8396
287.109, -22.4135
288.574, -22.3452
290.039, -22.3950
291.504, -22.0216
292.969, -21.5866
294.434, -21.1337
295.898, -21.1939
297.363, -20.7066
298.828, -20.6434
300.293, -20.4472
301.758, -20.2724
303.223, -19.9321
304.688, -19.7566
306.152, -19.2599
307.617, -19.0273
309.082, -19.2339
310.547, -18.4793
312.012, -18.0004
313.477, -17.7961
314.941, -17.8603
316.406, -17.2057
317.871, -16.9502
319.336, -16.8711
320.801, -16.0300
322.266, -16.3224
323.730, -15.2921
325.195, -15.1861
326.660, -15.2519
328.125, -15.7066
329.590, -15.6373
331.055, -15.4848
332.520, -15.3381
333.984, -15.6816
335.449, -15.6177
336.914, -16.2848
338.379, -16.5739
339.844, -17.6452
341.309, -18.3128
342.773, -17.6061
344.238, -18.3512
345.703, -18.4518
347.168, -19.1145
348.633, -19.4416
350.098, -19.5936
351.563, -19.8003
353.027, -20.1825
354.492, -20.0967
355.957, -20.4779
357.422, -20.4074
358.887, -20.8486
360.352, -20.6166
361.816, -21.3253
363.281, -20.8089
364.746, -20.8447
366.211, -20.5899
367.676, -20.6572
369.141, -20.2951
370.605, -20.0637
372.070, -19.8136
373.535, -19.3744
375.000, -19.0111
376.465, -19.0344
377.930, -18.3939
379.395, -17.4702
380.859, -17.4175
382.324, -16.9871
383.789, -15.9922
385.254, -15.3226
386.719, -14.7310
388.184, -14.2775
389.648, -13.4869
391.113, -13.2485
392.578, -13.4471
394.043, -13.7637
395.508, -13.0443
396.973, -12.7803
398.438, -13.9015
399.902, -13.9184
401.367, -14.3877
402.832, -14.9943
404.297, -15.6316
405.762, -16.6813
407.227, -17.1534
408.691, -17.6541
410.156, -17.7774
411.621, -18.3750
413.086, -18.9183
414.551, -19.0480
416.016, -19.3055
417.480, -20.0275
418.945, -20.8447
420.410, -20.9921
421.875, -20.8644
423.340, -21.5858
424.805, -21.6362
426.270, -21.5176
427.734, -22.0841
429.199, -22.9910
430.664, -23.0242
432.129, -22.9943
433.594, -22.6999
435.059, -22.7776
436.523, -24.3847
437.988, -23.8805
439.453, -24.1939
440.918, -24.1144
442.383, -24.2569
443.848, -23.7631
445.313, -24.7872
446.777, -25.1159
448.242, -24.9466
449.707, -24.7636
451.172, -25.6611
452.637, -25.9309
454.102, -25.2144
455.566, -25.1065
457.031, -25.4290
458.496, -26.1617
459.961, -25.9157
461.426, -26.2995
462.891, -26.2882
464.355, -26.2469
465.820, -26.6892
467.285, -26.4858
468.750, -26.6553
470.215, -26.9486
471.680, -27.3999
473.145, -27.4439
474.609, -27.7118
476.074, -28.3406
477.539, -27.8389
479.004, -27.8889
480.469, -28.7268
481.934, -28.9441
483.398, -29.5230
484.863, -29.6084
486.328, -29.1870
487.793, -29.2576
489.258, -30.3637
490.723, -30.5036
492.188, -30.2065
493.652, -29.5035
495.117, -31.4891
496.582, -30.8284
498.047, -32.9969
499.512, -31.1355
500.977, -31.5481
502.441, -33.4010
503.906, -32.4867
505.371, -34.2243
506.836, -35.7397
508.301, -35.1164
509.766, -36.1398
511.230, -37.3599
512.695, -37.2015
514.160, -38.4714
515.625, -38.7803
517.090, -38.1488
518.555, -42.0990
520.020, -38.5408
521.484, -37.5005
522.949, -37.7867
524.414, -36.2739
525.879, -35.7295
527.344, -34.3776
528.809, -34.3112
530.273, -33.8273
531.738, -29.8450
533.203, -28.5360
534.668, -28.0829
536.133, -26.0444
537.598, -23.0124
539.063, -21.1754
540.527, -19.3413
541.992, -18.2956
543.457, -16.7340
544.922, -15.6836
546.387, -14.1352
547.852, -13.4822
549.316, -12.3265
550.781, -10.6440
552.246, -9.8878
553.711, -8.4953
555.176, -8.7372
556.641, -7.2647
558.105, -6.7888
559.570, -6.2611
561.035, -5.1965
562.500, -5.1755
563.965, -5.3982
565.430, -5.2650
566.895, -5.1490
568.359, -5.9981
569.824, -5.2942
571.289, -5.6908
572.754, -6.5282
574.219, -6.9289
575.684, -6.8092
577.148, -8.0925
578.613, -7.8146
580.078, -8.8534
581.543, -8.2398
583.008, -8.7444
584.473, -9.2759
585.938, -9.8603
587.402, -9.6616
588.867, -10.3380
590.332, -9.9400
591.797, -10.0845
593.262, -11.1338
594.727, -10.2133
596.191, -11.6086
597.656, -11.2337
599.121, -11.1360
600.586, -11.5479
602.051, -11.2389
603.516, -12.2137
604.980, -12.4416
606.445, -11.8578
607.910, -12.9012
609.375, -12.8157
610.840, -13.3953
612.305, -12.9319
613.770, -12.7909
615.234, -13.0148
616.699, -12.8319
618.164, -12.2442
619.629, -12.5173
621.094, -12.7894
622.559, -13.1410
624.023, -13.7131
625.488, -12.7336
626.953, -13.9775
628.418, -13.1226
629.883, -13.4525
631.348, -13.3842
632.813, -13.2543
634.277, -13.2530
635.742, -14.4957
637.207, -13.6949
638.672, -13.4460
640.137, -14.0399
641.602, -13.9061
643.066, -12.8127
644.531, -13.4243
645.996, -14.1179
647.461, -14.1310
648.926, -14.1143
650.391, -13.9599
651.855, -13.5336
653.320, -13.8841
654.785, -13.6758
656.250, -13.6320
