DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
1.465, -76.5928
2.930, -81.1573
4.395, -79.8589
5.859, -81.8207
7.324, -88.8173
8.789, -78.6394
10.254, -76.3167
11.719, -68.3927
13.184, -55.3526
14.648, -60.7642
16.113, -60.7295
17.578, -62.7279
19.043, -64.0778
20.508, -62.8033
21.973, -61.6105
23.438, -54.8176
24.902, -49.7487
26.367, -53.9809
27.832, -58.8101
29.297, -65.1274
30.762, -50.0751
32.227, -62.3421
33.691, -60.6876
35.156, -59.3215
36.621, -73.7325
38.086, -50.6605
39.551, -57.8415
41.016, -48.5745
42.480, -42.9625
43.945, -43.9817
45.410, -41.9593
46.875, -42.5862
48.340, -39.8990
49.805, -38.8926
51.270, -39.6268
52.734, -39.2961
54.199, -44.2209
55.664, -45.9377
57.129, -45.6992
58.594, -50.5727
60.059, -55.8851
61.523, -49.5406
62.988, -48.7165
64.453, -47.6594
65.918, -47.5964
67.383, -44.8179
68.848, -46.8151
70.313, -44.7050
71.777, -44.4348
73.242, -44.4177
74.707, -42.4438
76.172, -43.6201
77.637, -44.2683
79.102, -43.1577
80.566, -44.3094
82.031, -45.2295
83.496, -46.6037
84.961, -46.7932
86.426, -47.3689
87.891, -48.7495
89.355, -48.9697
90.820, -49.3247
92.285, -51.2027
93.750, -50.6884
95.215, -52.1039
96.680, -52.1609
98.145, -52.5882
99.609, -52.3134
101.074, -53.3473
102.539, -53.1077
104.004, -53.4249
105.469, -53.6057
106.934, -53.9293
108.398, -53.5623
109.863, -53.8029
111.328, -54.0514
112.793, -54.0141
114.258, -53.4031
115.723, -53.6901
117.188, -54.1981
118.652, -54.6712
120.117, -54.3673
121.582, -54.6586
123.047, -55.4484
124.512, -57.1695
125.977, -56.0418
127.441, -58.1905
128.906, -56.7710
130.371, -58.3964
131.836, -56.6342
133.301, -59.0912
134.766, -59.1183
136.230, -57.0857
137.695, -58.0704
139.160, -57.5366
140.625, -60.0537
142.090, -58.0561
143.555, -58.8200
145.020, -56.4208
146.484, -58.7333
147.949, -54.1503
149.414, -56.9659
150.879, -55.6390
152.344, -54.4810
153.809, -56.4731
155.273, -55.0005
156.738, -54.3715
158.203, -55.2103
159.668, -55.8360
161.133, -55.8177
162.598, -57.1442
164.063, -59.0718
165.527, -57.7475
166.992, -59.4784
168.457, -61.2118
169.922, -59.5195
171.387, -57.5979
172.852, -62.4636
174.316, -61.3666
175.781, -63.6213
177.246, -65.0064
178.711, -65.0358
180.176, -72.7251
181.641, -68.0714
183.105, -66.9448
184.570, -64.0852
186.035, -67.0979
187.500, -60.8835
188.965, -59.7074
190.430, -58.1346
191.895, -55.4333
193.359, -54.2324
194.824, -52.0214
196.289, -50.5336
197.754, -48.8568
199.219, -47.0150
200.684, -45.5449
202.148, -43.1598
203.613, -41.4790
205.078, -39.7747
206.543, -37.4605
208.008, -35.5008
209.473, -33.3095
210.938, -30.9362
212.402, -28.7156
213.867, -27.8946
215.332, -27.0148
216.797, -26.9877
218.262, -27.1918
219.727, -27.4267
221.191, -27.6708
222.656, -27.2413
224.121, -26.4152
225.586, -25.6741
227.051, -24.2344
228.516, -22.4940
229.980, -22.2956
231.445, -24.0095
232.910, -27.9760
234.375, -30.3203
235.840, -32.5467
237.305, -34.5593
238.770, -36.7719
240.234, -39.3498
241.699, -40.6959
243.164, -41.7462
244.629, -44.4514
246.094, -44.9039
247.559, -45.4014
249.023, -47.0074
250.488, -48.9433
251.953, -50.0236
253.418, -50.0653
254.883, -53.1509
256.348, -55.7556
257.813, -54.0448
259.277, -56.2263
260.742, -54.9604
262.207, -55.7646
263.672, -55.8791
265.137, -56.8226
266.602, -59.1682
268.066, -56.3228
269.531, -59.9842
270.996, -60.9625
272.461, -59.1143
273.926, -61.8367
275.391, -59.5528
276.855, -58.7622
278.320, -60.4599
279.785, -60.6160
281.250, -58.6335
282.715, -61.0404
284.180, -59.4256
285.645, -61.5079
287.109, -67.2132
288.574, -61.8755
290.039, -66.5815
291.504, -62.6705
292.969, -63.8702
294.434, -64.9144
295.898, -68.5280
297.363, -61.3295
298.828, -55.4887
300.293, -66.8099
301.758, -58.0044
303.223, -52.9492
304.688, -51.4475
306.152, -44.0850
307.617, -40.7661
309.082, -39.5768
310.547, -37.5355
312.012, -36.5585
313.477, -33.9814
314.941, -34.0566
316.406, -32.8067
317.871, -33.8122
319.336, -32.3891
320.801, -33.8002
322.266, -32.0229
323.730, -32.1984
325.195, -31.7117
326.660, -30.7364
328.125, -28.0835
329.590, -25.2041
331.055, -23.2770
332.520, -26.3296
333.984, -20.4634
335.449, -16.8933
336.914, -16.8300
338.379, -17.8222
339.844, -23.8189
341.309, -25.5348
342.773, -27.2741
344.238, -26.4440
345.703, -24.5966
347.168, -31.1424
348.633, -32.0803
350.098, -31.0277
351.563, -29.9426
353.027, -28.8196
354.492, -30.9464
355.957, -29.0462
357.422, -33.0030
358.887, -29.6926
360.352, -32.2275
361.816, -30.2250
363.281, -30.2837
364.746, -30.2461
366.211, -28.3969
367.676, -27.8897
369.141, -28.1777
370.605, -26.1049
372.070, -25.3914
373.535, -25.1592
375.000, -24.1664
376.465, -26.0050
377.930, -26.5583
379.395, -28.6709
380.859, -29.7769
382.324, -30.4591
383.789, -32.0989
385.254, -35.1025
386.719, -37.2659
388.184, -38.3815
389.648, -41.3640
391.113, -46.8421
392.578, -34.0758
394.043, -32.9583
395.508, -35.2923
396.973, -37.0151
398.438, -37.8846
399.902, -38.1002
401.367, -37.0574
402.832, -41.0177
404.297, -42.9316
405.762, -40.7165
407.227, -40.5543
408.691, -42.6194
410.156, -41.3957
411.621, -47.3447
413.086, -46.0133
414.551, -45.9846
416.016, -42.0390
417.480, -42.4219
418.945, -53.5630
420.410, -40.8154
421.875, -50.5355
423.340, -45.2610
424.805, -49.6374
426.270, -45.7657
427.734, -53.0886
429.199, -49.6692
430.664, -48.1007
432.129, -44.3283
433.594, -44.8189
435.059, -47.5638
436.523, -46.0581
437.988, -44.7877
439.453, -48.4838
440.918, -47.9098
442.383, -54.4349
443.848, -51.4700
445.313, -47.4795
446.777, -47.2041
448.242, -54.4993
449.707, -51.0047
451.172, -51.0415
452.637, -52.3460
454.102, -46.9128
455.566, -48.6676
457.031, -55.4597
458.496, -47.5830
459.961, -50.1226
461.426, -48.1535
462.891, -48.8507
464.355, -45.6381
465.820, -51.0997
467.285, -43.4476
468.750, -46.4408
470.215, -46.6674
471.680, -60.5230
473.145, -59.7160
474.609, -51.2972
476.074, -54.3831
477.539, -72.2094
479.004, -56.5966
480.469, -47.1175
481.934, -51.1521
483.398, -50.7391
484.863, -62.1323
486.328, -59.9062
487.793, -54.4348
489.258, -59.8364
490.723, -53.8897
492.188, -51.6345
493.652, -59.3081
495.117, -52.7614
496.582, -60.1277
498.047, -55.0056
499.512, -56.8194
500.977, -53.7645
502.441, -57.6738
503.906, -55.5059
505.371, -58.4287
506.836, -53.7925
508.301, -66.3921
509.766, -53.4822
511.230, -50.1021
512.695, -55.4042
514.160, -45.2430
515.625, -51.6281
517.090, -50.4473
518.555, -49.1936
520.020, -54.8502
521.484, -53.2785
522.949, -45.6764
524.414, -45.2530
525.879, -42.3879
527.344, -46.0247
528.809, -47.7848
530.273, -41.3206
531.738, -44.2016
533.203, -42.3026
534.668, -44.5987
536.133, -43.9346
537.598, -42.5855
539.063, -41.6739
540.527, -42.0790
541.992, -43.0867
543.457, -42.4648
544.922, -42.9302
546.387, -44.6878
547.852, -43.8372
549.316, -45.9984
550.781, -44.1389
552.246, -45.8549
553.711, -45.8264
555.176, -44.6720
556.641, -46.0833
558.105, -46.2767
559.570, -45.9120
561.035, -46.8076
562.500, -46.3001
563.965, -46.8570
565.430, -47.0656
566.895, -47.0062
568.359, -45.8572
569.824, -45.0365
571.289, -46.8258
572.754, -47.9465
574.219, -43.4833
575.684, -49.3175
577.148, -44.0048
578.613, -47.8927
580.078, -49.3289
581.543, -46.6193
583.008, -47.2490
584.473, -48.9684
585.938, -46.9258
587.402, -47.3065
588.867, -47.8557
590.332, -46.3088
591.797, -45.6084
593.262, -46.1070
594.727, -45.1524
596.191, -45.6876
597.656, -46.8209
599.121, -46.0278
600.586, -47.4142
602.051, -47.4120
603.516, -47.2403
604.980, -46.2325
606.445, -43.8158
607.910, -44.9508
609.375, -45.6466
610.840, -43.3964
612.305, -43.4515
613.770, -41.8224
615.234, -42.0016
616.699, -41.1060
618.164, -40.4820
619.629, -40.2073
621.094, -42.1282
622.559, -40.2199
624.023, -39.5686
625.488, -38.5376
626.953, -40.3058
628.418, -40.7228
629.883, -40.1614
631.348, -44.1806
632.813, -44.0119
634.277, -41.8068
635.742, -52.5675
637.207, -47.8907
638.672, -48.7059
640.137, -40.9856
641.602, -47.0120
643.066, -40.2577
644.531, -43.1904
645.996, -68.1296
647.461, -46.3375
648.926, -44.5167
650.391, -43.0640
651.855, -47.6345
653.320, -42.0085
654.785, -37.5129
656.250, -39.1858
