DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
1.465, -66.4606
2.930, -69.3211
4.395, -82.5084
5.859, -72.6486
7.324, -69.1151
8.789, -70.1010
10.254, -70.4961
11.719, -59.7049
13.184, -58.9078
14.648, -60.2617
16.113, -69.5118
17.578, -71.5288
19.043, -70.7471
20.508, -70.6955
21.973, -75.4044
23.438, -71.0673
24.902, -64.2452
26.367, -53.8353
27.832, -59.0636
29.297, -55.1315
30.762, -47.6709
32.227, -53.3509
33.691, -56.4919
35.156, -46.7237
36.621, -47.9427
38.086, -49.7664
39.551, -49.0401
41.016, -40.2533
42.480, -38.7602
43.945, -39.4033
45.410, -43.5094
46.875, -37.8830
48.340, -37.6006
49.805, -34.7668
51.270, -38.4512
52.734, -41.0433
54.199, -42.4618
55.664, -40.9197
57.129, -42.8737
58.594, -42.6016
60.059, -45.7944
61.523, -44.3547
62.988, -41.5969
64.453, -39.5601
65.918, -39.9213
67.383, -39.3509
68.848, -38.1890
70.313, -37.9153
71.777, -37.9311
73.242, -37.1929
74.707, -37.2807
76.172, -37.7304
77.637, -37.4574
79.102, -37.4602
80.566, -38.5906
82.031, -39.0034
83.496, -39.4415
84.961, -40.5686
86.426, -41.5306
87.891, -41.9189
89.355, -43.4164
90.820, -44.1302
92.285, -44.3776
93.750, -45.1233
95.215, -45.8957
96.680, -46.2235
98.145, -47.3586
99.609, -47.8961
101.074, -48.5364
102.539, -48.8656
104.004, -50.5655
105.469, -50.6855
106.934, -50.6188
108.398, -51.7030
109.863, -51.9486
111.328, -52.4825
112.793, -53.7009
114.258, -53.3039
115.723, -54.7201
117.188, -55.3762
118.652, -56.6354
120.117, -55.5019
121.582, -56.0742
123.047, -56.7656
124.512, -57.8321
125.977, -57.1622
127.441, -57.0227
128.906, -57.3448
130.371, -58.6850
131.836, -58.9085
133.301, -60.5465
134.766, -57.8966
136.230, -60.1362
137.695, -62.6969
139.160, -59.6983
140.625, -62.0629
142.090, -64.0039
143.555, -65.9704
145.020, -65.1609
146.484, -62.5794
147.949, -59.1709
149.414, -66.6653
150.879, -63.0288
152.344, -63.0621
153.809, -65.0296
155.273, -64.2828
156.738, -64.4052
158.203, -64.2682
159.668, -66.5087
161.133, -62.2722
162.598, -66.7123
164.063, -65.7281
165.527, -64.8532
166.992, -71.1437
168.457, -61.3410
169.922, -62.6590
171.387, -65.6605
172.852, -64.9202
174.316, -61.1505
175.781, -58.6735
177.246, -59.6552
178.711, -57.8168
180.176, -61.1054
181.641, -57.0598
183.105, -57.4049
184.570, -59.8027
186.035, -56.9719
187.500, -55.1744
188.965, -54.3059
190.430, -53.5666
191.895, -52.9762
193.359, -50.7159
194.824, -49.4357
196.289, -49.4566
197.754, -48.0664
199.219, -47.1574
200.684, -45.6787
202.148, -43.9883
203.613, -42.5289
205.078, -40.4616
206.543, -39.0273
208.008, -37.4336
209.473, -35.2726
210.938, -33.4022
212.402, -31.9758
213.867, -30.8085
215.332, -30.5966
216.797, -30.6793
218.262, -30.8494
219.727, -31.3430
221.191, -31.2670
222.656, -31.1604
224.121, -30.6613
225.586, -29.8591
227.051, -28.4966
228.516, -27.3611
229.980, -26.7162
231.445, -27.7137
232.910, -30.8435
234.375, -33.7469
235.840, -36.5081
237.305, -38.7131
238.770, -40.5999
240.234, -42.6039
241.699, -44.4510
243.164, -45.1821
244.629, -46.5135
246.094, -48.5464
247.559, -49.3981
249.023, -50.1777
250.488, -51.4474
251.953, -51.9348
253.418, -53.4766
254.883, -52.6046
256.348, -53.3009
257.813, -54.4123
259.277, -54.1163
260.742, -54.4174
262.207, -55.6065
263.672, -55.9420
265.137, -57.0741
266.602, -56.3857
268.066, -56.9686
269.531, -57.4998
270.996, -58.8273
272.461, -58.9152
273.926, -57.7148
275.391, -58.8282
276.855, -58.4427
278.320, -57.3351
279.785, -61.5540
281.250, -59.4202
282.715, -60.3183
284.180, -60.5656
285.645, -58.0059
287.109, -60.0288
288.574, -60.7219
290.039, -60.1109
291.504, -58.1055
292.969, -59.5914
294.434, -58.4782
295.898, -59.2101
297.363, -59.8621
298.828, -58.7992
300.293, -59.3082
301.758, -56.9481
303.223, -60.4869
304.688, -59.9279
306.152, -58.5606
307.617, -59.0482
309.082, -58.5981
310.547, -55.2789
312.012, -55.3440
313.477, -54.9118
314.941, -55.5609
316.406, -53.9204
317.871, -54.5189
319.336, -54.2673
320.801, -53.2981
322.266, -52.0578
323.730, -53.3155
325.195, -51.7405
326.660, -51.5606
328.125, -51.8471
329.590, -50.6661
331.055, -49.9766
332.520, -50.9209
333.984, -46.4025
335.449, -44.2558
336.914, -40.6736
338.379, -43.6526
339.844, -44.5401
341.309, -49.3428
342.773, -51.9957
344.238, -53.5997
345.703, -55.7456
347.168, -61.1529
348.633, -61.2464
350.098, -61.1221
351.563, -71.7443
353.027, -67.2406
354.492, -74.7805
355.957, -64.9316
357.422, -68.0599
358.887, -64.9614
360.352, -65.6540
361.816, -77.1651
363.281, -61.1515
364.746, -58.6410
366.211, -56.5569
367.676, -59.7444
369.141, -56.8811
370.605, -55.9826
372.070, -52.2732
373.535, -52.3983
375.000, -50.5729
376.465, -53.7239
377.930, -56.2173
379.395, -59.2075
380.859, -66.1490
382.324, -66.1642
383.789, -59.1349
385.254, -54.5405
386.719, -48.9885
388.184, -46.2060
389.648, -41.7521
391.113, -50.2608
392.578, -46.0329
394.043, -40.6031
395.508, -51.6023
396.973, -51.2196
398.438, -55.0440
399.902, -48.4143
401.367, -51.8100
402.832, -53.5921
404.297, -52.6364
405.762, -50.8126
407.227, -56.7532
408.691, -53.1328
410.156, -55.8017
411.621, -58.2478
413.086, -57.3130
414.551, -56.0446
416.016, -58.1941
417.480, -56.8449
418.945, -58.8973
420.410, -57.8784
421.875, -57.7318
423.340, -60.5745
424.805, -60.7271
426.270, -61.5613
427.734, -61.0939
429.199, -62.8343
430.664, -59.9687
432.129, -65.6165
433.594, -63.5171
435.059, -60.8943
436.523, -64.9169
437.988, -68.3652
439.453, -63.2831
440.918, -61.7070
442.383, -65.6560
443.848, -65.3928
445.313, -62.3608
446.777, -67.7896
448.242, -61.5878
449.707, -65.6217
451.172, -70.9118
452.637, -67.7108
454.102, -69.0078
455.566, -66.7080
457.031, -68.0825
458.496, -70.5178
459.961, -63.3742
461.426, -78.4894
462.891, -66.5064
464.355, -80.9358
465.820, -65.6675
467.285, -70.4568
468.750, -71.2727
470.215, -64.2870
471.680, -76.8699
473.145, -71.4976
474.609, -70.1735
476.074, -68.2544
477.539, -63.8580
479.004, -70.0333
480.469, -82.5064
481.934, -70.3213
483.398, -69.2677
484.863, -66.3927
486.328, -67.4868
487.793, -63.7253
489.258, -65.1069
490.723, -69.7253
492.188, -64.1909
493.652, -69.8027
495.117, -61.3273
496.582, -61.3938
498.047, -63.5252
499.512, -64.9689
500.977, -66.2150
502.441, -64.1153
503.906, -66.3980
505.371, -69.4835
506.836, -61.9583
508.301, -63.0477
509.766, -60.4261
511.230, -62.1005
512.695, -60.8108
514.160, -60.4256
515.625, -63.8347
517.090, -60.3932
518.555, -63.2801
520.020, -59.4356
521.484, -61.1121
522.949, -58.7398
524.414, -61.8897
525.879, -54.9570
527.344, -55.0359
528.809, -56.1396
530.273, -54.9797
531.738, -53.5357
533.203, -55.5006
534.668, -53.6403
536.133, -52.6826
537.598, -50.4654
539.063, -50.5063
540.527, -49.5147
541.992, -51.2613
543.457, -51.2753
544.922, -50.4198
546.387, -52.5946
547.852, -52.9079
549.316, -54.6466
550.781, -53.5427
552.246, -54.3971
553.711, -54.5252
555.176, -56.3677
556.641, -56.9825
558.105, -57.8227
559.570, -55.7157
561.035, -57.1656
562.500, -57.3041
563.965, -56.6493
565.430, -58.5619
566.895, -57.7573
568.359, -58.2942
569.824, -57.0537
571.289, -57.7927
572.754, -59.5792
574.219, -56.1273
575.684, -56.1308
577.148, -59.8938
578.613, -56.7708
580.078, -54.9338
581.543, -55.4201
583.008, -58.1850
584.473, -57.5930
585.938, -55.8744
587.402, -57.3375
588.867, -57.0084
590.332, -58.8844
591.797, -58.1639
593.262, -55.8875
594.727, -59.4439
596.191, -57.6108
597.656, -57.3561
599.121, -57.4319
600.586, -58.1972
602.051, -57.1265
603.516, -58.4272
604.980, -57.5077
606.445, -58.3642
607.910, -57.3901
609.375, -57.4936
610.840, -56.8320
612.305, -56.7744
613.770, -57.3116
615.234, -57.4253
616.699, -57.1429
618.164, -56.9139
619.629, -55.8452
621.094, -55.4535
622.559, -56.0431
624.023, -55.9676
625.488, -54.1916
626.953, -54.1177
628.418, -55.6511
629.883, -54.5403
631.348, -54.7221
632.813, -55.1503
634.277, -56.8449
635.742, -54.1594
637.207, -55.0503
638.672, -55.6548
640.137, -53.6297
641.602, -53.8902
643.066, -53.6647
644.531, -52.2626
645.996, -52.4641
647.461, -53.5748
648.926, -50.4664
650.391, -52.6453
651.855, -50.1658
653.320, -48.0173
654.785, -48.3971
656.250, -48.7233
