DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
1.465, -80.6262
2.930, -77.2207
4.395, -77.8900
5.859, -82.3766
7.324, -82.7101
8.789, -89.4220
10.254, -78.8340
11.719, -69.5991
13.184, -60.2011
14.648, -64.9963
16.113, -67.6041
17.578, -70.4183
19.043, -71.8843
20.508, -71.9923
21.973, -70.9018
23.438, -78.1291
24.902, -50.9499
26.367, -50.5146
27.832, -52.0226
29.297, -52.3840
30.762, -45.4049
32.227, -51.3754
33.691, -51.6459
35.156, -53.1837
36.621, -53.0885
38.086, -50.8971
39.551, -45.5345
41.016, -43.1963
42.480, -39.6508
43.945, -36.3456
45.410, -34.3571
46.875, -34.0469
48.340, -32.4154
49.805, -32.4597
51.270, -34.4841
52.734, -37.2292
54.199, -39.9382
55.664, -40.7449
57.129, -40.2086
58.594, -41.1837
60.059, -39.7815
61.523, -40.0290
62.988, -39.6891
64.453, -41.0519
65.918, -40.2013
67.383, -40.4760
68.848, -40.4573
70.313, -39.1818
71.777, -40.0180
73.242, -39.9558
74.707, -39.3559
76.172, -38.5940
77.637, -38.9714
79.102, -41.0195
80.566, -40.9472
82.031, -41.6045
83.496, -42.3169
84.961, -42.9930
86.426, -43.0000
87.891, -44.5487
89.355, -45.0572
90.820, -45.7781
92.285, -47.1803
93.750, -47.6321
95.215, -47.6853
96.680, -48.4238
98.145, -50.3486
99.609, -50.5899
101.074, -51.3348
102.539, -52.2621
104.004, -52.8193
105.469, -51.6338
106.934, -52.0229
108.398, -53.7742
109.863, -54.4790
111.328, -54.9035
112.793, -55.1344
114.258, -56.3718
115.723, -57.2044
117.188, -57.2658
118.652, -55.6043
120.117, -55.9999
121.582, -56.0406
123.047, -57.1020
124.512, -60.7328
125.977, -57.9438
127.441, -58.7194
128.906, -57.1477
130.371, -60.7088
131.836, -60.1781
133.301, -59.5740
134.766, -63.1944
136.230, -60.8539
137.695, -61.1360
139.160, -63.8076
140.625, -59.8587
142.090, -62.2347
143.555, -63.1181
145.020, -62.2565
146.484, -64.2018
147.949, -66.8789
149.414, -62.0355
150.879, -67.3304
152.344, -60.3210
153.809, -61.5542
155.273, -62.5526
156.738, -64.3935
158.203, -63.2786
159.668, -61.6754
161.133, -61.1120
162.598, -60.7714
164.063, -63.0095
165.527, -62.4804
166.992, -61.6325
168.457, -61.6274
169.922, -60.7313
171.387, -61.7051
172.852, -60.4415
174.316, -60.2882
175.781, -57.2522
177.246, -62.0392
178.711, -64.7594
180.176, -57.2333
181.641, -58.7658
183.105, -58.1323
184.570, -57.1407
186.035, -57.2796
187.500, -56.4257
188.965, -58.4624
190.430, -57.5685
191.895, -56.6515
193.359, -54.9763
194.824, -54.3206
196.289, -54.0591
197.754, -52.9673
199.219, -51.8606
200.684, -51.6639
202.148, -49.6423
203.613, -48.8999
205.078, -48.1931
206.543, -45.4809
208.008, -44.6859
209.473, -41.9600
210.938, -40.4870
212.402, -38.8379
213.867, -37.5155
215.332, -37.0443
216.797, -36.8684
218.262, -37.7402
219.727, -37.7694
221.191, -38.3620
222.656, -38.8047
224.121, -37.5814
225.586, -37.5984
227.051, -34.8811
228.516, -34.6859
229.980, -34.9868
231.445, -35.6779
232.910, -38.4393
234.375, -40.4383
235.840, -44.0534
237.305, -46.5580
238.770, -48.6904
240.234, -51.1776
241.699, -51.4654
243.164, -54.6435
244.629, -56.4601
246.094, -56.7852
247.559, -58.7385
249.023, -61.1997
250.488, -62.4092
251.953, -64.9223
253.418, -63.5404
254.883, -62.6558
256.348, -69.0387
257.813, -68.3738
259.277, -63.3795
260.742, -64.4666
262.207, -67.0238
263.672, -73.7917
265.137, -86.9567
266.602, -69.4963
268.066, -69.1133
269.531, -66.4003
270.996, -75.0845
272.461, -70.9717
273.926, -68.0927
275.391, -68.1408
276.855, -68.2483
278.320, -73.4123
279.785, -71.6286
281.250, -68.5539
282.715, -63.3231
284.180, -63.4712
285.645, -65.4109
287.109, -68.2840
288.574, -65.4419
290.039, -64.9043
291.504, -62.2672
292.969, -62.7512
294.434, -63.4543
295.898, -60.5017
297.363, -60.3313
298.828, -62.5640
300.293, -58.1077
301.758, -59.8555
303.223, -58.0273
304.688, -57.4343
306.152, -56.6681
307.617, -54.3082
309.082, -53.9066
310.547, -52.4679
312.012, -52.0621
313.477, -53.1005
314.941, -56.2878
316.406, -56.3680
317.871, -58.6499
319.336, -62.6811
320.801, -59.2197
322.266, -61.0107
323.730, -62.1418
325.195, -60.7812
326.660, -61.7970
328.125, -58.6499
329.590, -56.7268
331.055, -56.1516
332.520, -54.0407
333.984, -51.5906
335.449, -53.0367
336.914, -48.8799
338.379, -50.9198
339.844, -54.5938
341.309, -58.8427
342.773, -55.2601
344.238, -60.3242
345.703, -56.4955
347.168, -61.0973
348.633, -55.7169
350.098, -56.9451
351.563, -54.4398
353.027, -51.0144
354.492, -53.0174
355.957, -52.4621
357.422, -47.7912
358.887, -55.6670
360.352, -50.2100
361.816, -51.8647
363.281, -51.9983
364.746, -48.6426
366.211, -47.1270
367.676, -45.0152
369.141, -44.7728
370.605, -40.8155
372.070, -44.1644
373.535, -42.5627
375.000, -43.0176
376.465, -47.0321
377.930, -41.8575
379.395, -42.7448
380.859, -45.2005
382.324, -37.8657
383.789, -39.3749
385.254, -36.4167
386.719, -40.2071
388.184, -33.0892
389.648, -31.8309
391.113, -23.2535
392.578, -27.9163
394.043, -27.3686
395.508, -34.4838
396.973, -37.2029
398.438, -43.1449
399.902, -42.3617
401.367, -45.7897
402.832, -39.2769
404.297, -46.8012
405.762, -41.3392
407.227, -43.3315
408.691, -49.9997
410.156, -45.1874
411.621, -43.4019
413.086, -44.6560
414.551, -48.0086
416.016, -46.2717
417.480, -44.5903
418.945, -47.4202
420.410, -50.2780
421.875, -52.1346
423.340, -55.3291
424.805, -47.2002
426.270, -50.8862
427.734, -51.4905
429.199, -50.3286
430.664, -49.6262
432.129, -50.9611
433.594, -52.5038
435.059, -51.1650
436.523, -50.3537
437.988, -51.5606
439.453, -55.2170
440.918, -54.5635
442.383, -55.1511
443.848, -54.1700
445.313, -51.8935
446.777, -53.3707
448.242, -52.7059
449.707, -53.7979
451.172, -54.3829
452.637, -54.0200
454.102, -52.5796
455.566, -55.0819
457.031, -52.6196
458.496, -53.3766
459.961, -59.7220
461.426, -52.5656
462.891, -53.4609
464.355, -61.1182
465.820, -51.7123
467.285, -53.7286
468.750, -54.6669
470.215, -50.6756
471.680, -54.1107
473.145, -51.7758
474.609, -51.4775
476.074, -50.3337
477.539, -51.6680
479.004, -50.7986
480.469, -50.7431
481.934, -52.8149
483.398, -52.8361
484.863, -52.4453
486.328, -50.5419
487.793, -50.9987
489.258, -47.9517
490.723, -50.6467
492.188, -50.4712
493.652, -51.2057
495.117, -50.7478
496.582, -49.6752
498.047, -51.0833
499.512, -48.5522
500.977, -53.4450
502.441, -50.2268
503.906, -49.8562
505.371, -50.8446
506.836, -49.0181
508.301, -52.1210
509.766, -48.2770
511.230, -48.6005
512.695, -50.6371
514.160, -48.3494
515.625, -50.8940
517.090, -51.1414
518.555, -49.6246
520.020, -47.6446
521.484, -50.1508
522.949, -52.9345
524.414, -47.5557
525.879, -47.0497
527.344, -45.4788
528.809, -48.3366
530.273, -45.4254
531.738, -44.6826
533.203, -46.0034
534.668, -46.4501
536.133, -44.6749
537.598, -46.3159
539.063, -45.7244
540.527, -47.3212
541.992, -47.8812
543.457, -46.9192
544.922, -48.6350
546.387, -49.9048
547.852, -49.6507
549.316, -52.2990
550.781, -50.1673
552.246, -48.9181
553.711, -55.2748
555.176, -52.8744
556.641, -50.4511
558.105, -52.6140
559.570, -52.6248
561.035, -52.9304
562.500, -52.8725
563.965, -51.8643
565.430, -55.7521
566.895, -56.3707
568.359, -53.4105
569.824, -64.0355
571.289, -61.3569
572.754, -58.0494
574.219, -60.9292
575.684, -62.7333
577.148, -74.1431
578.613, -62.2944
580.078, -70.1657
581.543, -63.1133
583.008, -68.4117
584.473, -66.4372
585.938, -63.5751
587.402, -70.3428
588.867, -73.5311
590.332, -86.9523
591.797, -70.8894
593.262, -69.2462
594.727, -71.3197
596.191, -63.5131
597.656, -65.2928
599.121, -66.2975
600.586, -70.3643
602.051, -60.8866
603.516, -61.3077
604.980, -60.0866
606.445, -68.0080
607.910, -63.6246
609.375, -78.9433
610.840, -63.2227
612.305, -59.0444
613.770, -61.1212
615.234, -59.6325
616.699, -65.2025
618.164, -57.3672
619.629, -58.7884
621.094, -59.5909
622.559, -55.6879
624.023, -54.7003
625.488, -54.6135
626.953, -51.0476
628.418, -51.5746
629.883, -50.6314
631.348, -49.8575
632.813, -49.6770
634.277, -52.8698
635.742, -49.2397
637.207, -53.0179
638.672, -54.1569
640.137, -51.9219
641.602, -54.3167
643.066, -53.9393
644.531, -54.3206
645.996, -52.7542
647.461, -52.8924
648.926, -54.4709
650.391, -60.9741
651.855, -52.4451
653.320, -54.5907
654.785, -54.3432
656.250, -55.7457
