DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
1.465, -51.3832
2.930, -47.8261
4.395, -50.7271
5.859, -47.8950
7.324, -61.5086
8.789, -46.9486
10.254, -56.6497
11.719, -46.9601
13.184, -50.1233
14.648, -54.9940
16.113, -45.1398
17.578, -58.5929
19.043, -46.1192
20.508, -44.0482
21.973, -50.2891
23.438, -53.2355
24.902, -50.2957
26.367, -51.8901
27.832, -43.8098
29.297, -37.4446
30.762, -37.0393
32.227, -47.4575
33.691, -47.1366
35.156, -46.3998
36.621, -41.3057
38.086, -39.0724
39.551, -32.7878
41.016, -26.8882
42.480, -26.8659
43.945, -21.2738
45.410, -20.5043
46.875, -20.1684
48.340, -19.5388
49.805, -16.8405
51.270, -15.1405
52.734, -12.7009
54.199, -11.4096
55.664, -9.7967
57.129, -8.7947
58.594, -7.2030
60.059, -6.3202
61.523, -5.8646
62.988, -6.0075
64.453, -4.4447
65.918, -4.0496
67.383, -2.1829
68.848, -3.0210
70.313, -2.3400
71.777, -1.4622
73.242, -1.5036
74.707, -1.1134
76.172, -1.0988
77.637, -1.4957
79.102, -2.5843
80.566, -2.6204
82.031, -2.5016
83.496, -3.4246
84.961, -3.0475
86.426, -3.7492
87.891, -3.5455
89.355, -5.2444
90.820, -5.2641
92.285, -4.8108
93.750, -6.4709
95.215, -6.4827
96.680, -7.6162
98.145, -7.2751
99.609, -6.3975
101.074, -6.9719
102.539, -7.9647
104.004, -8.3861
105.469, -9.5405
106.934, -9.7255
108.398, -8.4099
109.863, -9.0810
111.328, -8.4501
112.793, -9.8095
114.258, -10.0555
115.723, -10.4506
117.188, -10.1989
118.652, -10.5107
120.117, -10.2292
121.582, -9.7871
123.047, -11.0498
124.512, -10.9417
125.977, -10.6211
127.441, -11.0034
128.906, -10.2405
130.371, -10.6737
131.836, -10.5467
133.301, -10.6941
134.766, -11.2921
136.230, -10.6691
137.695, -10.9207
139.160, -11.2862
140.625, -12.1181
142.090, -11.6113
143.555, -11.0599
145.020, -11.7050
146.484, -12.3833
147.949, -11.0473
149.414, -11.8982
150.879, -10.8596
152.344, -11.1225
153.809, -10.9165
155.273, -11.7996
156.738, -11.0128
158.203, -10.3848
159.668, -11.5134
161.133, -10.9418
162.598, -10.7418
164.063, -11.4550
165.527, -11.1204
166.992, -11.3788
168.457, -10.7534
169.922, -10.9591
171.387, -10.6297
172.852, -10.6336
174.316, -9.3420
175.781, -10.4352
177.246, -9.8612
178.711, -10.0809
180.176, -9.8911
181.641, -9.8436
183.105, -9.6543
184.570, -8.6336
186.035, -9.1509
187.500, -8.5456
188.965, -8.1644
190.430, -7.4051
191.895, -7.2322
193.359, -7.3434
194.824, -6.8798
196.289, -5.9524
197.754, -5.8525
199.219, -5.3987
200.684, -4.7575
202.148, -3.5353
203.613, -3.5399
205.078, -2.0099
206.543, -0.5746
208.008, -0.6626
209.473, 0.9950
210.938, 0.9441
212.402, 1.4552
213.867, -0.1527
215.332, -1.5327
216.797, -3.4488
218.262, -5.4102
219.727, -7.2396
221.191, -7.5015
222.656, -10.1880
224.121, -10.9470
225.586, -12.2371
227.051, -14.6875
228.516, -15.0994
229.980, -17.5867
231.445, -17.0289
232.910, -18.9526
234.375, -18.5970
235.840, -21.6195
237.305, -20.9346
238.770, -25.8023
240.234, -26.7030
241.699, -24.8916
243.164, -29.0911
244.629, -27.0001
246.094, -33.7210
247.559, -29.3627
249.023, -29.7128
250.488, -28.0324
251.953, -37.5625
253.418, -32.5110
254.883, -33.2970
256.348, -34.4448
257.813, -33.5332
259.277, -27.2649
260.742, -28.5760
262.207, -26.6999
263.672, -31.7878
265.137, -28.4407
266.602, -25.8148
268.066, -26.2633
269.531, -25.7351
270.996, -27.9340
272.461, -24.5224
273.926, -28.0794
275.391, -26.5491
276.855, -25.9154
278.320, -25.0682
279.785, -23.5164
281.250, -24.6577
282.715, -25.6068
284.180, -26.0753
285.645, -27.7266
287.109, -28.8646
288.574, -28.0876
290.039, -25.5661
291.504, -25.7564
292.969, -31.0547
294.434, -28.8849
295.898, -30.6700
297.363, -26.5711
298.828, -26.8881
300.293, -25.3231
301.758, -19.6804
303.223, -18.4820
304.688, -15.3539
306.152, -12.0002
307.617, -9.3301
309.082, -6.8030
310.547, -4.3805
312.012, -3.0207
313.477, -2.9745
314.941, -3.0369
316.406, -3.4591
317.871, -4.4164
319.336, -4.2840
320.801, -4.6001
322.266, -5.6902
323.730, -6.0967
325.195, -5.7863
326.660, -5.9552
328.125, -6.0819
329.590, -5.8122
331.055, -5.8307
332.520, -6.0239
333.984, -5.5285
335.449, -5.9700
336.914, -5.0118
338.379, -5.3341
339.844, -5.4538
341.309, -4.2601
342.773, -4.7225
344.238, -4.0662
345.703, -3.7329
347.168, -3.5590
348.633, -3.1294
350.098, -1.8234
351.563, -1.7991
353.027, -1.7913
354.492, -1.0425
355.957, -0.2342
357.422, 0.6048
358.887, 1.3420
360.352, 1.2403
361.816, 2.5672
363.281, 3.8478
364.746, 5.3918
366.211, 5.4997
367.676, 7.6735
369.141, 8.2945
370.605, 9.0174
372.070, 9.5563
373.535, 9.5099
375.000, 8.4424
376.465, 7.1721
377.930, 6.4997
379.395, 4.5076
380.859, 3.1616
382.324, 2.2807
383.789, 1.2878
385.254, 1.0428
386.719, 0.0707
388.184, -0.6466
389.648, -1.7515
391.113, -2.1469
392.578, -3.0078
394.043, -2.8000
395.508, -4.2159
396.973, -4.3588
398.438, -4.6662
399.902, -5.4380
401.367, -5.3694
402.832, -5.6072
404.297, -6.3350
405.762, -7.2877
407.227, -6.5276
408.691, -7.3623
410.156, -7.8168
411.621, -6.6949
413.086, -7.0499
414.551, -7.4170
416.016, -7.7547
417.480, -8.2710
418.945, -8.2768
420.410, -8.0206
421.875, -7.9188
423.340, -7.4221
424.805, -8.0630
426.270, -8.2539
427.734, -9.0648
429.199, -8.7396
430.664, -8.7963
432.129, -9.0742
433.594, -9.6059
435.059, -10.4913
436.523, -10.9109
437.988, -11.4798
439.453, -10.7778
440.918, -11.7118
442.383, -12.1455
443.848, -11.4359
445.313, -12.1250
446.777, -13.3245
448.242, -14.1436
449.707, -14.4283
451.172, -15.3576
452.637, -15.9478
454.102, -18.8888
455.566, -19.5116
457.031, -20.1250
458.496, -22.4626
459.961, -27.3895
461.426, -22.4991
462.891, -24.6818
464.355, -26.8253
465.820, -30.9176
467.285, -28.3479
468.750, -29.2301
470.215, -31.9651
471.680, -30.3824
473.145, -38.2188
474.609, -39.0669
476.074, -28.8763
477.539, -34.4193
479.004, -41.7773
480.469, -32.4268
481.934, -27.7173
483.398, -36.1469
484.863, -33.2436
486.328, -30.9277
487.793, -32.4764
489.258, -30.9757
490.723, -34.9737
492.188, -38.5294
493.652, -33.4212
495.117, -28.7885
496.582, -33.1386
498.047, -30.6964
499.512, -28.9100
500.977, -25.5711
502.441, -28.0613
503.906, -28.0553
505.371, -26.2185
506.836, -27.2848
508.301, -27.8003
509.766, -27.9957
511.230, -23.3547
512.695, -24.8327
514.160, -24.7334
515.625, -22.5714
517.090, -24.5196
518.555, -21.8805
520.020, -21.0793
521.484, -19.3336
522.949, -17.8275
524.414, -17.4869
525.879, -14.6292
527.344, -14.1177
528.809, -12.6655
530.273, -11.5847
531.738, -10.3593
533.203, -8.8815
534.668, -7.0392
536.133, -7.8611
537.598, -6.5003
539.063, -6.4642
540.527, -6.5081
541.992, -7.7668
543.457, -8.0343
544.922, -8.9302
546.387, -9.8178
547.852, -10.8842
549.316, -10.3512
550.781, -11.3163
552.246, -12.8247
553.711, -13.9000
555.176, -14.3836
556.641, -14.0156
558.105, -14.1399
559.570, -14.6707
561.035, -15.0970
562.500, -15.8376
563.965, -15.8450
565.430, -16.4619
566.895, -15.2111
568.359, -16.6356
569.824, -16.8011
571.289, -17.8142
572.754, -16.1399
574.219, -16.6683
575.684, -16.9293
577.148, -16.7009
578.613, -17.0630
580.078, -18.3661
581.543, -17.2565
583.008, -18.5718
584.473, -16.6056
585.938, -17.6700
587.402, -19.3336
588.867, -16.9206
590.332, -18.9675
591.797, -17.3241
593.262, -17.3534
594.727, -17.9940
596.191, -20.6248
597.656, -18.1461
599.121, -18.3447
600.586, -19.8185
602.051, -18.6951
603.516, -19.7260
604.980, -17.5597
606.445, -18.5995
607.910, -19.3244
609.375, -18.4767
610.840, -18.4152
612.305, -17.2700
613.770, -18.0709
615.234, -19.9236
616.699, -18.0065
618.164, -19.7790
619.629, -19.2930
621.094, -20.9033
622.559, -17.4258
624.023, -20.9936
625.488, -17.4466
626.953, -16.4102
628.418, -17.7127
629.883, -16.8113
631.348, -19.8252
632.813, -18.7024
634.277, -19.9528
635.742, -20.7977
637.207, -16.5353
638.672, -17.0563
640.137, -16.9326
641.602, -19.5190
643.066, -16.5586
644.531, -17.6802
645.996, -19.0277
647.461, -18.3299
648.926, -20.1548
650.391, -18.8469
651.855, -21.6574
653.320, -17.7546
654.785, -18.1121
656.250, -19.0395
