DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
1.465, -53.9395
2.930, -56.4526
4.395, -53.6976
5.859, -56.4069
7.324, -52.6821
8.789, -53.4323
10.254, -54.4995
11.719, -58.2428
13.184, -52.0173
14.648, -56.8372
16.113, -50.4557
17.578, -45.5543
19.043, -55.0120
20.508, -44.6411
21.973, -47.8247
23.438, -48.5164
24.902, -44.2384
26.367, -44.8790
27.832, -40.2924
29.297, -38.4588
30.762, -37.0175
32.227, -46.7794
33.691, -38.1905
35.156, -37.9394
36.621, -33.7669
38.086, -34.1116
39.551, -32.0911
41.016, -32.3230
42.480, -28.2057
43.945, -31.1933
45.410, -29.0531
46.875, -27.6563
48.340, -26.9912
49.805, -24.7766
51.270, -21.8130
52.734, -20.3316
54.199, -18.3633
55.664, -15.8891
57.129, -15.9997
58.594, -14.0526
60.059, -13.1427
61.523, -12.8325
62.988, -12.8127
64.453, -13.5041
65.918, -12.5687
67.383, -12.9795
68.848, -12.6621
70.313, -13.5936
71.777, -14.0456
73.242, -13.9845
74.707, -14.9908
76.172, -16.0795
77.637, -16.1177
79.102, -17.4841
80.566, -18.3212
82.031, -18.5576
83.496, -19.7850
84.961, -22.1779
86.426, -20.8612
87.891, -22.0960
89.355, -22.7393
90.820, -24.5196
92.285, -24.7604
93.750, -24.1954
95.215, -24.4858
96.680, -26.0266
98.145, -25.7941
99.609, -24.4896
101.074, -25.3890
102.539, -27.8284
104.004, -25.2237
105.469, -25.5903
106.934, -27.0037
108.398, -26.6476
109.863, -26.3715
111.328, -24.9591
112.793, -25.6748
114.258, -26.7231
115.723, -26.7643
117.188, -25.8183
118.652, -25.9030
120.117, -27.3871
121.582, -27.3879
123.047, -26.9725
124.512, -25.8379
125.977, -25.8503
127.441, -25.5863
128.906, -25.3209
130.371, -25.6903
131.836, -26.5286
133.301, -26.5921
134.766, -25.2823
136.230, -25.9201
137.695, -26.5472
139.160, -25.7809
140.625, -26.8441
142.090, -26.2583
143.555, -25.3875
145.020, -24.0996
146.484, -25.2849
147.949, -24.1188
149.414, -24.2309
150.879, -26.2206
152.344, -24.4305
153.809, -24.1712
155.273, -24.2642
156.738, -24.1060
158.203, -21.8522
159.668, -22.7205
161.133, -23.1007
162.598, -22.4321
164.063, -23.7723
165.527, -22.4931
166.992, -21.8841
168.457, -21.7749
169.922, -21.6449
171.387, -20.7419
172.852, -21.8413
174.316, -20.8868
175.781, -20.7526
177.246, -20.4510
178.711, -19.9225
180.176, -19.7714
181.641, -18.2985
183.105, -18.6258
184.570, -18.7107
186.035, -16.8844
187.500, -16.8007
188.965, -16.9234
190.430, -15.9134
191.895, -15.2343
193.359, -14.1356
194.824, -14.0779
196.289, -13.3580
197.754, -12.3982
199.219, -11.8140
200.684, -10.9834
202.148, -10.0950
203.613, -8.5154
205.078, -7.5207
206.543, -7.0620
208.008, -4.9998
209.473, -3.5595
210.938, -3.0611
212.402, -2.0649
213.867, -2.3381
215.332, -2.9576
216.797, -4.8698
218.262, -5.3628
219.727, -6.9107
221.191, -8.2929
222.656, -8.6694
224.121, -10.6521
225.586, -11.0752
227.051, -12.6875
228.516, -13.5972
229.980, -14.0619
231.445, -13.9105
232.910, -14.2597
234.375, -14.8704
235.840, -15.7091
237.305, -15.8727
238.770, -15.8904
240.234, -15.9315
241.699, -16.1775
243.164, -18.1134
244.629, -17.3103
246.094, -17.7745
247.559, -18.6774
249.023, -18.7339
250.488, -18.7218
251.953, -18.9282
253.418, -20.3331
254.883, -19.3694
256.348, -19.1386
257.813, -19.9646
259.277, -20.1009
260.742, -20.4392
262.207, -19.8487
263.672, -20.9512
265.137, -21.0364
266.602, -20.6837
268.066, -20.9306
269.531, -21.3203
270.996, -20.3098
272.461, -21.7265
273.926, -20.9477
275.391, -22.0917
276.855, -22.1395
278.320, -21.2808
279.785, -22.3399
281.250, -21.3843
282.715, -21.3369
284.180, -23.3673
285.645, -21.9700
287.109, -22.5167
288.574, -22.8030
290.039, -22.8812
291.504, -23.0580
292.969, -22.1015
294.434, -22.0502
295.898, -22.3488
297.363, -21.4663
298.828, -22.5398
300.293, -21.9818
301.758, -22.3669
303.223, -21.8749
304.688, -24.3006
306.152, -22.7397
307.617, -22.7086
309.082, -22.5958
310.547, -22.6227
312.012, -21.8073
313.477, -21.2687
314.941, -21.1955
316.406, -21.4464
317.871, -20.3382
319.336, -20.7678
320.801, -20.6195
322.266, -20.3156
323.730, -21.1392
325.195, -20.2267
326.660, -19.6652
328.125, -20.7909
329.590, -19.8983
331.055, -20.4916
332.520, -19.9888
333.984, -19.6497
335.449, -18.6925
336.914, -19.3427
338.379, -19.0027
339.844, -18.6623
341.309, -18.8227
342.773, -18.2818
344.238, -16.9352
345.703, -16.5663
347.168, -16.6777
348.633, -16.1811
350.098, -16.0224
351.563, -15.7231
353.027, -14.7017
354.492, -14.5422
355.957, -14.1100
357.422, -12.8965
358.887, -13.0195
360.352, -11.9263
361.816, -11.5858
363.281, -10.3915
364.746, -9.0416
366.211, -7.8676
367.676, -7.0427
369.141, -5.7734
370.605, -4.6337
372.070, -3.7386
373.535, -2.7450
375.000, -3.0812
376.465, -3.7499
377.930, -5.1426
379.395, -6.3364
380.859, -7.5507
382.324, -9.1213
383.789, -9.9399
385.254, -11.1503
386.719, -11.7750
388.184, -12.3405
389.648, -13.8434
391.113, -13.7243
392.578, -14.6970
394.043, -15.7586
395.508, -16.1352
396.973, -16.8057
398.438, -17.4775
399.902, -16.8503
401.367, -17.9861
402.832, -18.0457
404.297, -19.2870
405.762, -19.2746
407.227, -19.0544
408.691, -20.7666
410.156, -20.3677
411.621, -21.2893
413.086, -21.7139
414.551, -21.8854
416.016, -21.2044
417.480, -22.4349
418.945, -22.9926
420.410, -23.0394
421.875, -23.3827
423.340, -22.8410
424.805, -23.7136
426.270, -21.9438
427.734, -23.1001
429.199, -22.9689
430.664, -22.6798
432.129, -23.9465
433.594, -23.2688
435.059, -24.9378
436.523, -25.5991
437.988, -23.4689
439.453, -25.0859
440.918, -23.9251
442.383, -26.1263
443.848, -23.8013
445.313, -24.3742
446.777, -23.9528
448.242, -24.5093
449.707, -25.5099
451.172, -23.9778
452.637, -25.1811
454.102, -26.0183
455.566, -23.6253
457.031, -24.2086
458.496, -24.9674
459.961, -24.6491
461.426, -23.7196
462.891, -25.5740
464.355, -25.3168
465.820, -23.5970
467.285, -24.2287
468.750, -22.8236
470.215, -23.4003
471.680, -23.7389
473.145, -24.8325
474.609, -24.9567
476.074, -22.6624
477.539, -22.7149
479.004, -22.7177
480.469, -22.1712
481.934, -22.9787
483.398, -22.4772
484.863, -22.6266
486.328, -23.2866
487.793, -23.6176
489.258, -21.5425
490.723, -22.5286
492.188, -21.9392
493.652, -21.7355
495.117, -21.1560
496.582, -20.5667
498.047, -20.2899
499.512, -20.4218
500.977, -19.9261
502.441, -19.1927
503.906, -18.5296
505.371, -19.2859
506.836, -18.3444
508.301, -17.6310
509.766, -18.3283
511.230, -17.3167
512.695, -16.1751
514.160, -16.4562
515.625, -16.3222
517.090, -15.0578
518.555, -14.9818
520.020, -14.1575
521.484, -13.1870
522.949, -13.4063
524.414, -12.1698
525.879, -12.4122
527.344, -11.2535
528.809, -10.0997
530.273, -10.2127
531.738, -8.7464
533.203, -7.7652
534.668, -6.8186
536.133, -6.6914
537.598, -5.5412
539.063, -5.3455
540.527, -5.3545
541.992, -5.1371
543.457, -5.7495
544.922, -6.7039
546.387, -8.2045
547.852, -8.2151
549.316, -8.7555
550.781, -10.4575
552.246, -10.0356
553.711, -9.9412
555.176, -11.3914
556.641, -11.4678
558.105, -11.9213
559.570, -12.8098
561.035, -13.3325
562.500, -13.1515
563.965, -14.9242
565.430, -14.4907
566.895, -14.9368
568.359, -15.2751
569.824, -16.1427
571.289, -15.6681
572.754, -16.4264
574.219, -16.2937
575.684, -16.6926
577.148, -17.5061
578.613, -16.4697
580.078, -16.9189
581.543, -17.5377
583.008, -17.2822
584.473, -16.8431
585.938, -17.3749
587.402, -17.7396
588.867, -19.4488
590.332, -18.8165
591.797, -18.1173
593.262, -17.8329
594.727, -19.7547
596.191, -18.0844
597.656, -19.5364
599.121, -18.5695
600.586, -19.1861
602.051, -18.3853
603.516, -18.1959
604.980, -18.5413
606.445, -19.3306
607.910, -18.2233
609.375, -18.4699
610.840, -18.6305
612.305, -19.8291
613.770, -18.8990
615.234, -19.7388
616.699, -19.3883
618.164, -19.7600
619.629, -19.6497
621.094, -19.1119
622.559, -20.2382
624.023, -20.7226
625.488, -18.3626
626.953, -20.3067
628.418, -18.4589
629.883, -20.1989
631.348, -19.1686
632.813, -21.1561
634.277, -19.7922
635.742, -19.8474
637.207, -19.6847
638.672, -19.0643
640.137, -19.1539
641.602, -19.6791
643.066, -20.5053
644.531, -20.0055
645.996, -18.9862
647.461, -19.7733
648.926, -19.5903
650.391, -21.7180
651.855, -21.1968
653.320, -20.4387
654.785, -20.5635
656.250, -20.8613
