DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
1.465, -77.9379
2.930, -76.0643
4.395, -75.9326
5.859, -84.1371
7.324, -77.5176
8.789, -74.2269
10.254, -75.5091
11.719, -71.3215
13.184, -57.4181
14.648, -57.7562
16.113, -59.2860
17.578, -60.1383
19.043, -64.2326
20.508, -67.1368
21.973, -63.9398
23.438, -64.5848
24.902, -64.6849
26.367, -62.4923
27.832, -61.4000
29.297, -56.9971
30.762, -55.2955
32.227, -39.8896
33.691, -52.3872
35.156, -50.6811
36.621, -55.1040
38.086, -60.1810
39.551, -59.1955
41.016, -57.6513
42.480, -58.9878
43.945, -60.0744
45.410, -62.9793
46.875, -56.5303
48.340, -56.7465
49.805, -52.3749
51.270, -56.1858
52.734, -52.7682
54.199, -51.1053
55.664, -48.2590
57.129, -48.4198
58.594, -46.9733
60.059, -45.4721
61.523, -43.2331
62.988, -41.9062
64.453, -40.1118
65.918, -39.7317
67.383, -39.1131
68.848, -37.5940
70.313, -35.4022
71.777, -34.9949
73.242, -33.8391
74.707, -32.9158
76.172, -33.7017
77.637, -32.4800
79.102, -33.3665
80.566, -33.2549
82.031, -33.7604
83.496, -34.5996
84.961, -34.5910
86.426, -34.2522
87.891, -35.2822
89.355, -35.3646
90.820, -35.9854
92.285, -36.4099
93.750, -37.2171
95.215, -37.2196
96.680, -37.8379
98.145, -38.1723
99.609, -38.4485
101.074, -39.5383
102.539, -39.0800
104.004, -39.2353
105.469, -40.5076
106.934, -40.7561
108.398, -40.8449
109.863, -41.5351
111.328, -40.9160
112.793, -41.0663
114.258, -41.3617
115.723, -41.8189
117.188, -41.5988
118.652, -42.4459
120.117, -41.4271
121.582, -42.7933
123.047, -42.3220
124.512, -42.1376
125.977, -42.8328
127.441, -43.4635
128.906, -43.0877
130.371, -44.2474
131.836, -42.7374
133.301, -43.8040
134.766, -43.6409
136.230, -44.8392
137.695, -42.3981
139.160, -43.6874
140.625, -43.0757
142.090, -44.3726
143.555, -42.2550
145.020, -45.5933
146.484, -42.4502
147.949, -43.7562
149.414, -42.7771
150.879, -42.2128
152.344, -42.5614
153.809, -43.9838
155.273, -42.5904
156.738, -41.7296
158.203, -42.6836
159.668, -42.9117
161.133, -43.0703
162.598, -44.2917
164.063, -42.8822
165.527, -42.9632
166.992, -41.7807
168.457, -41.6883
169.922, -42.3084
171.387, -41.8129
172.852, -40.8550
174.316, -41.7919
175.781, -40.7034
177.246, -42.5786
178.711, -43.3408
180.176, -41.2693
181.641, -42.5578
183.105, -43.9865
184.570, -44.0430
186.035, -47.5935
187.500, -44.5273
188.965, -46.5253
190.430, -47.5224
191.895, -52.2643
193.359, -47.0112
194.824, -50.6395
196.289, -48.3787
197.754, -50.5420
199.219, -49.7173
200.684, -46.4031
202.148, -44.7370
203.613, -44.2413
205.078, -42.4915
206.543, -40.1600
208.008, -37.9593
209.473, -36.5503
210.938, -34.0477
212.402, -31.8884
213.867, -30.0395
215.332, -27.0413
216.797, -24.8048
218.262, -21.3575
219.727, -17.6676
221.191, -12.7159
222.656, -10.0545
224.121, -13.7103
225.586, -16.7307
227.051, -18.2459
228.516, -20.4302
229.980, -20.9543
231.445, -21.5930
232.910, -22.3909
234.375, -22.6675
235.840, -23.0483
237.305, -23.1413
238.770, -23.3762
240.234, -23.7299
241.699, -23.3699
243.164, -22.7273
244.629, -22.9108
246.094, -23.1447
247.559, -23.2252
249.023, -23.0238
250.488, -22.9404
251.953, -23.7202
253.418, -23.6311
254.883, -23.2996
256.348, -24.3024
257.813, -25.0341
259.277, -24.9539
260.742, -25.5707
262.207, -26.8436
263.672, -27.4424
265.137, -28.8621
266.602, -28.9097
268.066, -28.9220
269.531, -31.1319
270.996, -30.5773
272.461, -31.5565
273.926, -30.7843
275.391, -31.7438
276.855, -31.9829
278.320, -32.0130
279.785, -31.5010
281.250, -31.0623
282.715, -31.2794
284.180, -30.9864
285.645, -28.9518
287.109, -28.3844
288.574, -30.8175
290.039, -28.1015
291.504, -28.7606
292.969, -27.5498
294.434, -26.4830
295.898, -26.0828
297.363, -25.0102
298.828, -22.1702
300.293, -22.1806
301.758, -21.2993
303.223, -20.8635
304.688, -19.5720
306.152, -17.6861
307.617, -17.6057
309.082, -14.7229
310.547, -12.6371
312.012, -9.7581
313.477, -6.5224
314.941, -4.5490
316.406, -6.5536
317.871, -8.2039
319.336, -11.7744
320.801, -15.6474
322.266, -16.9444
323.730, -18.1037
325.195, -18.0562
326.660, -18.7153
328.125, -19.5388
329.590, -20.6865
331.055, -21.9120
332.520, -23.7341
333.984, -22.9119
335.449, -24.1432
336.914, -24.8737
338.379, -25.5343
339.844, -26.7116
341.309, -25.2356
342.773, -25.7747
344.238, -27.7983
345.703, -29.9173
347.168, -30.7673
348.633, -29.8066
350.098, -29.8901
351.563, -28.8060
353.027, -33.4480
354.492, -32.0571
355.957, -28.2664
357.422, -32.3703
358.887, -33.3085
360.352, -34.6728
361.816, -26.5211
363.281, -24.6811
364.746, -20.2828
366.211, -18.5892
367.676, -16.2553
369.141, -12.8948
370.605, -13.3569
372.070, -13.5724
373.535, -14.3341
375.000, -16.9706
376.465, -16.5530
377.930, -18.1277
379.395, -18.7588
380.859, -19.5195
382.324, -20.5640
383.789, -21.6127
385.254, -20.9728
386.719, -22.4913
388.184, -22.8938
389.648, -22.8213
391.113, -23.1807
392.578, -23.9531
394.043, -24.3519
395.508, -24.2976
396.973, -24.5313
398.438, -24.6795
399.902, -25.6028
401.367, -25.3300
402.832, -26.1006
404.297, -26.1008
405.762, -26.0264
407.227, -26.5368
408.691, -26.8689
410.156, -26.9063
411.621, -27.5386
413.086, -26.9467
414.551, -27.9785
416.016, -27.7381
417.480, -28.0251
418.945, -28.3234
420.410, -28.5011
421.875, -28.9214
423.340, -29.2023
424.805, -31.5293
426.270, -30.7930
427.734, -31.7807
429.199, -32.2409
430.664, -33.4210
432.129, -33.3969
433.594, -35.0131
435.059, -35.9567
436.523, -37.2672
437.988, -42.5915
439.453, -46.2156
440.918, -44.7723
442.383, -49.6144
443.848, -55.6785
445.313, -41.5566
446.777, -42.0591
448.242, -42.3744
449.707, -36.7952
451.172, -39.2935
452.637, -38.6281
454.102, -37.2022
455.566, -35.0502
457.031, -35.0192
458.496, -33.4408
459.961, -33.9263
461.426, -34.8187
462.891, -34.1278
464.355, -35.4291
465.820, -33.2069
467.285, -34.4581
468.750, -34.4560
470.215, -34.1262
471.680, -33.7061
473.145, -36.8176
474.609, -36.9040
476.074, -35.0902
477.539, -34.5323
479.004, -33.2743
480.469, -34.6286
481.934, -34.2589
483.398, -37.2200
484.863, -34.2301
486.328, -36.5180
487.793, -40.5902
489.258, -39.3456
490.723, -41.0896
492.188, -44.9965
493.652, -41.9576
495.117, -47.4612
496.582, -43.4751
498.047, -39.6855
499.512, -39.2476
500.977, -53.5997
502.441, -42.2622
503.906, -40.5267
505.371, -38.4905
506.836, -31.0993
508.301, -47.6275
509.766, -31.8544
511.230, -36.3977
512.695, -35.5284
514.160, -40.3241
515.625, -32.4433
517.090, -37.9746
518.555, -32.1817
520.020, -32.4460
521.484, -35.3347
522.949, -31.7974
524.414, -31.9747
525.879, -31.1772
527.344, -28.6914
528.809, -29.1243
530.273, -28.9157
531.738, -30.5453
533.203, -30.3656
534.668, -32.6787
536.133, -30.5613
537.598, -31.7345
539.063, -30.5117
540.527, -30.2204
541.992, -30.7354
543.457, -30.9705
544.922, -30.8360
546.387, -29.9436
547.852, -30.5479
549.316, -29.5372
550.781, -30.5034
552.246, -30.6558
553.711, -28.8835
555.176, -28.4448
556.641, -28.0864
558.105, -27.7192
559.570, -28.3358
561.035, -27.0509
562.500, -26.1100
563.965, -25.6362
565.430, -25.2789
566.895, -25.8041
568.359, -26.2542
569.824, -24.5684
571.289, -25.0747
572.754, -24.2570
574.219, -23.7052
575.684, -23.1088
577.148, -23.2986
578.613, -23.9499
580.078, -21.2451
581.543, -21.1938
583.008, -20.2506
584.473, -20.9221
585.938, -19.5156
587.402, -20.7665
588.867, -20.7916
590.332, -18.2116
591.797, -20.9048
593.262, -20.6326
594.727, -21.2115
596.191, -22.0886
597.656, -22.8926
599.121, -24.2210
600.586, -25.2287
602.051, -27.2136
603.516, -27.0642
604.980, -28.0806
606.445, -26.7753
607.910, -26.4403
609.375, -25.9475
610.840, -25.6529
612.305, -25.3892
613.770, -25.8273
615.234, -25.3622
616.699, -25.0432
618.164, -24.6759
619.629, -25.9005
621.094, -24.8982
622.559, -24.1021
624.023, -24.8418
625.488, -23.2141
626.953, -24.0389
628.418, -22.1587
629.883, -21.4975
631.348, -19.5425
632.813, -19.5130
634.277, -19.0900
635.742, -18.3020
637.207, -16.3630
638.672, -16.2415
640.137, -16.0103
641.602, -15.7532
643.066, -14.8717
644.531, -15.8508
645.996, -15.2028
647.461, -15.9925
648.926, -15.7376
650.391, -16.0733
651.855, -15.4493
653.320, -15.8693
654.785, -15.3351
656.250, -15.3032
