DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
1.465, -83.0365
2.930, -74.5255
4.395, -96.8227
5.859, -73.5146
7.324, -83.0711
8.789, -85.5661
10.254, -80.3649
11.719, -67.9161
13.184, -54.8507
14.648, -64.5558
16.113, -67.9461
17.578, -70.2451
19.043, -75.4837
20.508, -88.5144
21.973, -76.7291
23.438, -70.3772
24.902, -74.7374
26.367, -55.5062
27.832, -50.1720
29.297, -54.4963
30.762, -63.2703
32.227, -43.7445
33.691, -48.0881
35.156, -51.5775
36.621, -56.8164
38.086, -59.3576
39.551, -57.8062
41.016, -61.2912
42.480, -64.1228
43.945, -59.2741
45.410, -57.1175
46.875, -58.6631
48.340, -57.8295
49.805, -62.1016
51.270, -58.3699
52.734, -60.2358
54.199, -61.2510
55.664, -56.8840
57.129, -62.7649
58.594, -66.9368
60.059, -57.7941
61.523, -59.5868
62.988, -62.7030
64.453, -55.4629
65.918, -56.5210
67.383, -51.2931
68.848, -48.3375
70.313, -45.5016
71.777, -44.1505
73.242, -41.5976
74.707, -40.7668
76.172, -39.4262
77.637, -39.9758
79.102, -39.0341
80.566, -38.9766
82.031, -40.5894
83.496, -40.9980
84.961, -40.9903
86.426, -41.7425
87.891, -42.8482
89.355, -42.6862
90.820, -42.5281
92.285, -43.3431
93.750, -43.4932
95.215, -44.4356
96.680, -44.5934
98.145, -44.8386
99.609, -44.2659
101.074, -45.1917
102.539, -45.0885
104.004, -45.4410
105.469, -46.1835
106.934, -44.8939
108.398, -44.9256
109.863, -46.1313
111.328, -45.7841
112.793, -46.1670
114.258, -45.6622
115.723, -45.7181
117.188, -45.3924
118.652, -45.3479
120.117, -45.6932
121.582, -46.5237
123.047, -46.2920
124.512, -46.7392
125.977, -44.6498
127.441, -45.4983
128.906, -43.9780
130.371, -45.1484
131.836, -45.2515
133.301, -46.5150
134.766, -44.7011
136.230, -45.0791
137.695, -43.8320
139.160, -45.8236
140.625, -42.8460
142.090, -42.7432
143.555, -42.9938
145.020, -42.7206
146.484, -42.0451
147.949, -43.0050
149.414, -42.9629
150.879, -41.9044
152.344, -43.0571
153.809, -40.3829
155.273, -39.2605
156.738, -38.8479
158.203, -38.4276
159.668, -39.3605
161.133, -38.0651
162.598, -37.7804
164.063, -37.0624
165.527, -36.8257
166.992, -34.5429
168.457, -35.5748
169.922, -33.1223
171.387, -32.0583
172.852, -31.5287
174.316, -31.0966
175.781, -31.2663
177.246, -30.3186
178.711, -30.4093
180.176, -30.0436
181.641, -29.3673
183.105, -30.4328
184.570, -30.8564
186.035, -30.4094
187.500, -30.0284
188.965, -30.3232
190.430, -30.5614
191.895, -30.6215
193.359, -30.5651
194.824, -30.7488
196.289, -30.5235
197.754, -29.7305
199.219, -30.4323
200.684, -30.4819
202.148, -29.4819
203.613, -29.6417
205.078, -28.7118
206.543, -28.3920
208.008, -27.8691
209.473, -27.3490
210.938, -26.2531
212.402, -25.6644
213.867, -24.7903
215.332, -22.5382
216.797, -20.4955
218.262, -18.8363
219.727, -15.9252
221.191, -11.7519
222.656, -10.2556
224.121, -14.8251
225.586, -18.7595
227.051, -22.2723
228.516, -24.0066
229.980, -25.8390
231.445, -29.0863
232.910, -30.5403
234.375, -31.8970
235.840, -32.8922
237.305, -35.9215
238.770, -36.5896
240.234, -39.1656
241.699, -40.0265
243.164, -43.5022
244.629, -44.9917
246.094, -48.4846
247.559, -46.6880
249.023, -45.0244
250.488, -41.2472
251.953, -38.1156
253.418, -38.2791
254.883, -36.6116
256.348, -35.3446
257.813, -35.6807
259.277, -34.4489
260.742, -35.0268
262.207, -35.3859
263.672, -35.2864
265.137, -35.4185
266.602, -34.9983
268.066, -35.5401
269.531, -34.1664
270.996, -34.9697
272.461, -35.2442
273.926, -35.3902
275.391, -35.1343
276.855, -36.9832
278.320, -36.4870
279.785, -35.7282
281.250, -35.7248
282.715, -37.1794
284.180, -37.0213
285.645, -36.2333
287.109, -36.8095
288.574, -37.9626
290.039, -37.9431
291.504, -37.8611
292.969, -36.5424
294.434, -35.6708
295.898, -36.9996
297.363, -37.1221
298.828, -36.3212
300.293, -35.1193
301.758, -36.6311
303.223, -36.4127
304.688, -35.9003
306.152, -34.9551
307.617, -34.5354
309.082, -34.3750
310.547, -31.8842
312.012, -32.9626
313.477, -27.8645
314.941, -24.5598
316.406, -21.8330
317.871, -26.1726
319.336, -30.3151
320.801, -33.1791
322.266, -35.4678
323.730, -39.2098
325.195, -40.9627
326.660, -41.1317
328.125, -41.8285
329.590, -42.4984
331.055, -43.1402
332.520, -45.3660
333.984, -43.0191
335.449, -41.3119
336.914, -40.7104
338.379, -44.2193
339.844, -39.8766
341.309, -41.8162
342.773, -39.8197
344.238, -40.6618
345.703, -41.7000
347.168, -40.6778
348.633, -38.2417
350.098, -38.2754
351.563, -36.7613
353.027, -37.0493
354.492, -35.6526
355.957, -35.1604
357.422, -31.4048
358.887, -31.9936
360.352, -31.2164
361.816, -26.2139
363.281, -26.1420
364.746, -22.8034
366.211, -20.6920
367.676, -17.3965
369.141, -16.0910
370.605, -16.5591
372.070, -18.0201
373.535, -19.5093
375.000, -20.9309
376.465, -21.1024
377.930, -22.2813
379.395, -23.1557
380.859, -23.9732
382.324, -24.0726
383.789, -24.7891
385.254, -24.5553
386.719, -24.9787
388.184, -24.9711
389.648, -25.2587
391.113, -25.6274
392.578, -25.3723
394.043, -26.2451
395.508, -26.6063
396.973, -27.1279
398.438, -28.7600
399.902, -31.2170
401.367, -30.7299
402.832, -31.1733
404.297, -33.2292
405.762, -37.4823
407.227, -38.7773
408.691, -39.3901
410.156, -43.7222
411.621, -46.4350
413.086, -54.9701
414.551, -64.8641
416.016, -44.8930
417.480, -45.4252
418.945, -43.7169
420.410, -43.1071
421.875, -44.5418
423.340, -40.4673
424.805, -39.7765
426.270, -39.6167
427.734, -37.0147
429.199, -36.4147
430.664, -37.1830
432.129, -35.7689
433.594, -37.1424
435.059, -36.1830
436.523, -36.2547
437.988, -36.1714
439.453, -36.6160
440.918, -35.9118
442.383, -35.4531
443.848, -36.4419
445.313, -34.9175
446.777, -35.9620
448.242, -33.3773
449.707, -35.5141
451.172, -35.2778
452.637, -34.4771
454.102, -34.6673
455.566, -34.1845
457.031, -34.6447
458.496, -35.0022
459.961, -34.7900
461.426, -35.5548
462.891, -35.7717
464.355, -33.7165
465.820, -34.6797
467.285, -32.2446
468.750, -34.1115
470.215, -32.3919
471.680, -32.8559
473.145, -35.5502
474.609, -33.2211
476.074, -31.7464
477.539, -31.8942
479.004, -33.4621
480.469, -30.7850
481.934, -33.0965
483.398, -33.9820
484.863, -30.1345
486.328, -29.9071
487.793, -30.7122
489.258, -32.4174
490.723, -29.8407
492.188, -30.5445
493.652, -29.1398
495.117, -26.9013
496.582, -30.6341
498.047, -28.9824
499.512, -28.7982
500.977, -27.1796
502.441, -24.5775
503.906, -27.4670
505.371, -28.2423
506.836, -30.8085
508.301, -23.1581
509.766, -22.7713
511.230, -29.7695
512.695, -28.9213
514.160, -26.9623
515.625, -26.7440
517.090, -23.3803
518.555, -23.4078
520.020, -27.7797
521.484, -23.1726
522.949, -24.2717
524.414, -23.1159
525.879, -22.1833
527.344, -22.3939
528.809, -23.3435
530.273, -22.5353
531.738, -21.7450
533.203, -21.9037
534.668, -23.8668
536.133, -22.1447
537.598, -22.4199
539.063, -22.1184
540.527, -22.0265
541.992, -22.1765
543.457, -23.1385
544.922, -21.3830
546.387, -23.0238
547.852, -21.8444
549.316, -22.3857
550.781, -22.6833
552.246, -23.4972
553.711, -24.4756
555.176, -23.2751
556.641, -26.5432
558.105, -27.5156
559.570, -26.0863
561.035, -28.2776
562.500, -32.3695
563.965, -40.1098
565.430, -36.7098
566.895, -35.0658
568.359, -42.3809
569.824, -34.8066
571.289, -37.7454
572.754, -37.4220
574.219, -34.4004
575.684, -34.2802
577.148, -33.7161
578.613, -29.4153
580.078, -29.8232
581.543, -25.1234
583.008, -27.4352
584.473, -23.7170
585.938, -23.1985
587.402, -20.9573
588.867, -22.1977
590.332, -22.7249
591.797, -21.5768
593.262, -21.3053
594.727, -20.7407
596.191, -21.8962
597.656, -22.1060
599.121, -23.8053
600.586, -25.9604
602.051, -26.9662
603.516, -27.7210
604.980, -28.6782
606.445, -30.3106
607.910, -32.7879
609.375, -33.7119
610.840, -32.7339
612.305, -32.4937
613.770, -32.6581
615.234, -34.4598
616.699, -33.9729
618.164, -33.5277
619.629, -32.5450
621.094, -32.7984
622.559, -31.1483
624.023, -33.3103
625.488, -32.6957
626.953, -35.0372
628.418, -32.5249
629.883, -33.6817
631.348, -32.3909
632.813, -31.0730
634.277, -31.4697
635.742, -30.8468
637.207, -28.8330
638.672, -27.6139
640.137, -28.0278
641.602, -27.3269
643.066, -26.0669
644.531, -26.0866
645.996, -27.2781
647.461, -26.1373
648.926, -25.6699
650.391, -27.1166
651.855, -26.6824
653.320, -26.3896
654.785, -25.7276
656.250, -26.0905
